Adventure.txt
MID_ADV_アドベンチャー外へ出る	Go outside?
MID_レベルアップ_ディーン_無し	$SvpV_LU_DEEN_NONE_00|$E苦,|...Nnh?
MID_レベルアップ_ディーン_限界	$SvpV_LU_DEEN_LIMIT_00|$E笑,|One might say I've achieved mastery.
MID_クラスチェンジ_ディーン	$SvpV_CC_DEEN_00|$E通常,|...Very well. I'll do my part.
MID_レベルアップ_エスト_身体	$SvpV_LU_EST_PHYSICAL_00|$Eキメ,|I'm feeling pretty useful today!
MID_レベルアップ_エスト_感覚	$SvpV_LU_EST_SENSE_00|$E通常,|Strength without grace is just clumsy.
MID_レベルアップ_エスト_気分	$SvpV_LU_EST_FEEL_00|$Eキメ,|Am I crazy...or just crazy LUCKY?!\nWoooo!
MID_レベルアップ_エスト_無し	$SvpV_LU_EST_NONE_00|$E悲,|Huh? That felt kind of weird...
MID_レベルアップ_エスト_限界	$SvpV_LU_EST_LIMIT_00|$E笑,|I want to focus on learning new things.
MID_クラスチェンジ_エスト	$SvpV_CC_EST_00|$E通常,|Okay...I'll do my best.
MID_レベルアップ_ノーマ_身体	$SvpV_LU_NORMA_PHYSICAL_00|$Eキメ,|Not bad for an old man, eh?
MID_レベルアップ_ノーマ_感覚	$SvpV_LU_NORMA_SENSE_00|$E笑,|Life has taught me the limits of brute\nforce.
MID_レベルアップ_ノーマ_気分	$SvpV_LU_NORMA_FEEL_00|$Eキメ,|Surely this is Mila's blessing.
MID_レベルアップ_ノーマ_無し	$SvpV_LU_NORMA_NONE_00|$E悲,|Hrm? Perhaps I'm getting old...
MID_レベルアップ_ノーマ_限界	$SvpV_LU_NORMA_LIMIT_00|$E悲,|Hardly a surprise, at my age.
MID_クラスチェンジ_ノーマ	$SvpV_CC_NORMA_00|$Eキメ,|Bountiful Mila, I gladly accept this\ndivine guidance.
MID_レベルアップ_ベルクト_身体	$SvpV_LU_BERKUT_PHYSICAL_00|$E笑,|None can stand as my equal.
MID_レベルアップ_ベルクト_感覚	$SvpV_LU_BERKUT_SENSE_00|$E通常,|Don't mistake me for those other\nmuscle-bound dullards.
MID_レベルアップ_ベルクト_気分	$SvpV_LU_BERKUT_FEEL_00|$E笑,|I have no need for divine favor.
MID_レベルアップ_ベルクト_無し	$SvpV_LU_BERKUT_NONE_00|$E悲,|...Hmm?
MID_レベルアップ_ベルクト_限界	$SvpV_LU_BERKUT_LIMIT_00|$E通常,|How could one improve upon\nperfection?
MID_クラスチェンジ_ベルクト	$SvpV_CC_BERKUT_00|$E通常,|Hmph. So be it.
MID_レベルアップ_フェルナン_身体	$SvpV_LU_FERNAND_PHYSICAL_00|$E笑,|Who needs my aid? Don't be shy!
MID_レベルアップ_フェルナン_感覚	$SvpV_LU_FERNAND_SENSE_00|$E通常,|A knight needs power and finesse both.
MID_レベルアップ_フェルナン_気分	$SvpV_LU_FERNAND_FEEL_00|$E特殊1,|Good fortune is a fine weapon.
MID_レベルアップ_フェルナン_無し	$SvpV_LU_FERNAND_NONE_00|$E苦,|...What?
MID_レベルアップ_フェルナン_限界	$SvpV_LU_FERNAND_LIMIT_00|$E特殊1,|Time to turn my attention to new\npursuits.
MID_クラスチェンジ_フェルナン	$SvpV_CC_FERNAND_00|$Eキメ,|If this is to be my new path...
MainMenu.txt
MID_メインメニュー_中断から	Bookmark
MID_メインメニュー_中断から_説明	Resume play from\nyour last bookmark.
MID_メインメニュー_続きから	Continue
MID_メインメニュー_続きから_説明	Continue from a\nsave file.
MID_メインメニュー_最初から	New Game
MID_メインメニュー_最初から_説明	Start the game\nfrom the beginning.
MID_メインメニュー_複製	Copy
MID_メインメニュー_複製_説明	Copy a save file.
MID_メインメニュー_削除	Delete
MID_メインメニュー_削除_説明	Delete a save file.
MID_メインメニュー_記録	Save
MID_メインメニュー_エクストラ	Extras
MID_メインメニュー_エクストラ_説明	Manage DLC, SpotPass\nsettings, or erase data.
MID_メインメニュー_サウンドテスト	Sound Test
MID_メインメニュー_サウンドテスト_説明	Listen to music from\nthe game.
MID_メインメニュー_ムービー回想	Theater
MID_メインメニュー_ムービー回想_説明	Rewatch movie\nscenes.
MID_メインメニュー_DLC	DLC
MID_メインメニュー_DLC_説明	Manage downloadable\ncontent.
MID_メインメニュー_いつの間に通信設定	SpotPass
MID_メインメニュー_いつの間に通信設定_説明	Activate or deactivate\nSpotPass.
MID_メインメニュー_言語設定	Language
MID_メインメニュー_言語設定_説明	Select a language.
MID_メインメニュー_字幕表示	Subtitles
MID_メインメニュー_字幕表示_説明	Turn cutscene and\nmovie subtitles\non or off.
MID_メインメニュー_全データ削除	Wipe Data
MID_メインメニュー_全データ削除_説明	Delete all data.
MID_メインメニュー_ノーマル_説明	For series beginners.
MID_メインメニュー_ハード_説明	For experienced\nplayers.
MID_メインメニュー_ルナティック_説明	For those who love a\nhardcore challenge.
MID_メインメニュー_カジュアル_説明	Fallen units return at the\nstart of the next chapter.
MID_メインメニュー_クラシック_説明	Units are lost forever.\nEvery decision counts!
MID_メインメニュー_全データ削除_確認	Delete all of your data?
MID_メインメニュー_全データ削除_再確認	All data will be lost forever.\nAre you sure?
MID_メインメニュー_全データ削除_終了	All data has been deleted.
MID_メインメニュー_言語設定_日本語	Japanese
MID_メインメニュー_言語設定_繁体字	Chinese (Traditional)
MID_メインメニュー_言語設定_簡体字	Chinese (Simplified)
MID_メインメニュー_言語設定_英語	English
MID_メインメニュー_言語設定_スペイン語	Spanish
MID_メインメニュー_言語設定_フランス語	French
MID_メインメニュー_言語設定_イタリア語	Italian
MID_メインメニュー_言語設定_ドイツ語	German
MID_メインメニュー_言語設定_オランダ語	Dutch
MID_メインメニュー_言語設定_下帯説明	Select a language.
MID_メインメニュー_言語設定_確認	Return to the title screen and\nplay using this language?
MID_メインメニュー_字幕表示_オン_確認	Subtitles are currently off.\nTurn subtitles on?
MID_メインメニュー_字幕表示_オフ_確認	Subtitles are currently on.\nTurn subtitles off?
MID_ファイルメニュー_データ無し	No Data
MID_ファイルメニュー_データ破損	Data is corrupted.
MID_ファイルメニュー_ターン	Turns:
MID_ファイルメニュー_記録確認	Save your progress?
MID_ファイルメニュー_複製確認	Copy this save file?
MID_ファイルメニュー_削除確認	Delete this save file?
MID_ファイルメニュー_中断削除確認	This will permanently delete\nyour bookmark. Are you sure?
MID_ファイルメニュー_記録無し確認_次へ	Proceed without saving?
MID_ファイルメニュー_記録無し確認_メインメニューへ	Return to the main menu\nwithout saving?
MID_ファイルメニュー_記録無し確認_ゲームクリア	Return to the title screen\nwithout saving clear data?
Merchant.txt
MID_ADV1_商人緑1	$t3$Wm商人緑|5$w0|$Ws商人緑|$Wa$SvpV_ADV1_MERCHANT_G1_00|Hello there! I'm a traveling peddler\nof sorts.$k$p$SvpV_ADV1_MERCHANT_G1_01|If there's anything you might like\ndelivered, just give me a shout.$k$p$SvpV_ADV1_MERCHANT_G1_02|I'll see that your item gets to whoever\nthe lucky lad or lass is.$k
MID_ADV1_商人緑2	$t3$Wm商人緑|5$w0|$Ws商人緑|$Wa$SvpV_ADV1_MERCHANT_G2_01|Right then! Thanks for your custom.$k
MID_ADV1_商人青1	$t3$Wm商人青|5$w0|$Ws商人青|$Wa$SvpV_ADV1_MERCHANT_B1_00|Ah, good day. If you didn't know,\nI am a traveling merchant.$k$p$SvpV_ADV1_MERCHANT_B1_01|My packs are heavy, but I yet have room\nto deliver a single item if you wish it.$k$p$SvpV_ADV1_MERCHANT_B1_02|Just give me a name, and I'll see they\nreceive it with all speed.$k
MID_ADV1_商人青2	$t3$Wm商人青|5$w0|$Ws商人青|$Wa$SvpV_ADV1_MERCHANT_B2_01|Many thanks.$k
MID_ADV1_商人ピンク1	$t3$Wm商人ピンク|5$w0|$Ws商人ピンク|$Wa$SvpV_ADV1_MERCHANT_P1_00|...Hmm? Why yes, I AM a traveling\nmerchant! Aren't you observant?$k$p$SvpV_ADV1_MERCHANT_P1_01|If you need to get an item to that\nspecial someone, I can make it happen.$k$p$SvpV_ADV1_MERCHANT_P1_02|Just give me one item and one name,\nand I'll do the rest!$k
MID_ADV1_商人ピンク2	$t3$Wm商人ピンク|5$w0|$Ws商人ピンク|$Wa$SvpV_ADV1_MERCHANT_P2_01|Till next time! Ta-ta!$k
MID_ADV1_商人_SELECT	Leave an item with the merchant?
MID_ADV1_商人_確認	$aItems left here will be delivered to\nthe other army.\nEntrust the merchant with your\n$a0?
MID_ADV1_商人_送れない	Items can not be delivered as\nthe recipient's convoy is full.
MovieRoom.txt
MID_Mov_Ep00_TitleLoop	Title Loop
MID_Mov_Ep01_Opening	Opening
MID_Mov_Ep03_Kikokusi	A Bewitching Dance
MID_Mov_Ep04_Nikusimi	Armed with Hatred
MID_Mov_Ep05_Fates	Children of Fate
MID_Mov_Ep06_Megami	The Mother's Fury
MID_Mov_Ep07_Heroes	A Battle of Heroes
MID_Mov_Ep08_Daisyo	The Price of Power
MID_Mov_Ep09_Doukoku	Lament
MID_Mov_Ep09_Shito	Mortal Struggle
Name.txt
MID_？？？	???
MPID_？？？	???
MPID_???	???
MPID_不明	Unknown
MPID_フードマン	???
MPID_デフォルト名	Alm
MPID_アルム	Alm
MPID_セリカ	Celica
MPID_マイセン	Mycen
MPID_ノーマ	Nomah
MPID_ルカ	Lukas
MPID_クリフ	Kliff
MPID_ロビン	Tobin
MPID_グレイ	Gray
MPID_エフィ	Faye
MPID_クレア	Clair
MPID_クレーベ	Clive
MPID_フォルス	Forsyth
MPID_メイ	Mae
MPID_シルク	Silque
MPID_ジェニー	Genny
MPID_ボーイ	Boey
MPID_コンラート	Conrad
MPID_仮面の騎士	Masked Knight
MPID_カムイ	Kamui
MPID_レオ	Leon
MPID_バルボ	Valbar
MPID_マチルダ	Mathilda
MPID_パイソン	Python
MPID_アトラス	Atlas
MPID_ジェシー	Jesse
MPID_ソニア	Sonya
MPID_ディーン	Deen
MPID_セーバー	Saber
MPID_リュート	Luthier
MPID_デューテ	Delthea
MPID_ティータ	Tatiana
MPID_カチュア	Catria
MPID_パオラ	Palla
MPID_エスト	Est
MPID_ジーク	Zeke
MPID_ベルクト	Berkut
MPID_異常ベルクト	Berkut
MPID_フェルナン	Fernand
MPID_ドゼー	Desaix
MPID_ギース	Grieth
MPID_ドルク	Dolth
MPID_ヌイババ	Nuibaba
MPID_ルドルフ	Rudolf
MPID_ジュダ	Jedah
MPID_マグナム	Magnus
MPID_ジェローム	Jerome
MPID_ミューラー	Mueller
MPID_マーラ	Marla
MPID_タタラ	Tatarrah
MPID_ジャミル	Jamil
MPID_ガゼル	Gazelle
MPID_ザクソン	Zakson
MPID_スレイダー	Slayde
MPID_ミカエラ	Mikhail
MPID_ローソン	Lawson
MPID_ダッハ	Barth
MPID_ガッハ	Garth
MPID_ブライ	Blake
MPID_盗賊頭	Brigand Boss
MPID_リゲル軍	Rigelian
MPID_ウォルフ	Wolff
MPID_ギース軍	Grieth's Army
MPID_ドゼー軍	Bodyguard
MPID_ドルク軍	Sentry
MPID_魔道軍	War Mage
MPID_海賊	Pirate
MPID_山賊	Brigand
MPID_魔物	Terror
MPID_ドーマ	Duma
MPID_ドーマ人間形態	Duma
MPID_ガルシア	Garcia
MPID_ヘステ	Hestia
MPID_サイゾー	Xaizor
MPID_ガネフ	Gharn
MPID_デビル	Devil
MPID_ゴールド	Aurum
MPID_シルバー	Argentum
MPID_サーペント	Serpent
MPID_ナーガ	Naga
MPID_バデス	Hades
MPID_ケルベス	Cerberus
MPID_ベルレス	Naberius
MPID_ゲッペル	Ganger
MPID_鍛冶屋	Blacksmith
MPID_リプリカ	Liprica
MPID_イルマ	Irma
MPID_ハルク	Halcyon
MPID_マッセナ	Massena
MPID_リマ四世	Lima IV
MPID_リネア	Rinea
MPID_ミラ	Mila
MPID_シャドー	Shadow
MPID_男	Man
MPID_男性	Young Man
MPID_おじさん	Man
MPID_おじいさん	Old Man
MPID_老人	Old Timer
MPID_少年	Boy
MPID_女	Woman
MPID_女性	Young Woman
MPID_おばさん	Woman
MPID_おばあさん	Old Woman
MPID_娘	Young Woman
MPID_少女	Girl
MPID_女の子	Girl
MPID_子供	Child
MPID_水門番	Sluice Keeper
MPID_チーズ好きの貴族	Cheese Lover
MPID_旅の商人	Peddler
MPID_貴族のおじさん	Nobleman
MPID_大商人アレッシオ	Alessio
MPID_酒場の主人の妻	Tavernkeep Wife
MPID_フーガ家の当主	Lord Fugue
MPID_リオン家の当主	Lord Rion
MPID_貴族の料理人	Royal Chef
MPID_腕の良い漁師	Skilled Angler
MPID_学者風の男	Scholarly Man
MPID_衰弱した男	Feeble Man
MPID_隠者	Hermit
MPID_村の商人	Village Merchant
MPID_酒場の主人	Tavernkeep
MPID_うろたえる婦人	Distraught Lady
MPID_くたびれた婦人	Tired Lady
MPID_素朴な木こり	Lumberjack
MPID_商人の妻	Merchant's Wife
MPID_旅の青年	Young Traveler
MPID_薬の学者	Medical Scholar
MPID_大魔道士	Grand Sorcerer
MPID_異国の商人	Foreign Trader
MPID_物欲しげな老人	Greedy Old Man
MPID_魚好きのおじさん	Fish-crazy Man
MPID_神経質なシスター	Anxious Cleric
MPID_狼狽するシスター	Flustered Cleric
MPID_落ち着かない男性	Restless Man
MPID_不気味な隠者	Eerie Hermit
MPID_物憂げな隠者	Languid Hermit
MPID_腹を立てる女性	Indignant Woman
MPID_鍛冶屋の亭主	Blacksmith
MPID_ソフィア兵	Zofian Soldier
MPID_リゲル兵	Rigelian Soldier
MPID_解放軍兵士	Ally Soldier
MPID_ドゼー軍兵士	Enemy Soldier
MPID_派手な服の男	Flashy Man
MPID_H_不明	None
MPID_H_アルム	A boy with a strange mark on his\nleft hand.
MPID_H_ルカ	A member of the Deliverance\nfighting to free Zofia.
MPID_H_グレイ	Alm's friend since childhood.
MPID_H_ロビン	Alm's friend since childhood.
MPID_H_クリフ	Alm's friend since childhood.
MPID_H_シルク	A cleric from the priory on\nNovis Island.
MPID_H_クレア	A member of the Deliverance.\nClive's younger sister.
MPID_H_クレーベ	Former leader of the Deliverance.\nClair's elder brother.
MPID_H_フォルス	A member of the Deliverance\nfighting to free Zofia.
MPID_H_パイソン	A member of the Deliverance\nfighting to free Zofia.
MPID_H_リュート	A mage from the forest village.\nDelthea's elder brother.
MPID_H_マチルダ	A member of the Deliverance\nfighting to free Zofia.
MPID_H_デューテ	A mage from the forest village.\nLuthier's younger sister.
MPID_H_ティータ	A saint from the Rigelian Empire.
MPID_H_ジーク	A general from the Rigelian Empire.
MPID_H_マイセン	A knight sworn to the Kingdom\nof Zofia.
MPID_H_エフィ	Alm's friend since childhood.
MPID_H_セリカ	A girl with a strange mark on her\nright hand.
MPID_H_メイ	A mage from Novis Island.
MPID_H_ボーイ	A mage from Novis Island.
MPID_H_ジェニー	A cleric from Novis Island.
MPID_H_セーバー	A mercenary from Novis Island.
MPID_H_バルボ	A knight from Zofia.
MPID_H_カムイ	A mercenary from Zofia.
MPID_H_レオ	An archer from Zofia.
MPID_H_パオラ	A pegasus knight from Archanea.\nThe eldest of three sisters.
MPID_H_カチュア	A pegasus knight from Archanea.\nThe middle of three sisters.
MPID_H_アトラス	A mountain villager.
MPID_H_ジェシー	A mercenary from Zofia.
MPID_H_ソニア	A mage who fights for the\nhighest bidder.
MPID_H_ディーン	A myrmidon who fights for the\nhighest bidder.
MPID_H_エスト	A pegasus knight from Archanea.\nThe youngest of three sisters.
MPID_H_ノーマ	A sage from Novis Island.
MPID_H_コンラート	A Zofian prince.\nCelica's elder brother.
MPID_H_盗賊頭	Top dog among the brigands.
MPID_H_ドゼー	Chancellor of Zofia.
MPID_H_スレイダー	A Zofian noble.
MPID_H_ダッハ	A pirate boss.
MPID_H_ザクソン	A soldier from the Rigelian Empire.
MPID_H_ローソン	A soldier from the Rigelian Empire.
MPID_H_ガゼル	A soldier from the Rigelian Empire.
MPID_H_タタラ	An arcanist who serves the\nDuma Faithful.
MPID_H_敵デューテ	A mage from a forest village.\nTatarrah is controlling her.
MPID_H_フェルナン	A former soldier of the Deliverance\nwho has become Berkut's lackey.
MPID_H_ベルクト	A general from the Rigelian Empire.\nEmperor Rudolf's nephew.
MPID_H_ガッハ	Grieth's minion.
MPID_H_ウォルフ	Grieth's minion.
MPID_H_敵ディーン	A myrmidon who fights for the\nhighest bidder.
MPID_H_敵ソニア	A mage who fights for the\nhighest bidder.
MPID_H_ギース	The self-proclaimed "king of all\nbrigands" in Zofia.
MPID_H_ブライ	A soldier from the Rigelian Empire.
MPID_H_ミカエラ	A cantor who serves the\nDuma Faithful.
MPID_H_サイゾー	A soldier from the Rigelian Empire.
MPID_H_マーラ	A witch who serves the Duma\nFaithful. The eldest of three sisters.
MPID_H_ヌイババ	An arcanist who serves the\nDuma Faithful.
MPID_H_ジェローム	A general of the Rigelian Empire.
MPID_H_マグナム	A soldier from the Rigelian Empire.
MPID_H_ヘステ	A witch who serves the Duma\nFaithful. The middle of three sisters.
MPID_H_ミューラー	A soldier from the Rigelian Empire.
MPID_H_ルドルフ	Emperor of Rigel.
MPID_H_スレイダー４章	A former Zofian noble who now\nfights for the Rigelian Empire.
MPID_H_ガルシア	A cantor who serves the\nDuma Faithful.
MPID_H_ドルク	A cantor who serves the\nDuma Faithful.
MPID_H_ジャミル	An arcanist who serves the\nDuma Faithful.
MPID_H_ジュダ	High priest of the Duma Faithful.
MPID_H_ドーマ	A divine dragon who founded the\nRigelian Empire.
MPID_H_ゴールド	A bow knight who serves the\nDuma Faithful.
MPID_H_シルバー	A bow knight who serves the\nDuma Faithful.
MPID_H_ガネフ	An arcanist who serves the\nDuma Faithful.
MPID_H_ケルベス	A dread fighter who serves the\nDuma Faithful.
MPID_H_ベルレス	A dread fighter who serves the\nDuma Faithful.
MPID_H_バデス	A knight who serves the Duma\nFaithful.
MPID_H_リネア	Daughter of a noble Rigelian house.\nBerkut's betrothed.
MPID_H_仮面の騎士	A mysterious knight who keeps\nhis face hidden.
MPID_H_幻影マルス	An illusory warrior summoned to\nthis realm.
MPID_H_幻影アイク	An illusory warrior summoned to\nthis realm.
MPID_H_幻影ルキナ	An illusory warrior summoned to\nthis realm.
MPID_H_幻影ルフレ	An illusory warrior summoned to\nthis realm.
MPID_H_幻影ロイ	An illusory warrior summoned to\nthis realm.
MPID_H_幻影カムイ男	An illusory warrior summoned to\nthis realm.
MPID_H_幻影カムイ女	An illusory warrior summoned to\nthis realm.
MPID_H_幻影兵	An illusory warrior conjured up\nby magic.
MPID_H_ギムレー	A twisted creature born of divine\ndragon blood.
MPID_ナイト	Cavalier
MPID_ナイト（青）	Cavalier
MPID_アーマー	Knight
MPID_ガーゴイル	Gargoyle
MPID_バルログ	Deathgoyle
MPID_パラディン	Paladin
MPID_ドラゴンゾンビ	Necrodragon
MPID_白竜	White Dragon
MPID_ソルジャー	Soldier
MPID_ソルジャー（青）	Soldier
MPID_ゴールドナイト	Gold Knight
MPID_傭兵	Mercenary
MPID_傭兵（青）	Mercenary
MPID_剣士	Myrmidon
MPID_魔戦士	Dread Fighter
MPID_聖女	Saint
MPID_ゾンビ	Revenant
MPID_リッチー	Lich
MPID_マミー	Entombed
MPID_アーチャー	Archer
MPID_アーチャー（青）	Archer
MPID_スナイパー	Sniper
MPID_盗賊	Brigand
MPID_妖術師	Arcanist
MPID_魔女	Witch
MPID_スケルトン	Bonewalker
MPID_ビグル	Mogall
MPID_祈祷師	Cantor
MPID_ボウナイト	Bow Knight
MPID_戦士	Fighter
MPID_バロン	Baron
MPID_魔人	Fiend
MPID_勇者	Hero
MPID_ペガサスナイト	Pegasus Knight
MPID_シスター	Cleric
MPID_シスター（青）	Cleric
MPID_賢者	Sage
MPID_神官	Priestess
MPID_幻影マルス	Illusory Hero
MPID_幻影アイク	Illusory Hero
MPID_幻影ルキナ	Illusory Hero
MPID_幻影ルフレ	Illusory Hero
MPID_幻影ロイ	Illusory Hero
MPID_幻影カムイ男	Illusory Hero
MPID_幻影カムイ女	Illusory Hero
MPID_幻影兵	Illusion
MPID_ミラのしもべ	Mila's Servant
MPID_ドーマの使徒	Duma's Apostle
MPID_ドラクル	Dracul
MPID_タイタン	Titan
MPID_ガルーダ	Garuda
MPID_守護者	Guardian
MPID_ウェスタ	Vestal
MPID_ファフナー	Fafnir
MPID_ダゴン	Dagon
MPID_バロール	Balor
MPID_デイモス	Deimos
MPID_火竜	Fire Dragon
MPID_ギムレー	The Creation
MPID_屍兵	Death Mask
MIID_ファイアー	Fire
MIID_サンダー	Thunder
MIID_ライナロック	Ragnarok
MIID_エンジェル	Seraphim
MIID_エクスカリバー	Excalibur
MIID_アロー	Sagittae
MIID_オーラ	Aura
MIID_ドーラ	Miasma
MIID_スライム	Mire
MIID_デス	Death
MIID_メデューサ	Medusa
MIID_アイビーム	Ocular Beam
MIID_アイボール	Oculus
MIID_アポカリプス	Apocalypse
MIID_メガクェイク	Upheaval
MIID_メサイア	Conjure
MIID_メサイア死霊	Conjure R
MIID_メサイア骸骨	Conjure B
MIID_メサイア飛魔	Conjure G
MIID_メサイア死竜	Conjure N
MIID_メサイア魔女	Conjure W
MIID_メサイア目玉	Conjure M
MIID_リカバー	Recover
MIID_リブロー	Physic
MIID_リザイア	Nosferatu
MIID_トロン	Thunder
MIID_ワープ	Warp
MIID_リワープ	Rewarp
MIID_レスキュー	Rescue
MIID_アゲイン	Anew
MIID_ドロー	Entrap
MIID_フリーズ	Freeze
MIID_サイレス	Silence
MIID_ディル	Expel
MIID_リザーブ	Fortify
MIID_イリュージョン	Invoke
MIID_イリュージョン魔戦	Invoke DF
MIID_イリュージョン天馬	Invoke PN
MIID_イリュージョン兵士	Invoke S
MIID_H_ファイアー	Standard fire magic.
MIID_H_サンダー	Thunder magic that hits\nfrom a long distance.
MIID_H_ライナロック	Ultimate magic that\npurges foes in its flames.
MIID_H_エンジェル	Holy magic effective\nagainst Terrors.
MIID_H_エクスカリバー	Wind magic that yields\nfrequent critical hits.
MIID_H_アロー	Arrows of light that hit\nfrom a long distance.
MIID_H_オーラ	Powerful magic that\nsmothers enemies in light.
MIID_H_ドーラ	Poison magic.
MIID_H_スライム	Magic that beckons forth\nan accursed lifeform.
MIID_H_デス	Deadly magic.
MIID_H_メデューサ	Reduces HP to 1,\nor defeats foes with 1 HP.
MIID_H_アイビーム	Fell dragon magic.
MIID_H_アイボール	Fell dragon magic that\nhalts enemy movement.
MIID_H_アポカリプス	Ruinous magic.
MIID_H_メガクェイク	Earth magic that hits\nall enemies.
MIID_H_メサイア	Summons evil beings\nfrom the darkness.
MIID_H_メサイア死霊	Summons Terrors.
MIID_H_メサイア骸骨	Summons Terrors.
MIID_H_メサイア飛魔	Summons Terrors.
MIID_H_メサイア死竜	Summons Terrors.
MIID_H_メサイア魔女	Summons witches.
MIID_H_メサイア目玉	Summons Terrors.
MIID_H_リカバー	Restores HP to an\nadjacent ally.
MIID_H_リブロー	Restores HP to a\ndistant ally.
MIID_H_リザイア	Holy magic that absorbs\nHP from enemies.
MIID_H_トロン	Magic that attacks foes\nwith lightning.
MIID_H_ワープ	Warps an adjacent ally to\na new space. (Rng	Atk/2)
MIID_H_リワープ	Warps the caster to a\nspace near an ally.
MIID_H_レスキュー	Warps a distant ally to\nthe vicinity of the caster.
MIID_H_アゲイン	Lets an ally on standby\ntake another action.
MIID_H_ドロー	Warps a distant enemy to\nthe vicinity of the caster.
MIID_H_フリーズ	Stops an enemy from\nmoving for one turn.
MIID_H_サイレス	Stops an enemy from\nusing magic for one turn.
MIID_H_ディル	Eradicates some Terrors\nwithin range.
MIID_H_リザーブ	Restores HP to allies\nwithin range.
MIID_H_イリュージョン	Summons illusory\nsoldiers. (Eight max)
MIID_H_イリュージョン魔戦	Summons illusory\nsoldiers. (Eight max)
MIID_H_イリュージョン天馬	Summons illusory\nsoldiers. (Eight max)
MIID_H_イリュージョン兵士	Summons illusory\nsoldiers. (Eight max)
MID_地形_無し	None
MID_地形_草原	Plain
MID_地形_地面	Ground
MID_地形_森	Forest
MID_地形_林	Woods
MID_地形_砂漠	Desert
MID_地形_川	River
MID_地形_滝	Falls
MID_地形_山	Mountain
MID_地形_高山	Peak
MID_地形_橋	Bridge
MID_地形_海	Sea
MID_地形_城床	Tile
MID_地形_壁	Wall
MID_地形_馬止め	Bulwark
MID_地形_階段	Stairs
MID_地形_城壁	Rampart
MID_地形_扉	Door
MID_地形_敵	Enemy
MID_地形_補給	Supplies
MID_地形_砦	Fort
MID_地形_オレンジ	O. Tree
MID_地形_溶岩	Lava
MID_地形_墓	Grave
MID_地形_地	Earth
MID_地形_街1	Town
MID_地形_街2	Town
MID_地形_丘	Hills
MID_地形_岩	Rock
MID_地形_太柱	Pillar
MID_地形_茂み	Thicket
MID_地形_床	Floor
MID_地形_毒沼	Swamp
MID_地形_空洞	Cavern
MID_地形_積み石	Stones
MID_地形_海崖	Bluff
MID_地形_欄干	Railing
MID_地形_篝火	Torch
MID_地形_炎の床	Flames
MID_地形_柱	Pillar
MID_地形_珊瑚	Coral
MID_地形_空	Sky
MID_地形_崖	Cliff
MID_地形_低壁	Partition
MID_地形_雪原	Snow
MID_地形_瓦礫	Rubble
MID_地形_魔法陣	Sigil
MID_地形_塔	Tower
MID_地形_邪跡	Ruin
MID_地形_業火	Inferno
MID_地形_壊れた橋	Bridge
MID_地形_甲板	Deck
MID_地形_船体	Ship
MID_地形_浅瀬	Shoal
MID_地形_回復量	$aGain HP	$a0
MID_地形_ダメージ量	$aDamage	$a0
MID_PROLOGUE	Prologue:
MID_SEASON1	Act 1:
MID_SEASON2	Act 2:
MID_SEASON3	Act 3:
MID_SEASON4	Act 4:
MID_SEASON5	Act 5:
MID_EPILOGUE	Act 6:
MID_章タイトル_区切り文字	  
MID_章タイトル_PROLOGUE	Alm and Celica
MID_章タイトル_SEASON1	Zofia's Call
MID_章タイトル_SEASON2	The Pilgrimage
MID_章タイトル_SEASON3	War of Deliverance
MID_章タイトル_SEASON4	Land of Sorrow
MID_章タイトル_SEASON5	Together to the End
MID_の戦い	$a$a0 Battle
MID_戦闘タイトル_ラムの谷	Storming of Ram Valley
MID_戦闘タイトル_南の砦	Attack on the Southern Outpost
MID_戦闘タイトル_ソフィアの南１	First Battle of Southern Zofia
MID_戦闘タイトル_ソフィアの南２	Second Battle of Southern Zofia
MID_戦闘タイトル_ソフィアの門	Liberation of Zofia Castle
MID_戦闘タイトル_ノーヴァの墓地	Skirmish
MID_戦闘タイトル_海１	First Pirate Raid
MID_戦闘タイトル_海２	Second Pirate Raid
MID_戦闘タイトル_海賊の砦	Assault on the Pirate Throne
MID_戦闘タイトル_海のほこら	Beast Hunt
MID_戦闘タイトル_海３	Third Pirate Raid
MID_戦闘タイトル_海４	Fourth Pirate Raid
MID_戦闘タイトル_海５	Fifth Pirate Raid
MID_戦闘タイトル_ソフィアの森１	First Battle of Zofia Forest
MID_戦闘タイトル_ドゼーの砦	Siege of Desaix's Fortress
MID_戦闘タイトル_ソフィアの森２	Second Battle of Zofia Forest
MID_戦闘タイトル_水門	Retaking of the Sluice Gate
MID_戦闘タイトル_山の墓場	Skirmish
MID_戦闘タイトル_ミラへの谷	Storming of the Valley Approach
MID_戦闘タイトル_砂漠の砦	Attack on the Desert Stronghold
MID_戦闘タイトル_ギースの砦	Attack on Grieth's Citadel
MID_戦闘タイトル_ミラ神殿	Liberation of the Temple of Mila
MID_戦闘タイトル_ヌイババ館	Siege of Nuibaba's Abode
MID_戦闘タイトル_竜の火口	Fight at the Dragon's Maw
MID_戦闘タイトル_要塞	Attack on the Last Bastion
MID_戦闘タイトル_リゲル城	Attack on Rigel Castle
MID_戦闘タイトル_沼の墓地	Skirmish
MID_戦闘タイトル_ドルクの砦	Attack on Dolth Keep
MID_戦闘タイトル_ドーマの門	Storming of Duma Gate
MID_戦闘タイトル_ドーマの祭壇	The Final Battle
