Adventure.txt
MID_ADV_アドベンチャー外へ出る	要到外头吗？
MID_ADV_調べるエリア_mira_emblem	米拉的纹章
Fld_拠点_南の砦_作戦室.txt
MID_ADV調べる_empty_ARUM_RANDOM_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa这里似乎是作战室。$k
MID_ADV調べる_empty_ARUM_RANDOM_1	$Z$t0$Wmアルム|6$Wsアルム|$Wa或许有什么东西\n可以派上用场。$k
MID_ADV調べる_weapon_ARUM_LOOP_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa大概是急忙逃走的，\n武器散落了一地。$k
MID_ADV調べる_weapon_ARUM_LOOP_1	$Z$t0$Wmアルム|6$Wsアルム|$Wa没有能用的东西。$k
MID_ADV調べる_baggage_ARUM_LOOP_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa东西虽然很多，\n但都派不上用场。$k
MID_ADV調べる_table_ARUM_RANDOM_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa有士兵们吃喝而留下的痕迹。$k
MID_ADV調べる_empty_CELLICA_RANDOM_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa这里是……\n作战室吗？$k
MID_ADV調べる_empty_CELLICA_RANDOM_1	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa看来他们并不是很爱惜这里啊。$k
MID_ADV調べる_weapon_CELLICA_RANDOM_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa武器散落一地呢。\n发生了什么事吗？$k
MID_ADV調べる_baggage_CELLICA_RANDOM_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa没有能派得上用场的东西啊。$k
MID_ADV調べる_table_CELLICA_RANDOM_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa有用餐的痕迹呢。\n之前有人待过吗……$k
MID_ADV_調べるエリア_table	桌子
MID_ADV_調べるエリア_weapon	武器
MID_ADV_調べるエリア_baggage	货物
Fld_拠点_南の砦_牢獄.txt
MID_ADV調べる_empty_ARUM_RANDOM_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa是关押俘虏的监牢。$k
MID_ADV調べる_empty_ARUM_RANDOM_1	$Z$t0$Wmアルム|6$Wsアルム|$Wa要是被关在这种地方，\n想必会很郁闷。$k
MID_ADV調べる_refuse_ARUM_LOOP_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa从俘虏身上扒下的武器\n散落一地。$k
MID_ADV調べる_table_ARUM_RANDOM_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa是看守使用的桌椅。$k
MID_ADV調べる_empty_CELLICA_RANDOM_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa是监牢呢。\n用来关押俘虏的吗？$k
MID_ADV調べる_empty_CELLICA_RANDOM_1	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa既阴暗又潮湿……\n真不想在此地久留。$k
MID_ADV調べる_refuse_CELLICA_LOOP_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa武器散落了一地呢。\n是俘虏的吗？$k
MID_ADV調べる_table_CELLICA_RANDOM_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa是简陋的桌椅。\n是给看守使用的吗？$k
MID_ADV_調べるエリア_table	桌子
MID_ADV_調べるエリア_refuse	掉在地上的武器
Fld_拠点_南の砦_玄関.txt
MID_ADV調べる_empty_ARUM_RANDOM_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa这里似乎是两百多年前，\n为了抵御海盗袭击而建造的。$k
MID_ADV調べる_empty_ARUM_RANDOM_1	$Z$t0$Wmアルム|6$Wsアルム|$Wa真是个满布灰尘又煞风景的地方……$k
MID_ADV調べる_weapon_ARUM_LOOP_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa大概是急忙逃走的，\n武器散落了一地。$k
MID_ADV調べる_weapon_ARUM_LOOP_1	$Z$t0$Wmアルム|6$Wsアルム|$Wa没有能用的东西。$k
MID_ADV調べる_back_way_ARUM_RANDOM_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa前往堡垒内部的通路。$k
MID_ADV調べる_empty_CELLICA_RANDOM_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa好阴暗……\n确实很有堡垒的感觉呢。$k
MID_ADV調べる_empty_CELLICA_RANDOM_1	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa渡海前往诺瓦岛时我见过这里。\n原来实际上是这样一个地方啊。$k
MID_ADV調べる_weapon_CELLICA_LOOP_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa武器散落一地……\n发生了什么事吗？$k
MID_ADV調べる_back_way_CELLICA_RANDOM_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa从那边可以进去里面吗？$k
MID_ADV_調べるエリア_weapon	武器
MID_ADV_調べるエリア_back_way	通路
Fld_拠点_山の村_出入り口.txt
MID_ADV調べる_empty_ARUM_RANDOM_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa这种深山里面竟然有村子？\n生活应该很辛苦吧……$k
MID_ADV調べる_empty_ARUM_RANDOM_1	$Z$t0$Wmアルム|6$Wsアルム|$Wa因为这里海拔高吗？\n云朵看起来好近。$k
MID_ADV調べる_fenceA_ARUM_RANDOM_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa是简陋的木栅栏。\n感觉起不了什么作用。$k
MID_ADV調べる_fenceB_ARUM_RANDOM_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa是简陋的木栅栏。\n感觉起不了什么作用。$k
MID_ADV調べる_fenceC_ARUM_RANDOM_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa是简陋的木栅栏。\n感觉起不了什么作用。$k
MID_ADV調べる_empty_CELLICA_RANDOM_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa是山中的聚落呢。\n这座村子比我想像中还要大。$k
MID_ADV調べる_empty_CELLICA_RANDOM_1	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa凉凉的风很舒服。$k
MID_ADV調べる_fenceA_CELLICA_RANDOM_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa是用圆木和木板做成的栅栏。\n好像有很多地方都破损了。$k
MID_ADV調べる_fenceB_CELLICA_RANDOM_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa是用圆木和木板做成的栅栏。\n好像有很多地方都破损了。$k
MID_ADV調べる_fenceC_CELLICA_RANDOM_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa是用圆木和木板做成的栅栏。\n好像有很多地方都破损了。$k
MID_ADV_調べるエリア_fenceA	栅栏
MID_ADV_調べるエリア_fenceB	栅栏
MID_ADV_調べるエリア_fenceC	栅栏
Fld_拠点_山の村_広場.txt
MID_ADV調べる_empty_ARUM_RANDOM_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa这里是村子的中心吗？$k
MID_ADV調べる_empty_ARUM_RANDOM_1	$Z$t0$Wmアルム|6$Wsアルム|$Wa感觉一片荒凉……\n似乎曾经被什么袭击过。$k
MID_ADV調べる_well_ARUM_RANDOM_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa是简陋的水井。$k
MID_ADV調べる_wood_ARUM_RANDOM_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa木材虽然经过加工，\n但似乎已经放在这里很久了。$k
MID_ADV調べる_clash_roof_ARUM_RANDOM_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa屋顶都破了。\n不知道发生了什么事……$k
MID_ADV調べる_empty_CELLICA_RANDOM_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa是这座村子的广场啊。\n看起来似乎没怎么整理……$k
MID_ADV調べる_empty_CELLICA_RANDOM_1	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa到处都有破损，感觉很荒凉。$k
MID_ADV調べる_well_CELLICA_RANDOM_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa水井虽然简陋，\n水源倒是很充沛的样子。$k
MID_ADV調べる_wood_CELLICA_RANDOM_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa这是修缮用的木材吗？\n都被雨淋湿了。$k
MID_ADV調べる_clash_roof_CELLICA_RANDOM_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa屋顶都破了呢。\n不打算修理吗……$k
MID_ADV_調べるエリア_well	水井
MID_ADV_調べるエリア_wood	木材
MID_ADV_調べるエリア_clash_roof	损坏的屋顶
Fld_拠点_山の村_民家.txt
MID_ADV調べる_empty_ARUM_RANDOM_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa是比邻而建的老旧民房。$k
MID_ADV調べる_empty_ARUM_RANDOM_1	$Z$t0$Wmアルム|6$Wsアルム|$Wa感觉一片荒凉……\n似乎曾经被什么袭击过。$k
MID_ADV調べる_house_ARUM_RANDOM_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa上面爬满了青苔和藤蔓。\n似乎是很早以前就存在的房子。$k
MID_ADV調べる_orangetree_ARUM_RANDOM_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa和拉姆村的树比起来，\n这里结的果实又小又少。$k
MID_ADV調べる_empty_CELLICA_RANDOM_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa老旧的民房相邻在一起。$k
MID_ADV調べる_empty_CELLICA_RANDOM_1	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa到处都有破损的痕迹，\n感觉很荒凉呢。$k
MID_ADV調べる_house_CELLICA_RANDOM_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa相当老旧的房子啊。\n感觉快被青苔和藤蔓淹没了。$k
MID_ADV調べる_orangetree_CELLICA_RANDOM_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa是柳橙树呢。\n好像没结什么果实。$k
MID_ADV_調べるエリア_house	房屋
MID_ADV_調べるエリア_orangetree	柳橙树
Fld_拠点_山の村_鍛冶屋.txt
MID_ADV調べる_empty_ARUM_RANDOM_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa昏暗的作业区，\n加上熊熊燃烧的锻炉。$k
MID_ADV調べる_empty_ARUM_RANDOM_1	$Z$t0$Wmアルム|6$Wsアルム|$Wa有股燃料、铁与汗水的气味。\n好热啊……$k
MID_ADV調べる_oven_ARUM_RANDOM_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa煤炭烧得通红。\n感觉非常烫。$k
MID_ADV調べる_empty_CELLICA_RANDOM_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa好热……\n原来武器是这样打造的。$k
MID_ADV調べる_empty_CELLICA_RANDOM_1	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa有一股我从来没闻过的复杂气味。$k
MID_ADV調べる_oven_CELLICA_RANDOM_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa煤炭烧得好旺呢。\n这是用来熔化铁块的吧。$k
MID_ADV_調べるエリア_oven	锻炉
Fld_拠点_恐山のほこら_ミラ神像.txt
MID_ADV調べる_empty_ARUM_RANDOM_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa这里充满了一种神秘的气氛……$k
MID_ADV調べる_mira_ARUM_LOOP_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa是女神米拉的雕像。$k
MID_ADV調べる_empty_CELLICA_RANDOM_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa在这里可以感觉到米拉大人的神力呢。$k
MID_ADV調べる_mira_CELLICA_LOOP_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa是女神米拉大人的雕像呢。\n好祥和、好温柔的表情……$k
MID_ADV_調べるエリア_mira	米拉神像
Fld_拠点_森のほこら_ミラ神像.txt
MID_ADV調べる_empty_ARUM_RANDOM_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa这里充满了一种神秘的气氛……$k
MID_ADV調べる_mira_ARUM_LOOP_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa是女神米拉的雕像。$k
MID_ADV調べる_empty_CELLICA_RANDOM_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa在这里可以感觉到米拉大人的神力呢。$k
MID_ADV調べる_mira_CELLICA_LOOP_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa是女神米拉大人的雕像呢。\n好祥和、好温柔的表情……$k
MID_ADV_調べるエリア_mira	米拉神像
Fld_拠点_森の村_出入り口.txt
MID_ADV調べる_empty_ARUM_RANDOM_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa仿佛隐藏在森林中的\n静谧的村子。$k
MID_ADV調べる_empty_ARUM_RANDOM_1	$Z$t0$Wmアルム|6$Wsアルム|$Wa放置了防马栅。\n他们在防范外来者吗……$k
MID_ADV調べる_woodwallA_ARUM_RANDOM_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa是用圆木桩打造的屏障。\n看来他们应该不缺建材。$k
MID_ADV調べる_woodwallB_ARUM_RANDOM_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa虽然看似坚固，\n不过一旦着火应该撑不了多久。$k
MID_ADV調べる_orangetreeA_ARUM_RANDOM_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa柳橙树上果实累累。$k
MID_ADV調べる_orangetreeB_ARUM_RANDOM_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa柳橙树上果实累累。$k
MID_ADV調べる_orangetreeC_ARUM_RANDOM_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa柳橙树上果实累累。$k
MID_ADV調べる_empty_CELLICA_RANDOM_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa原来这种地方还有村子。$k
MID_ADV調べる_empty_CELLICA_RANDOM_1	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa是座被树木环绕的静谧村子呢。$k
MID_ADV調べる_woodwallA_CELLICA_RANDOM_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa这是……\n屏障吗？$k
MID_ADV調べる_woodwallB_CELLICA_RANDOM_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa是为了抵御外敌而设置的吧。$k
MID_ADV調べる_orangetreeA_CELLICA_RANDOM_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa柳橙树上结了好多果实呢。$k
MID_ADV調べる_orangetreeB_CELLICA_RANDOM_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa柳橙树上结了好多果实呢。$k
MID_ADV調べる_orangetreeC_CELLICA_RANDOM_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa柳橙树上结了好多果实呢。$k
MID_ADV_調べるエリア_woodwallA	木造墙壁
MID_ADV_調べるエリア_woodwallB	木造墙壁
MID_ADV_調べるエリア_orangetreeA	柳橙树
MID_ADV_調べるエリア_orangetreeB	柳橙树
MID_ADV_調べるエリア_orangetreeC	柳橙树
Fld_拠点_森の村_広場.txt
MID_ADV調べる_empty_ARUM_RANDOM_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa这座村子有森林的气息……$k
MID_ADV調べる_empty_ARUM_RANDOM_1	$Z$t0$Wmアルム|6$Wsアルム|$Wa是否因为曾经遭到掠夺，\n村民们显得有些战战兢兢。$k
MID_ADV調べる_well_ARUM_RANDOM_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa是水井。\n水质虽然清澈，但水位有些低。$k
MID_ADV調べる_empty_CELLICA_RANDOM_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa这里是村子的中心吗？$k
MID_ADV調べる_empty_CELLICA_RANDOM_1	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa好宁静……\n就像待在森林里一样。$k
MID_ADV調べる_well_CELLICA_RANDOM_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa是水井呢。\n肯定是这座村子的命脉。$k
MID_ADV_調べるエリア_well	水井
Fld_拠点_森の村_民家１.txt
MID_ADV調べる_empty_ARUM_RANDOM_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa每栋房屋都有破损……\n是多哲或是利盖尔军做的好事吗？$k
MID_ADV調べる_empty_ARUM_RANDOM_1	$Z$t0$Wmアルム|6$Wsアルム|$Wa看起来是整修后\n勉强继续住的感觉。$k
MID_ADV調べる_orangeTree_ARUM_RANDOM_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa村子虽然变荒凉了，\n柳橙树却依旧没变。$k
MID_ADV調べる_empty_CELLICA_RANDOM_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa每栋房屋都有遭到破坏后\n加以修缮的痕迹。$k
MID_ADV調べる_empty_CELLICA_RANDOM_1	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa肯定是遭到强盗袭击了……$k
MID_ADV調べる_orangeTree_CELLICA_RANDOM_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa真是漂亮的柳橙树呢。$k
MID_ADV_調べるエリア_orangeTree	柳橙树
Fld_拠点_森の村_民家２.txt
MID_ADV調べる_empty_ARUM_RANDOM_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa每栋房屋都有破损……\n是多哲或是利盖尔军做的好事吗？$k
MID_ADV調べる_empty_ARUM_RANDOM_1	$Z$t0$Wmアルム|6$Wsアルム|$Wa看起来是整修后\n勉强继续住的感觉。$k
MID_ADV調べる_empty_CELLICA_RANDOM_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa每栋房屋都有遭到破坏后\n加以修缮的痕迹。$k
MID_ADV調べる_empty_CELLICA_RANDOM_1	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa肯定是遭到强盗袭击了……$k
Fld_拠点_森の村_鍛冶屋.txt
MID_ADV調べる_empty_ARUM_RANDOM_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa昏暗的作业区，\n加上熊熊燃烧的锻炉。$k
MID_ADV調べる_empty_ARUM_RANDOM_1	$Z$t0$Wmアルム|6$Wsアルム|$Wa有股燃料、铁与汗水的气味。\n好热啊……$k
MID_ADV調べる_oven_ARUM_RANDOM_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa煤炭烧得通红，\n感觉非常烫。$k
MID_ADV調べる_empty_CELLICA_RANDOM_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa好热呢……\n原来武器是这样打造的啊。$k
MID_ADV調べる_empty_CELLICA_RANDOM_1	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa有一股我从来没闻过的复杂气味呢。$k
MID_ADV調べる_oven_CELLICA_RANDOM_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa煤炭烧得好旺呢。\n这是用来熔化铁块的吧。$k
MID_ADV_調べるエリア_oven	锻炉
Fld_拠点_水門_水門の操作部.txt
MID_ADV調べる_empty_ARUM_RANDOM_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa这里就是水闸操作处啊。\n果真很潮湿呢。$k
MID_ADV調べる_empty_ARUM_RANDOM_1	$Z$t0$Wmアルム|6$Wsアルム|$Wa有股铁锈与机油的气味。$k
MID_ADV調べる_mecha_ARUM_RANDOM_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa是大齿轮。\n生锈相当严重……$k
MID_ADV調べる_baggage_ARUM_RANDOM_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa这些东西是水闸守卫的吗？$k
MID_ADV調べる_table_ARUM_RANDOM_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa是水闸守卫使用的桌椅。$k
MID_ADV調べる_empty_CELLICA_RANDOM_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa这里就是水闸操作处吧。$k
MID_ADV調べる_empty_CELLICA_RANDOM_1	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa潮湿又阴暗。\n还有一股油的气味……$k
MID_ADV調べる_mecha_CELLICA_RANDOM_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa大概是长年没有运转，\n齿轮都生锈了呢。$k
MID_ADV調べる_baggage_CELLICA_RANDOM_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa这是……\n水闸守卫的东西吗？$k
MID_ADV調べる_table_CELLICA_RANDOM_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa有桌椅呢。\n是水闸守卫使用的吗？$k
MID_ADV_調べるエリア_baggage	货物
MID_ADV_調べるエリア_mecha	齿轮
MID_ADV_調べるエリア_table	桌子
Fld_拠点_水門_玄関.txt
MID_ADV調べる_empty_ARUM_RANDOM_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa$E驚,|靠近一看，\n真的很巨大……$k
MID_ADV調べる_empty_ARUM_RANDOM_1	$Z$t0$Wmアルム|6$Wsアルム|$Wa真不敢相信\n这是前人建造的东西。$k
MID_ADV調べる_woodboxA_ARUM_RANDOM_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa这是……\n什么货物啊？$k
MID_ADV調べる_woodboxB_ARUM_RANDOM_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa都长出藤蔓了。\n看来已经被弃置在这里很久了。$k
MID_ADV調べる_empty_CELLICA_RANDOM_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa这道水闸相当老旧啊。$k
MID_ADV調べる_empty_CELLICA_RANDOM_1	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa如此巨大的水闸，\n真的是出自人类之手吗……$k
MID_ADV調べる_woodboxA_CELLICA_RANDOM_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa感觉有点儿凌乱啊。$k
MID_ADV調べる_woodboxB_CELLICA_RANDOM_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa有货物在这里，\n不过好像没人使用。$k
MID_ADV_調べるエリア_woodboxA	木桶和木箱
MID_ADV_調べるエリア_woodboxB	木桶和木箱
Fld_拠点_海のほこら_ミラ神像.txt
MID_ADV調べる_empty_ARUM_RANDOM_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa这里充满了一种神秘的气氛……$k
MID_ADV調べる_mira_ARUM_LOOP_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa是女神米拉的雕像。$k
MID_ADV調べる_empty_CELLICA_RANDOM_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa在这里可以感觉到米拉大人的神力呢。$k
MID_ADV調べる_mira_CELLICA_LOOP_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa是女神米拉大人的雕像呢。\n好祥和、好温柔的表情……$k
MID_ADV_調べるエリア_mira	米拉神像
Fld_拠点_海賊の砦_宝物庫.txt
MID_ADV調べる_empty_ARUM_RANDOM_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa$E驚,|天啊……！\n好惊人的财宝。$k
MID_ADV調べる_empty_ARUM_RANDOM_1	$Z$t0$Wmアルム|6$Wsアルム|$Wa这么多财宝，\n到底是从哪里收集来的？$k
MID_ADV調べる_goldA_ARUM_RANDOM_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa这是海盗们袭击船只\n抢来的金币吗？$k
MID_ADV調べる_goldB_ARUM_RANDOM_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa收集这么多，\n不知道要拿来做什么。$k
MID_ADV調べる_goldC_ARUM_RANDOM_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa如果能物归原主\n就好了……$k
MID_ADV調べる_empty_CELLICA_RANDOM_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa这里是宝物库吗？\n好惊人的财宝。$k
MID_ADV調べる_empty_CELLICA_RANDOM_1	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa$E悲,|收集了这么多，\n就表示有这么多船只遇害……$k
MID_ADV調べる_goldA_CELLICA_RANDOM_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa有没有办法可以\n物归原主呢……$k
MID_ADV調べる_goldB_CELLICA_RANDOM_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa里面还混杂着\n我没见过的金币。$k
MID_ADV調べる_goldC_CELLICA_RANDOM_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa总不能擅自带走这些东西。$k
MID_ADV_調べるエリア_goldA	金币
MID_ADV_調べるエリア_goldB	金币
MID_ADV_調べるエリア_goldC	金币
Fld_拠点_海賊の砦_玄関.txt
MID_ADV調べる_empty_ARUM_RANDOM_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa老旧的建筑物……\n这里似乎是海盗们的堡垒。$k
MID_ADV調べる_empty_ARUM_RANDOM_1	$Z$t0$Wmアルム|6$Wsアルム|$Wa里面都荒废了。\n看来他们对待这里很粗鲁。$k
MID_ADV調べる_shark_ARUM_RANDOM_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa$E驚,|天啊……\n原来有这么巨大的鱼。$k
MID_ADV調べる_fishnet_ARUM_RANDOM_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa是鱼。\n这是海盗们的食粮吗？$k
MID_ADV調べる_anchor_ARUM_RANDOM_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa这是……\n船锚吗？$k
MID_ADV調べる_bunner_ARUM_RANDOM_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa上面挂着海盗旗。$k
MID_ADV調べる_empty_CELLICA_RANDOM_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa这里是很久以前索菲亚王国建造的堡垒。\n原来被海盗占领了啊。$k
MID_ADV調べる_empty_CELLICA_RANDOM_1	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa东西乱七八糟的啊。\n看起来几乎没有在维护。$k
MID_ADV調べる_shark_CELLICA_RANDOM_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa$E驚,|鲨鱼！\n他们也会吃这个吗……$k
MID_ADV調べる_fishnet_CELLICA_RANDOM_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa有好多鱼……\n这些肯定是海盗们的食粮。$k
MID_ADV調べる_anchor_CELLICA_RANDOM_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa这是船锚吧。\n大概是以前用过的，已经破破烂烂了。$k
MID_ADV調べる_bunner_CELLICA_RANDOM_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa上面挂着海盗旗呢。$k
MID_ADV_調べるエリア_shark	鲨鱼
MID_ADV_調べるエリア_fishnet	装着鱼的篮子
MID_ADV_調べるエリア_anchor	锚
MID_ADV_調べるエリア_bunner	海盗旗
Fld_拠点_盗賊のほこら_ミラ神像.txt
MID_ADV調べる_empty_ARUM_RANDOM_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa这里充满了一种神秘的气氛……$k
MID_ADV調べる_mira_ARUM_LOOP_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa是女神米拉的雕像。$k
MID_ADV調べる_empty_CELLICA_RANDOM_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa在这里可以感觉到米拉大人的神力呢。$k
MID_ADV調べる_mira_CELLICA_LOOP_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa是女神米拉大人的雕像呢。\n好祥和、好温柔的表情……$k
MID_ADV_調べるエリア_mira	米拉神像
Fld_拠点_砂漠の砦_作戦室.txt
MID_ADV調べる_empty_ARUM_RANDOM_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa这里好像是作战室，\n不过却有饮食起居的痕迹。$k
MID_ADV調べる_empty_ARUM_RANDOM_1	$Z$t0$Wmアルム|6$Wsアルム|$Wa到处都积了厚厚一层\n从窗户吹进来的风沙。$k
MID_ADV調べる_baggageA_ARUM_RANDOM_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa堆了许多东西，\n不过全是些破烂。$k
MID_ADV調べる_baggageB_ARUM_RANDOM_0	$Z$t0$Wmアルム|6$Wsアルム|$Wa堆了许多东西，\n不过全是些破烂。$k
MID_ADV調べる_empty_CELLICA_RANDOM_0	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa这里是作战室吗？\n未免也太凌乱了吧。$k
MID_ADV調べる_empty_CELLICA_RANDOM_1	$Z$t0$Wmセリカ|6$Wsセリカ|$Wa空气非常干燥，\n风沙都从窗户吹进来了。$k
