AlbumSave_UI.msbt
AlbumSave_Top_Help	アルバムに保存したい写真を　選んでください
InitialSetting_UI.msbt
InitialSetting_Save_AutoSave1_Info	このゲームは　オートセーブを行います。\nオートセーブアイコンが出ているあいだは　電源を切らないでください。
InitialSetting_Language_SelectText1_Info	どの言語で　遊びますか？\n{color[0800]}あとから変更することが　できません{color[ffff]}
InitialSetting_Language_Jpn_Tx	日本語
InitialSetting_Language_JpnKana_Tx	にほんご
InitialSetting_Language_English_Tx	English
InitialSetting_Language_French_Tx	Français
InitialSetting_Language_Italian_Tx	Italiano
InitialSetting_Language_German_Tx	Deutsch
InitialSetting_Language_Spanish_Tx	Español
InitialSetting_Language_Korean_Tx	한국어
InitialSetting_Language_Cn_Tx	简体中文
InitialSetting_Language_Tw_Tx	繁體中文
InitialSetting_Language_SelectVoice1_Info	登場人物のボイスの種類を　選んでください\n{color[0800]}あとから変更することが　できます{color[ffff]}
InitialSetting_Language_JpnVoice_Tx	日本語
InitialSetting_Language_EnVoice_Tx	英語
InitialSetting_Language_NonVoice_Tx	ボイスなし
InitialSetting_PlayerSetting_SelectAvatar1_Info	あなたの写真を　選んでください\n{color[0800]}あとから変更することが　できません{color[ffff]}
InitialSetting_PlayerSetting_EnterName1_Info	あなたの名前を　教えてください
InitialSetting_PlayerSetting_EnterName2_Info	あとから変更することが　できます
InitialSetting_PlayerSetting_FinalCheck1_Info	こちらで　よろしいですか？\n{color[0800]}ひらがなと　漢字は　あとから変更できます{color[ffff]}
InitialSetting_PlayerSetting_Yes_Tx	はい
InitialSetting_PlayerSetting_No_Tx	いいえ
MainMenu_UI.msbt
MainMenu_Unselected_Help	アイコンを　選んでください
MainMenu_Research_Help	ポケモンの調査に　行きます
MainMenu_Research_Icon	Research
MainMenu_Research_PopHelp	調査
MainMenu_Labo_Help	研究室に　行きます
MainMenu_Labo_Icon	Labo
MainMenu_Labo_PopHelp	研究室
MainMenu_Option_Help	設定を　変更します
MainMenu_Option_Icon	Option
MainMenu_Option_PopHelp	設定
MainMenu_CourseStart_Help	ベースキャンプを　調査します
MainMenu_CourseStart_PopHelp	ここで撮影
MainMenu_PictureBook_Help	フォト図鑑を　確認します
MainMenu_PictureBook_Icon	Book
MainMenu_PictureBook_PopHelp	フォト図鑑
MainMenu_MySpace_Help	調査に関するデータや　アルバムを　確認します
MainMenu_MySpace_Icon	Myspace
MainMenu_MySpace_PopHelp	マイスペース
MainMenu_Online_Help	みんなの写真や　ランキングを　確認します
MainMenu_Online_Icon	Online
MainMenu_Online_PopHelp	オンライン
MainMenu_Camp_Help	ベースキャンプに　戻ります
MainMenu_Camp_Icon	Base
MainMenu_Camp_PopHelp	ベースキャンプ
MapSelect_UI.msbt
MapSelect_StageSelect_Head	レンティルマップ
MapSelect_StageSelect_Help	調査するエリアを　選んでください
MapSelect_CourseSelect_Help	調査するルートを　選んでください
MapSelect_CourseSelect_CourseLv_Tx	調査レベル
MapSelect_CourseSelect_CourseLv_Num	Lv. {[0301|00cd]}
MapSelect_CourseSelect_CourseLvMax_Num	Lv. MAX
MapSelect_CourseSelect_NextLv_Num	次のレベルまであと  {color[0700]}{size[7500]}{[0301|00cd]}{size[6400]}{color[ffff]}
MapSelect_CourseSelect_HighScore_Tx	ハイスコア
MapSelect_CourseSelect_ChangeCourseLv_Tx	 調査レベルを変更
MapSelect_CourseSelect_ChangeCourseLv1_Tx	Lv. 1
MapSelect_CourseSelect_ChangeCourseLv2_Tx	Lv. 2
MapSelect_CourseSelect_ChangeCourseLv3_Tx	Lv. 3
MapSelect_CourseSelect_ChangeCourseLv_Info	調査レベルを　選んで　スタートします
MySpaceAlbum_UI.msbt
MySpaceAlbum_Top_Help	確認したい　写真を　選んでください
MySpaceAlbum_Top_Head	アルバム
MySpaceAlbum_Top_CountPhotoRecord_Tx	保存枚数
MySpaceAlbum_Top_DeleteMode_On_Tx	まとめて削除
MySpaceAlbum_Top_DeleteMode_On_Help	削除する写真を　まとめて選びます
MySpaceAlbum_Top_DeleteMode_Tx	キャンセル
MySpaceAlbum_Top_DeleteMode_Help	削除する写真を　選んでください
MySpaceAlbum_Top_Delete_Active_Tx	削除
MySpaceAlbum_Top_Delete_Active_Help	選んだ写真を　まとめて削除します
MySpaceAlbum_Top_Nothing_Tx	表示できるデータがありません
MySpaceAlbum_Top_DeleteMode_Off_Help	削除する写真を　選ぶのを　やめます
MySpacePlayerData_UI.msbt
PlayerData_Head	調査ログ
PlayerData_Help	調査の記録を　確認できます
PlayerData_TabBasic_Tx	基本
PlayerData_TabScore_Tx	スコア
PlayerData_TabPhoto_Tx	撮影
PlayerData_TabAction_Tx	アクション
PlayerData_TabOnline_Tx	オンライン
PlayerData_PlayTime_Tx	プレイ時間
PlayerData_PlayCourse_Tx	調査した回数
PlayerData_ResearchPtTotal_Tx	総合図鑑スコア
PlayerData_CountPhoto_Tx	撮影した枚数
PlayerData_CountPhotoSubmit_Tx	博士に見せた枚数
PlayerData_CountPokeEntry_Tx	登録したポケモン
PlayerData_CountPhotoEntry_Tx	登録したポケモンの写真
PlayerData_Distance_Total_Tx	移動した距離
PlayerData_HighScore_Star1_Tx	★1　最高
PlayerData_HighScore_Star2_Tx	★2　最高
PlayerData_HighScore_Star3_Tx	★3　最高
PlayerData_HighScore_Star4_Tx	★4　最高
PlayerData_CourseScore_Tx	ルートスコア
PlayerData_CourseScore_TotalScore_Tx	    総合
PlayerData_CourseScore_HighScore_Num	    最高　{[0301|00cd]}
PlayerData_CountPhoto_Poke_Tx	ポケモンを撮影した枚数
PlayerData_CountPhoto_Flower_Tx	クリスタフラワーを撮影した枚数
PlayerData_CountPhoto_Remains_Tx	古代遺跡を撮影した枚数
PlayerData_CountPhoto_NoTarget_Tx	主役なしを撮影した枚数
PlayerData_CountPhoto_Star1_Tx	★1を撮影した枚数
PlayerData_CountPhoto_Star2_Tx	★2を撮影した枚数
PlayerData_CountPhoto_Star3_Tx	★3を撮影した枚数
PlayerData_CountPhoto_Star4_Tx	★4を撮影した枚数
PlayerData_ActionFood_Tx	ふわりんごを投げた回数
PlayerData_ActionBall_Tx	イルミナオーブを投げた回数
PlayerData_ActionSearch_Tx	サーチをした回数
PlayerData_ActionMelody_Tx	メロディを使った回数
PlayerData_ActionTurbo_Tx	ターボで移動した距離
PlayerData_CountLike_TotalGet_Tx	りんごメダルをもらった数
PlayerData_CountLike_HighScore_Tx	1枚でもらったりんごメダルの最高数
PlayerData_CountLike_TotalGive_Tx	りんごメダルを贈った数
PlayerData_CountPhoto_Upload_Tx	自分でオンラインにアップロードした枚数
PlayerData_CountPhoto_ProfessorRecommend_Tx	博士がオンラインにアップロードした枚数
MySpaceTitle_Info.msbt
Title001_Info2	{color[0000]}フロレオ自然公園{color[ffff]}を\n初めて　調査した
Title002_Info2	{color[0000]}フロレオ自然公園{color[ffff]}で　{color[0000]}ビッパのダムに　続くルート{color[ffff]}を\n発見した
Title005_Info2	{color[0000]}ベースキャンプ{color[ffff]}で　{color[0000]}研究所内に　続くルート{color[ffff]}を\n発見した
Title006_Info2	{color[0000]}ベラス島{color[ffff]}を　初めて　調査した
Title007_Info2	{color[0000]}ミッケジャングル{color[ffff]}で　{color[0000]}沼地に　続くルート{color[ffff]}を\n発見した
Title008_Info2	{color[0000]}ミッケジャングル{color[ffff]}で　{color[0000]}滝の裏側に　続くルート{color[ffff]}を\n発見した
Title010_Info2	{color[0000]}トキシキの森{color[ffff]}で　{color[0000]}春夏秋冬　4つの季節{color[ffff]}を\n巡った
Title011_Info2	{color[0000]}トキシキの森{color[ffff]}で　{color[0000]}陽だまりに　続くルート{color[ffff]}を\n発見した
Title012_Info2	{color[0000]}コピア諸島{color[ffff]}を　初めて　調査した
Title013_Info2	{color[0000]}ニジイロビーチ{color[ffff]}で　{color[0000]}隠れた砂浜に　続くルート{color[ffff]}を\n発見した
Title014_Info2	{color[0000]}コピアリーフ{color[ffff]}で　{color[0000]}ホエルオーの頭のそばを　通るルート{color[ffff]}を\n発見した
Title015_Info2	{color[0000]}コピアリーフ{color[ffff]}で　{color[0000]}ブルーホールに　続くルート{color[ffff]}を\n発見した
Title016_Info2	{color[0000]}レンティル海床{color[ffff]}で　{color[0000]}海中洞窟に　続くルート{color[ffff]}を\n発見した
Title017_Info2	{color[0000]}ボルク島{color[ffff]}を　初めて　調査した
Title018_Info2	{color[0000]}ネッサ砂漠{color[ffff]}で　{color[0000]}オアシス周辺のルート{color[ffff]}を　すべて\n調査した
Title020_Info2	{color[0000]}ドロー火山{color[ffff]}で　{color[0000]}青い溶岩洞窟に　続くルート{color[ffff]}を\n発見した
Title021_Info2	イルミナポケモンの　{color[0000]}ウルガモス{color[ffff]}を\nフォト図鑑に　登録した
Title022_Info2	{color[0000]}デュラス島{color[ffff]}を　初めて　調査した
Title023_Info2	{color[0000]}ヒエール雪原{color[ffff]}で　{color[0000]}雪の壁の向こうに　続くルート{color[ffff]}を\n発見した
Title024_Info2	{color[0000]}ヒエール雪原{color[ffff]}で　{color[0000]}氷の洞窟に　続くルート{color[ffff]}を\n発見した
Title025_Info2	{color[0000]}ハナレ洞窟{color[ffff]}で　{color[0000]}巨大結晶に　続くルート{color[ffff]}を\n発見した
Title026_Info2	{color[0000]}ハナレ洞窟{color[ffff]}で　{color[0000]}リムストーンプールに　続くルート{color[ffff]}を\n発見した
Title027_Info2	{color[0000]}ハナレ洞窟{color[ffff]}で　{color[0000]}地底空間の　壁向こうのルート{color[ffff]}を\n発見した
Title028_Info2	{color[0000]}アウラム島{color[ffff]}を　初めて　調査した
Title029_Info2	{color[0000]}シューゴ遺跡{color[ffff]}で　{color[0000]}地上に続く　光の道{color[ffff]}を\n発見した
Title030_Info2	イルミナポケモンの　{color[0000]}ゼルネアス{color[ffff]}を\nフォト図鑑に　登録した
Title031_Info2	レンティル地方を　ひと通り　調査した
Title032_Info1	調査レベルを　{color[0000]}1{color[ffff]}ルート\nMAXにしよう
Title032_Info2	調査レベルを　{color[0000]}1{color[ffff]}ルート\nMAXにした
Title033_Info1	調査レベルを　{color[0000]}{[0301|00cd]}{color[ffff]}ルート\nMAXにしよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title033_Info2	調査レベルを　{color[0000]}{[0301|00cd]}{color[ffff]}ルート\nMAXにした
Title034_Info1	調査レベルを　{color[0000]}{[0301|00cd]}{color[ffff]}ルート\nMAXにしよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title034_Info2	調査レベルを　{color[0000]}{[0301|00cd]}{color[ffff]}ルート\nMAXにした
Title035_Info1	調査レベルを　{color[0000]}{[0301|00cd]}{color[ffff]}ルート\nMAXにしよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title035_Info2	調査レベルを　{color[0000]}{[0301|00cd]}{color[ffff]}ルート\nMAXにした
Title036_Info1	調査レベルを　すべてのルート\nMAXにしよう
Title036_Info2	調査レベルを　すべてのルート\nMAXにした
Title037_Info1	写真を　トータルで{color[0000]}{[0301|00cd]}{color[ffff]}枚\n撮影しよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title037_Info2	写真を　トータルで{color[0000]}{[0301|00cd]}{color[ffff]}枚\n撮影した
Title038_Info1	写真を　トータルで{color[0000]}{[0301|00cd]}{color[ffff]}枚\n撮影しよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title038_Info2	写真を　トータルで{color[0000]}{[0301|00cd]}{color[ffff]}枚\n撮影した
Title039_Info1	写真を　トータルで{color[0000]}{[0301|00cd]}{color[ffff]}枚\n撮影しよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title039_Info2	写真を　トータルで{color[0000]}{[0301|00cd]}{color[ffff]}枚\n撮影した
Title040_Info1	写真を　トータルで{color[0000]}{[0301|00cd]}{color[ffff]}枚\n撮影しよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title040_Info2	写真を　トータルで{color[0000]}{[0301|00cd]}{color[ffff]}枚\n撮影した
Title041_Info1	写真を　トータルで{color[0000]}{[0301|00cd]}{color[ffff]}枚\n撮影しよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title041_Info2	写真を　トータルで{color[0000]}{[0301|00cd]}{color[ffff]}枚\n撮影した
Title042_Info1	写真を　トータルで{color[0000]}{[0301|00cd]}{color[ffff]}枚\n撮影しよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title042_Info2	写真を　トータルで{color[0000]}{[0301|00cd]}{color[ffff]}枚\n撮影した
Title043_Info1	写真を　トータルで{color[0000]}{[0301|00cd]}{color[ffff]}枚\n撮影しよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title043_Info2	写真を　トータルで{color[0000]}{[0301|00cd]}{color[ffff]}枚\n撮影した
Title044_Info1	一度の調査で　{color[0000]}★3{color[ffff]}の写真を\nポケモン{color[0000]}{[0301|00cd]}{color[ffff]}種類　撮影しよう
Title044_Info2	一度の調査で　{color[0000]}★3{color[ffff]}の写真を\nポケモン{color[0000]}{[0301|00cd]}{color[ffff]}種類　撮影した
Title045_Info1	一度の調査で　{color[0000]}★4{color[ffff]}の写真を\nポケモン{color[0000]}{[0301|00cd]}{color[ffff]}種類　撮影しよう
Title045_Info2	一度の調査で　{color[0000]}★4{color[ffff]}の写真を\nポケモン{color[0000]}{[0301|00cd]}{color[ffff]}種類　撮影した
Title046_Info1	同じ　ポケモンの写真を\nトータルで{color[0000]}{[0301|00cd]}{color[ffff]}枚　博士に見せよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title046_Info2	同じ　ポケモンの写真を\nトータルで{color[0000]}{[0301|00cd]}{color[ffff]}枚　博士に見せた
Title047_Info2	主役のいない写真を\nトータルで{color[0000]}{[0301|00cd]}{color[ffff]}枚　撮影した
Title048_Info1	移動している　ポケモンの写真を\nトータルで{color[0000]}{[0301|00cd]}{color[ffff]}種類　博士に見せよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title048_Info2	移動している　ポケモンの写真を\nトータルで{color[0000]}{[0301|00cd]}{color[ffff]}種類　博士に見せた
Title049_Info1	食事している　ポケモンの写真を\nトータルで{color[0000]}{[0301|00cd]}{color[ffff]}種類　博士に見せよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title049_Info2	食事している　ポケモンの写真を\nトータルで{color[0000]}{[0301|00cd]}{color[ffff]}種類　博士に見せた
Title050_Info1	喜んでいる　ポケモンの写真を\nトータルで{color[0000]}{[0301|00cd]}{color[ffff]}種類　博士に見せよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title050_Info2	喜んでいる　ポケモンの写真を\nトータルで{color[0000]}{[0301|00cd]}{color[ffff]}種類　博士に見せた
Title051_Info1	特別な行動をしている　ポケモンの写真を\nトータルで{color[0000]}{[0301|00cd]}{color[ffff]}種類　博士に見せよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title051_Info2	特別な行動をしている　ポケモンの写真を\nトータルで{color[0000]}{[0301|00cd]}{color[ffff]}種類　博士に見せた
Title052_Info1	寝ている　ポケモンの写真を\nトータルで{color[0000]}{[0301|00cd]}{color[ffff]}種類　博士に見せよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title052_Info2	寝ている　ポケモンの写真を\nトータルで{color[0000]}{[0301|00cd]}{color[ffff]}種類　博士に見せた
Title053_Info1	泳いでいる　ポケモンの写真を\nトータルで{color[0000]}{[0301|00cd]}{color[ffff]}種類　博士に見せよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title053_Info2	泳いでいる　ポケモンの写真を\nトータルで{color[0000]}{[0301|00cd]}{color[ffff]}種類　博士に見せた
Title054_Info1	飛んでいる　ポケモンの写真を\nトータルで{color[0000]}{[0301|00cd]}{color[ffff]}種類　博士に見せよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title054_Info2	飛んでいる　ポケモンの写真を\nトータルで{color[0000]}{[0301|00cd]}{color[ffff]}種類　博士に見せた
Title056_Info1	{color[0000]}★1{color[ffff]}の写真を　トータルで{color[0000]}{[0301|00cd]}{color[ffff]}種類\nフォト図鑑に　登録しよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title056_Info2	{color[0000]}★1{color[ffff]}の写真を　トータルで{color[0000]}{[0301|00cd]}{color[ffff]}種類\nフォト図鑑に　登録した
Title057_Info1	{color[0000]}★2{color[ffff]}の写真を　トータルで{color[0000]}{[0301|00cd]}{color[ffff]}種類\nフォト図鑑に　登録しよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title057_Info2	{color[0000]}★2{color[ffff]}の写真を　トータルで{color[0000]}{[0301|00cd]}{color[ffff]}種類\nフォト図鑑に　登録した
Title058_Info1	{color[0000]}★3{color[ffff]}の写真を　トータルで{color[0000]}{[0301|00cd]}{color[ffff]}種類\nフォト図鑑に　登録しよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title058_Info2	{color[0000]}★3{color[ffff]}の写真を　トータルで{color[0000]}{[0301|00cd]}{color[ffff]}種類\nフォト図鑑に　登録した
Title059_Info1	{color[0000]}★4{color[ffff]}の写真を　トータルで{color[0000]}{[0301|00cd]}{color[ffff]}種類\nフォト図鑑に　登録しよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title059_Info2	{color[0000]}★4{color[ffff]}の写真を　トータルで{color[0000]}{[0301|00cd]}{color[ffff]}種類\nフォト図鑑に　登録した
Title062_Info1	評価が　{color[0000]}金{color[ffff]}の写真を　トータルで{color[0000]}{[0301|00cd]}{color[ffff]}枚\n撮影しよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title062_Info2	評価が　{color[0000]}金{color[ffff]}の写真を　トータルで{color[0000]}{[0301|00cd]}{color[ffff]}枚\n撮影した
Title063_Info1	評価が　{color[0000]}ダイヤモンド{color[ffff]}の写真を　トータルで{color[0000]}{[0301|00cd]}{color[ffff]}枚\n撮影しよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title063_Info2	評価が　{color[0000]}ダイヤモンド{color[ffff]}の写真を　トータルで{color[0000]}{[0301|00cd]}{color[ffff]}枚\n撮影した
Title064_Info1	{color[0000]}むしタイプ{color[ffff]}のポケモンを　{color[0000]}{[0301|00cd]}{color[ffff]}種類\nフォト図鑑に　登録しよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title064_Info2	{color[0000]}むしタイプ{color[ffff]}のポケモンを　{color[0000]}{[0301|00cd]}{color[ffff]}種類\nフォト図鑑に　登録した
Title065_Info1	{color[0000]}でんきタイプ{color[ffff]}のポケモンを　{color[0000]}{[0301|00cd]}{color[ffff]}種類\nフォト図鑑に　登録しよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title065_Info2	{color[0000]}でんきタイプ{color[ffff]}のポケモンを　{color[0000]}{[0301|00cd]}{color[ffff]}種類\nフォト図鑑に　登録した
Title066_Info1	{color[0000]}みずタイプ{color[ffff]}のポケモンを　{color[0000]}{[0301|00cd]}{color[ffff]}種類\nフォト図鑑に　登録しよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title066_Info2	{color[0000]}みずタイプ{color[ffff]}のポケモンを　{color[0000]}{[0301|00cd]}{color[ffff]}種類\nフォト図鑑に　登録した
Title067_Info1	{color[0000]}あくタイプ{color[ffff]}のポケモンを　{color[0000]}{[0301|00cd]}{color[ffff]}種類\nフォト図鑑に　登録しよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title067_Info2	{color[0000]}あくタイプ{color[ffff]}のポケモンを　{color[0000]}{[0301|00cd]}{color[ffff]}種類\nフォト図鑑に　登録した
Title068_Info1	{color[0000]}フェアリータイプ{color[ffff]}のポケモンを　{color[0000]}{[0301|00cd]}{color[ffff]}種類\nフォト図鑑に　登録しよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title068_Info2	{color[0000]}フェアリータイプ{color[ffff]}のポケモンを　{color[0000]}{[0301|00cd]}{color[ffff]}種類\nフォト図鑑に　登録した
Title069_Info1	{color[0000]}くさタイプ{color[ffff]}のポケモンを　{color[0000]}{[0301|00cd]}{color[ffff]}種類\nフォト図鑑に　登録しよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title069_Info2	{color[0000]}くさタイプ{color[ffff]}のポケモンを　{color[0000]}{[0301|00cd]}{color[ffff]}種類\nフォト図鑑に　登録した
Title070_Info1	{color[0000]}ほのおタイプ{color[ffff]}のポケモンを　{color[0000]}{[0301|00cd]}{color[ffff]}種類\nフォト図鑑に　登録しよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title070_Info2	{color[0000]}ほのおタイプ{color[ffff]}のポケモンを　{color[0000]}{[0301|00cd]}{color[ffff]}種類\nフォト図鑑に　登録した
Title071_Info1	{color[0000]}エスパータイプ{color[ffff]}のポケモンを　{color[0000]}{[0301|00cd]}{color[ffff]}種類\nフォト図鑑に　登録しよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title071_Info2	{color[0000]}エスパータイプ{color[ffff]}のポケモンを　{color[0000]}{[0301|00cd]}{color[ffff]}種類\nフォト図鑑に　登録した
Title072_Info1	{color[0000]}ゴーストタイプ{color[ffff]}のポケモンを　{color[0000]}{[0301|00cd]}{color[ffff]}種類\nフォト図鑑に　登録しよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title072_Info2	{color[0000]}ゴーストタイプ{color[ffff]}のポケモンを　{color[0000]}{[0301|00cd]}{color[ffff]}種類\nフォト図鑑に　登録した
Title073_Info1	{color[0000]}どくタイプ{color[ffff]}のポケモンを　{color[0000]}{[0301|00cd]}{color[ffff]}種類\nフォト図鑑に　登録しよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title073_Info2	{color[0000]}どくタイプ{color[ffff]}のポケモンを　{color[0000]}{[0301|00cd]}{color[ffff]}種類\nフォト図鑑に　登録した
Title074_Info1	{color[0000]}かくとうタイプ{color[ffff]}のポケモンを　{color[0000]}{[0301|00cd]}{color[ffff]}種類\nフォト図鑑に　登録しよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title074_Info2	{color[0000]}かくとうタイプ{color[ffff]}のポケモンを　{color[0000]}{[0301|00cd]}{color[ffff]}種類\nフォト図鑑に　登録した
Title075_Info1	{color[0000]}じめんタイプ{color[ffff]}のポケモンを　{color[0000]}{[0301|00cd]}{color[ffff]}種類\nフォト図鑑に　登録しよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title075_Info2	{color[0000]}じめんタイプ{color[ffff]}のポケモンを　{color[0000]}{[0301|00cd]}{color[ffff]}種類\nフォト図鑑に　登録した
Title076_Info1	{color[0000]}いわタイプ{color[ffff]}のポケモンを　{color[0000]}{[0301|00cd]}{color[ffff]}種類\nフォト図鑑に　登録しよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title076_Info2	{color[0000]}いわタイプ{color[ffff]}のポケモンを　{color[0000]}{[0301|00cd]}{color[ffff]}種類\nフォト図鑑に　登録した
Title077_Info1	{color[0000]}ドラゴンタイプ{color[ffff]}のポケモンを　{color[0000]}{[0301|00cd]}{color[ffff]}種類\nフォト図鑑に　登録しよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title077_Info2	{color[0000]}ドラゴンタイプ{color[ffff]}のポケモンを　{color[0000]}{[0301|00cd]}{color[ffff]}種類\nフォト図鑑に　登録した
Title078_Info1	{color[0000]}こおりタイプ{color[ffff]}のポケモンを　{color[0000]}{[0301|00cd]}{color[ffff]}種類\nフォト図鑑に　登録しよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title078_Info2	{color[0000]}こおりタイプ{color[ffff]}のポケモンを　{color[0000]}{[0301|00cd]}{color[ffff]}種類\nフォト図鑑に　登録した
Title079_Info1	{color[0000]}はがねタイプ{color[ffff]}のポケモンを　{color[0000]}{[0301|00cd]}{color[ffff]}種類\nフォト図鑑に　登録しよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title079_Info2	{color[0000]}はがねタイプ{color[ffff]}のポケモンを　{color[0000]}{[0301|00cd]}{color[ffff]}種類\nフォト図鑑に　登録した
Title080_Info1	{color[0000]}ノーマルタイプ{color[ffff]}のポケモンを　{color[0000]}{[0301|00cd]}{color[ffff]}種類\nフォト図鑑に　登録しよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title080_Info2	{color[0000]}ノーマルタイプ{color[ffff]}のポケモンを　{color[0000]}{[0301|00cd]}{color[ffff]}種類\nフォト図鑑に　登録した
Title081_Info1	{color[0000]}ひこうタイプ{color[ffff]}のポケモンを　{color[0000]}{[0301|00cd]}{color[ffff]}種類\nフォト図鑑に　登録しよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title081_Info2	{color[0000]}ひこうタイプ{color[ffff]}のポケモンを　{color[0000]}{[0301|00cd]}{color[ffff]}種類\nフォト図鑑に　登録した
Title082_Info1	ポケモンを　{color[0000]}{[0301|00cd]}{color[ffff]}種類\nフォト図鑑に　登録しよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title082_Info2	ポケモンを　{color[0000]}{[0301|00cd]}{color[ffff]}種類\nフォト図鑑に　登録した
Title083_Info1	ポケモンを　{color[0000]}{[0301|00cd]}{color[ffff]}種類\nフォト図鑑に　登録しよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title083_Info2	ポケモンを　{color[0000]}{[0301|00cd]}{color[ffff]}種類\nフォト図鑑に　登録した
