AlbumSave_UI.msbt
AlbumSave_Top_Help	アルバムにほぞんしたいしゃしんを　えらんでください
EV_Mot_Sp_P011_11	キミに　てをふっているようだね。
EV_Mot_Sp_P014_10	おどろいているようだね。
EV_Mot_Sp_P018_10	トロピウスのうえで　あそんでいるところか。
EV_Mot_Sp_P018_11	たのしそうに　およいでいるね。
EV_Mot_Sp_P031_10	たのしそうに　およいでいるね。
EV_Mot_Sp_P051_10	いかくしあっているね。
EV_Mot_Sp_P116_10	いかくしているのかな。
EV_Mot_Sp_P116_11	なかよく　ねむっているね。
EV_Mot_Sp_P119_10	なかよく　ねむっているね。
EV_Mot_Sp_P119_11	たのしそうに　およいでいるね。
EV_Mot_Sp_P122_10	こちらに　むかってきているのか！
EV_Mot_Sp_P125_10	ゆびをふるが　せいこうしたようだね！
EV_Mot_Sp_P126_10	いかくしているのかな。
EV_Mot_Sp_P130_10	ウパーをのせて　たのしそうに　とんでいるね。
EV_Mot_Sp_P131_10	ずいぶんと　あんしんして　ねむっているようだね。
EV_Mot_Sp_P131_11	ごうかいな　とうじょうシーンだね。
EV_Mot_Sp_P005_10	おどろいているようだね。
EV_Mot_Sp_P005_11	かえんほうしゃで　みんなを　まもろうとしているのかな。
EV_Mot_Sp_P005_12	なかよく　あそんでいるようだね。
EV_Mot_Sp_P005_14	なかよく　ねむっているね。
EV_Mot_Sp_P005_15	かくれんぼ　しているのかな。
EV_Mot_Sp_P034_10	ねむりごなを　ふりまいているところか！
EV_Mot_Sp_P060_10	おどろかせようと　していたのかな。
EV_Mot_Sp_P064_10	おこっているところか。
EV_Mot_Sp_P064_11	おこっているところか。
EV_Mot_Sp_P064_12	イワンコに　とおぼえを　おしえているのかな。
EV_Mot_Sp_P117_10	ぶつかってしまったようだね。
EV_Mot_Sp_P117_11	ぶつかってしまったようだね。
EV_Mot_Sp_P118_10	おこっているところか。
EV_Mot_Sp_P118_11	ぶつかってしまったようだね。
EV_Mot_Sp_P118_12	ちょっかいを　だされているようだね。
EV_Mot_Sp_P127_10	すなあらしを　おこしているところか！
EV_Mot_Sp_P128_10	ドガースを　すいこんでしまったのか。
EV_Mot_Sp_P128_11	ごうかいな　とうじょうシーンだね。
EV_Mot_Sp_P132_10	なかよく　あそんでいるようだね。
EV_Mot_Sp_P132_12	なかよく　ねむっているね。
EV_Mot_Sp_P132_13	かくれんぼ　しているのかな。
EV_Mot_Sp_P133_10	ねむそうにしているね。
EV_Mot_Sp_P133_11	イタズラしているようだね。
EV_Mot_Sp_P134_10	おもいきり　ジャンプしているね。
EV_Mot_Sp_P134_11	ひのこで　みんなを　まもろうとしているのかな。
EV_Mot_Sp_P134_12	なかよく　あそんでいるようだね。
EV_Mot_Sp_P134_14	なかよく　ねむっているね。
EV_Mot_Sp_P134_15	かくれんぼ　しているのかな。
EV_Mot_Sp_P136_10	どくぬまで　あそんでいるところか。
EV_Mot_Sp_P136_11	どくぬまで　あそんでいるところか。
EV_Mot_Sp_P136_12	どくぬまで　あそんでいるところか。
EV_Mot_Sp_P137_10	ナワバリあらそいに　かったところか！
EV_Mot_Sp_P139_10	ゆうかんに　たちむかっているところか。
EV_Mot_Sp_P139_11	なかよく　あそんでいるようだね。
EV_Mot_Sp_P139_13	なかよく　ねむっているね。
EV_Mot_Mis_Stage012_084_01	ダンスしているのか。
EV_Mot_Mis_Stage012_096_01	いきのあった　ジャンプだね。
EV_Mot_Mis_Stage012_073_01	めずらしい！　はしっているところか！
EV_Mot_Mis_Stage013_051_01	おもいきり　ジャンプしているね。
EV_Mot_Mis_Stage013_130_01	ウパーをのせて　たのしそうに　とんでいるね。
EV_Mot_Mis_Stage013_119_01	ねんりきを　はなっているようだね。
EV_Mot_Mis_Stage013_126_01	クリーンヒット！　ってかんじだね･･････
EV_Mot_Mis_Stage013_135_01	いきおいよく　とびだしたところだね。
EV_Mot_Mis_Stage013_125_01	ゆびをふるが　せいこうしたようだね！
EV_Mot_Mis_Stage013_122_01	たきのぼりか！
EV_Mot_Mis_Stage015_118_01	ふわりんごで　あそんでいるところか。
EV_Mot_Mis_Stage015_139_01	ゆうかんに　たちむかっているところか。
EV_Mot_Mis_Stage015_140_01	ごきげんな　ようすだね。
EV_Mot_Mis_Stage015_134_01	おもいきり　ジャンプしているね。
EV_Mot_Mis_Stage015_137_01	ひっくりかえってしまったのか！
EV_Mot_Mis_Stage015_133_01	ねむそうにしているね。
EV_Mot_Mis_Stage015_136_01	ナワバリを　とりあっているのか。
EV_Mot_Mis_Stage015_120_01	うわ！　いまにも　ばくはつしそうな　おおきさだ！
EV_Mot_Mis_Stage015_128_01	ドガースを　すいこんでしまったのか。
EV_Mot_Mis_Stage015_142_01	これは　かみなりのエネルギー　だろうか･･････
EV_Mot_Sp_P142_11	これは　かみなりのエネルギー　だろうか･･････
Evaluation_UI.msbt
Evaluation_Welcome_CountPhoto_Tx	さつえいしたまいすう
Evaluation_Welcome_CountPoke_Tx	さつえいしたポケモン
Evaluation_Start_Head	Prof. KAGAMI'S CHECK
Evaluation_Start_PhotoBy_Tx	さつえいしゃ
Evaluation_Evaluation_BookPhoto_Tx	ずかんのしゃしん
Evaluation_Evaluation_SubmitPhoto_Tx	こんかいのしゃしん
Evaluation_AfterClear_ResearchLv_Tx	ちょうさレベル
Evaluation_AfterClear_ResearchLv_Num	Lv.{[0301|00cd]}
Evaluation_AfterClear_ResearchLvMax_Num	Lv.MAX
Evaluation_AfterClear_NextLv_Num	つぎのレベルまであと  {color[0400]}{size[7500]}{[0301|00cd]}{size[6400]}{color[ffff]}
Evaluation_AfterClear_GetExp_Tx	こんかいのちょうさポイント
Evaluation_AfterClear_GetExp_Num	＋{[0301|00cd]}
Evaluation_AfterClear_CourseScore_Tx	ルートスコア
Evaluation_AfterClear_HighScore_Tx	ハイスコア
Evaluation_AfterClear_ProfessorRecommend_Tx	はかせのおきにいり
Evaluation_AfterClear_NewRecord_Tx	NEW RECORD !!
Evaluation_Jingle_ResearchLv_Tx	ちょうさレベル
Evaluation_Jingle_LvUp_Tx	レベルアップ！
Evaluation_Evaluation_ScoreLow_Num	{[0301|00cd]}
Evaluation_Evaluation_ScoreHigh_Num	{color[0800]}{[0301|00cd]}{color[ffff]}
Evaluation_Evaluation_ScoreHigh2_Num	{color[0000]}{[0301|00cd]}{color[ffff]}
General.msbt
GameTitle_PressStart_Tx	PRESS ANY BUTTON
GameTitle_Copyright_Tx	© 2021 Pokémon/Nintendo/Creatures/GAME FREAK.
Checkpoint1_Tx	ポーズ
Checkpoint2_Tx	おおきさ
Checkpoint3_Tx	むき
Checkpoint4_Tx	いち
Checkpoint5_Tx	ほかのポケモン
Checkpoint6_Tx	ふうけい
Total_Tx	ごうけい
Score_Tx	SCORE
Button_ZL_Tx	
Button_ZR_Tx	
Button_L_Tx	
Button_R_Tx	
Button_StickL_Tx	
Button_StickR_Tx	
Button_A_Tx	
Button_B_Tx	
Button_X_Tx	
Button_Y_Tx	
NowLoading_Tx	NOW LOADING
AnalysisResult_Tx	Research Result
NotOpen_Tx	？？？
NotExist_Tx	ーーー
Skip_Tx	 スキップ
NoTarget_Tx	No Data
Number_Num	No.{[0301|00cd]}
Distance_Unit	km
Ending_Thanks_Tx	Thank you, everyone!
Order_Date_Tx	にちじ
Order_Name_Tx	なまえ
Order_Number_Tx	ばんごう
Order_Category_Tx	カテゴリー
Order_Score_Tx	スコア
Order_Like_Tx	りんごメダル
Order_Shoot_Tx	さつえい
Order_Doing_Tx	しんこうちゅう
Order_Doing2_Tx	みたっせい
Order_Done_Tx	たっせい
Order_Done2_Tx	たっせい
Order_Obtain_Tx	にゅうしゅじゅん
NarrowDown_All_Tx	すべて
NarrowDown_Island001_Tx	フロレオとう
NarrowDown_Island002_Tx	ベラスとう
NarrowDown_Island003_Tx	コピアしょとう
NarrowDown_Island004_Tx	ボルクとう
NarrowDown_Island005_Tx	デュラスとう
NarrowDown_Island006_Tx	アウラムとう
NarrowDown_Chara_Tx	じんぶつ
NarrowDown_Type_Tx	タイプ
NarrowDown_Land_Tx	ふうけい
NarrowDown_Tool_Tx	アイテム
NarrowDown_Mark_Tx	マーク
NarrowDown_Nature_Tx	しぜん
NarrowDown_Fashion_Tx	ファッション
NarrowDown_Research_Tx	ちょうさ
NarrowDown_Photo_Tx	さつえい
NarrowDown_Book_Tx	ずかん
NarrowDown_Evaluation_Tx	テクニック
NarrowDown_Action_Tx	アクション
NarrowDown_Online_Tx	オンライン
NarrowDown_RankingTOP_Tx	TOP100
NarrowDown_RankingMy_Tx	あなた
NarrowDown_RankingFriend_Tx	フレンド
Reward_Condition_Tx	かくとくじょうけん
Keyboard_ErrorNgWord_Info	つかえないことばが　ふくまれています。
Keyboard_ErrorNumbers_Info	つかえるすうじは　5もじまでです。
InitialSetting_UI.msbt
InitialSetting_Save_AutoSave1_Info	このゲームは　オートセーブをおこないます。\nオートセーブアイコンがでているあいだは　でんげんをきらないでください。
InitialSetting_Language_SelectText1_Info	どのげんごで　あそびますか？\n{color[0800]}あとからへんこうすることが　できません{color[ffff]}
InitialSetting_Language_Jpn_Tx	日本語
InitialSetting_Language_JpnKana_Tx	にほんご
InitialSetting_Language_English_Tx	English
InitialSetting_Language_French_Tx	Français
InitialSetting_Language_Italian_Tx	Italiano
InitialSetting_Language_German_Tx	Deutsch
InitialSetting_Language_Spanish_Tx	Español
InitialSetting_Language_Korean_Tx	한국어
InitialSetting_Language_Cn_Tx	简体中文
InitialSetting_Language_Tw_Tx	繁體中文
InitialSetting_Language_SelectVoice1_Info	とうじょうじんぶつのボイスのしゅるいを　えらんでください\n{color[0800]}あとからへんこうすることが　できます{color[ffff]}
InitialSetting_Language_JpnVoice_Tx	にほんご
InitialSetting_Language_EnVoice_Tx	えいご
InitialSetting_Language_NonVoice_Tx	ボイスなし
InitialSetting_PlayerSetting_SelectAvatar1_Info	あなたのしゃしんを　えらんでください\n{color[0800]}あとからへんこうすることが　できません{color[ffff]}
InitialSetting_PlayerSetting_EnterName1_Info	あなたのなまえを　おしえてください
InitialSetting_PlayerSetting_EnterName2_Info	あとからへんこうすることが　できます
InitialSetting_PlayerSetting_FinalCheck1_Info	こちらで　よろしいですか？\n{color[0800]}ひらがなと　かんじは　あとからへんこうできます{color[ffff]}
InitialSetting_PlayerSetting_Yes_Tx	はい
InitialSetting_PlayerSetting_No_Tx	いいえ
MainMenu_UI.msbt
MainMenu_Unselected_Help	アイコンを　えらんでください
MainMenu_Research_Help	ポケモンのちょうさに　いきます
MainMenu_Research_Icon	Research
MainMenu_Research_PopHelp	ちょうさ
MainMenu_Labo_Help	けんきゅうしつに　いきます
MainMenu_Labo_Icon	Labo
MainMenu_Labo_PopHelp	けんきゅうしつ
MainMenu_Option_Help	せっていを　へんこうします
MainMenu_Option_Icon	Option
MainMenu_Option_PopHelp	せってい
MainMenu_CourseStart_Help	ベースキャンプを　ちょうさします
MainMenu_CourseStart_PopHelp	ここでさつえい
MainMenu_PictureBook_Help	フォトずかんを　かくにんします
MainMenu_PictureBook_Icon	Book
MainMenu_PictureBook_PopHelp	フォトずかん
MainMenu_MySpace_Help	ちょうさにかんするデータや　アルバムを　かくにんします
MainMenu_MySpace_Icon	Myspace
MainMenu_MySpace_PopHelp	マイスペース
MainMenu_Online_Help	みんなのしゃしんや　ランキングを　かくにんします
MainMenu_Online_Icon	Online
MainMenu_Online_PopHelp	オンライン
MainMenu_Camp_Help	ベースキャンプに　もどります
MainMenu_Camp_Icon	Base
MainMenu_Camp_PopHelp	ベースキャンプ
MapSelect_UI.msbt
MapSelect_StageSelect_Head	レンティルマップ
MapSelect_StageSelect_Help	ちょうさするエリアを　えらんでください
MapSelect_CourseSelect_Help	ちょうさするルートを　えらんでください
MapSelect_CourseSelect_CourseLv_Tx	ちょうさレベル
MapSelect_CourseSelect_CourseLv_Num	Lv. {[0301|00cd]}
MapSelect_CourseSelect_CourseLvMax_Num	Lv. MAX
MapSelect_CourseSelect_NextLv_Num	つぎのレベルまであと  {color[0700]}{size[7500]}{[0301|00cd]}{size[6400]}{color[ffff]}
MapSelect_CourseSelect_HighScore_Tx	ハイスコア
MapSelect_CourseSelect_ChangeCourseLv_Tx	 ちょうさレベルをへんこう
MapSelect_CourseSelect_ChangeCourseLv1_Tx	Lv. 1
MapSelect_CourseSelect_ChangeCourseLv2_Tx	Lv. 2
MapSelect_CourseSelect_ChangeCourseLv3_Tx	Lv. 3
MapSelect_CourseSelect_ChangeCourseLv_Info	ちょうさレベルを　えらんで　スタートします
MySpaceAlbum_UI.msbt
MySpaceAlbum_Top_Help	かくにんしたい　しゃしんを　えらんでください
MySpaceAlbum_Top_Head	アルバム
MySpaceAlbum_Top_CountPhotoRecord_Tx	ほぞんまいすう
MySpaceAlbum_Top_DeleteMode_On_Tx	まとめてさくじょ
MySpaceAlbum_Top_DeleteMode_On_Help	さくじょするしゃしんを　まとめてえらびます
MySpaceAlbum_Top_DeleteMode_Tx	キャンセル
MySpaceAlbum_Top_DeleteMode_Help	さくじょするしゃしんを　えらんでください
MySpaceAlbum_Top_Delete_Active_Tx	さくじょ
MySpaceAlbum_Top_Delete_Active_Help	えらんだしゃしんを　まとめてさくじょします
MySpaceAlbum_Top_Nothing_Tx	ひょうじできるデータがありません
MySpaceAlbum_Top_DeleteMode_Off_Help	さくじょするしゃしんを　えらぶのを　やめます
MySpacePlayerData_UI.msbt
PlayerData_Head	ちょうさログ
PlayerData_Help	ちょうさのきろくを　かくにんできます
PlayerData_TabBasic_Tx	きほん
PlayerData_TabScore_Tx	スコア
PlayerData_TabPhoto_Tx	さつえい
PlayerData_TabAction_Tx	アクション
PlayerData_TabOnline_Tx	オンライン
PlayerData_PlayTime_Tx	プレイじかん
PlayerData_PlayCourse_Tx	ちょうさしたかいすう
PlayerData_ResearchPtTotal_Tx	そうごうずかんスコア
PlayerData_CountPhoto_Tx	さつえいしたまいすう
PlayerData_CountPhotoSubmit_Tx	はかせにみせたまいすう
PlayerData_CountPokeEntry_Tx	とうろくしたポケモン
PlayerData_CountPhotoEntry_Tx	とうろくしたポケモンのしゃしん
PlayerData_Distance_Total_Tx	いどうしたきょり
PlayerData_HighScore_Star1_Tx	★1　さいこう
PlayerData_HighScore_Star2_Tx	★2　さいこう
PlayerData_HighScore_Star3_Tx	★3　さいこう
PlayerData_HighScore_Star4_Tx	★4　さいこう
PlayerData_CourseScore_Tx	ルートスコア
PlayerData_CourseScore_TotalScore_Tx	    そうごう
PlayerData_CourseScore_HighScore_Num	    さいこう　{[0301|00cd]}
PlayerData_CountPhoto_Poke_Tx	ポケモンをさつえいしたまいすう
PlayerData_CountPhoto_Flower_Tx	クリスタフラワーをさつえいしたまいすう
PlayerData_CountPhoto_Remains_Tx	こだいいせきをさつえいしたまいすう
PlayerData_CountPhoto_NoTarget_Tx	しゅやくなしをさつえいしたまいすう
PlayerData_CountPhoto_Star1_Tx	★1をさつえいしたまいすう
PlayerData_CountPhoto_Star2_Tx	★2をさつえいしたまいすう
PlayerData_CountPhoto_Star3_Tx	★3をさつえいしたまいすう
PlayerData_CountPhoto_Star4_Tx	★4をさつえいしたまいすう
PlayerData_ActionFood_Tx	ふわりんごをなげたかいすう
PlayerData_ActionBall_Tx	イルミナオーブをなげたかいすう
PlayerData_ActionSearch_Tx	サーチをしたかいすう
PlayerData_ActionMelody_Tx	メロディをつかったかいすう
PlayerData_ActionTurbo_Tx	ターボでいどうしたきょり
PlayerData_CountLike_TotalGet_Tx	りんごメダルをもらったかず
PlayerData_CountLike_HighScore_Tx	1まいでもらったりんごメダルのさいこうすう
PlayerData_CountLike_TotalGive_Tx	りんごメダルをおくったかず
PlayerData_CountPhoto_Upload_Tx	じぶんでオンラインにアップロードしたまいすう
PlayerData_CountPhoto_ProfessorRecommend_Tx	はかせがオンラインにアップロードしたまいすう
MySpaceTitle_Info.msbt
Title001_Info2	{color[0000]}フロレオしぜんこうえん{color[ffff]}を\nはじめて　ちょうさした
Title002_Info2	{color[0000]}フロレオしぜんこうえん{color[ffff]}で　{color[0000]}ビッパのダムに　つづくルート{color[ffff]}を\nはっけんした
Title003_Info2	{color[0000]}カクレぬけみち{color[ffff]}で　{color[0000]}カビゴンのねどこに　つづくルート{color[ffff]}を\nはっけんした
Title004_Info2	{color[0000]}カクレぬけみち{color[ffff]}で　{color[0000]}ドダイトスのすみかに　つづくルート{color[ffff]}を\nはっけんした
Title005_Info2	{color[0000]}ベースキャンプ{color[ffff]}で　{color[0000]}けんきゅうしょないに　つづくルート{color[ffff]}を\nはっけんした
Title006_Info2	{color[0000]}ベラスとう{color[ffff]}を　はじめて　ちょうさした
Title007_Info2	{color[0000]}ミッケジャングル{color[ffff]}で　{color[0000]}ぬまちに　つづくルート{color[ffff]}を\nはっけんした
Title008_Info2	{color[0000]}ミッケジャングル{color[ffff]}で　{color[0000]}たきのうらがわに　つづくルート{color[ffff]}を\nはっけんした
Title009_Info2	{color[0000]}ヨーヨーリバー{color[ffff]}で　{color[0000]}どうくつに　つづくルート{color[ffff]}を\nはっけんした
Title010_Info2	{color[0000]}トキシキのもり{color[ffff]}で　{color[0000]}はるなつあきふゆ　4つのきせつ{color[ffff]}を\nめぐった
Title011_Info2	{color[0000]}トキシキのもり{color[ffff]}で　{color[0000]}ひだまりに　つづくルート{color[ffff]}を\nはっけんした
Title012_Info2	{color[0000]}コピアしょとう{color[ffff]}を　はじめて　ちょうさした
Title013_Info2	{color[0000]}ニジイロビーチ{color[ffff]}で　{color[0000]}かくれたすなはまに　つづくルート{color[ffff]}を\nはっけんした
Title014_Info2	{color[0000]}コピアリーフ{color[ffff]}で　{color[0000]}ホエルオーのあたまのそばを　とおるルート{color[ffff]}を\nはっけんした
Title015_Info2	{color[0000]}コピアリーフ{color[ffff]}で　{color[0000]}ブルーホールに　つづくルート{color[ffff]}を\nはっけんした
Title016_Info2	{color[0000]}レンティルかいしょう{color[ffff]}で　{color[0000]}かいちゅうどうくつに　つづくルート{color[ffff]}を\nはっけんした
Title017_Info2	{color[0000]}ボルクとう{color[ffff]}を　はじめて　ちょうさした
Title018_Info2	{color[0000]}ネッサさばく{color[ffff]}で　{color[0000]}オアシスしゅうへんのルート{color[ffff]}を　すべて\nちょうさした
Title019_Info2	{color[0000]}カラリこうや{color[ffff]}で　{color[0000]}かんけつせんにのって　うえへつづくルート{color[ffff]}を\nはっけんした
Title020_Info2	{color[0000]}ドローかざん{color[ffff]}で　{color[0000]}あおいようがんどうくつに　つづくルート{color[ffff]}を\nはっけんした
Title021_Info2	イルミナポケモンの　{color[0000]}ウルガモス{color[ffff]}を\nフォトずかんに　とうろくした
Title022_Info2	{color[0000]}デュラスとう{color[ffff]}を　はじめて　ちょうさした
Title023_Info2	{color[0000]}ヒエールせつげん{color[ffff]}で　{color[0000]}ゆきのかべのむこうに　つづくルート{color[ffff]}を\nはっけんした
Title024_Info2	{color[0000]}ヒエールせつげん{color[ffff]}で　{color[0000]}こおりのどうくつに　つづくルート{color[ffff]}を\nはっけんした
Title025_Info2	{color[0000]}ハナレどうくつ{color[ffff]}で　{color[0000]}きょだいけっしょうに　つづくルート{color[ffff]}を\nはっけんした
Title026_Info2	{color[0000]}ハナレどうくつ{color[ffff]}で　{color[0000]}リムストーンプールに　つづくルート{color[ffff]}を\nはっけんした
Title027_Info2	{color[0000]}ハナレどうくつ{color[ffff]}で　{color[0000]}ちていくうかんの　かべむこうのルート{color[ffff]}を\nはっけんした
Title028_Info2	{color[0000]}アウラムとう{color[ffff]}を　はじめて　ちょうさした
Title029_Info2	{color[0000]}シューゴいせき{color[ffff]}で　{color[0000]}ちじょうにつづく　ひかりのみち{color[ffff]}を\nはっけんした
Title030_Info2	イルミナポケモンの　{color[0000]}ゼルネアス{color[ffff]}を\nフォトずかんに　とうろくした
Title031_Info2	レンティルちほうを　ひととおり　ちょうさした
Title032_Info1	ちょうさレベルを　{color[0000]}1{color[ffff]}ルート\nMAXにしよう
Title032_Info2	ちょうさレベルを　{color[0000]}1{color[ffff]}ルート\nMAXにした
Title033_Info1	ちょうさレベルを　{color[0000]}{[0301|00cd]}{color[ffff]}ルート\nMAXにしよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title033_Info2	ちょうさレベルを　{color[0000]}{[0301|00cd]}{color[ffff]}ルート\nMAXにした
Title034_Info1	ちょうさレベルを　{color[0000]}{[0301|00cd]}{color[ffff]}ルート\nMAXにしよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title034_Info2	ちょうさレベルを　{color[0000]}{[0301|00cd]}{color[ffff]}ルート\nMAXにした
Title035_Info1	ちょうさレベルを　{color[0000]}{[0301|00cd]}{color[ffff]}ルート\nMAXにしよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title035_Info2	ちょうさレベルを　{color[0000]}{[0301|00cd]}{color[ffff]}ルート\nMAXにした
Title036_Info1	ちょうさレベルを　すべてのルート\nMAXにしよう
Title036_Info2	ちょうさレベルを　すべてのルート\nMAXにした
Title037_Info1	しゃしんを　トータルで{color[0000]}{[0301|00cd]}{color[ffff]}まい\nさつえいしよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title037_Info2	しゃしんを　トータルで{color[0000]}{[0301|00cd]}{color[ffff]}まい\nさつえいした
Title038_Info1	しゃしんを　トータルで{color[0000]}{[0301|00cd]}{color[ffff]}まい\nさつえいしよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title038_Info2	しゃしんを　トータルで{color[0000]}{[0301|00cd]}{color[ffff]}まい\nさつえいした
Title039_Info1	しゃしんを　トータルで{color[0000]}{[0301|00cd]}{color[ffff]}まい\nさつえいしよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title039_Info2	しゃしんを　トータルで{color[0000]}{[0301|00cd]}{color[ffff]}まい\nさつえいした
Title040_Info1	しゃしんを　トータルで{color[0000]}{[0301|00cd]}{color[ffff]}まい\nさつえいしよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title040_Info2	しゃしんを　トータルで{color[0000]}{[0301|00cd]}{color[ffff]}まい\nさつえいした
Title041_Info1	しゃしんを　トータルで{color[0000]}{[0301|00cd]}{color[ffff]}まい\nさつえいしよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title041_Info2	しゃしんを　トータルで{color[0000]}{[0301|00cd]}{color[ffff]}まい\nさつえいした
Title042_Info1	しゃしんを　トータルで{color[0000]}{[0301|00cd]}{color[ffff]}まい\nさつえいしよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title042_Info2	しゃしんを　トータルで{color[0000]}{[0301|00cd]}{color[ffff]}まい\nさつえいした
Title043_Info1	しゃしんを　トータルで{color[0000]}{[0301|00cd]}{color[ffff]}まい\nさつえいしよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title043_Info2	しゃしんを　トータルで{color[0000]}{[0301|00cd]}{color[ffff]}まい\nさつえいした
Title044_Info1	いちどのちょうさで　{color[0000]}★3{color[ffff]}のしゃしんを\nポケモン{color[0000]}{[0301|00cd]}{color[ffff]}しゅるい　さつえいしよう
Title044_Info2	いちどのちょうさで　{color[0000]}★3{color[ffff]}のしゃしんを\nポケモン{color[0000]}{[0301|00cd]}{color[ffff]}しゅるい　さつえいした
Title045_Info1	いちどのちょうさで　{color[0000]}★4{color[ffff]}のしゃしんを\nポケモン{color[0000]}{[0301|00cd]}{color[ffff]}しゅるい　さつえいしよう
Title045_Info2	いちどのちょうさで　{color[0000]}★4{color[ffff]}のしゃしんを\nポケモン{color[0000]}{[0301|00cd]}{color[ffff]}しゅるい　さつえいした
Title046_Info1	おなじ　ポケモンのしゃしんを\nトータルで{color[0000]}{[0301|00cd]}{color[ffff]}まい　はかせにみせよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title046_Info2	おなじ　ポケモンのしゃしんを\nトータルで{color[0000]}{[0301|00cd]}{color[ffff]}まい　はかせにみせた
Title047_Info2	しゅやくのいないしゃしんを\nトータルで{color[0000]}{[0301|00cd]}{color[ffff]}まい　さつえいした
Title048_Info1	いどうしている　ポケモンのしゃしんを\nトータルで{color[0000]}{[0301|00cd]}{color[ffff]}しゅるい　はかせにみせよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title048_Info2	いどうしている　ポケモンのしゃしんを\nトータルで{color[0000]}{[0301|00cd]}{color[ffff]}しゅるい　はかせにみせた
Title049_Info1	しょくじしている　ポケモンのしゃしんを\nトータルで{color[0000]}{[0301|00cd]}{color[ffff]}しゅるい　はかせにみせよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title049_Info2	しょくじしている　ポケモンのしゃしんを\nトータルで{color[0000]}{[0301|00cd]}{color[ffff]}しゅるい　はかせにみせた
Title050_Info1	よろこんでいる　ポケモンのしゃしんを\nトータルで{color[0000]}{[0301|00cd]}{color[ffff]}しゅるい　はかせにみせよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title050_Info2	よろこんでいる　ポケモンのしゃしんを\nトータルで{color[0000]}{[0301|00cd]}{color[ffff]}しゅるい　はかせにみせた
Title051_Info1	とくべつなこうどうをしている　ポケモンのしゃしんを\nトータルで{color[0000]}{[0301|00cd]}{color[ffff]}しゅるい　はかせにみせよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title051_Info2	とくべつなこうどうをしている　ポケモンのしゃしんを\nトータルで{color[0000]}{[0301|00cd]}{color[ffff]}しゅるい　はかせにみせた
Title052_Info1	ねている　ポケモンのしゃしんを\nトータルで{color[0000]}{[0301|00cd]}{color[ffff]}しゅるい　はかせにみせよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title052_Info2	ねている　ポケモンのしゃしんを\nトータルで{color[0000]}{[0301|00cd]}{color[ffff]}しゅるい　はかせにみせた
Title053_Info1	およいでいる　ポケモンのしゃしんを\nトータルで{color[0000]}{[0301|00cd]}{color[ffff]}しゅるい　はかせにみせよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title053_Info2	およいでいる　ポケモンのしゃしんを\nトータルで{color[0000]}{[0301|00cd]}{color[ffff]}しゅるい　はかせにみせた
Title054_Info1	とんでいる　ポケモンのしゃしんを\nトータルで{color[0000]}{[0301|00cd]}{color[ffff]}しゅるい　はかせにみせよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title054_Info2	とんでいる　ポケモンのしゃしんを\nトータルで{color[0000]}{[0301|00cd]}{color[ffff]}しゅるい　はかせにみせた
Title056_Info1	{color[0000]}★1{color[ffff]}のしゃしんを　トータルで{color[0000]}{[0301|00cd]}{color[ffff]}しゅるい\nフォトずかんに　とうろくしよう（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title056_Info2	{color[0000]}★1{color[ffff]}のしゃしんを　トータルで{color[0000]}{[0301|00cd]}{color[ffff]}しゅるい\nフォトずかんに　とうろくした
