AlbumSave_UI.msbt
AlbumSave_Top_Help	請選擇想要儲存到相簿的照片。
EV_Cat_Scared_02	要是牠就在面前，我可能會嚇得發抖呢。
EV_Cat_Scared_03	這真是看起來有點恐怖的寶可夢啊。
EV_Cat_Scared_04	牠令人忍不住要打冷顫呢。
EV_Cat_Scared_05	感覺有點恐怖呢。
EV_Cat_Bad_01	乍看之下好像很狂野……
EV_Cat_Bad_02	牠看起來很有力氣呢。
EV_Cat_Bad_03	牠似乎有點凶猛呢。
EV_Cat_Bad_04	牠是不是有點在耍壞呢？
EV_Cat_Bad_05	牠給人一種很勇猛的印象呢。
EV_Cat_Mysterious_01	我感受到了神聖的氣氛。
EV_Cat_Mysterious_02	有股莊嚴的氣氛包圍著牠呢。
EV_Cat_Mysterious_03	我能感受到牠散發著堂堂的威嚴呢。
EV_Cat_Mysterious_04	牠的姿態有種非凡的風采呢。
EV_Cat_Mysterious_05	好神秘的寶可夢啊。
EV_Cat_New_01	這是{[0a00|ffcd0200604f0200b359]}第一次拍到牠呢！
EV_Cat_New_02	牠是{[0a00|ffcd0200604f0200b359]}還沒調查過的寶可夢呢！
EV_Cat_New_03	這是{[0a00|ffcd0200604f0200b359]}第一次成功拍到牠呢！
EV_Cat_NewStar1_01	這是{[0a00|ffcd0200604f0200b359]}第一次拍到★1的照片呢！
EV_Cat_NewStar2_01	這是{[0a00|ffcd0200604f0200b359]}第一次拍到★2的照片呢！
EV_Cat_NewStar3_01	這是{[0a00|ffcd0200604f0200b359]}第一次拍到★3的照片呢！
EV_Cat_NewStar4_01	這是{[0a00|ffcd0200604f0200b359]}第一次拍到★4的照片呢！
EV_Mot_Unknown_01	這真不好判斷……
EV_Mot_Unknown_02	要是有更多資訊，或許就能知道些什麼了……
EV_Mot_Unknown_03	嗯～牠這是做什麼呢？
EV_Mot_CloseUp_01	好大一個特寫啊……
EV_Mot_CloseUp_02	原來牠會主動靠得這麼近啊。
EV_Mot_CloseUp_03	哇！好近呀！
EV_Mot_Com_001-005_Wait_01	牠看起來很冷靜。
EV_Mot_Com_001-005_Wait_02	這是很常見的行為喔。
EV_Mot_Com_001-005_Wait_03	這可以說是牠最自然的樣子。
EV_Mot_Com_001-005_Wait_04	牠好像跟平常沒兩樣。
EV_Mot_Com_001-005_Wait_05	一如往常，看起來很恬靜呢。
EV_Mot_Com_006_Walk_01	牠正準備要去哪裡嗎？
EV_Mot_Com_007_Run_01	牠是急著有事嗎？
EV_Mot_Com_008_Hit_01	牠好像撞到了什麼東西呢。
EV_Mot_Com_009_Eat_01	牠正在吃東西呢。
EV_Mot_Com_010_Notice_01	是有什麼讓牠在意的東西嗎？
EV_Mot_Com_011_Happy_01	牠看起來很開心呢。
EV_Mot_Com_Ex_General_01	這種行為不太常見喔。
EV_Mot_Com_Ex_General_02	我覺得這很值得研究一番喔。
EV_Mot_Com_Ex_General_03	原來如此，這真是很有意思的行為。
EV_Mot_Com_Ex_General_04	牠好像很冷靜。
EV_Mot_Com_Ex_General_05	看來是沒什麼特別的狀況。
EV_Mot_Com_Ex_Sleep_01	牠正在睡覺呢。
EV_Mot_Com_Ex_LongNotice_01	牠好像是注意到了什麼呢。
EV_Mot_Com_Ex_Swim_01	牠正在游泳呢。
EV_Mot_Com_Ex_Fly_01	牠正在飛呢。
EV_Mot_Com_Ex_Music_01	牠是在對旋律做出反應嗎？
EV_Mot_Sp_P001_01	牠是對鏟子感到好奇嗎？
EV_Mot_Sp_P001_02	牠是在跟泥巴魚一起練習衝浪嗎？
EV_Mot_Sp_P001_04	牠好像是在洗臉呢。
EV_Mot_Sp_P001_05	哎呀！牠在新壹號上玩呢！
EV_Mot_Sp_P001_06	牠像是擺出了最佳姿勢喔。
EV_Mot_Sp_P001_07	牠正乘著巨翅飛魚在衝浪呢！
EV_Mot_Sp_P001_08	牠們像是很要好地在散步呢。
EV_Mot_Sp_P002_01	牠是被毒瓦斯噴到了嗎？
EV_Mot_Sp_P002_02	牠這是剛睡醒吧。
EV_Mot_Sp_P003_01	牠正在吸著樹汁呢。
EV_Mot_Sp_P003_02	牠是在展現自己的力量嗎？
EV_Mot_Sp_P003_03	牠們好像是在比力氣呢。
EV_Mot_Sp_P003_04	{[0a00|ffcd0200604f0200b359]}看牠正開心呢。
EV_Mot_Sp_P004_01	牠們好像是在比力氣呢。
EV_Mot_Sp_P004_02	真是種豪放的登場方式呢。
EV_Mot_Sp_P004_03	{[0a00|ffcd0200604f0200b359]}看牠正開心呢。
EV_Mot_Sp_P005_01	牠正在用火花烤東西呢。
EV_Mot_Sp_P005_02	牠用噴射火焰把東西燒焦了呢！
EV_Mot_Sp_P006_01	牠們正在擊掌呢。
EV_Mot_Sp_P006_02	牠戴著花看起來很時尚呢。
EV_Mot_Sp_P006_04	牠們很要好地在睡覺呢。
EV_Mot_Sp_P006_05	牠看起來非常開心呢。
EV_Mot_Sp_P006_06	牠們很要好地在卡比獸的肚子上睡覺呢。
EV_Mot_Sp_P007_01	牠可能是……想要飛吧？
EV_Mot_Sp_P007_02	真是種豪放的登場方式呢。
EV_Mot_Sp_P007_03	牠們正在互相威嚇呢。
EV_Mot_Sp_P008_03	牠們很要好地在睡覺呢。
EV_Mot_Sp_P008_04	牠好像對{[0a00|ffcd0200604f0200b359]}很好奇呢。
EV_Mot_Sp_P009_01	牠是想要保護夥伴嗎？
EV_Mot_Sp_P009_02	牠們很要好地在唱歌呢。
EV_Mot_Sp_P009_03	牠開心地載著傑尼龜在游泳呢。
EV_Mot_Sp_P010_02	牠可能是想要飛吧。
EV_Mot_Sp_P010_04	牠好像是被什麼給嚇到了呢。
EV_Mot_Sp_P011_01	牠正在用居合斬割草呢！
EV_Mot_Sp_P011_02	牠們可能是在玩追逐遊戲喔。
EV_Mot_Sp_P012_01	牠們像是很要好地在散步呢。
EV_Mot_Sp_P012_02	牠正在跳舞啊。
EV_Mot_Sp_P012_03	牠被阿利多斯的巢給捉住了啊。
EV_Mot_Sp_P013_01	牠們好像是在比硬度呢。
EV_Mot_Sp_P013_02	哎呀！牠倒下了呢。
EV_Mot_Sp_P014_01	牠是不小心就跟著淚眼蜥一起哭了嗎？
EV_Mot_Sp_P014_02	牠是在吃妙蛙花的花粉嗎？
EV_Mot_Sp_P015_01	跳得真漂亮。
EV_Mot_Sp_P015_02	牠好像被緊緊捉住了呢……
EV_Mot_Sp_P015_03	牠剛好衝了出來呢！
EV_Mot_Sp_P016_01	牠正在吸著樹汁呢。
EV_Mot_Sp_P016_02	牠正在吵架啊。
EV_Mot_Sp_P016_03	牠是在從刺裡射出毒來反擊嗎？
EV_Mot_Sp_P016_04	牠好像對{[0a00|ffcd0200604f0200b359]}很好奇呢。
EV_Mot_Sp_P017_02	牠可能是想要飛吧。
EV_Mot_Sp_P017_04	牠的背影圓滾滾的呢。
EV_Mot_Sp_P018_01	看來牠們親子很要好地生活在一起呢。
EV_Mot_Sp_P018_02	牠們親子看起來正開心呢。
EV_Mot_Sp_P019_01	牠使出了電擊在烤東西呢。
EV_Mot_Sp_P020_01	牠是在確認好不好吃嗎？
EV_Mot_Sp_P020_02	牠好像是被什麼給嚇到了呢。
EV_Mot_Sp_P021_01	看來這是一場雙方都不肯退讓的戰鬥呢。
EV_Mot_Sp_P021_02	牠正在生氣呢。
EV_Mot_Sp_P022_01	牠是在等待食物上門嗎？
EV_Mot_Sp_P022_02	牠是在等待食物上門嗎？
EV_Mot_Sp_P022_03	牠正在把儲存在體內的沙子排出來啊。
EV_Mot_Sp_P022_04	牠正在用沙子洗澡嗎？
EV_Mot_Sp_P023_01	牠好像是被什麼給嚇到了呢。
EV_Mot_Sp_P023_02	牠好像是被什麼給盯上了呢。
EV_Mot_Sp_P023_03	牠是想要帶走螢光魚嗎？
EV_Mot_Sp_P024_02	牠看起來非常放鬆呢。
EV_Mot_Sp_P024_03	牠正在使出鬼火呢！
EV_Mot_Sp_P025_01	牠是在留意四周嗎？
EV_Mot_Sp_P025_02	牠是在玩平衡遊戲嗎？
EV_Mot_Sp_P025_03	牠好像對{[0a00|ffcd0200604f0200b359]}很好奇呢。
EV_Mot_Sp_P026_01	牠是在吸取什麼東西嗎？
EV_Mot_Sp_P026_02	牠看起來心情很好呢。
EV_Mot_Sp_P027_01	牠被捲進沙暴裡了呢！
EV_Mot_Sp_P027_02	牠好像失去平衡了呢。
EV_Mot_Sp_P028_01	牠們正在互相威嚇呢。
EV_Mot_Sp_P028_02	牠正在搬運食物呢。
EV_Mot_Sp_P028_03	牠正在啄著樹呢。
EV_Mot_Sp_P028_04	牠好像在害怕著什麼呢。
EV_Mot_Sp_P028_05	牠是在威嚇嗎？
EV_Mot_Sp_P029_01	牠們正在互相威嚇呢。
EV_Mot_Sp_P029_02	牠是想要幫助對方嗎？
EV_Mot_Sp_P030_01	牠們正在互相威嚇呢。
EV_Mot_Sp_P030_02	牠們正在互相敲擊鳥嘴進行溝通嗎？
EV_Mot_Sp_P031_01	看來牠們親子很要好地生活在一起呢。
EV_Mot_Sp_P031_02	牠們親子看起來正開心呢。
EV_Mot_Sp_P032_01	牠正在築巢啊。
EV_Mot_Sp_P032_02	牠剛從巢裡出來啊。
EV_Mot_Sp_P032_03	牠還能這樣游啊！
EV_Mot_Sp_P032_05	牠的背影圓滾滾的呢。
EV_Mot_Sp_P032_06	牠好像是在跟著{[0a00|ffcd0200604f0200b359]}呢。
EV_Mot_Sp_P032_07	有一大群在跟著{[0a00|ffcd0200604f0200b359]}呢。
EV_Mot_Sp_P034_01	是彩粉蝶引起了霓光現象的連鎖反應嗎？
EV_Mot_Sp_P034_02	牠飛翔的樣子就像在跳舞呢。
EV_Mot_Sp_P034_03	牠好像是被什麼給嚇到了呢。
EV_Mot_Sp_P034_04	牠們成群聚集在谷裡呢。
EV_Mot_Sp_P035_01	牠正在地面上走路呢！
EV_Mot_Sp_P035_02	牠是在威嚇嗎？
EV_Mot_Sp_P036_01	牠是在用龍之舞展現自己嗎？
EV_Mot_Sp_P036_02	牠是在分享食物給大顎蟻嗎？
EV_Mot_Sp_P037_01	牠正在噴水呢。
EV_Mot_Sp_P037_02	牠是在濺起水花玩耍嗎？
EV_Mot_Sp_P038_01	牠好像正在惡作劇呢。
EV_Mot_Sp_P038_02	牠正在噴水呢。
EV_Mot_Sp_P039_01	牠正在攀爬熔岩的瀑布啊。
EV_Mot_Sp_P039_02	牠是想要讓誰嚇一跳嗎？
EV_Mot_Sp_P040_01	牠正在溫柔地陪伴著對方呢。
EV_Mot_Sp_P041_01	牠用盡了全力在跳躍呢。
EV_Mot_Sp_P041_02	牠們像是很要好地在玩耍呢。
EV_Mot_Sp_P041_03	牠開心地載著皮卡丘在游泳呢。
EV_Mot_Sp_P042_02	牠們正在互相威嚇呢。
EV_Mot_Sp_P042_03	牠們像是很要好地在泡溫泉放鬆呢。
EV_Mot_Sp_P044_01	4種季節的樣子竟然會聚集在同一個地方！
EV_Mot_Sp_P044_02	不同季節的樣子正聚集在一起呢！
EV_Mot_Sp_P045_01	牠正在跳舞啊。
EV_Mot_Sp_P045_02	牠正在跳舞啊。
EV_Mot_Sp_P045_03	牠是在發光反擊嗎？
EV_Mot_Sp_P046_01	牠正在挨罵嗎？
EV_Mot_Sp_P046_02	牠好像對{[0a00|ffcd0200604f0200b359]}很好奇呢。
EV_Mot_Sp_P047_01	牠好像是睡著了呢。
EV_Mot_Sp_P047_02	這簡直就是四葉幸運草呢！
EV_Mot_Sp_P048_01	牠剛好捉到了鯉魚王啊。
EV_Mot_Sp_P048_03	牠好像是被找碴了呢。
EV_Mot_Sp_P049_01	牠朝著岩石猛撞上去，是在做什麼呢？
EV_Mot_Sp_P049_02	牠是在打禿鷹娜的主意嗎？
EV_Mot_Sp_P050_01	牠被誤認成海灘的樹了嗎？
EV_Mot_Sp_P050_02	牠是正在樹下午睡嗎？
EV_Mot_Sp_P050_03	牠們可能是在玩追逐遊戲喔。
EV_Mot_Sp_P051_01	牠看起來非常放鬆呢。
EV_Mot_Sp_P051_02	牠剛好衝了出來呢！
EV_Mot_Sp_P051_03	牠看起來很睏呢。
EV_Mot_Sp_P051_04	牠用盡了全力在跳躍呢。
EV_Mot_Sp_P052_01	牠正在跳舞啊。
EV_Mot_Sp_P052_02	牠們是在商量跳舞的事嗎？
EV_Mot_Sp_P053_01	牠正在從小篤兒的倉庫拿走果實呢！
EV_Mot_Sp_P053_02	牠是在炒熱大家的氣氛嗎？
EV_Mot_Sp_P054_01	牠是在爭執著什麼嗎？
EV_Mot_Sp_P054_02	牠們可能是在玩追逐遊戲喔。
EV_Mot_Sp_P054_03	牠們是在比賽游泳嗎？
EV_Mot_Sp_P054_04	牠用盡了全力在跳躍呢。
EV_Mot_Sp_P054_05	牠們可能是在玩追逐遊戲喔。
EV_Mot_Sp_P055_02	牠被捲進沙暴裡了呢！
EV_Mot_Sp_P055_03	牠們可能是在玩追逐遊戲喔。
EV_Mot_Sp_P056_01	牠是被捉到了嗎？
EV_Mot_Sp_P056_02	牠是想要保護自己嗎？
EV_Mot_Sp_P056_03	牠正在用儲存的陽光發出粉紅色的光芒呢！
EV_Mot_Sp_P057_01	真是好整齊的飛行啊。
EV_Mot_Sp_P057_02	牠們正在互相威嚇呢。
EV_Mot_Sp_P057_03	牠正抓著樹枝在睡覺呢。
EV_Mot_Sp_P058_02	牠是不小心就跟著淚眼蜥一起哭了嗎？
EV_Mot_Sp_P059_01	牠是在使出電擊反擊嗎？
EV_Mot_Sp_P059_02	牠是在跟皮卡丘一起練習衝浪嗎？
EV_Mot_Sp_P059_03	牠看起來心情很好呢。
EV_Mot_Sp_P060_01	牠是在打食物的主意嗎？
EV_Mot_Sp_P061_01	哦哦！這招落英繽紛真是美極了！
EV_Mot_Sp_P061_02	牠正在跳舞啊。
EV_Mot_Sp_P062_01	是一場月夜下的演唱會呢。
EV_Mot_Sp_P062_02	牠是在用水氣球玩耍嗎？
EV_Mot_Sp_P062_03	牠好像很開心地在游泳呢。
EV_Mot_Sp_P062_04	牠好像很舒服地在跳躍呢。
EV_Mot_Sp_P063_01	牠是搞錯出拳對象了嗎？
EV_Mot_Sp_P063_02	牠是在覓食嗎？
EV_Mot_Sp_P063_03	牠是中了催眠術嗎？
EV_Mot_Sp_P063_04	牠們是在互爭地盤吧。
EV_Mot_Sp_P063_05	牠們可能是在玩追逐遊戲喔。
EV_Mot_Sp_P064_01	牠是因為有戒心，所以才沒吃下去嗎？
EV_Mot_Sp_P064_03	牠使出了長嚎，是在通知夥伴什麼嗎？
EV_Mot_Sp_P064_04	牠們正在互相威嚇呢。
EV_Mot_Sp_P064_05	牠看起來好像有點寂寞呢。
EV_Mot_Sp_P064_06	牠們好像正在展開激烈的攻防戰呢。
EV_Mot_Sp_P065_01	牠正在跳舞啊。
EV_Mot_Sp_P065_02	牠正在跳舞啊。
EV_Mot_Sp_P065_03	{[0a00|ffcd0200604f0200b359]}看牠正開心呢。
EV_Mot_Sp_P066_01	牠們是在互爭地盤吧。
EV_Mot_Sp_P066_02	牠是在讓大嘴鷗送牠一程嗎？
EV_Mot_Sp_P066_03	牠是正好被大嘴鷗吐出來了嗎？
EV_Mot_Sp_P067_01	是產生了磁場嗎？
EV_Mot_Sp_P067_02	牠正在生氣呢。
EV_Mot_Sp_P068_01	牠正在噴水呢。
EV_Mot_Sp_P068_02	牠正靠著噴水的力道在飛行呢！
EV_Mot_Sp_P069_01	牠好像是獲得了聲援呢。
EV_Mot_Sp_P069_02	牠好像是在練習衝浪呢。
EV_Mot_Sp_P069_03	牠正在秀出華麗的衝浪動作呢！
EV_Mot_Sp_P069_04	牠正在尾巴上跳著舞呢。
EV_Mot_Sp_P070_01	牠正在唱歌呢。
EV_Mot_Sp_P070_02	牠是在玩水嗎？
EV_Mot_Sp_P070_03	牠看起來非常放鬆呢。
EV_Mot_Sp_P071_01	牠們是在比賽游泳嗎？
EV_Mot_Sp_P071_02	牠是在展現自己結實的肌肉嗎？
EV_Mot_Sp_P071_03	牠是在展現自己的肌肉有多厚實嗎？
EV_Mot_Sp_P071_04	牠是在展現自己絕不輸人的厲害肌肉嗎？
EV_Mot_Sp_P071_05	牠正在鍛鍊手臂的肌肉呢。
EV_Mot_Sp_P072_02	牠看起來興高采烈、活力充沛呢。
EV_Mot_Sp_P072_03	牠正在打理自己的外表呢。
EV_Mot_Sp_P072_04	牠正在烤輕蘋果呢。
EV_Mot_Sp_P073_01	原來牠在邊睡邊吃啊！
EV_Mot_Sp_P073_02	牠們很要好地在睡覺呢。
EV_Mot_Sp_P073_03	真是罕見！牠正在奔跑呢！
EV_Mot_Sp_P074_01	是發生了霓光現象的連鎖反應嗎？
EV_Mot_Sp_P074_02	發生了什麼讓牠失望的事嗎？
EV_Mot_Sp_P074_03	牠和花療環環之間，是發生了霓光現象的連鎖反應嗎？
EV_Mot_Sp_P074_04	牠們像是很要好地在玩耍呢。
EV_Mot_Sp_P074_05	牠看起來非常開心呢。
EV_Mot_Sp_P074_06	牠們像是很要好地在玩耍呢。
EV_Mot_Sp_P074_07	牠正在跳舞啊。
EV_Mot_Sp_P074_08	牠好像很吃驚呢。
EV_Mot_Sp_P075_01	{[0a00|ffcd0200604f0200b359]}看牠正開心呢。
EV_Mot_Sp_P075_02	牠很喜歡在這裡睡覺嗎？
EV_Mot_Sp_P076_01	牠正在睡覺呢。
EV_Mot_Sp_P076_02	牠正在睡覺呢。
EV_Mot_Sp_P076_03	牠正在跳舞啊。
EV_Mot_Sp_P076_04	真是罕見！牠竟然露出了雙腳！
EV_Mot_Sp_P076_06	牠好像渾身充滿了力量呢。
EV_Mot_Sp_P077_01	{[0a00|ffcd0200604f0200b359]}看牠正開心呢。
EV_Mot_Sp_P078_01	牠是在找碴嗎？
EV_Mot_Sp_P078_02	牠正吃得津津有味呢。
EV_Mot_Sp_P079_01	牠們可能是在玩追逐遊戲喔。
EV_Mot_Sp_P079_02	牠是想要保護夥伴嗎？
EV_Mot_Sp_P079_03	牠的珊瑚枝正在綻放著七彩光芒呢！
EV_Mot_Sp_P080_01	牠是在噴墨反擊嗎？
EV_Mot_Sp_P080_02	牠好像是被電得酥酥麻麻的呢。
EV_Mot_Sp_P080_03	牠是正在準備要逃跑嗎？
EV_Mot_Sp_P080_04	牠好像很吃驚呢。
EV_Mot_Sp_P081_01	牠正在吵架啊。
EV_Mot_Sp_P081_02	看來牠是中毒了。
EV_Mot_Sp_P082_01	牠正在運送拳海參呢。
EV_Mot_Sp_P082_02	牠正在潛水呢。
EV_Mot_Sp_P083_01	牠看起來心情很好呢。
EV_Mot_Sp_P083_02	感覺是一場……死對頭的對決呢。
EV_Mot_Sp_P083_03	感覺是一場……死對頭的對決呢。
EV_Mot_Sp_P084_01	牠正在跳舞啊。
EV_Mot_Sp_P084_02	牠正在跳舞啊。
EV_Mot_Sp_P085_01	牠是在威嚇嗎？
EV_Mot_Sp_P085_02	牠好像很吃驚呢。
EV_Mot_Sp_P085_03	牠是在磨利牠的尾巴嗎？
EV_Mot_Sp_P086_01	牠正在跳舞啊。
EV_Mot_Sp_P086_02	牠正在跳舞啊。
EV_Mot_Sp_P086_03	牠們像是很要好地在玩耍呢。
EV_Mot_Sp_P086_04	牠正在挨罵嗎？
EV_Mot_Sp_P087_02	牠們正在互相威嚇呢。
EV_Mot_Sp_P087_03	牠打了個好大的哈欠呢。
EV_Mot_Sp_P088_01	牠是在讓隨風球送牠一程嗎？
EV_Mot_Sp_P088_02	牠們好像是在互相嬉鬧呢。
EV_Mot_Sp_P088_03	牠這是躲起來了嗎？
EV_Mot_Sp_P089_01	牠正在跳舞啊。
EV_Mot_Sp_P089_02	牠的動作好像是在指揮呢。
EV_Mot_Sp_P089_03	牠正在生氣呢。
EV_Mot_Sp_P090_01	牠正在讓周圍捲起冰晶呢。
EV_Mot_Sp_P090_02	牠是使出了暴風雪在威嚇{[0a00|ffcd0200604f0200b359]}嗎？
EV_Mot_Sp_P091_01	牠是正要吃下果實嗎？
EV_Mot_Sp_P091_02	真是驚人的跳躍啊。
EV_Mot_Sp_P091_03	牠好像對{[0a00|ffcd0200604f0200b359]}很好奇呢。
EV_Mot_Sp_P092_01	{[0a00|ffcd0200604f0200b359]}看牠正開心呢。
EV_Mot_Sp_P092_02	牠是不小心就跟著淚眼蜥一起哭了嗎？
EV_Mot_Sp_P092_03	牠看起來很睏呢。
EV_Mot_Sp_P093_01	牠正在運送珍珠貝呢。
EV_Mot_Sp_P093_02	看來是正好到了珍珠貝的目的地呢。
EV_Mot_Sp_P094_01	牠好像是在對{[0a00|ffcd0200604f0200b359]}揮手呢。
EV_Mot_Sp_P094_02	牠好像很開心地在游泳呢。
EV_Mot_Sp_P094_03	牠看起來心情很好呢。
EV_Mot_Sp_P094_04	牠正在打理自己的外表呢。
EV_Mot_Sp_P095_02	牠們很要好地在睡覺呢。
EV_Mot_Sp_P095_03	牠們像是很要好地在玩耍呢。
EV_Mot_Sp_P096_01	真是有默契的跳躍呢。
EV_Mot_Sp_P096_02	牠們很要好地在跳舞呢。
EV_Mot_Sp_P097_01	牠們好像是在比力氣呢。
EV_Mot_Sp_P097_02	牠戴著花看起來很時尚呢。
EV_Mot_Sp_P098_01	牠好像很舒服地在跳躍呢。
EV_Mot_Sp_P098_02	牠用盡了全力在跳躍呢。
EV_Mot_Sp_P098_03	牠們很要好地在跳躍呢。
EV_Mot_Sp_P099_02	牠戴著花看起來很時尚呢。
EV_Mot_Sp_P099_03	{[0a00|ffcd0200604f0200b359]}看牠正開心呢。
EV_Mot_Sp_P100_01	牠們可能是在玩追逐遊戲喔。
EV_Mot_Sp_P100_02	牠們好像是在互相嬉鬧呢。
EV_Mot_Sp_P101_01	牠正在用催眠術操縱對方啊。
EV_Mot_Sp_P101_02	牠的擬態真厲害啊。
EV_Mot_Sp_P101_03	牠是正要使用催眠術嗎？
EV_Mot_Sp_P102_01	牠正在曬甲殼嗎？
EV_Mot_Sp_P102_02	牠是在玩泡泡嗎？
EV_Mot_Sp_P102_03	牠正好掉下來了啊。
EV_Mot_Sp_P102_04	要是被捲進這種漩渦裡，一定會暈頭轉向的吧……
EV_Mot_Sp_P102_05	牠乘著拉普拉斯看起來很開心呢。
EV_Mot_Sp_P102_06	牠們可能是在玩追逐遊戲喔。
EV_Mot_Sp_P103_01	牠們很要好地在睡覺呢。
EV_Mot_Sp_P104_02	牠看起來非常開心呢。
EV_Mot_Sp_P104_03	看來大家正在一起享受旋律呢。
EV_Mot_Sp_P104_04	牠正好把輕蘋果烤焦了啊！
EV_Mot_Sp_P105_01	牠們正在互相威嚇呢。
EV_Mot_Sp_P105_02	牠正在攀壁呢。
EV_Mot_Sp_P105_03	牠正在用絲懸掛著自己呢。
EV_Mot_Sp_P105_04	牠是想要幫助對方嗎？
EV_Mot_Sp_P105_05	真難得見到牠待在巢裡啊。
EV_Mot_Sp_P105_06	牠是在威嚇{[0a00|ffcd0200604f0200b359]}嗎？
EV_Mot_Sp_P106_01	牠們很要好地在空中飛翔呢。
EV_Mot_Sp_P106_02	{[0a00|ffcd0200604f0200b359]}看牠正開心呢。
EV_Mot_Sp_P107_01	牠正好把岩石咬碎了呢！
EV_Mot_Sp_P107_02	牠正在咬岩石呢。
EV_Mot_Sp_P107_03	牠使出了鐵尾啊！
EV_Mot_Sp_P107_04	牠好像對{[0a00|ffcd0200604f0200b359]}很好奇呢。
EV_Mot_Sp_P108_01	牠是對晶奇花感到好奇嗎？
EV_Mot_Sp_P108_02	牠正在刮起龍捲風嗎？
EV_Mot_Sp_P108_03	牠是對晶奇花感到好奇嗎？
EV_Mot_Sp_P108_04	牠正在釋放強大的力量呢。
EV_Mot_Sp_P109_02	牠是在和夥伴溝通吧。
EV_Mot_Sp_P109_03	牠正在釋放強大的力量呢。
EV_Mot_Sp_P109_04	牠飛累了正在休息啊。
EV_Mot_Sp_P110_02	牠正在釋放強大的力量呢。
EV_Mot_Sp_P111_01	這是牠單獨1隻時的樣子。
EV_Mot_Sp_P111_02	這是弱丁魚的魚群造成的漩渦啊！
EV_Mot_Sp_P111_03	哇啊！感覺好像就快要被牠吃掉了。
EV_Mot_Sp_P111_04	{[0a00|ffcd0200604f0200b359]}竟然從牠的嘴裡拍攝，太驚人了……
EV_Mot_Sp_P112_01	牠正在跳舞啊。
EV_Mot_Sp_P112_02	牠正在跳舞啊。
EV_Mot_Sp_P112_03	牠們很要好地在睡覺呢。
EV_Mot_Sp_P113_01	牠們很要好地在互相擊掌呢。
EV_Mot_Sp_P113_02	牠遇到了什麼開心的事嗎？
EV_Mot_Sp_P113_03	牠們很要好地在睡覺呢。
EV_Mot_Sp_P113_04	這一踢還帶著火焰，真有炎兔兒的風格呢。
EV_Mot_Sp_P113_05	藍色的火焰！難道是被霓光現象活化的嗎？
EV_Mot_Sp_P113_06	牠看起來非常開心呢。
EV_Mot_Sp_P113_07	牠們很要好地在卡比獸的肚子上睡覺呢。
EV_Mot_Sp_P114_01	牠是在給妙蛙花澆水嗎？
EV_Mot_Sp_P114_02	是水槍的威力太強了嗎？
EV_Mot_Sp_P115_01	牠好像在害怕著什麼呢。
EV_Mot_Sp_P115_02	{[0a00|ffcd0200604f0200b359]}看牠正開心呢。
EV_Mot_Sp_P115_03	牠好像很吃驚呢。
EV_Mot_Sp_P116_02	牠好像在害怕著什麼呢。
EV_Mot_Sp_P116_04	牠是在威嚇嗎？
EV_Mot_Sp_P117_01	{[0a00|ffcd0200604f0200b359]}看牠正開心呢。
EV_Mot_Sp_P117_02	看來牠成功地華麗著地囉。
EV_Mot_Sp_P117_03	牠們可能是在玩追逐遊戲喔。
EV_Mot_Sp_P118_01	牠正在用輕蘋果玩啊。
EV_Mot_Sp_P118_02	牠有3顆頭？啊，抱歉抱歉。這是3隻並排的地鼠啊。
EV_Mot_Sp_P119_01	牠剛好衝了出來呢！
EV_Mot_Sp_P119_02	牠好像在使出念力呢！
EV_Mot_Sp_P120_01	牠好像膨脹得比平時還要大呢。
EV_Mot_Sp_P120_02	哇啊！這大小，簡直是快要爆炸了呢。
EV_Mot_Sp_P120_03	牠被吞食獸給吹飛了啊！
EV_Mot_Sp_P121_01	牠正在餵食呢。
EV_Mot_Sp_P121_02	牠是想要幫助對方嗎？
EV_Mot_Sp_P121_03	牠正抱著牠的孩子呢。
EV_Mot_Sp_P121_04	牠是從育兒袋裡偷溜出來的吧！
EV_Mot_Sp_P122_01	牠使出了攀瀑啊！
EV_Mot_Sp_P122_02	牠是在威嚇{[0a00|ffcd0200604f0200b359]}嗎？
EV_Mot_Sp_P123_01	牠好像對{[0a00|ffcd0200604f0200b359]}很好奇呢。
EV_Mot_Sp_P123_02	牠正吃得津津有味呢。
EV_Mot_Sp_P124_01	牠正在一邊撒落閃閃發亮的粉末，一邊飛翔呢！
EV_Mot_Sp_P124_02	看來牠很想吃輕蘋果呢。
EV_Mot_Sp_P125_01	大家正在一起跳舞啊。
EV_Mot_Sp_P125_02	牠使出揮指了！會發生什麼事呢……？
EV_Mot_Sp_P125_03	牠使出的揮指好像失敗了……
EV_Mot_Sp_P126_01	這真是名副其實的「漂亮的一擊」啊！
EV_Mot_Sp_P126_02	牠正好掉下來了啊。
EV_Mot_Sp_P126_03	看來牠正在用前腳攻擊呢。
EV_Mot_Sp_P127_01	看來牠正在用尾巴攻擊呢。
EV_Mot_Sp_P127_02	牠們正在互相威嚇呢。
EV_Mot_Sp_P128_01	牠是打算要一口吞下去嗎？
EV_Mot_Sp_P128_02	牠正在把毒瓦斯一口吞下嗎？
EV_Mot_Sp_P129_01	牠剛好衝了出來呢！
EV_Mot_Sp_P129_02	牠好像在啃著什麼呢。
EV_Mot_Sp_P130_01	牠正在喝水呢。
EV_Mot_Sp_P130_02	牠正悠閒地飛著呢。
