AlbumSave_UI.msbt
AlbumSave_Top_Help	请选择想要保存到相册的照片。
Evaluation_Start_PhotoBy_Tx	拍摄者
Evaluation_Evaluation_BookPhoto_Tx	图鉴的照片
Evaluation_Evaluation_SubmitPhoto_Tx	这次的照片
Evaluation_AfterClear_ResearchLv_Tx	调查等级
Evaluation_AfterClear_ResearchLv_Num	Lv.{[0301|00cd]}
Evaluation_AfterClear_ResearchLvMax_Num	Lv.MAX
Evaluation_AfterClear_NextLv_Num	距离下一等级还需  {color[0400]}{size[7500]}{[0301|00cd]}{size[6400]}{color[ffff]}
Evaluation_AfterClear_GetExp_Tx	这次的调查点数
Evaluation_AfterClear_GetExp_Num	＋{[0301|00cd]}
Evaluation_AfterClear_CourseScore_Tx	路线得分
Evaluation_AfterClear_HighScore_Tx	最高得分
Evaluation_AfterClear_ProfessorRecommend_Tx	博士的最爱
Evaluation_AfterClear_NewRecord_Tx	NEW RECORD !!
Evaluation_Jingle_ResearchLv_Tx	调查等级
Evaluation_Jingle_LvUp_Tx	升级！
Evaluation_Evaluation_ScoreLow_Num	{[0301|00cd]}
Evaluation_Evaluation_ScoreHigh_Num	{color[0800]}{[0301|00cd]}{color[ffff]}
Evaluation_Evaluation_ScoreHigh2_Num	{color[0000]}{[0301|00cd]}{color[ffff]}
General.msbt
GameTitle_PressStart_Tx	PRESS ANY BUTTON
GameTitle_Copyright_Tx	© 2021 Pokémon/Nintendo/Creatures/GAME FREAK.
Checkpoint1_Tx	姿势
Checkpoint2_Tx	大小
Checkpoint3_Tx	朝向
Checkpoint4_Tx	位置
Checkpoint5_Tx	其他宝可梦
Checkpoint6_Tx	风景
Total_Tx	总计
Score_Tx	SCORE
Button_ZL_Tx	
Button_ZR_Tx	
Button_L_Tx	
Button_R_Tx	
Button_StickL_Tx	
Button_StickR_Tx	
Button_A_Tx	
Button_B_Tx	
Button_X_Tx	
Button_Y_Tx	
NowLoading_Tx	NOW LOADING
AnalysisResult_Tx	Research Result
NotOpen_Tx	？？？
NotExist_Tx	ーーー
Skip_Tx	 跳过
NoTarget_Tx	No Data
Number_Num	No.{[0301|00cd]}
Distance_Unit	km
Ending_Thanks_Tx	Thank you, everyone!
Order_Date_Tx	日期与时间
Order_Name_Tx	名字
Order_Number_Tx	编号
Order_Category_Tx	分类
Order_Score_Tx	得分
Order_Like_Tx	苹果徽章
Order_Shoot_Tx	拍摄
Order_Doing_Tx	进行中
Order_Doing2_Tx	未完成
Order_Done_Tx	已获得
Order_Done2_Tx	已完成
Order_Obtain_Tx	获得顺序
NarrowDown_All_Tx	全部
NarrowDown_Island001_Tx	芙罗蕾岛
NarrowDown_Island002_Tx	美乐斯岛
NarrowDown_Island003_Tx	珂博亚群岛
NarrowDown_Island004_Tx	玻鸥克岛
NarrowDown_Island005_Tx	杜牢斯岛
NarrowDown_Island006_Tx	奥朗岛
NarrowDown_Chara_Tx	人物
NarrowDown_Type_Tx	属性
NarrowDown_Land_Tx	风景
NarrowDown_Tool_Tx	道具
NarrowDown_Mark_Tx	标志
NarrowDown_Nature_Tx	自然
NarrowDown_Fashion_Tx	服饰
NarrowDown_Research_Tx	调查
NarrowDown_Photo_Tx	拍摄
NarrowDown_Book_Tx	图鉴
NarrowDown_Evaluation_Tx	技术
NarrowDown_Action_Tx	行动
NarrowDown_Online_Tx	线上
NarrowDown_RankingTOP_Tx	TOP100
NarrowDown_RankingMy_Tx	你
NarrowDown_RankingFriend_Tx	好友
Reward_Condition_Tx	获得条件
Keyboard_ErrorNgWord_Info	包含无法使用的词语。
Keyboard_ErrorNumbers_Info	最多可输入5个数字。
InitialSetting_UI.msbt
InitialSetting_Save_AutoSave1_Info	本游戏采用自动保存机制。\n出现自动保存图标时，请勿关闭主机电源。
InitialSetting_Language_SelectText1_Info	以哪种语言进行游戏？\n{color[0800]}一旦确定，之后就无法变更。{color[ffff]}
InitialSetting_Language_Jpn_Tx	日本語
InitialSetting_Language_JpnKana_Tx	にほんご
InitialSetting_Language_English_Tx	English
InitialSetting_Language_French_Tx	Français
InitialSetting_Language_Italian_Tx	Italiano
InitialSetting_Language_German_Tx	Deutsch
InitialSetting_Language_Spanish_Tx	Español
InitialSetting_Language_Korean_Tx	한국어
InitialSetting_Language_Cn_Tx	简体中文
InitialSetting_Language_Tw_Tx	繁體中文
InitialSetting_Language_SelectVoice1_Info	请选择角色语音的种类。\n{color[0800]}之后也可以变更。{color[ffff]}
InitialSetting_Language_JpnVoice_Tx	日语
InitialSetting_Language_EnVoice_Tx	英语
InitialSetting_Language_NonVoice_Tx	无语音
InitialSetting_PlayerSetting_SelectAvatar1_Info	请选择你的照片。\n{color[0800]}一旦确定，之后就无法变更。{color[ffff]}
InitialSetting_PlayerSetting_EnterName1_Info	请问你叫什么名字。
InitialSetting_PlayerSetting_EnterName2_Info	之后也可以变更。
InitialSetting_PlayerSetting_FinalCheck1_Info	确定使用以上设定吗？
InitialSetting_PlayerSetting_Yes_Tx	是
InitialSetting_PlayerSetting_No_Tx	否
MainMenu_UI.msbt
MainMenu_Unselected_Help	请选择图标。
MainMenu_Research_Help	出发调查宝可梦。
MainMenu_Research_Icon	Research
MainMenu_Research_PopHelp	调查
MainMenu_Labo_Help	去研究室。
MainMenu_Labo_Icon	Labo
MainMenu_Labo_PopHelp	研究室
MainMenu_Option_Help	更改设置。
MainMenu_Option_Icon	Option
MainMenu_Option_PopHelp	设置
MainMenu_CourseStart_Help	调查研究基地。
MainMenu_CourseStart_PopHelp	在这里拍摄
MainMenu_PictureBook_Help	确认写真图鉴。
MainMenu_PictureBook_Icon	Book
MainMenu_PictureBook_PopHelp	写真图鉴
MainMenu_MySpace_Help	确认与调查有关的数据及相册。
MainMenu_MySpace_Icon	Myspace
MainMenu_MySpace_PopHelp	我的空间
MainMenu_Online_Help	确认大家的照片及排行榜。
MainMenu_Online_Icon	Online
MainMenu_Online_PopHelp	线上
MainMenu_Camp_Help	返回研究基地。
MainMenu_Camp_Icon	Base
MainMenu_Camp_PopHelp	研究基地
MapSelect_UI.msbt
MapSelect_StageSelect_Head	蓝蒂尔地图
MapSelect_StageSelect_Help	请选择要调查的区域。
MapSelect_CourseSelect_Help	请选择要调查的路线。
MapSelect_CourseSelect_CourseLv_Tx	调查等级
MapSelect_CourseSelect_CourseLv_Num	Lv. {[0301|00cd]}
MapSelect_CourseSelect_CourseLvMax_Num	Lv. MAX
MapSelect_CourseSelect_NextLv_Num	距离下一等级还需  {color[0700]}{size[7500]}{[0301|00cd]}{size[6400]}{color[ffff]}
MapSelect_CourseSelect_HighScore_Tx	最高得分
MapSelect_CourseSelect_ChangeCourseLv_Tx	按  更改调查等级
MapSelect_CourseSelect_ChangeCourseLv1_Tx	Lv. 1
MapSelect_CourseSelect_ChangeCourseLv2_Tx	Lv. 2
MapSelect_CourseSelect_ChangeCourseLv3_Tx	Lv. 3
MapSelect_CourseSelect_ChangeCourseLv_Info	选择调查等级并开始。
MySpaceAlbum_UI.msbt
MySpaceAlbum_Top_Help	请选择想要确认的照片。
MySpaceAlbum_Top_Head	相册
MySpaceAlbum_Top_CountPhotoRecord_Tx	保存照片数
MySpaceAlbum_Top_DeleteMode_On_Tx	批量删除
MySpaceAlbum_Top_DeleteMode_On_Help	批量选择想要删除的照片。
MySpaceAlbum_Top_DeleteMode_Tx	取消
MySpaceAlbum_Top_DeleteMode_Help	请选择想要删除的照片。
MySpaceAlbum_Top_Delete_Active_Tx	删除
MySpaceAlbum_Top_Delete_Active_Help	批量删除所选择的照片。
MySpaceAlbum_Top_Nothing_Tx	没有可以显示的数据。
MySpaceAlbum_Top_DeleteMode_Off_Help	取消选择要删除的照片。
MySpacePlayerData_UI.msbt
PlayerData_Head	调查记录
PlayerData_Help	可以确认调查记录。
PlayerData_TabBasic_Tx	基本
PlayerData_TabScore_Tx	得分
PlayerData_TabPhoto_Tx	拍摄
PlayerData_TabAction_Tx	行动
PlayerData_TabOnline_Tx	线上
PlayerData_PlayTime_Tx	游戏时间
PlayerData_PlayCourse_Tx	调查次数
PlayerData_ResearchPtTotal_Tx	图鉴总得分
PlayerData_CountPhoto_Tx	拍摄的照片数
PlayerData_CountPhotoSubmit_Tx	交给博士看的照片数
PlayerData_CountPokeEntry_Tx	已添加的宝可梦
PlayerData_CountPhotoEntry_Tx	已添加的宝可梦照片
PlayerData_Distance_Total_Tx	已移动的距离
PlayerData_HighScore_Star1_Tx	★1　最高得分
PlayerData_HighScore_Star2_Tx	★2　最高得分
PlayerData_HighScore_Star3_Tx	★3　最高得分
PlayerData_HighScore_Star4_Tx	★4　最高得分
PlayerData_CourseScore_Tx	路线得分
PlayerData_CourseScore_TotalScore_Tx	    总得分
PlayerData_CourseScore_HighScore_Num	    最高得分　{[0301|00cd]}
PlayerData_CountPhoto_Poke_Tx	拍摄宝可梦的照片数
PlayerData_CountPhoto_Flower_Tx	拍摄晶奇花的照片数
PlayerData_CountPhoto_Remains_Tx	拍摄古代遗迹的照片数
PlayerData_CountPhoto_NoTarget_Tx	没有主角的照片数
PlayerData_CountPhoto_Star1_Tx	★1的照片数
PlayerData_CountPhoto_Star2_Tx	★2的照片数
PlayerData_CountPhoto_Star3_Tx	★3的照片数
PlayerData_CountPhoto_Star4_Tx	★4的照片数
PlayerData_ActionFood_Tx	丢出轻苹果的次数
PlayerData_ActionBall_Tx	丢出霓光珠的次数
PlayerData_ActionSearch_Tx	使用搜索的次数
PlayerData_ActionMelody_Tx	使用旋律的次数
PlayerData_ActionTurbo_Tx	使用提速移动的距离
PlayerData_CountLike_TotalGet_Tx	获得的苹果徽章数
PlayerData_CountLike_HighScore_Tx	1张照片获得的最多苹果徽章数
PlayerData_CountLike_TotalGive_Tx	赠送的苹果徽章数
PlayerData_CountPhoto_Upload_Tx	自己上传至线上的照片数
PlayerData_CountPhoto_ProfessorRecommend_Tx	博士上传至线上的照片数
MySpaceTitle_Info.msbt
Title001_Info2	初次调查{color[0000]}芙罗蕾自然公园{color[ffff]}。
Title002_Info2	在{color[0000]}芙罗蕾自然公园{color[ffff]}发现了\n{color[0000]}通往大牙狸的水坝的路线{color[ffff]}。
Title005_Info2	在{color[0000]}研究基地{color[ffff]}发现了\n{color[0000]}通往研究所内部的路线{color[ffff]}。
Title006_Info2	初次调查{color[0000]}美乐斯岛{color[ffff]}。
Title007_Info2	在{color[0000]}秘界丛林{color[ffff]}发现了\n{color[0000]}通往沼泽的路线{color[ffff]}。
Title008_Info2	在{color[0000]}秘界丛林{color[ffff]}发现了\n{color[0000]}通往瀑布后面的路线{color[ffff]}。
Title010_Info2	在{color[0000]}多奇思季森林{color[ffff]}经历了\n{color[0000]}春夏秋冬4个季节{color[ffff]}。
Title011_Info2	在{color[0000]}多奇思季森林{color[ffff]}发现了\n{color[0000]}通往向阳处的路线{color[ffff]}。
Title012_Info2	初次调查{color[0000]}珂博亚群岛{color[ffff]}。
Title013_Info2	在{color[0000]}霓基柔海滩{color[ffff]}发现了\n{color[0000]}通往隐藏沙滩的路线{color[ffff]}。
Title014_Info2	在{color[0000]}珂博亚岩礁{color[ffff]}发现了\n{color[0000]}经过吼鲸王头部旁的路线{color[ffff]}。
Title015_Info2	在{color[0000]}珂博亚岩礁{color[ffff]}发现了\n{color[0000]}通往蓝洞的路线{color[ffff]}。
Title016_Info2	在{color[0000]}蓝蒂尔海床{color[ffff]}发现了\n{color[0000]}通往海中洞窟的路线{color[ffff]}。
Title017_Info2	初次调查{color[0000]}玻鸥克岛{color[ffff]}。
Title018_Info2	在{color[0000]}尼撒沙漠{color[ffff]}调查过了\n{color[0000]}绿洲周围所有的路线{color[ffff]}。
Title020_Info2	在{color[0000]}多熔火山{color[ffff]}发现了\n{color[0000]}通往蓝色熔岩洞窟的路线{color[ffff]}。
Title021_Info2	将霓光宝可梦{color[0000]}火神蛾{color[ffff]}\n添加到了写真图鉴。
Title022_Info2	初次调查{color[0000]}杜牢斯岛{color[ffff]}。
Title023_Info2	在{color[0000]}希埃冷雪原{color[ffff]}发现了\n{color[0000]}通往雪墙另一边的路线{color[ffff]}。
Title024_Info2	在{color[0000]}希埃冷雪原{color[ffff]}发现了\n{color[0000]}通往冰之洞窟的路线{color[ffff]}。
Title025_Info2	在{color[0000]}哈那离洞窟{color[ffff]}发现了\n{color[0000]}通往巨大结晶的路线{color[ffff]}。
Title026_Info2	在{color[0000]}哈那离洞窟{color[ffff]}发现了\n{color[0000]}通往缘石池的路线{color[ffff]}。
Title027_Info2	在{color[0000]}哈那离洞窟{color[ffff]}发现了\n{color[0000]}通往地底空间墙壁另一边的路线{color[ffff]}。
Title028_Info2	初次调查{color[0000]}奥朗岛{color[ffff]}。
Title029_Info2	在{color[0000]}矢欧护遗迹{color[ffff]}发现了\n{color[0000]}通往地面的光之道路{color[ffff]}。
Title030_Info2	将霓光宝可梦{color[0000]}哲尔尼亚斯{color[ffff]}\n添加到了写真图鉴。
Title031_Info2	调查过了一遍蓝蒂尔地区。
Title032_Info1	将{color[0000]}1{color[ffff]}条路线的调查等级提升到MAX。
Title032_Info2	将{color[0000]}1{color[ffff]}条路线的调查等级提升到了MAX。
Title033_Info1	将{color[0000]}{[0301|00cd]}{color[ffff]}条路线的调查等级提升到MAX。\n（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title033_Info2	将{color[0000]}{[0301|00cd]}{color[ffff]}条路线的调查等级提升到了MAX。
Title034_Info1	将{color[0000]}{[0301|00cd]}{color[ffff]}条路线的调查等级提升到MAX。\n（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title034_Info2	将{color[0000]}{[0301|00cd]}{color[ffff]}条路线的调查等级提升到了MAX。
Title035_Info1	将{color[0000]}{[0301|00cd]}{color[ffff]}条路线的调查等级提升到MAX。\n（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title035_Info2	将{color[0000]}{[0301|00cd]}{color[ffff]}条路线的调查等级提升到了MAX。
Title036_Info1	将所有路线的调查等级提升到MAX。
Title036_Info2	将所有路线的调查等级提升到了MAX。
Title037_Info1	总计拍摄{color[0000]}{[0301|00cd]}{color[ffff]}张照片。\n（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title037_Info2	总计拍摄了{color[0000]}{[0301|00cd]}{color[ffff]}张照片。
Title038_Info1	总计拍摄{color[0000]}{[0301|00cd]}{color[ffff]}张照片。\n（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title038_Info2	总计拍摄了{color[0000]}{[0301|00cd]}{color[ffff]}张照片。
Title039_Info1	总计拍摄{color[0000]}{[0301|00cd]}{color[ffff]}张照片。\n（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title039_Info2	总计拍摄了{color[0000]}{[0301|00cd]}{color[ffff]}张照片。
Title040_Info1	总计拍摄{color[0000]}{[0301|00cd]}{color[ffff]}张照片。\n（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title040_Info2	总计拍摄了{color[0000]}{[0301|00cd]}{color[ffff]}张照片。
Title041_Info1	总计拍摄{color[0000]}{[0301|00cd]}{color[ffff]}张照片。\n（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title041_Info2	总计拍摄了{color[0000]}{[0301|00cd]}{color[ffff]}张照片。
Title042_Info1	总计拍摄{color[0000]}{[0301|00cd]}{color[ffff]}张照片。\n（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title042_Info2	总计拍摄了{color[0000]}{[0301|00cd]}{color[ffff]}张照片。
Title043_Info1	总计拍摄{color[0000]}{[0301|00cd]}{color[ffff]}张照片。\n（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title043_Info2	总计拍摄了{color[0000]}{[0301|00cd]}{color[ffff]}张照片。
Title044_Info1	在一次调查中拍摄{color[0000]}{[0301|00cd]}{color[ffff]}种\n宝可梦的{color[0000]}★3{color[ffff]}照片。
Title044_Info2	在一次调查中拍摄了{color[0000]}{[0301|00cd]}{color[ffff]}种\n宝可梦的{color[0000]}★3{color[ffff]}照片。
Title045_Info1	在一次调查中拍摄{color[0000]}{[0301|00cd]}{color[ffff]}种\n宝可梦的{color[0000]}★4{color[ffff]}照片。
Title045_Info2	在一次调查中拍摄了{color[0000]}{[0301|00cd]}{color[ffff]}种\n宝可梦的{color[0000]}★4{color[ffff]}照片。
Title046_Info1	总计给博士看{color[0000]}{[0301|00cd]}{color[ffff]}张\n相同宝可梦的照片。（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title046_Info2	总计给博士看了{color[0000]}{[0301|00cd]}{color[ffff]}张\n相同宝可梦的照片。
Title047_Info2	总计拍摄了{color[0000]}{[0301|00cd]}{color[ffff]}张\n没有主角的照片。
Title048_Info1	总计给博士看{color[0000]}{[0301|00cd]}{color[ffff]}种\n正在移动的宝可梦的照片。（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title048_Info2	总计给博士看了{color[0000]}{[0301|00cd]}{color[ffff]}种\n正在移动的宝可梦的照片。
Title049_Info1	总计给博士看{color[0000]}{[0301|00cd]}{color[ffff]}种\n正在进食的宝可梦的照片。（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title049_Info2	总计给博士看了{color[0000]}{[0301|00cd]}{color[ffff]}种\n正在进食的宝可梦的照片。
Title050_Info1	总计给博士看{color[0000]}{[0301|00cd]}{color[ffff]}种\n高兴的宝可梦的照片。（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title050_Info2	总计给博士看了{color[0000]}{[0301|00cd]}{color[ffff]}种\n高兴的宝可梦的照片。
Title051_Info1	总计拍摄{color[0000]}{[0301|00cd]}{color[ffff]}种\n做出特别行动的宝可梦的照片。（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title051_Info2	总计拍摄了{color[0000]}{[0301|00cd]}{color[ffff]}种\n做出特别行动的宝可梦的照片。
Title052_Info1	总计给博士看{color[0000]}{[0301|00cd]}{color[ffff]}种\n正在睡觉的宝可梦的照片。（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title052_Info2	总计给博士看了{color[0000]}{[0301|00cd]}{color[ffff]}种\n正在睡觉的宝可梦的照片。
Title053_Info1	总计给博士看{color[0000]}{[0301|00cd]}{color[ffff]}种\n正在游泳的宝可梦的照片。（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title053_Info2	总计给博士看了{color[0000]}{[0301|00cd]}{color[ffff]}种\n正在游泳的宝可梦的照片。
Title054_Info1	总计给博士看{color[0000]}{[0301|00cd]}{color[ffff]}种\n正在飞行的宝可梦的照片。（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title054_Info2	总计给博士看了{color[0000]}{[0301|00cd]}{color[ffff]}种\n正在飞行的宝可梦的照片。
Title056_Info1	总计将{color[0000]}{[0301|00cd]}{color[ffff]}种{color[0000]}★1{color[ffff]}照片\n添加到写真图鉴。（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title056_Info2	总计将{color[0000]}{[0301|00cd]}{color[ffff]}种{color[0000]}★1{color[ffff]}照片\n添加到了写真图鉴。
Title057_Info1	总计将{color[0000]}{[0301|00cd]}{color[ffff]}种{color[0000]}★2{color[ffff]}照片\n添加到写真图鉴。（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title057_Info2	总计将{color[0000]}{[0301|00cd]}{color[ffff]}种{color[0000]}★2{color[ffff]}照片\n添加到了写真图鉴。
Title058_Info1	总计将{color[0000]}{[0301|00cd]}{color[ffff]}种{color[0000]}★3{color[ffff]}照片\n添加到写真图鉴。（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title058_Info2	总计将{color[0000]}{[0301|00cd]}{color[ffff]}种{color[0000]}★3{color[ffff]}照片\n添加到了写真图鉴。
Title059_Info1	总计将{color[0000]}{[0301|00cd]}{color[ffff]}种{color[0000]}★4{color[ffff]}照片\n添加到写真图鉴。（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title059_Info2	总计将{color[0000]}{[0301|00cd]}{color[ffff]}种{color[0000]}★4{color[ffff]}照片\n添加到了写真图鉴。
Title062_Info1	总计拍摄{color[0000]}{[0301|00cd]}{color[ffff]}张{color[0000]}金{color[ffff]}评价的照片。\n（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title062_Info2	总计拍摄了{color[0000]}{[0301|00cd]}{color[ffff]}张{color[0000]}金{color[ffff]}评价的照片。
Title063_Info1	总计拍摄{color[0000]}{[0301|00cd]}{color[ffff]}张{color[0000]}钻石{color[ffff]}评价的照片。\n（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title063_Info2	总计拍摄了{color[0000]}{[0301|00cd]}{color[ffff]}张{color[0000]}钻石{color[ffff]}评价的照片。
Title064_Info1	将{color[0000]}{[0301|00cd]}{color[ffff]}种{color[0000]}虫属性{color[ffff]}宝可梦的照片\n添加到写真图鉴。（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title064_Info2	将{color[0000]}{[0301|00cd]}{color[ffff]}种{color[0000]}虫属性{color[ffff]}宝可梦的照片\n添加到了写真图鉴。
Title065_Info1	将{color[0000]}{[0301|00cd]}{color[ffff]}种{color[0000]}电属性{color[ffff]}宝可梦的照片\n添加到写真图鉴。（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title065_Info2	将{color[0000]}{[0301|00cd]}{color[ffff]}种{color[0000]}电属性{color[ffff]}宝可梦的照片\n添加到了写真图鉴。
Title066_Info1	将{color[0000]}{[0301|00cd]}{color[ffff]}种{color[0000]}水属性{color[ffff]}宝可梦的照片\n添加到写真图鉴。（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title066_Info2	将{color[0000]}{[0301|00cd]}{color[ffff]}种{color[0000]}水属性{color[ffff]}宝可梦的照片\n添加到了写真图鉴。
Title067_Info1	将{color[0000]}{[0301|00cd]}{color[ffff]}种{color[0000]}恶属性{color[ffff]}宝可梦的照片\n添加到写真图鉴。（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title067_Info2	将{color[0000]}{[0301|00cd]}{color[ffff]}种{color[0000]}恶属性{color[ffff]}宝可梦的照片\n添加到了写真图鉴。
Title068_Info1	将{color[0000]}{[0301|00cd]}{color[ffff]}种{color[0000]}妖精属性{color[ffff]}宝可梦的照片\n添加到写真图鉴。（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title068_Info2	将{color[0000]}{[0301|00cd]}{color[ffff]}种{color[0000]}妖精属性{color[ffff]}宝可梦的照片\n添加到了写真图鉴。
Title069_Info1	将{color[0000]}{[0301|00cd]}{color[ffff]}种{color[0000]}草属性{color[ffff]}宝可梦的照片\n添加到写真图鉴。（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title069_Info2	将{color[0000]}{[0301|00cd]}{color[ffff]}种{color[0000]}草属性{color[ffff]}宝可梦的照片\n添加到了写真图鉴。
Title070_Info1	将{color[0000]}{[0301|00cd]}{color[ffff]}种{color[0000]}火属性{color[ffff]}宝可梦的照片\n添加到写真图鉴。（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title070_Info2	将{color[0000]}{[0301|00cd]}{color[ffff]}种{color[0000]}火属性{color[ffff]}宝可梦的照片\n添加到了写真图鉴。
Title071_Info1	将{color[0000]}{[0301|00cd]}{color[ffff]}种{color[0000]}超能力属性{color[ffff]}宝可梦的照片\n添加到写真图鉴。（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title071_Info2	将{color[0000]}{[0301|00cd]}{color[ffff]}种{color[0000]}超能力属性{color[ffff]}宝可梦的照片\n添加到了写真图鉴。
Title072_Info1	将{color[0000]}{[0301|00cd]}{color[ffff]}种{color[0000]}幽灵属性{color[ffff]}宝可梦的照片\n添加到写真图鉴。（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title072_Info2	将{color[0000]}{[0301|00cd]}{color[ffff]}种{color[0000]}幽灵属性{color[ffff]}宝可梦的照片\n添加到了写真图鉴。
Title073_Info1	将{color[0000]}{[0301|00cd]}{color[ffff]}种{color[0000]}毒属性{color[ffff]}宝可梦的照片\n添加到写真图鉴。（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title073_Info2	将{color[0000]}{[0301|00cd]}{color[ffff]}种{color[0000]}毒属性{color[ffff]}宝可梦的照片\n添加到了写真图鉴。
Title074_Info1	将{color[0000]}{[0301|00cd]}{color[ffff]}种{color[0000]}格斗属性{color[ffff]}宝可梦的照片\n添加到写真图鉴。（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title074_Info2	将{color[0000]}{[0301|00cd]}{color[ffff]}种{color[0000]}格斗属性{color[ffff]}宝可梦的照片\n添加到了写真图鉴。
Title075_Info1	将{color[0000]}{[0301|00cd]}{color[ffff]}种{color[0000]}地面属性{color[ffff]}宝可梦的照片\n添加到写真图鉴。（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title075_Info2	将{color[0000]}{[0301|00cd]}{color[ffff]}种{color[0000]}地面属性{color[ffff]}宝可梦的照片\n添加到了写真图鉴。
Title076_Info1	将{color[0000]}{[0301|00cd]}{color[ffff]}种{color[0000]}岩石属性{color[ffff]}宝可梦的照片\n添加到写真图鉴。（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title076_Info2	将{color[0000]}{[0301|00cd]}{color[ffff]}种{color[0000]}岩石属性{color[ffff]}宝可梦的照片\n添加到了写真图鉴。
Title077_Info1	将{color[0000]}{[0301|00cd]}{color[ffff]}种{color[0000]}龙属性{color[ffff]}宝可梦的照片\n添加到写真图鉴。（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
Title077_Info2	将{color[0000]}{[0301|00cd]}{color[ffff]}种{color[0000]}龙属性{color[ffff]}宝可梦的照片\n添加到了写真图鉴。
Title078_Info1	将{color[0000]}{[0301|00cd]}{color[ffff]}种{color[0000]}冰属性{color[ffff]}宝可梦的照片\n添加到写真图鉴。（{color[0000]}{[0302|00cd]}{color[ffff]}/{color[0000]}{[0301|00cd]}{color[ffff]}）
