advresult.dat
msg_ui_advresult_00_01	調查報告
BTL_STRID_SET_UseItem_PriorityUpOnce_E	[~ 1390]
BTL_STRID_SET_UseItem_PriorityUpOnce_T	[~ 1391]
BTL_STRID_SET_UseItem_HitRatioUpOnce	[~ 1392]
BTL_STRID_SET_UseItem_HitRatioUpOnce_Y	[~ 1393]
BTL_STRID_SET_UseItem_HitRatioUpOnce_E	[~ 1394]
BTL_STRID_SET_UseItem_HitRatioUpOnce_T	[~ 1395]
BTL_STRID_SET_UseItem_DamageOpponent	[~ 1396]
BTL_STRID_SET_UseItem_DamageOpponent_2Y	[~ 1397]
BTL_STRID_SET_UseItem_DamageOpponent_2E	[~ 1398]
BTL_STRID_SET_UseItem_DamageOpponent_2T	[~ 1399]
BTL_STRID_SET_UseItem_DamageOpponent_Y	[~ 1400]
BTL_STRID_SET_UseItem_DamageOpponent_Y2Y	[~ 1401]
BTL_STRID_SET_UseItem_DamageOpponent_E	[~ 1402]
BTL_STRID_SET_UseItem_DamageOpponent_E2E	[~ 1403]
BTL_STRID_SET_UseItem_DamageOpponent_T	[~ 1404]
BTL_STRID_SET_UseItem_DamageOpponent_T2T	[~ 1405]
BTL_STRID_SET_UseItem_Damage	[~ 1406]
BTL_STRID_SET_UseItem_Damage_Y	[~ 1407]
BTL_STRID_SET_UseItem_Damage_E	[~ 1408]
BTL_STRID_SET_UseItem_Damage_T	[~ 1409]
BTL_STRID_SET_KiaiDame	[VAR 0102(0000)]\n現在幹勁十足！
BTL_STRID_SET_KiaiDame_Y	野生的[VAR 0102(0000)]\n現在幹勁十足！
BTL_STRID_SET_KiaiDame_E	對手的[VAR 0102(0000)]\n現在幹勁十足！
BTL_STRID_SET_KiaiDame_T	[VAR 0100(000A)]的[VAR 0102(0000)]\n現在幹勁十足！
BTL_STRID_SET_Tedasuke	[~ 1414]
BTL_STRID_SET_Tedasuke_Y	[~ 1415]
BTL_STRID_SET_Tedasuke_E	[~ 1416]
BTL_STRID_SET_Tedasuke_T	[~ 1417]
BTL_STRID_SET_JikoAnji	[~ 1418]
BTL_STRID_SET_JikoAnji_Y	[~ 1419]
BTL_STRID_SET_JikoAnji_E	[~ 1420]
BTL_STRID_SET_JikoAnji_T	[~ 1421]
BTL_STRID_SET_Hatakiotosu	[~ 1422]
BTL_STRID_SET_Hatakiotosu_2Y	[~ 1423]
BTL_STRID_SET_Hatakiotosu_2E	[~ 1424]
BTL_STRID_SET_Hatakiotosu_2T	[~ 1425]
BTL_STRID_SET_Hatakiotosu_Y	[~ 1426]
BTL_STRID_SET_Hatakiotosu_Y2Y	[~ 1427]
BTL_STRID_SET_Hatakiotosu_E	[~ 1428]
BTL_STRID_SET_Hatakiotosu_E2E	[~ 1429]
BTL_STRID_SET_Hatakiotosu_T	[~ 1430]
BTL_STRID_SET_Hatakiotosu_T2T	[~ 1431]
BTL_STRID_SET_Dorobou	[~ 1432]
BTL_STRID_SET_Dorobou_2Y	[~ 1433]
BTL_STRID_SET_Dorobou_2E	[~ 1434]
BTL_STRID_SET_Dorobou_2T	[~ 1435]
BTL_STRID_SET_Dorobou_Y	[~ 1436]
BTL_STRID_SET_Dorobou_Y2Y	[~ 1437]
BTL_STRID_SET_Dorobou_E	[~ 1438]
BTL_STRID_SET_Dorobou_E2E	[~ 1439]
BTL_STRID_SET_Dorobou_T	[~ 1440]
BTL_STRID_SET_Dorobou_T2T	[~ 1441]
BTL_STRID_SET_Noroi	[~ 1442]
BTL_STRID_SET_Noroi_2Y	[~ 1443]
BTL_STRID_SET_Noroi_2E	[~ 1444]
BTL_STRID_SET_Noroi_2T	[~ 1445]
BTL_STRID_SET_Noroi_Y	[~ 1446]
BTL_STRID_SET_Noroi_Y2Y	[~ 1447]
BTL_STRID_SET_Noroi_E	[~ 1448]
BTL_STRID_SET_Noroi_E2E	[~ 1449]
BTL_STRID_SET_Noroi_T	[~ 1450]
BTL_STRID_SET_Noroi_T2T	[~ 1451]
BTL_STRID_SET_NoroiDamage	[~ 1452]
BTL_STRID_SET_NoroiDamage_Y	[~ 1453]
BTL_STRID_SET_NoroiDamage_E	[~ 1454]
BTL_STRID_SET_NoroiDamage_T	[~ 1455]
BTL_STRID_SET_Miraiyoti	[~ 1456]
BTL_STRID_SET_Miraiyoti_Y	[~ 1457]
BTL_STRID_SET_Miraiyoti_E	[~ 1458]
BTL_STRID_SET_Miraiyoti_T	[~ 1459]
BTL_STRID_SET_HametuNoNegai	[~ 1460]
BTL_STRID_SET_HametuNoNegai_Y	[~ 1461]
BTL_STRID_SET_HametuNoNegai_E	[~ 1462]
BTL_STRID_SET_HametuNoNegai_T	[~ 1463]
BTL_STRID_SET_DelayAttack	[~ 1464]
BTL_STRID_SET_DelayAttack_Y	[~ 1465]
BTL_STRID_SET_DelayAttack_E	[~ 1466]
BTL_STRID_SET_DelayAttack_T	[~ 1467]
BTL_STRID_SET_JyuryokuFall	[~ 1468]
BTL_STRID_SET_JyuryokuFall_Y	[~ 1469]
BTL_STRID_SET_JyuryokuFall_E	[~ 1470]
BTL_STRID_SET_JyuryokuFall_T	[~ 1471]
BTL_STRID_SET_JyuryokuWazaFail	[~ 1472]
BTL_STRID_SET_JyuryokuWazaFail_Y	[~ 1473]
BTL_STRID_SET_JyuryokuWazaFail_E	[~ 1474]
BTL_STRID_SET_JyuryokuWazaFail_T	[~ 1475]
BTL_STRID_SET_MirrorType	[~ 1476]
BTL_STRID_SET_MirrorType_2Y	[~ 1477]
BTL_STRID_SET_MirrorType_2E	[~ 1478]
BTL_STRID_SET_MirrorType_2T	[~ 1479]
BTL_STRID_SET_MirrorType_Y	[~ 1480]
BTL_STRID_SET_MirrorType_Y2Y	[~ 1481]
BTL_STRID_SET_MirrorType_E	[~ 1482]
BTL_STRID_SET_MirrorType_E2E	[~ 1483]
BTL_STRID_SET_MirrorType_T	[~ 1484]
BTL_STRID_SET_MirrorType_T2T	[~ 1485]
BTL_STRID_SET_PowerShare	[~ 1486]
BTL_STRID_SET_PowerShare_Y	[~ 1487]
BTL_STRID_SET_PowerShare_E	[~ 1488]
BTL_STRID_SET_PowerShare_T	[~ 1489]
BTL_STRID_SET_GuardShare	[~ 1490]
BTL_STRID_SET_GuardShare_Y	[~ 1491]
BTL_STRID_SET_GuardShare_E	[~ 1492]
BTL_STRID_SET_GuardShare_T	[~ 1493]
BTL_STRID_SET_BodyPurge	[~ 1494]
BTL_STRID_SET_BodyPurge_Y	[~ 1495]
BTL_STRID_SET_BodyPurge_E	[~ 1496]
BTL_STRID_SET_BodyPurge_T	[~ 1497]
BTL_STRID_SET_HajikeruHonoo_Side	[~ 1498]
BTL_STRID_SET_HajikeruHonoo_Side_Y	[~ 1499]
BTL_STRID_SET_HajikeruHonoo_Side_E	[~ 1500]
BTL_STRID_SET_HajikeruHonoo_Side_T	[~ 1501]
BTL_STRID_SET_Yakitukusu	[~ 1502]
BTL_STRID_SET_Yakitukusu_Y	[~ 1503]
BTL_STRID_SET_Yakitukusu_E	[~ 1504]
BTL_STRID_SET_Yakitukusu_T	[~ 1505]
BTL_STRID_SET_GiftPass	[~ 1506]
BTL_STRID_SET_GiftPass_2Y	[~ 1507]
BTL_STRID_SET_GiftPass_2E	[~ 1508]
BTL_STRID_SET_GiftPass_2T	[~ 1509]
BTL_STRID_SET_GiftPass_Y	[~ 1510]
BTL_STRID_SET_GiftPass_Y2Y	[~ 1511]
BTL_STRID_SET_GiftPass_E	[~ 1512]
BTL_STRID_SET_GiftPass_E2E	[~ 1513]
BTL_STRID_SET_GiftPass_T	[~ 1514]
BTL_STRID_SET_GiftPass_T2T	[~ 1515]
BTL_STRID_SET_FreeFall	[~ 1516]
BTL_STRID_SET_FreeFall_2Y	[~ 1517]
BTL_STRID_SET_FreeFall_2E	[~ 1518]
BTL_STRID_SET_FreeFall_2T	[~ 1519]
BTL_STRID_SET_FreeFall_Y	[~ 1520]
BTL_STRID_SET_FreeFall_Y2Y	[~ 1521]
BTL_STRID_SET_FreeFall_E	[~ 1522]
BTL_STRID_SET_FreeFall_E2E	[~ 1523]
BTL_STRID_SET_FreeFall_T	[~ 1524]
BTL_STRID_SET_FreeFall_T2T	[~ 1525]
BTL_STRID_SET_FreeFall_End	[~ 1526]
BTL_STRID_SET_FreeFall_End_Y	[~ 1527]
BTL_STRID_SET_FreeFall_End_E	[~ 1528]
BTL_STRID_SET_FreeFall_End_T	[~ 1529]
BTL_STRID_SET_Utiotosu	[~ 1530]
BTL_STRID_SET_Utiotosu_Y	[~ 1531]
BTL_STRID_SET_Utiotosu_E	[~ 1532]
BTL_STRID_SET_Utiotosu_T	[~ 1533]
BTL_STRID_SET_Sakiokuri	[~ 1534]
BTL_STRID_SET_Sakiokuri_Y	[~ 1535]
BTL_STRID_SET_Sakiokuri_E	[~ 1536]
BTL_STRID_SET_Sakiokuri_T	[~ 1537]
BTL_STRID_SET_OsakiniDouzo	[~ 1538]
BTL_STRID_SET_OsakiniDouzo_Y	[~ 1539]
BTL_STRID_SET_OsakiniDouzo_E	[~ 1540]
BTL_STRID_SET_OsakiniDouzo_T	[~ 1541]
BTL_STRID_SET_SideChange	[~ 1542]
BTL_STRID_SET_SideChange_Y	[~ 1543]
BTL_STRID_SET_SideChange_E	[~ 1544]
BTL_STRID_SET_SideChange_T	[~ 1545]
BTL_STRID_SET_Telekinesis	[~ 1546]
BTL_STRID_SET_Telekinesis_Y	[~ 1547]
BTL_STRID_SET_Telekinesis_E	[~ 1548]
BTL_STRID_SET_Telekinesis_T	[~ 1549]
BTL_STRID_SET_Telekinesis_End	[~ 1550]
BTL_STRID_SET_Telekinesis_End_Y	[~ 1551]
BTL_STRID_SET_Telekinesis_End_E	[~ 1552]
BTL_STRID_SET_Telekinesis_End_T	[~ 1553]
BTL_STRID_SET_CombiWazaReady	[~ 1554]
BTL_STRID_SET_CombiWazaReady_2Y	[~ 1555]
BTL_STRID_SET_CombiWazaReady_2E	[~ 1556]
BTL_STRID_SET_CombiWazaReady_2T	[~ 1557]
BTL_STRID_SET_CombiWazaReady_Y	[~ 1558]
BTL_STRID_SET_CombiWazaReady_Y2Y	[~ 1559]
BTL_STRID_SET_CombiWazaReady_E	[~ 1560]
BTL_STRID_SET_CombiWazaReady_E2E	[~ 1561]
BTL_STRID_SET_CombiWazaReady_T	[~ 1562]
BTL_STRID_SET_CombiWazaReady_T2T	[~ 1563]
BTL_STRID_SET_CombiWazaStart	[~ 1564]
BTL_STRID_SET_CombiWazaStart_Y	[~ 1565]
BTL_STRID_SET_CombiWazaStart_E	[~ 1566]
BTL_STRID_SET_CombiWazaStart_T	[~ 1567]
BTL_STRID_SET_BurningDamage	[~ 1568]
BTL_STRID_SET_BurningDamage_Y	[~ 1569]
BTL_STRID_SET_BurningDamage_E	[~ 1570]
BTL_STRID_SET_BurningDamage_T	[~ 1571]
BTL_STRID_SET_MegaEvoStart	[~ 1572]
BTL_STRID_SET_MegaEvoStart_Y	[~ 1573]
BTL_STRID_SET_MegaEvoStart_E	[~ 1574]
BTL_STRID_SET_MegaEvoStart_T	[~ 1575]
BTL_STRID_SET_MegaEvo	[~ 1576]
BTL_STRID_SET_MegaEvo_Y	[~ 1577]
BTL_STRID_SET_MegaEvo_E	[~ 1578]
BTL_STRID_SET_MegaEvo_T	[~ 1579]
BTL_STRID_SET_Kyoumei	[~ 1580]
BTL_STRID_SET_Kyoumei_Y	[~ 1581]
BTL_STRID_SET_Kyoumei_E	[~ 1582]
BTL_STRID_SET_Kyoumei_T	[~ 1583]
BTL_STRID_SET_Izanau	[~ 1584]
BTL_STRID_SET_Izanau_Y	[~ 1585]
BTL_STRID_SET_Izanau_E	[~ 1586]
BTL_STRID_SET_Izanau_T	[~ 1587]
BTL_STRID_SET_Hikkurikaesu	[~ 1588]
BTL_STRID_SET_Hikkurikaesu_Y	[~ 1589]
BTL_STRID_SET_Hikkurikaesu_E	[~ 1590]
BTL_STRID_SET_Hikkurikaesu_T	[~ 1591]
BTL_STRID_SET_FlowerVeil	[~ 1592]
BTL_STRID_SET_FlowerVeil_Y	[~ 1593]
BTL_STRID_SET_FlowerVeil_E	[~ 1594]
BTL_STRID_SET_FlowerVeil_T	[~ 1595]
BTL_STRID_SET_MentalVeil	[~ 1596]
BTL_STRID_SET_MentalVeil_Y	[~ 1597]
BTL_STRID_SET_MentalVeil_E	[~ 1598]
BTL_STRID_SET_MentalVeil_T	[~ 1599]
BTL_STRID_SET_SweetVeil	[~ 1600]
BTL_STRID_SET_SweetVeil_Y	[~ 1601]
BTL_STRID_SET_SweetVeil_E	[~ 1602]
BTL_STRID_SET_SweetVeil_T	[~ 1603]
BTL_STRID_SET_TatamiGaeshi	[~ 1604]
BTL_STRID_SET_TatamiGaeshi_Y	[~ 1605]
BTL_STRID_SET_TatamiGaeshi_E	[~ 1606]
BTL_STRID_SET_TatamiGaeshi_T	[~ 1607]
BTL_STRID_SET_GeppuFail	[~ 1608]
BTL_STRID_SET_GeppuFail_Y	[~ 1609]
BTL_STRID_SET_GeppuFail_E	[~ 1610]
BTL_STRID_SET_GeppuFail_T	[~ 1611]
BTL_STRID_SET_Souden	[~ 1612]
BTL_STRID_SET_Souden_Y	[~ 1613]
BTL_STRID_SET_Souden_E	[~ 1614]
BTL_STRID_SET_Souden_T	[~ 1615]
BTL_STRID_SET_BoujinGoggle	[~ 1616]
BTL_STRID_SET_BoujinGoggle_Y	[~ 1617]
BTL_STRID_SET_BoujinGoggle_E	[~ 1618]
BTL_STRID_SET_BoujinGoggle_T	[~ 1619]
BTL_STRID_SET_DarkAura	[~ 1620]
BTL_STRID_SET_DarkAura_Y	[~ 1621]
BTL_STRID_SET_DarkAura_E	[~ 1622]
BTL_STRID_SET_DarkAura_T	[~ 1623]
BTL_STRID_SET_FairyAura	[~ 1624]
BTL_STRID_SET_FairyAura_Y	[~ 1625]
BTL_STRID_SET_FairyAura_E	[~ 1626]
BTL_STRID_SET_FairyAura_T	[~ 1627]
BTL_STRID_SET_ElecFieldEffect	[~ 1628]
BTL_STRID_SET_ElecFieldEffect_Y	[~ 1629]
BTL_STRID_SET_ElecFieldEffect_E	[~ 1630]
BTL_STRID_SET_ElecFieldEffect_T	[~ 1631]
BTL_STRID_SET_Funjin	[~ 1632]
BTL_STRID_SET_Funjin_Y	[~ 1633]
BTL_STRID_SET_Funjin_E	[~ 1634]
BTL_STRID_SET_Funjin_T	[~ 1635]
BTL_STRID_SET_GeoCtrl	[~ 1636]
BTL_STRID_SET_GeoCtrl_Y	[~ 1637]
BTL_STRID_SET_GeoCtrl_E	[~ 1638]
BTL_STRID_SET_GeoCtrl_T	[~ 1639]
BTL_STRID_SET_NeedleGuard	[~ 1640]
BTL_STRID_SET_NeedleGuard_Y	[~ 1641]
BTL_STRID_SET_NeedleGuard_E	[~ 1642]
BTL_STRID_SET_NeedleGuard_T	[~ 1643]
BTL_STRID_SET_Kyousei	[~ 1644]
BTL_STRID_SET_Kyousei_Y	[~ 1645]
BTL_STRID_SET_Kyousei_E	[~ 1646]
BTL_STRID_SET_Kyousei_T	[~ 1647]
BTL_STRID_SET_NebaNebaNet	[~ 1648]
BTL_STRID_SET_NebaNebaNet_Y	[~ 1649]
BTL_STRID_SET_NebaNebaNet_E	[~ 1650]
BTL_STRID_SET_NebaNebaNet_T	[~ 1651]
BTL_STRID_SET_MistFieldEffect	[~ 1652]
BTL_STRID_SET_MistFieldEffect_Y	[~ 1653]
BTL_STRID_SET_MistFieldEffect_E	[~ 1654]
BTL_STRID_SET_MistFieldEffect_T	[~ 1655]
BTL_STRID_SET_FreeFallFail	[~ 1656]
BTL_STRID_SET_FreeFallFail_Y	[~ 1657]
BTL_STRID_SET_FreeFallFail_E	[~ 1658]
BTL_STRID_SET_FreeFallFail_T	[~ 1659]
BTL_STRID_SET_AuraBreak	[~ 1660]
BTL_STRID_SET_AuraBreak_Y	[~ 1661]
BTL_STRID_SET_AuraBreak_E	[~ 1662]
BTL_STRID_SET_AuraBreak_T	[~ 1663]
BTL_STRID_SET_Matowarituku_Start	[~ 1664]
BTL_STRID_SET_Matowarituku_Start_2Y	[~ 1665]
BTL_STRID_SET_Matowarituku_Start_2E	[~ 1666]
BTL_STRID_SET_Matowarituku_Start_2T	[~ 1667]
BTL_STRID_SET_Matowarituku_Start_Y	[~ 1668]
BTL_STRID_SET_Matowarituku_Start_Y2Y	[~ 1669]
BTL_STRID_SET_Matowarituku_Start_E	[~ 1670]
BTL_STRID_SET_Matowarituku_Start_E2E	[~ 1671]
BTL_STRID_SET_Matowarituku_Start_T	[~ 1672]
BTL_STRID_SET_Matowarituku_Start_T2T	[~ 1673]
BTL_STRID_SET_AlphaForm_00	[~ 1674]
BTL_STRID_SET_AlphaForm_Y_00	[~ 1675]
BTL_STRID_SET_AlphaForm_E_00	[~ 1676]
BTL_STRID_SET_OmegaForm_01	[~ 1677]
BTL_STRID_SET_OmegaForm_Y_01	[~ 1678]
BTL_STRID_SET_OmegaForm_E_01	[~ 1679]
BTL_STRID_SET_MegaRayquazaEvoStart	[~ 1680]
BTL_STRID_SET_MegaRayquazaEvoStart_Y	[~ 1681]
BTL_STRID_SET_MegaRayquazaEvoStart_E	[~ 1682]
BTL_STRID_SET_MegaRayquazaEvoStart_T	[~ 1683]
BTL_STRID_SET_MegaRayquazaEvo	[~ 1684]
BTL_STRID_SET_MegaRayquazaEvo_Y	[~ 1685]
BTL_STRID_SET_MegaRayquazaEvo_E	[~ 1686]
BTL_STRID_SET_MegaRayquazaEvo_T	[~ 1687]
BTL_STRID_SET_ZenryokuPower	[~ 1688]
BTL_STRID_SET_ZenryokuPower_Y	[~ 1689]
BTL_STRID_SET_ZenryokuPower_E	[~ 1690]
BTL_STRID_SET_ZenryokuPower_T	[~ 1691]
BTL_STRID_SET_AuraEffect_None	[~ 1692]
BTL_STRID_SET_AuraEffect_None_Y	[~ 1693]
BTL_STRID_SET_AuraEffect_None_E	[~ 1694]
BTL_STRID_SET_AuraEffect_None_T	[~ 1695]
BTL_STRID_SET_AuraEffect_Rankup_Critical	[~ 1696]
BTL_STRID_SET_AuraEffect_Rankup_Critical_Y	[~ 1697]
BTL_STRID_SET_AuraEffect_Rankup_Critical_E	[~ 1698]
BTL_STRID_SET_AuraEffect_Rankup_Critical_T	[~ 1699]
BTL_STRID_SET_AuraEffect_Rankup_ATK	[~ 1700]
BTL_STRID_SET_AuraEffect_Rankup_ATK_Y	[~ 1701]
BTL_STRID_SET_AuraEffect_Rankup_ATK_E	[~ 1702]
BTL_STRID_SET_AuraEffect_Rankup_ATK_T	[~ 1703]
BTL_STRID_SET_AuraEffect_Rankup_DEF	[~ 1704]
BTL_STRID_SET_AuraEffect_Rankup_DEF_Y	[~ 1705]
BTL_STRID_SET_AuraEffect_Rankup_DEF_E	[~ 1706]
BTL_STRID_SET_AuraEffect_Rankup_DEF_T	[~ 1707]
BTL_STRID_SET_AuraEffect_Rankup_SPATK	[~ 1708]
BTL_STRID_SET_AuraEffect_Rankup_SPATK_Y	[~ 1709]
BTL_STRID_SET_AuraEffect_Rankup_SPATK_E	[~ 1710]
BTL_STRID_SET_AuraEffect_Rankup_SPATK_T	[~ 1711]
BTL_STRID_SET_AuraEffect_Rankup_SPDEF	[~ 1712]
BTL_STRID_SET_AuraEffect_Rankup_SPDEF_Y	[~ 1713]
BTL_STRID_SET_AuraEffect_Rankup_SPDEF_E	[~ 1714]
BTL_STRID_SET_AuraEffect_Rankup_SPDEF_T	[~ 1715]
BTL_STRID_SET_AuraEffect_Rankup_AGI	[~ 1716]
BTL_STRID_SET_AuraEffect_Rankup_AGI_Y	[~ 1717]
BTL_STRID_SET_AuraEffect_Rankup_AGI_E	[~ 1718]
BTL_STRID_SET_AuraEffect_Rankup_AGI_T	[~ 1719]
BTL_STRID_SET_AuraEffect_Rankup_HIT	[~ 1720]
BTL_STRID_SET_AuraEffect_Rankup_HIT_Y	[~ 1721]
BTL_STRID_SET_AuraEffect_Rankup_HIT_E	[~ 1722]
BTL_STRID_SET_AuraEffect_Rankup_HIT_T	[~ 1723]
BTL_STRID_SET_AuraEffect_Rankup_AVOID	[~ 1724]
BTL_STRID_SET_AuraEffect_Rankup_AVOID_Y	[~ 1725]
BTL_STRID_SET_AuraEffect_Rankup_AVOID_E	[~ 1726]
BTL_STRID_SET_AuraEffect_Rankup_AVOID_T	[~ 1727]
BTL_STRID_SET_AuraEffect_RankupLv2_ATK	[~ 1728]
BTL_STRID_SET_AuraEffect_RankupLv2_ATK_Y	[~ 1729]
BTL_STRID_SET_AuraEffect_RankupLv2_ATK_E	[~ 1730]
BTL_STRID_SET_AuraEffect_RankupLv2_ATK_T	[~ 1731]
BTL_STRID_SET_AuraEffect_RankupLv2_DEF	[~ 1732]
BTL_STRID_SET_AuraEffect_RankupLv2_DEF_Y	[~ 1733]
BTL_STRID_SET_AuraEffect_RankupLv2_DEF_E	[~ 1734]
BTL_STRID_SET_AuraEffect_RankupLv2_DEF_T	[~ 1735]
BTL_STRID_SET_AuraEffect_RankupLv2_SPATK	[~ 1736]
BTL_STRID_SET_AuraEffect_RankupLv2_SPATK_Y	[~ 1737]
BTL_STRID_SET_AuraEffect_RankupLv2_SPATK_E	[~ 1738]
BTL_STRID_SET_AuraEffect_RankupLv2_SPATK_T	[~ 1739]
BTL_STRID_SET_AuraEffect_RankupLv2_SPDEF	[~ 1740]
BTL_STRID_SET_AuraEffect_RankupLv2_SPDEF_Y	[~ 1741]
BTL_STRID_SET_AuraEffect_RankupLv2_SPDEF_E	[~ 1742]
BTL_STRID_SET_AuraEffect_RankupLv2_SPDEF_T	[~ 1743]
BTL_STRID_SET_AuraEffect_RankupLv2_AGI	[~ 1744]
BTL_STRID_SET_AuraEffect_RankupLv2_AGI_Y	[~ 1745]
BTL_STRID_SET_AuraEffect_RankupLv2_AGI_E	[~ 1746]
BTL_STRID_SET_AuraEffect_RankupLv2_AGI_T	[~ 1747]
BTL_STRID_SET_AuraEffect_RankupLv2_HIT	[~ 1748]
BTL_STRID_SET_AuraEffect_RankupLv2_HIT_Y	[~ 1749]
BTL_STRID_SET_AuraEffect_RankupLv2_HIT_E	[~ 1750]
BTL_STRID_SET_AuraEffect_RankupLv2_HIT_T	[~ 1751]
BTL_STRID_SET_AuraEffect_RankupLv2_AVOID	[~ 1752]
BTL_STRID_SET_AuraEffect_RankupLv2_AVOID_Y	[~ 1753]
BTL_STRID_SET_AuraEffect_RankupLv2_AVOID_E	[~ 1754]
BTL_STRID_SET_AuraEffect_RankupLv2_AVOID_T	[~ 1755]
BTL_STRID_SET_AuraEffect_RankupLv3_ATK	[~ 1756]
BTL_STRID_SET_AuraEffect_RankupLv3_ATK_Y	[~ 1757]
BTL_STRID_SET_AuraEffect_RankupLv3_ATK_E	[~ 1758]
BTL_STRID_SET_AuraEffect_RankupLv3_ATK_T	[~ 1759]
BTL_STRID_SET_AuraEffect_RankupLv3_DEF	[~ 1760]
BTL_STRID_SET_AuraEffect_RankupLv3_DEF_Y	[~ 1761]
BTL_STRID_SET_AuraEffect_RankupLv3_DEF_E	[~ 1762]
BTL_STRID_SET_AuraEffect_RankupLv3_DEF_T	[~ 1763]
BTL_STRID_SET_AuraEffect_RankupLv3_SPATK	[~ 1764]
BTL_STRID_SET_AuraEffect_RankupLv3_SPATK_Y	[~ 1765]
BTL_STRID_SET_AuraEffect_RankupLv3_SPATK_E	[~ 1766]
BTL_STRID_SET_AuraEffect_RankupLv3_SPATK_T	[~ 1767]
BTL_STRID_SET_AuraEffect_RankupLv3_SPDEF	[~ 1768]
BTL_STRID_SET_AuraEffect_RankupLv3_SPDEF_Y	[~ 1769]
BTL_STRID_SET_AuraEffect_RankupLv3_SPDEF_E	[~ 1770]
BTL_STRID_SET_AuraEffect_RankupLv3_SPDEF_T	[~ 1771]
BTL_STRID_SET_AuraEffect_RankupLv3_AGI	[~ 1772]
BTL_STRID_SET_AuraEffect_RankupLv3_AGI_Y	[~ 1773]
BTL_STRID_SET_AuraEffect_RankupLv3_AGI_E	[~ 1774]
BTL_STRID_SET_AuraEffect_RankupLv3_AGI_T	[~ 1775]
BTL_STRID_SET_AuraEffect_RankupLv3_HIT	[~ 1776]
BTL_STRID_SET_AuraEffect_RankupLv3_HIT_Y	[~ 1777]
BTL_STRID_SET_AuraEffect_RankupLv3_HIT_E	[~ 1778]
BTL_STRID_SET_AuraEffect_RankupLv3_HIT_T	[~ 1779]
BTL_STRID_SET_AuraEffect_RankupLv3_AVOID	[~ 1780]
BTL_STRID_SET_AuraEffect_RankupLv3_AVOID_Y	[~ 1781]
BTL_STRID_SET_AuraEffect_RankupLv3_AVOID_E	[~ 1782]
BTL_STRID_SET_AuraEffect_RankupLv3_AVOID_T	[~ 1783]
BTL_STRID_SET_AuraEffect_Rankup_Multi5	[~ 1784]
BTL_STRID_SET_AuraEffect_Rankup_Multi5_Y	[~ 1785]
BTL_STRID_SET_AuraEffect_Rankup_Multi5_E	[~ 1786]
BTL_STRID_SET_AuraEffect_Rankup_Multi5_T	[~ 1787]
BTL_STRID_SET_AuraEffect_RankupLv2_Multi5	[~ 1788]
BTL_STRID_SET_AuraEffect_RankupLv2_Multi5_Y	[~ 1789]
BTL_STRID_SET_AuraEffect_RankupLv2_Multi5_E	[~ 1790]
BTL_STRID_SET_AuraEffect_RankupLv2_Multi5_T	[~ 1791]
BTL_STRID_SET_AuraEffect_RankupLv3_Multi5	[~ 1792]
BTL_STRID_SET_AuraEffect_RankupLv3_Multi5_Y	[~ 1793]
BTL_STRID_SET_AuraEffect_RankupLv3_Multi5_E	[~ 1794]
BTL_STRID_SET_AuraEffect_RankupLv3_Multi5_T	[~ 1795]
BTL_STRID_SET_AuraEffect_RankRecover	[~ 1796]
BTL_STRID_SET_AuraEffect_RankRecover_Y	[~ 1797]
BTL_STRID_SET_AuraEffect_RankRecover_E	[~ 1798]
BTL_STRID_SET_AuraEffect_RankRecover_T	[~ 1799]
BTL_STRID_SET_AuraEffect_HPRecover	[~ 1800]
BTL_STRID_SET_AuraEffect_HPRecover_Y	[~ 1801]
BTL_STRID_SET_AuraEffect_HPRecover_E	[~ 1802]
BTL_STRID_SET_AuraEffect_HPRecover_T	[~ 1803]
BTL_STRID_SET_AuraEffect_FriendHPRecover	[~ 1804]
BTL_STRID_SET_AuraEffect_FriendHPRecover_Y	[~ 1805]
BTL_STRID_SET_AuraEffect_FriendHPRecover_E	[~ 1806]
BTL_STRID_SET_AuraEffect_FriendHPRecover_T	[~ 1807]
BTL_STRID_SET_AuraEffect_FriendHPRecover_Receive	[~ 1808]
BTL_STRID_SET_AuraEffect_FriendHPRecover_Receive_Y	[~ 1809]
BTL_STRID_SET_AuraEffect_FriendHPRecover_Receive_E	[~ 1810]
BTL_STRID_SET_AuraEffect_FriendHPRecover_Receive_T	[~ 1811]
BTL_STRID_SET_AuraEffect_Konoyubitomare	[~ 1812]
BTL_STRID_SET_AuraEffect_Konoyubitomare_Y	[~ 1813]
BTL_STRID_SET_AuraEffect_Konoyubitomare_E	[~ 1814]
BTL_STRID_SET_AuraEffect_Konoyubitomare_T	[~ 1815]
BTL_STRID_SET_AuraReqWaza_Yubiwohuru	[~ 1816]
BTL_STRID_SET_AuraReqWaza_Yubiwohuru_Y	[~ 1817]
BTL_STRID_SET_AuraReqWaza_Yubiwohuru_E	[~ 1818]
BTL_STRID_SET_AuraReqWaza_Yubiwohuru_T	[~ 1819]
BTL_STRID_SET_AuraReqWaza_Oumugaesi	[~ 1820]
BTL_STRID_SET_AuraReqWaza_Oumugaesi_Y	[~ 1821]
BTL_STRID_SET_AuraReqWaza_Oumugaesi_E	[~ 1822]
BTL_STRID_SET_AuraReqWaza_Oumugaesi_T	[~ 1823]
BTL_STRID_SET_AuraReqWaza_Sizennotikara	[~ 1824]
