CoinRushCourseIn\CoinRushCourseIn_00\CoinRushCourseIn_00.msbt
T_Mii_00_PID01	正在挑戰自己的紀錄！
T_BBtn_00	"
T_ABtn_00	!
T_ButtonName_02_PID00	悄悄通訊
T_On_02_PID00	ON
T_Off_02_PID00	OFF
T_Ok_03	OK
PackSelect\PackSelect_01\PackSelect_01.msbt
T_Start_00	以瑪利歐挑戰
T_Start_01	以白尾瑪利歐挑戰
PackSelectTop\PackSelectTop_00\PackSelectTop_00.msbt
T_TitleA_00_PID00	\x0e\x01\x0c\x02\0@
T_TitleA_00_PID01	等級１關卡包
T_TitleA_00_PID02	等級２關卡包
T_TitleA_00_PID03	等級３關卡包
T_TitleB_00_PID00	\x0e\x01\n\x02\0\x14
T_TitleB_00_PID01	等級１關卡包
T_TitleB_00_PID02	等級２關卡包
T_TitleB_00_PID03	等級３關卡包
T_DPriceText1_00_PID00	\x0e\x01\x0e\x02\0\x80
T_DPriceText1_00_PID01	玩W1、W2和秘密世界的關卡
T_DPriceText1_00_PID02	玩W3、W4和秘密世界的關卡
T_DPriceText1_00_PID03	玩W5、W6和秘密世界的關卡
T_BottomText_00	單人挑戰
PauseTop\PauseTop_00\PauseTop_00.msbt
T_Pause_00	PAUSE
T_Save_00	Saving...
T_Wait_00	Please wait...
PlayerSelect\PlayerSelect_00\PlayerSelect_00.msbt
T_Number_00_PID00	瑪利歐
T_Number_01_PID00	路易吉
T_Message_00_PID00	請選擇想使用的角色
PlaySceneInfoMeter\PlaySceneInfoMeter_00\PlaySceneInfoMeter_00.msbt
T_World_00_PID00	WORLD \x0e\x07\0\0-\x0e\x07\x01\0
T_ScoreText_00	得分
T_BestCoin_00	最佳紀錄
PlaySceneInfoMeterCoin1P\PlaySceneInfoMeterCoin1P_00\PlaySceneInfoMeterCoin1P_00.msbt
T_World_00_PID00	WORLD \x0e\x07\0\0-\x0e\x07\x01\0
T_World_00_PID01	關卡 1
T_World_00_PID02	關卡 2
T_World_00_PID03	關卡 3
PlaySceneInfoMeterCoinStreetPass\PlaySceneInfoMeterCoinStreetPass_00\PlaySceneInfoMeterCoinStreetPass_00.msbt
T_World_00_PID00	WORLD \x0e\x07\0\0-\x0e\x07\x01\0
T_World_00_PID01	關卡 1
T_World_00_PID02	關卡 2
T_World_00_PID03	關卡 3
T_RecordText_00_PID00	紀錄
PlaySceneInfoMeter_2P\PlaySceneInfoMeter_2P_00\PlaySceneInfoMeter_2P_00.msbt
T_World_00_PID00	WORLD \x0e\x07\0\0-\x0e\x07\x01\0
T_ScoreText_00	得分
T_BestCoin_00	最佳紀錄
SaveConfirmWindow\SaveConfirmWindow_00\SaveConfirmWindow_00.msbt
T_MyBest_00_PID00	自己的紀錄
T_Message_00	這次的紀錄\n　將覆寫到此原有紀錄上。\n\n確定可以嗎？
T_BtnB_00	取消
T_BtnA_00	OK
ShopInfo\ShopInfo_00\ShopInfo_00.msbt
T_BtnText_00_PID00	購買
T_BtnText_00_PID01	再次接收
T_BtnText_00_PID02	刪除
T_BtnText_00_PID03	ーーーー
T_BtnText_01_PID00	購買
T_BtnText_01_PID01	再次接收
T_BtnText_01_PID02	刪除
T_BtnText_01_PID03	ーーーー
T_ShopInfo_00	Shop說明
T_BottomInfo_00_PID00	\x0e\x01\x0b\x02\0\x1e
T_Zandaka_00	餘額
T_DPriceText1_00_PID00	已購買
T_DPriceText1_00_PID01	\x0e\x01\x0b\x02\0\x1e
T_DPriceText1_00_PID02	ーーーー
T_DPriceText1_01_PID00	已購買
T_DPriceText1_01_PID01	\x0e\x01\x0b\x02\0\x1e
T_DPriceText1_01_PID02	ーーーー
ShopTop\ShopTop_00\ShopTop_00.msbt
T_TitleA_00_PID00	\x0e\x01\x0c\x02\0@
T_TitleB_00_PID00	\x0e\x01\x0c\x02\0@
T_DPStatusB1_00_PID00	所需區域
T_DPStatusBb1_00_PID00	\x0e\x01\x04\x02\0\x05個區域
T_DPStatusC1_00_PID00	發售日
T_DPStatusCc1_00_PID00	\x0e\x04\x03\x02\0\x04年\x0e\x04\x01\x02\x01\x02月\x0e\x04\x01\x02\x02\x02日
T_PackShopA_00	Shop
T_Message_00_PID00	\x0e\x01\x0e\x02\0\x80
T_Message_00_PID80	1234567890-^\\qwertyuiop@[\nasdfghjkl;:]zxcvbnm,./\\*-+\n!"#$%&'()=~|QWERTYUIOP`\{
T_Message_00_PID81	ASDFGHJKL+*}ZXCVBNM<>?_\n１２３４５６７８９０－＾￥\n！”＃＄％＆’（）＝～｜
T_Message_00_PID82	ｑｗｅｒｔｙｕｉｏｐ＠［\nＱＷＥＲＴＹＵＩＯＰ‘｛\nａｓｄｆｇｈｊｋｌ；：］
T_Message_00_PID83	ＡＳＤＦＧＨＪＫＬ＋＊｝\nｚｘｃｖｂｎｍ，．／￥\nＺＸＣＶＢＮＭ＜＞？＿円説
T_Message_00_PID84	一右雨円王音下火花貝学気九休玉金空月犬見\n五口校左三山子四糸字耳七車手十出女小上森
T_Message_00_PID85	人水正生青夕石赤千川先早草足村大男竹中虫\n町天田土二日入年白八百文木本名目立力林六
T_Message_00_PID86	引羽雲園遠何科夏家歌画回会海絵外角楽活間\n丸岩顔汽記帰弓牛魚京強教近兄形計元言原戸\n古午後語工公広交光考行高黄合谷国黒今才細
T_Message_00_PID87	作算止市矢姉思紙寺自時室社弱首秋週春書少\n場色食心新親図数西声星晴切雪船線前組走多\n太体台地池知茶昼長鳥朝直通弟店点電刀冬当
T_Message_00_PID88	東答頭同道読内南肉馬売買麦半番父風分聞米\n歩母方北毎妹万明鳴毛門夜野友用曜来里理話
T_Message_00_PID90	悪安暗医委意育員院飲運泳駅央横屋温化荷開\n界階寒感漢館岸起期客究急級宮球去橋業曲局\n銀区苦具君係軽血決研県庫湖向幸港号根祭皿
T_Message_00_PID91	仕死使始指歯詩次事持式実写者主守取酒受州\n拾終習集住重宿所暑助昭消商章勝乗植申身神\n真深進世整昔全相送想息速族他打対待代第題
T_Message_00_PID92	炭短談着注柱丁帳調追定庭笛鉄転都度投豆島\n湯登等動童農波配倍箱畑発反坂板皮悲美鼻筆\n氷表秒病品負部服福物平返勉放味命面問役薬
T_Message_00_PID93	由油有遊予羊洋葉陽様落流旅両緑礼列練路和
T_New1_00_PID00	NEW!
Surechigai\Surechigai_00\Surechigai_00.msbt
T_Number_00_PID00	單人挑戰
T_Number_01_PID00	挑戰瞬間交錯資料
T_Shop_00	Shop
T_Connect_00	瞬間交錯通訊
SurechigaiTop\SrechigaiTop_00\SrechigaiTop_00.msbt
T_Caption_00	金幣衝衝衝
T_MyBest_00_PID00	自己的紀錄
T_MyBest_00_PID01	交換中的紀錄
T_NoMyCoin_00	;----
T_Msg_00_PID00	可以登錄瞬間交錯通訊。\n可以透過瞬間交錯通訊來交換紀錄。
T_Msg_00_PID01	玩隨機選出的3個關卡。\n挑戰零失誤，收集大量金幣吧！
T_Msg_00_PID02	用交換到的瞬間交錯資料來玩，\n還可以確認已儲存的「自己的紀錄」。
T_Msg_00_PID03	可以購買在金幣衝衝衝玩的新增關卡包，\n來玩主遊戲未收錄的關卡。
T_Msg_00_PID04	返回標題畫面。
T_MyCourse_00_PID00	\x0e\x01\x0c\x02\0@
T_MyCourse_00_PID01	等級１關卡包
T_MyCourse_00_PID02	等級２關卡包
T_MyCourse_00_PID03	等級３關卡包
T_MyCourse_00_PID04	未持有的新增關卡包
T_MyCourse_00_PID05	ーーーーー
TheEndTop\TheEndTop_00\TheEndTop_00.msbt
T_TheEnd_00	THE END
TotalCoin\TotalCoin_00\TotalCoin_00.msbt
T_GetCoin_00_PID00	達到10,000枚！
T_GetCoin_00_PID01	達到30,000枚！
T_GetCoin_00_PID02	達到50,000枚！
T_GetCoin_00_PID03	達到100,000枚！
T_GetCoin_00_PID04	達到200,000枚！
T_GetCoin_00_PID05	達到400,000枚！
T_GetCoin_00_PID06	達到700,000枚！
T_GetCoin_00_PID07	達到1,000,000枚！
