challenge_mode.msbt
Challenge_Title_001	ドングリへいげんを かけぬけろ！
CourseName_6-2	いったりきたりフグマンネン
CourseName_6-3	ズングリのすみか
CourseName_6-4	やみのどうくつ 光る足場
CourseName_6-5	歩きはじめたパックンフラワー
CourseName_6-6	暗やみのほねコースター
CourseName_6-7	きかいじかけ クロスリフトのどうくつ
CourseName_6-TOWER1	ごろごろゴローのとりで
CourseName_6-TOWER2	まいてまいて ネジ式リフトのとりで
CourseName_6-CASTLE	ロイの コンベアパニックの城
CourseName_7-1	わきだすブロックいっぱい 空の上
CourseName_7-2	どったんばったん シーソーキノコ
CourseName_7-3	すすんでもどるリフトのおか
CourseName_7-4	はねまくれ ぼよよん雲であそぶ空
CourseName_7-5	空中みずで 空中さんぽ
CourseName_7-6	すすめスネークブロック きりの谷
CourseName_7-GHOST	とびらがいっぱい オバケやしき
CourseName_7-TOWER1	かいてん  スライドリフトのとりで
CourseName_7-CASTLE	ルドウィッグの レールブロックの城
CourseName_7-AIRSHIP	せまりくる！ きょだいせんかん
CourseName_8-1	マグマとほのおで足もとグラグラ
CourseName_8-2	パニックようがんクルーズ
CourseName_8-3	ようがん波とネジ式キノコ
CourseName_8-4	ほのおがふりしきるガケのはざま
CourseName_8-CASTLE	のっとられた ピーチ城
CourseName_8-CASTLE2	けっせん！ ピーチ城
CourseName_9-1	そうかい！青空ほねコースター
CourseName_9-2	はしって はしって はしりまくれ！
CourseName_9-3	にげきれ！ 大ぐちのバクバク
CourseName_9-4	ツルツル！氷どうくつのぶらぶらハンマー
CourseName_9-5	きょうふ！かいてん足場のせかい
CourseName_9-6	きょだい！ ファイアバーのガケ
CourseName_9-7	ジュゲム！ジュゲム！ジュゲム！
CourseName_9-8	足もと注意！てっきゅうのふりこ
CourseName_9-9	おいかけろ！だいじなコウラ
course_name_R-Dash.msbt
CourseName_1-1	ズングリからの ドングリ
CourseName_1-2	ゆれうごくじめんの どうくつ
CourseName_1-3	グルグルちたいの ヨッシー
CourseName_1-4	パックンだらけの キノコアスレチック
CourseName_1-5	花さくみどりの パックン大地
CourseName_1-TOWER1	アッチッチ はぐるまのとりで
CourseName_1-CASTLE	レミーの 暗やみブランコの城
CourseName_SECRET-SECRET1	バクバクから逃げまくれ！
CourseName_2-1	ごろごろころがる ガボンのさばく
CourseName_2-2	サンボとゴローの ちかいせき
CourseName_2-3	暗やみパックンの どうくつ
CourseName_2-4	ぞろぞろイワヘムちたい
CourseName_2-5	ガボンの空とまわるリフト
CourseName_2-6	ぐるぐる大地の パックンフラワー
CourseName_2-TOWER1	まわしていそげ！ ネジまきとりで
CourseName_2-CASTLE	モートンの しずむブロックの城
CourseName_SECRET-SECRET2	ききいっぱつ 氷の谷のなわばしご
CourseName_3-1	ふんすいカニボーだらけビーチ
CourseName_3-2	せんにゅう！ ウニラのすみか
CourseName_3-3	かけぬけて！ 雲の上のふんすい
CourseName_3-4	だいふんすいの トビプクかいがん
CourseName_3-5	ウニラがふる タツノンのすみか
CourseName_3-GHOST	ちんぼつせんの くるくるブロック
CourseName_3-TOWER1	ききせまる！ トゲこんぼうのとりで
CourseName_3-CASTLE	ラリーの キラーとトーピードの城
CourseName_SECRET-SECRET3	どんどんはえる きょだいマメの木
CourseName_4-1	クラッシャー 星空でおおあばれ！
CourseName_4-2	キノコの上のペンタロー
CourseName_4-3	ファイアをかわせ 氷の谷
CourseName_4-4	ズングリがのる てんびんリフト
CourseName_4-5	すすめ！ アイススライダー
CourseName_4-GHOST	ふわふわバコの テレサツアー
CourseName_4-TOWER1	ツララだらけの とげとげとりで
CourseName_4-CASTLE	ウェンディの ドドドドッスンの城
CourseName_SECRET-SECRET4	セイドンの下を くぐりぬけろ！
CourseName_5-1	きょだいな森の ぶらさがりつた
CourseName_5-2	ドクドクぬまの あぶないブロック
CourseName_5-3	イバラムシの ふかい森
CourseName_5-4	ゆれるドカンの パックンぬま
CourseName_5-5	しんかいのめざめた いせき
CourseName_5-6	丸太の上のKK
CourseName_5-7	ハナチャンで ジャングルのぼり
CourseName_5-GHOST	テレサだらけの オバケやしき
CourseName_5-TOWER1	トゲだらけ スネークブロックのとりで
CourseName_5-CASTLE	イギーの ようがんと くさりの城
CourseName_SECRET-SECRET5	パタメットだいこうしん
CourseName_5-AIRSHIP	ブロスぶたいの きょだいせんかん
CourseName_6-1	たかだいの チョロボンとうげ
CourseName_6-2	フグマンネンのすむ どうくつ
CourseName_6-3	ガボンの みはりだい
CourseName_6-4	れんけつ！ 光る足場
CourseName_6-5	まわるリフトと テクテクパックン
CourseName_6-6	パックンと ほねコースター
CourseName_6-7	スイッチくどうの リフトどうくつ
CourseName_6-TOWER1	ずじょうちゅうい ゴローのとりで
CourseName_6-TOWER2	まいてかわして KKのとりで
CourseName_6-CASTLE	ロイの てつばこトリックの城
CourseName_7-1	おおぞらの アイスチョロボンリフト
CourseName_7-2	ハナチャンとブラックパックン
CourseName_7-3	にじの上の さんぽ道
CourseName_7-4	もっとはねろ ぼよよん雲の空
CourseName_7-5	ケロンパと 空中かんらんしゃ
CourseName_7-6	3つのスネークブロック
CourseName_7-GHOST	いそげ 足場が消えるオバケやしき
CourseName_7-TOWER1	きょだいな石がせまる とりで
CourseName_7-CASTLE	ルドウィッグの せまるブロックの城
CourseName_7-AIRSHIP	けっせん！ クッパJr.
CourseName_8-1	ういてしずんで マグマ大地
CourseName_8-2	ようがんクルーズ＋ウーチャン
CourseName_8-3	ようがんはぐるまと よことびバブル
CourseName_8-4	ほのおの雨から みをかわせ
CourseName_8-CASTLE	でんげき！ ピーチ城
CourseName_8-CASTLE2	さいしゅうけっせん！ ピーチ城
CourseName_9-1	のりつげ！ 青空ほねコースター
CourseName_9-2	はしって ふんで またはしれ！
CourseName_9-3	ついせき！ にげるスターコイン
CourseName_9-4	ハンマークライマー
CourseName_9-5	つぎつぎ出てくる きけんな足場
CourseName_9-6	きょだいファイアバーを かけぬけろ！
CourseName_9-7	のりかえジュゲムのそら
CourseName_9-8	むりむりっ！ ふりこてっきゅうゾーン
CourseName_9-9	ムササビで はく手かっさい
Help.msbt
Help_Index_00	ぼうけんのヒント
Help_PageNum_00	&#xE;&#xD;&#x1;&#x2;&#x0;&#x2;/&#xE;&#xD;&#x1;&#x2;&#x1;&#x2;
Help_Text_00	コントローラーをふる、または&#xE;&#x11;&#x10;&#x2;3&#x0;で\nスピンジャンプを出すことができます。
Help_Text_01	ストーリーモードを２～４人でプレイしているときは、\n&#xE;&#x11;&#xF;&#x2;2&#x0;+&#xE;&#x11;&#x10;&#x2;3&#x0;でシャボンに入ることができます。
Help_Text_02	シャボンに入っているときは、ダメージを受けません。\nコントローラーをふると、ほかのプレイヤーに近づくことができます。
Help_Text_03	ストーリーモードでは、&#xE;&#x11;&#x18;&#x2;@&#x0;や&#xE;&#x11;&#x19;&#x2;A&#x0;をクリアしたときにセーブできます。\nちゅうだん（一時的なセーブ）は、マップ画面でいつでもできます。
Help_Text_04	中間ポイントにふれると、ミスしてもそこからやり直すことができます。\nただし、ほかのコースをあそぶと、コースのはじめからになります。
Help_Text_05	マリオUの同じコースで５回ミスをすると「おてほんブロック」が出ます。\nたたくと、コースをクリアするお手本を見ることができます。
Help_Text_06	おてほんプレイでクリアしたコースは、&#xE;&#x11;&#x6;&#x2;j&#x0;の状態になります。\n先に進むことはできますが、通常クリアとはみなされません。
Help_Text_07	トッテン１人でクリアしたコースは、&#xE;&#x11;$&#x2;i&#x0;の状態になります。\n先に進むことはできますが、通常クリアとはみなされません。
Help_Text_08	トッテンは敵に当たってもダメージを受けません。\nアイテムを取っても変身できません。
Help_Text_09	キノピコがブロックをたたくと、１ＵＰキノコの代わりに\n３ＵＰムーンが出ます。
Help_Text_10	キノピコがスーパークラウンを取ると、キノピーチに変身できます。\nスーパークラウンを取ることができるのは、キノピコだけです。
Help_Text_11	キノピコとトッテンは\nコースの残り時間が100カウント増えます。
Help_Text_12	キノピコとトッテンは\n水中で&#xE;&#x11;&#x1;&#x2;"&#x0;を入力した方向に自由に泳げます。
Help_Text_13	キノピコとトッテンは\n他のキャラクターよりも、すべりにくくなっています。
Help_Text_14	キノピコとトッテンは\nおだいモードでは使えません。
Help_Text_15	おだいモード、ブーストモード、コインバトルでは、\nそうさキャラクターとしてMiiを使うことができます。
Help_Text_16	マリオUよりも、ルイージUの方がジャンプ力が高くなります。\nその代わり、すべりやすくなります。
message.msbt
PaCharacterSelector_Decide_00	決定
CharacterSelectBtn_Cancel_00	やめる
CharacterSelect_Text_00	キャラクターを選んでください
CharacterSelect_Text_01	このキャラクターであそびますか？
CharacterSelect_CapText_00	Miiのぼうしをかぶる・はずす
CharacterSelectPos_BtnR_00	OK
CharacterSelectPos_BtnL_00	キャンセル
CharacterSelectPos_BtnR_01	個人戦でバトル
CharacterSelectPos_BtnL_01	チーム戦でバトル
PaCharacterSelector_ZankiX_00	×
PaCharacterSelector_Zanki_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
MiiSelectBtn_Page_00	&#xE;&#xF;&#x0;&#x2;&#x0;&#x1;/&#xE;&#xF;&#x0;&#x2;&#x1;&#x1;
PaCharacterSelector_NameLuigi_00	ルイージ
PaCharacterSelector_BalloonKinopiko_00	少しやさしい
PaCharacterSelector_BalloonTotten_00	だいぶやさしい
PaCharacterSelector_NameMario_00	マリオ
PaCharacterSelector_NameKino_00	キノピオ
PaCharacterSelector_NameKinopiko_00	キノピコ
PaCharacterSelector_NameTotten_00	トッテン
PaCharacterSelector_NameMii_00	Mii
PreGameStory_WorldCourse_00	&#xE;&#x13;&#x0;&#x0;-&#xE;&#x12;&#x1;&#x0;
PreGameStory_WorldName_00	&#xE;&#x13;&#x1;&#x0;
PreGameStory_WorldNameDL_00	&#xE;&#x13;&#x1;&#x0;
PreGameStory_X_00	×
PreGameStory_Zanki_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
PreGameStory_ModelPlay_00	おてほんプレイ
PointGet_Coin_00	×&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
PointGet_1UP_00	&#xE;&#xD;&#x2;&#x2;&#x0;&#x3;UP
PointGet_RedCoin_00	&#xE;&#xE;&#x0;&#x2;&#x0;&#x1;
PointGet_GreenCoin_00	&#xE;&#xE;&#x0;&#x2;&#x0;&#x1;
PointGet_1000_00	&#xE;&#xE;&#x3;&#x2;&#x0;&#x4;
PointGet_100_00	&#xE;&#xE;&#x2;&#x2;&#x0;&#x3;
PointGet_Bonus_00	BONUS
PointGet_BonusCoin_00	×&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
GameScene_Score_00	&#xE;&#xE;&#x8;&#x2;&#x0;	
GameScene_Timer_00	&#xE;&#xE;&#x2;&#x2;&#x0;&#x3;
GameScene_FreeTimer_00	&#xE;&#xF;&#x3;&#x2;&#x0;&#x4;.&#xE;&#x0;&#x2;&#x2;K&#x0;&#xE;&#xE;&#x1;&#x2;&#x1;&#x2;&#xE;&#x0;&#x2;&#x2;d&#x0;
GameScene_Coin_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
GameScene_1UP_00	1UP
GameScene_Zanki4P_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
GameScene_Zanki3P_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
GameScene_Zanki2P_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
GameScene_Zanki1P_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
GameScene_X	×
GameScene_FreeZanki_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
PauseGame_Continue_00	ゲームをつづける
PauseGame_Exit_00	コースをでる
PauseGame_Exit_01	あきらめる
PauseGame_PlayStyle_00	そうさへんこう
PauseGame_PlayNumStyle_00	にんずう/そうさへんこう
FreeInfoWindow_Text_00	あたらしいパックが追加されました！
InfoWindow_New_00	NEW!
GameOver_GameOver_00	GAME OVER!
CouseClear_Clear_00	COURSE CLEAR!
TimeUp_TimeUp_00	TIME'S UP!
Title_Title_00	Press &#xE;&#x11;&#xF;&#x2;2&#x0;&#xE;&#x11;&#x10;&#x2;3&#x0; to start
Title_Nintendo_01	© 2012-2018 Nintendo.
Title_Ver_00	Ver.&#xE;&#xF;&#x1;&#x2;&#x0;&#x2;.&#xE;&#xF;&#x1;&#x2;&#x1;&#x2;.&#xE;&#xF;&#x1;&#x2;&#x2;&#x2;
BootSceneDL_Loading_00	NOW LOADING...
ErrorWindow_Text_NoReplay_00	プレイムービーがこわれているため\n再生できませんでした。
ErrorWindow_BtnIC_OK_00	OK
CmnWindow_BtnR_Title_00	ゲームをやめる
CmnWindow_BtnR_OK_00	OK
CmnWindow_BtnC_OK_00	OK
CmnWindow_BtnL_Cancel_00	キャンセル
CmnWindow_BtnR_QuickSave_00	ちゅうだんする
CmnWindow_BtnL_EditSave_00	つづける
CmnWindow_BtnR_EditSave_00	しゅうりょうする
CmnWindow_WinText_Title_00	ゲームをしゅうりょうします。\n\nセーブしていない内容は失われますが\nよろしいですか？ 
CmnWindow_WinText_Pause_00	マップにもどります。\n\nコースに入る前の状態になりますが\nよろしいですか？
CmnWindow_WinText_Save_00	セーブしますか？
CmnWindow_WinText_Save_01	セーブしました。
CmnWindow_WinText_EditSave_00	セーブしました。\n\nこのコースのエディットを\nしゅうりょうしますか？
CmnWindow_WinText_EditToBattle_00	コインエディットをやめて\nコインバトルをはじめますか?\n
CmnWindow_WinText_QuickSave_00	ゲームを「ちゅうだん」しますか？\n\n１回だけ、このつづきから\nあそぶことができます。
CmnWindow_WinText_QuickSave_01	ちゅうだんしました。\n\nゲームをしゅうりょうします。
CmnWindow_WinText_EndingSave_00	ゲームクリアしたデータをセーブしますか？
CmnWindow_WinText_ChallengeExit_00	おだい選たく画面にもどります。\n\nよろしいですか？
CmnWindow_WinText_ChallengeRetry_00	このおだいを リトライします。\n\nよろしいですか？
CmnWindow_WinText_ChallengeTitle_00	おだいモードを しゅうりょうします。\n\n本当によろしいですか？ 
CmnWindow_WinText_VSTitle_00	コインバトルを しゅうりょうします。\n\n本当によろしいですか？ 
CmnWindow_WinText_EditTitle_00	コインエディットを しゅうりょうします。\n\n本当によろしいですか？ 
CmnWindow_WinText_VSExit_00	コース選たく画面にもどります。\n\n本当によろしいですか？ 
CmnWindow_WinText_FreeExit_00	パック選たく画面にもどります。\n\n本当によろしいですか？ 
CmnWindow_WinText_FreeTitle_00	ブーストモードを しゅうりょうします。\n\n本当によろしいですか？ 
CmnWindow_WinText_Item_00	「アイテムリスト」は&#xE;&#x11;&#x10;&#x2;3&#x0;でひらきます！\n\nこまったときは、どんどんアイテムをつかおう！
CmnWindow_WinText_ReKinoko_00	１度あそんだ キノピオの家が\nもう１度 あそべるようになりました。
CmnWindow_WinText_SetUpBtn00	すべての コントローラーの\nそうさを へんこうしました。
CmnWindowDL_WinText_PlayerBlock00	このブロックをたたくと、\nNewマリオUのプレイヤー性能で\nあそぶことができます。\n\nコースを出ると、ルイージUの性能にもどります。
CmnWindow_WinText_ExplainLuigiU	「NewスーパールイージU」は\n「NewスーパーマリオU」に比べると\n少しむずかしくなっています。\n\nジャンプ力が高くなる代わりに\nすべりやすいです。
GameOver_Continue_00	コンティニュー
Continue_ZankiX_00	×
Continue_ZankiNum_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
Continue_Num_00	&#xE;&#xD;&#x2;&#x2;&#x0;&#x3;
CourseSelectScene_CourseNum_00	&#xE;&#x13;&#x0;&#x0;-&#xE;&#x12;&#x1;&#x0;
CourseSelectScene_CourseName_00	&#xE;&#x13;&#x1;&#x0;
CourseSelectScene_CourseNameDL_00	&#xE;&#x13;&#x1;&#x0;
Zanki_X_00	×
CourseSelectScene_Zanki1P_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
CourseSelectScene_Zanki2P_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
CourseSelectScene_Zanki3P_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
CourseSelectScene_Zanki4P_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
CourseSelectScene_ItemText_00	アイテム
CourseSelectScene_MenuText_00	メニュー
CourseSelectScene_CmeraText_00	みまわす
CourseSelectWorldName_WorldName_00	&#xE;&#x13;&#x0;&#x0;
CourseSelectMenu_SCoinBtn_00	スターコインリスト
CourseSelectMenuDL_SCoinBtn_00	スターコインリスト
CourseSelectMenu_SuspendBtn_00	ちゅうだんする
CourseSelectMenu_SaveBtn_00	セーブする
CourseSelectMenu_TitleBtn_00	ゲームをやめる
CourseSelectMenu_CharaBtn_00	キャラクターへんこう
CourseSelectMenu_PlayStyleBtn_00	そうさへんこう
CourseSelectMenu_PlayNumStyleBtn_00	にんずう/そうさへんこう
ItemList_Index_00	アイテムリスト
ItemList_NoItem_00	アイテムがありません。
ItemList_InvalidItem_00	今の状態ではつかえません！
ItemList_InvalidItem_01	トッテンではつかえません！
ItemList_InvalidItem_02	キノピコ以外はつかえません！
ItemStock_Index_00	アイテムリスト
ItemStock_AddItem_00	アイテムが追加されました！
PaItemStockBtn_New_00	NEW
ItemStock_FullItem_00	アイテムがいっぱいです。
ItemStock_DelItem_00	あと&#xE;&#xE;&#x0;&#x2;&#x0;&#x1;つ すてるアイテムを選んでください。
ItemStock_DelItem_01	すてるアイテムを選んでください。
ItemStockConfirm_Confirm_00	このアイテムをすてますか？
ItemStockConfirm_BtnL_00	キャンセル
ItemStockConfirm_BtnR_00	すてる
StarCoinList_Index_00	スターコインリスト
StarCoinListDL_Index_00	スターコインリスト
StarCoinListWin_TotalSCoin_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
StarCoinListWin_WorldName_00	&#xE;&#x13;&#x2;&#x2;&#x0;Í
StarCoinListWin_CourseNum_00	&#xE;&#x12;&#x3;&#x2;&#x0;Í
ChangePlayerNum_Index_00	キャラクターせんたく
ResultMiniGame_Text_00	&#xE;&#x15;&#x1;&#x4;X&#x2;&#x0;&#x0;アイテムゲット\nおめでとうございま～す！
ResultMiniGame_X_00	×
ResultMiniGame_ItemNum_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
TalkWindow_Kinopio_00	ブロックの中に入れたアイテムをさしあげます！\nシャッフルするので、&#xE;&#x11;&#x13;&#x2;U&#x0;を引かないように\nよーく 見ててくださいね！
TalkWindow_Kinopio_00_1	ブロックの中に入れたアイテムをさしあげます！\nシャッフルするので、&#xE;&#x11;&#x13;&#x2;U&#x0;を引かないように\nよーく 見ててくださいね！
TalkWindow_Kinopio_01	さあ おすきなブロックを、２つたたいてください。\n&#xE;&#x11;&#x13;&#x2;U&#x0;が入ったブロックをたたくと しゅうりょうです。\n気をつけてくださいね！
TalkWindow_Kinopio_01_1	さあ おすきなブロックを、２つたたいてください。\n&#xE;&#x11;&#x13;&#x2;U&#x0;が入ったブロックをたたくと しゅうりょうです。\n気をつけてくださいね！
TalkWindow_Kinopio_03	&#xE;&#x15;&#x1;&#x4;X&#x2;&#x0;&#x0;あ～ ザンネン！ \nアイテムゲットできませんでしたね。
TalkWindow_KinopioSlot_01	このちびヨッシーたちが、パネルをのみこみます！\nそれぞれの 色のちびヨッシーを\n１ぴきずつ、わたしのところに 連れてきてください！\n\nパネルの組み合わせで、 \nたくさんアイテムがゲットできますよ！\n&#xE;&#x11;&#x13;&#x2;U&#x0;は、持ってこないでくださいね！
TalkWindow_KinopioCoin_01	今から、このタイホウでいっぱいコインをうち出します。\nたくさん ひろってくださいね！\n\n\nコインといっしょにふってくる、&#xE;&#x11;&#x14;&#x2;V&#x0;をとれば\n1UPチャンス！ ただし &#xE;&#x11;&#x13;&#x2;U&#x0;をとると げんてんです。\n気をつけてくださいね！
TalkWindow_KinopioCoin_01_1	今から、このタイホウでいっぱいコインをうち出します。\nたくさん ひろってくださいね！\n\n\nコインといっしょにふってくる、&#xE;&#x11;&#x14;&#x2;V&#x0;をとれば\n1UPチャンス！ ただし &#xE;&#x11;&#x13;&#x2;U&#x0;をとると げんてんです。\n気をつけてくださいね！
TimeLimit_Timer_00	&#xE;&#xD;&#x1;&#x2;&#x0;&#x2;
PanelMiniGame_Num_00	×１
PanelMiniGame_Num_01	×２
TalkWindow_Sign_00	↑フローズンだいち\n←デザートさばく                     \n↓ミントしょとう   
BaloonGuide_Text_00	よむ
BaloonGuide_Text_02	？？？
SetUpBtn_Index_00	ボタンのせってい
SetUpBtn_Jump_00	ジャンプ
SetUpBtn_Dush_00	ダッシュ
SetUpBtn_SetUp_00	そうさ１
SetUpBtn_SetUp_01	そうさ２
SetUpBtn_OK_00	OK
CountDownStart_Count_00	&#xE;&#xD;&#x0;&#x2;&#x0;&#x1;
CountDownStart_Start_00	スタート！
CourseSelectVS_IndexMode_00	コインバトル
CourseSelectVS_Score_00	&#xE;&#xF;&#x1;&#x2;&#x0;&#x2;
CourseSelectVS_VSPoint_00	&#xE;&#xF;&#x1;&#x2;&#x0;&#x2;
CourseSelectVS_VSPoint_01	&#xE;&#xF;&#x1;&#x2;&#x0;&#x2;
CourseSelectVS_VSPoint_02	&#xE;&#xF;&#x1;&#x2;&#x0;&#x2;
CourseSelectVS_VSPoint_03	&#xE;&#xF;&#x1;&#x2;&#x0;&#x2;
CourseSelectVS_Index_00	&#xE;&#x13;&#x2;&#x2;&#x0;Í
PartsDecisionButtonA_Btn	ランダムバトル
CourseSelectVS_World_00	&#xE;&#x13;&#x2;&#x2;&#x0;Í
CourseSelectVS_Text_00	このコースで はじめますか？
CourseSelectVS_Text_01	このコースをエディットしますか？
CourseSelectVSWin_CourseNum_00	&#xE;&#x12;&#x3;&#x2;&#x0;Í
CourseSelectVS_MenuText_00	メニュー
CouseSelectVSRandom_World_00	&#xE;&#x13;&#x2;&#x2;&#x0;Í
CouseSelectVSRandom_Text_00	ランダムバトルをはじめますか？
CouseSelectVSRandom_OK_00	はじめる
CouseSelectVSRandom_SelectC_00	4回しょうぶ！
CouseSelectVSRandom_SelectL_00	3回しょうぶ！
CouseSelectVSRandom_SelectR_00	5回しょうぶ！
CourseSelectMenu_TeamBtn_00	チームへんこう
CourseSelectMenu_CoinBattleBtn_00	コインバトルであそぶ
CourseSelectVSConfirm_BtnL_00	はじめる
CourseSelectVSConfirm_BtnL_01	エディットする
CourseSelectVS_IndexMode_01	コインエディット
CourseSelectVSConfirm_BtnR_00	エディットコースで\nはじめる
PreGameVS_Round_00	ROUND　&#xE;&#xD;&#x0;&#x2;&#x0;&#x1;/&#xE;&#xD;&#x0;&#x2;&#x1;&#x1;
PreGameVS_Round_01	FINAL ROUND
PreGameVS_World_00	&#xE;&#x13;&#x0;&#x0;-&#xE;&#x12;&#x1;&#x0;
PreGameVS_Random_00	ランダムバトル
PreGameVS_VSCoinCount_00	&#xE;&#xE;&#x3;&#x2;&#x0;&#x4;
PreGameVS_VSCoinCount_01	&#xE;&#xE;&#x3;&#x2;&#x0;&#x4;
PreGameVS_VSCoinCount_02	&#xE;&#xE;&#x3;&#x2;&#x0;&#x4;
PreGameVS_VSCoinCount_03	&#xE;&#xE;&#x3;&#x2;&#x0;&#x4;
PreGameEdit_World_00	&#xE;&#x13;&#x0;&#x0;-&#xE;&#x12;&#x1;&#x0;
PreGameEdit_Text_00	コインエディット
CoinEditScene_StarCoin_00	&#xE;&#xF;&#x0;&#x2;&#x0;&#x1;
CoinEditScene_Coin_00	&#xE;&#xF;&#x2;&#x2;&#x0;&#x3;
CoinEditScene_Attention_00	これいじょう コインを置けません！
CoinEditScene_Attention_01	これいじょう スターコインを置けません！
CoinEditScene_Area_00	1
CoinEditScene_Area_01	2
CoinEditScene_Area_02	3
CoinEditMenu_Open_00	そうさメニュー
CoinEditMenu_Close_00	とじる
CoinEditMenu_Save_00	セーブする
CoinEditMenu_End_00	おわる
CoinEditMenu_AreaText_00	エリアいどう
CoinEditMenu_Area_00	1
CoinEditMenu_Area_01	2
CoinEditMenu_Area_02	3
CoinEditMenu_Reset_00	コインのリセット
CoinEditMenu_Reset_confirm	配置したコインを すべてリセットします。\nよろしいですか？
CoinEditMenu_Save_confirm_00	今の状態をセーブします。\n過去の状態は消えてしまいますが\nよろしいですか？
CoinEditMenu_End_confirm_00	コインエディットをやめて、\nコース選たく画面にもどります。\n\nセーブしていない内容は消えてしまいますが\nよろしいですか？
PaDataSelectBtn_ZankiNum_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
PaDataSelectBtn_ZankiX_00	×
PaDataSelectBtn_GoalNum_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
PaDataSelectBtn_NEW_00	NEW!
SaveDataSelect_Return_00	タイトルにもどる
SaveDataSelect_DeleteConfirm_00	本当に消去しますか？
SaveDataSelect_DeleteSelect_00	消去するファイルを選んでください。
SaveDataSelect_CopySelect_00	コピーするファイルを選んでください。
SaveDataSelect_CopyWhich_00	どちらのファイルにコピーしますか？
SaveDataSelect_DeleteRunning_00	消去しています。
SaveDataSelect_DeleteEnd_00	消去しました。
PlayerNum_CopyEnd_00	コピーしました。
SaveDataSelect_CopyRunning_00	コピーしています。
SaveDataSelect_CopyConfirm_00	上書きしますか？\n「ちゅうだん」している情報はコピーされません。
SaveDataSelect_Index_00	STORY MODE
SaveDataSelectDL_Index_00	STORY MODE
SaveDataSelect_Index_01	With Mii MODE
SaveDataSelect_Charenge_00	おだいモード
SaveDataSelect_Free_00	ブーストモード
SaveDataSelect_VS_00	コインバトル
SaveDataSelect_HelpBtn_00	ヒント
SaveDataSelect_BtnL_00	キャンセル
SaveDataSelect_BtnR_00	OK
SaveDataSelect_Delete_00	消去
SaveDataSelect_Copy_00	コピー
PlayerNumSelect_Text_00	何人であそびますか？
PlayerNumSelect_Num_00	１
PlayerNumSelect_Num_01	２
PlayerNumSelect_Num_02	３
PlayerNumSelect_Num_03	４
TeamSelect_BtnL_00	キャンセル
TeamSelect_BtnR_00	OK
TeamSelect_Text_01	このチームであそびますか？
TeamSelect_Guide_00	いどう
TeamSelect_Text_00	チームにわかれてください
TeamSelectGround_VS_00	VS
ResultVS_TotalCoin_00	TOTAL COIN!
ResultVS_StarCoinBonus_00	STAR COIN BONUS!
ResultVS_BonusCoin_00	BONUS COIN!
ResultVS_Draw_00	DRAW！
ResultVS_TeamA_00	あかチームのかち！
ResultVS_TeamB_00	あおチームのかち！
ResultVS_Score_00	&#xE;&#xF;&#x3;&#x2;&#x0;&#x4;
ResultVS_Round_00	ROUND 1
ResultVS_Round_01	ROUND ２
ResultVS_Round_02	ROUND ３
ResultVS_Round_03	ROUND ４
ResultVS_RoundFinal_00	FINAL ROUND
ResultVS_Result_00	さいしゅうけっか
ResultVS_1st_00	1st
ResultVS_2nd_00	2nd
ChallengeGameScene_1UP_00	&#xE;&#xF;&#x2;&#x2;&#x0;&#x3;
ChallengeGameScene_Time_00	&#xE;&#xF;&#x2;&#x2;&#x0;&#x3;.&#xE;&#x0;&#x2;&#x2;K&#x0;&#xE;&#xE;&#x1;&#x2;&#x1;&#x2;&#xE;&#x0;&#x2;&#x2;d&#x0;
ChallengeGameScene_CoinCount_00	&#xE;&#xF;&#x3;&#x2;&#x0;&#x4;
ChallengeGameScene_UP_00	UP
ChallengeClear_Clear_00	おだいクリア!
ChallengeFailure_Failure_00	おだいしっぱい！
ModelPlayWindow_WinText_00	「おてほんプレイ」をつかいますか？\nルイージがおてほんを見せてくれます。
ModelPlayWindow_WinText_01	「おてほんプレイ」をやめて\nつづきをプレイしますか？
ModelPlayWindow_WinText_02	このコースをクリアしたことにして\nつぎに進みますか？
ModelPlayWindow_WinText_03	「おてほんプレイ」をつかいますか？\nマリオがおてほんを見せてくれます。
ModelPlayWindow_BtnL_00	キャンセル
ModelPlayWindow_BtnL_01	自分でクリア
