challenge_mode.msbt
Challenge_Title_001	Acorn Plains Speed Run
PauseGame_PlayNumStyle_00	Change Players
FreeInfoWindow_Text_00	New course pack available!
InfoWindow_New_00	NEW!
GameOver_GameOver_00	GAME OVER!
CouseClear_Clear_00	Course Clear!
TimeUp_TimeUp_00	Time's Up!
Title_Title_00	Press &#xE;&#x11;&#xF;&#x2;2&#x0; + &#xE;&#x11;&#x10;&#x2;3&#x0; to start
Title_Nintendo_01	© 2012-2018 Nintendo.
Title_Ver_00	Ver.&#xE;&#xF;&#x1;&#x2;&#x0;&#x2;.&#xE;&#xF;&#x1;&#x2;&#x1;&#x2;.&#xE;&#xF;&#x1;&#x2;&#x2;&#x2;
BootSceneDL_Loading_00	NOW LOADING...
ErrorWindow_Text_NoReplay_00	The movie is corrupted and\ncannot be played back.
ErrorWindow_BtnIC_OK_00	OK
CmnWindow_BtnR_Title_00	Main Menu
CmnWindow_BtnR_OK_00	OK
CmnWindow_BtnC_OK_00	OK
CmnWindow_BtnL_Cancel_00	Cancel
CmnWindow_BtnR_QuickSave_00	Quick Save
CmnWindow_BtnL_EditSave_00	Continue
CmnWindow_BtnR_EditSave_00	Quit
CmnWindow_WinText_Title_00	Return to main menu?\n\nUnsaved data will be lost.
CmnWindow_WinText_Pause_00	Return to the map in the state\nyou were in before entering\nthe course?
CmnWindow_WinText_Save_00	Save?
CmnWindow_WinText_Save_01	Saved.
CmnWindow_WinText_EditSave_00	Saved.\n\nQuit editing this course?
CmnWindow_WinText_EditToBattle_00	Quit Coin Edit and start Coin Battle?
CmnWindow_WinText_QuickSave_00	Suspend your game and\nreturn to the main menu?\n\nYou can resume your game\nfrom this point only once.
CmnWindow_WinText_QuickSave_01	Quick save complete.\n\nReturning to the main menu.
CmnWindow_WinText_EndingSave_00	Update your save file to indicate you've\ncompleted the game?
CmnWindow_WinText_ChallengeExit_00	Return to challenge-selection screen?
CmnWindow_WinText_ChallengeRetry_00	Retry this challenge?
CmnWindow_WinText_ChallengeTitle_00	Quit and return to the main menu?
CmnWindow_WinText_VSTitle_00	Quit Coin Battle and return to the main menu?
CmnWindow_WinText_EditTitle_00	Quit Coin Edit and return to the main menu?
CmnWindow_WinText_VSExit_00	Return to the course-selection screen?
CmnWindow_WinText_FreeExit_00	Return to the course-pack-selection screen?
CmnWindow_WinText_FreeTitle_00	Quit Boost Rush and return to the\nmain menu?
CmnWindow_WinText_Item_00	Use &#xE;&#x11;&#x10;&#x2;3&#x0; to check your items!\n\nIf a course is too tough, an item might help!
CmnWindow_WinText_ReKinoko_00	Previously visited Toad Houses are now\nopen for business again!
CmnWindow_WinText_SetUpBtn00	Controls have been changed for\nall controllers.
CmnWindowDL_WinText_PlayerBlock00	Hit this block to play using the\njumping style of the characters\nfrom New Super Mario Bros. U.\n\nThis effect will last until you exit the course.\n
CmnWindow_WinText_ExplainLuigiU	New Super Luigi U is a little trickier\nthan New Super Mario Bros. U.\n\nYou can jump higher, but you're\nmore prone to skidding about.
GameOver_Continue_00	Continues
Continue_ZankiX_00	×
Continue_ZankiNum_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
Continue_Num_00	&#xE;&#xD;&#x2;&#x2;&#x0;&#x3;
CourseSelectScene_CourseNum_00	&#xE;&#x13;&#x0;&#x0;-&#xE;&#x12;&#x1;&#x0;
CourseSelectScene_CourseName_00	&#xE;&#x13;&#x1;&#x0;
CourseSelectScene_CourseNameDL_00	&#xE;&#x13;&#x1;&#x0;
Zanki_X_00	×
CourseSelectScene_Zanki1P_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
CourseSelectScene_Zanki2P_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
CourseSelectScene_Zanki3P_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
CourseSelectScene_Zanki4P_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
CourseSelectScene_ItemText_00	Items
CourseSelectScene_MenuText_00	Menu
CourseSelectScene_CmeraText_00	Map View
CourseSelectWorldName_WorldName_00	&#xE;&#x13;&#x0;&#x0;
CourseSelectMenu_SCoinBtn_00	Star Coins
CourseSelectMenuDL_SCoinBtn_00	Star Coins
CourseSelectMenu_SuspendBtn_00	Quick Save
CourseSelectMenu_SaveBtn_00	Save
CourseSelectMenu_TitleBtn_00	Main Menu
CourseSelectMenu_CharaBtn_00	Change Character
CourseSelectMenu_PlayStyleBtn_00	Change Controller
CourseSelectMenu_PlayNumStyleBtn_00	Change Number of\nPlayers/Controller
ItemList_Index_00	Items
ItemList_NoItem_00	No items.
ItemList_InvalidItem_00	Can't use this now!
ItemList_InvalidItem_01	Nabbit can't use that!
ItemList_InvalidItem_02	Only Toadette can use that!
ItemStock_Index_00	Items
ItemStock_AddItem_00	 
PaItemStockBtn_New_00	NEW
ItemStock_FullItem_00	You can't hold any more items!
ItemStock_DelItem_00	Please discard this many items: &#xE;&#xE;&#x0;&#x2;&#x0;&#x1;
ItemStock_DelItem_01	Select an item to discard.
ItemStockConfirm_Confirm_00	Discard?
ItemStockConfirm_BtnL_00	Cancel
ItemStockConfirm_BtnR_00	Discard
StarCoinList_Index_00	Star Coins
StarCoinListDL_Index_00	Star Coins
StarCoinListWin_TotalSCoin_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
StarCoinListWin_WorldName_00	&#xE;&#x13;&#x2;&#x2;&#x0;Í
StarCoinListWin_CourseNum_00	&#xE;&#x12;&#x3;&#x2;&#x0;Í
ChangePlayerNum_Index_00	Select Character
ResultMiniGame_Text_00	You won! Check it out!&#xE;&#x15;&#x1;&#x4;X&#x2;&#x0;&#x0;
ResultMiniGame_X_00	×
ResultMiniGame_ItemNum_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
TalkWindow_Kinopio_00	Pick a block, and I'll give you whatever item's\ninside! I'm gonna shuffle them now, so watch\nclosely. You don't wanna pick a &#xE;&#x11;&#x13;&#x2;U&#x0;.
TalkWindow_Kinopio_00_1	Pick a block, and I'll give you whatever item's\ninside! I'm gonna shuffle them now, so watch\nclosely. You don't wanna pick a &#xE;&#x11;&#x13;&#x2;U&#x0;.
TalkWindow_Kinopio_01	You can hit two blocks. Be careful, though—if you\nhit a block with a &#xE;&#x11;&#x13;&#x2;U&#x0; inside, the game is over!
TalkWindow_Kinopio_01_1	You can hit two blocks. Be careful, though—if you\nhit a block with a &#xE;&#x11;&#x13;&#x2;U&#x0; inside, the game is over!
TalkWindow_Kinopio_03	&#xE;&#x15;&#x1;&#x4;X&#x2;&#x0;&#x0;Oh, too bad! Nothing this time...
TalkWindow_KinopioSlot_01	These Baby Yoshis are hungry for panels!\nWhen I blow the whistle, bring one Baby Yoshi\nof each color over here.\n\nThe right combination of panels will earn you up\nto two items. But don't you dare bring me any &#xE;&#x11;&#x13;&#x2;U&#x0;!
TalkWindow_KinopioCoin_01	These cannons are about to fire a barrage of coins\nand 1-Ups! Collect as many as you can!\n\n\nGet more &#xE;&#x11;&#x14;&#x2;V&#x0; than &#xE;&#x11;&#x13;&#x2;U&#x0; to earn 1-Ups!
TalkWindow_KinopioCoin_01_1	These cannons are about to fire a barrage of coins\nand 1-Ups! Collect as many as you can!\n\n\nGet more &#xE;&#x11;&#x14;&#x2;V&#x0; than &#xE;&#x11;&#x13;&#x2;U&#x0; to earn 1-Ups!
TimeLimit_Timer_00	&#xE;&#xD;&#x1;&#x2;&#x0;&#x2;
PanelMiniGame_Num_00	×1
PanelMiniGame_Num_01	×2
TalkWindow_Sign_00	↑ Frosted Glacier\n← Layer-Cake Desert               \n↓ Sparkling Waters
BaloonGuide_Text_00	Read
BaloonGuide_Text_02	? ? ?
SetUpBtn_Index_00	Button Settings
SetUpBtn_Jump_00	Jump
SetUpBtn_Dush_00	Dash
SetUpBtn_SetUp_00	Controls 1
SetUpBtn_SetUp_01	Controls 2
SetUpBtn_OK_00	OK
CountDownStart_Count_00	&#xE;&#xD;&#x0;&#x2;&#x0;&#x1;
CountDownStart_Start_00	Start!
CourseSelectVS_IndexMode_00	Coin Battle
CourseSelectVS_Score_00	&#xE;&#xF;&#x1;&#x2;&#x0;&#x2;
CourseSelectVS_VSPoint_00	&#xE;&#xF;&#x1;&#x2;&#x0;&#x2;
CourseSelectVS_VSPoint_01	&#xE;&#xF;&#x1;&#x2;&#x0;&#x2;
CourseSelectVS_VSPoint_02	&#xE;&#xF;&#x1;&#x2;&#x0;&#x2;
CourseSelectVS_VSPoint_03	&#xE;&#xF;&#x1;&#x2;&#x0;&#x2;
CourseSelectVS_Index_00	&#xE;&#x13;&#x2;&#x2;&#x0;Í
PartsDecisionButtonA_Btn	Random Battle
CourseSelectVS_World_00	&#xE;&#x13;&#x2;&#x2;&#x0;Í
CourseSelectVS_Text_00	Start this course?
CourseSelectVS_Text_01	Edit this course?
CourseSelectVSWin_CourseNum_00	&#xE;&#x12;&#x3;&#x2;&#x0;Í
CourseSelectVS_MenuText_00	Menu
CouseSelectVSRandom_World_00	&#xE;&#x13;&#x2;&#x2;&#x0;Í
CouseSelectVSRandom_Text_00	Choose the number of rounds.
CouseSelectVSRandom_OK_00	Start
CouseSelectVSRandom_SelectC_00	Four Rounds!
CouseSelectVSRandom_SelectL_00	Three Rounds!
CouseSelectVSRandom_SelectR_00	Five Rounds!
CourseSelectMenu_TeamBtn_00	Change Teams
CourseSelectMenu_CoinBattleBtn_00	Play Coin Battle
CourseSelectVSConfirm_BtnL_00	Start
CourseSelectVSConfirm_BtnL_01	Edit
CourseSelectVS_IndexMode_01	Coin Edit
CourseSelectVSConfirm_BtnR_00	Start Edited\nCourse
PreGameVS_Round_00	Round &#xE;&#xD;&#x0;&#x2;&#x0;&#x1;/&#xE;&#xD;&#x0;&#x2;&#x1;&#x1;
PreGameVS_Round_01	Final Round!
PreGameVS_World_00	&#xE;&#x13;&#x0;&#x0;-&#xE;&#x12;&#x1;&#x0;
PreGameVS_Random_00	Random Battle
PreGameVS_VSCoinCount_00	&#xE;&#xE;&#x3;&#x2;&#x0;&#x4;
PreGameVS_VSCoinCount_01	&#xE;&#xE;&#x3;&#x2;&#x0;&#x4;
PreGameVS_VSCoinCount_02	&#xE;&#xE;&#x3;&#x2;&#x0;&#x4;
PreGameVS_VSCoinCount_03	&#xE;&#xE;&#x3;&#x2;&#x0;&#x4;
PreGameEdit_World_00	&#xE;&#x13;&#x0;&#x0;-&#xE;&#x12;&#x1;&#x0;
PreGameEdit_Text_00	Coin Edit
CoinEditScene_StarCoin_00	&#xE;&#xF;&#x0;&#x2;&#x0;&#x1;
CoinEditScene_Coin_00	&#xE;&#xF;&#x2;&#x2;&#x0;&#x3;
CoinEditScene_Attention_00	You can't place any more coins!
CoinEditScene_Attention_01	You can't place any more coins!
CoinEditScene_Area_00	1
CoinEditScene_Area_01	2
CoinEditScene_Area_02	3
CoinEditMenu_Open_00	Options
CoinEditMenu_Close_00	Close
CoinEditMenu_Save_00	Save
CoinEditMenu_End_00	Quit
CoinEditMenu_AreaText_00	Change Areas
CoinEditMenu_Area_00	1
CoinEditMenu_Area_01	2
CoinEditMenu_Area_02	3
CoinEditMenu_Reset_00	Reset Coins
CoinEditMenu_Reset_confirm	All the coins you placed will be reset.\nIs this OK?
CoinEditMenu_Save_confirm_00	This will replace your previously\nsaved coin layout.\n\nIs this OK?
CoinEditMenu_End_confirm_00	Return to course selection?\n\nAny unsaved changes will be lost.
PaDataSelectBtn_ZankiNum_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
PaDataSelectBtn_ZankiX_00	×
PaDataSelectBtn_GoalNum_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
PaDataSelectBtn_NEW_00	NEW!
SaveDataSelect_Return_00	Title Screen
SaveDataSelect_DeleteConfirm_00	Really delete?
SaveDataSelect_DeleteSelect_00	Delete which file?
SaveDataSelect_CopySelect_00	Copy which file?
SaveDataSelect_CopyWhich_00	Copy file to where?
SaveDataSelect_DeleteRunning_00	Deleting...
SaveDataSelect_DeleteEnd_00	Deleted.
PlayerNum_CopyEnd_00	Copied.
SaveDataSelect_CopyRunning_00	Copying...
SaveDataSelect_CopyConfirm_00	Overwrite?\nQuick-save data will not be copied.
SaveDataSelect_Index_00	Story Mode
SaveDataSelectDL_Index_00	Story Mode
SaveDataSelect_Index_01	Play with Mii
SaveDataSelect_Charenge_00	Challenges
SaveDataSelect_Free_00	Boost Rush
SaveDataSelect_VS_00	Coin Battle
SaveDataSelect_HelpBtn_00	Hints
SaveDataSelect_BtnL_00	Cancel
SaveDataSelect_BtnR_00	OK
SaveDataSelect_Delete_00	Delete
SaveDataSelect_Copy_00	Copy
PlayerNumSelect_Text_00	How many people are playing?
PlayerNumSelect_Num_00	1
PlayerNumSelect_Num_01	2
PlayerNumSelect_Num_02	3
PlayerNumSelect_Num_03	4
TeamSelect_BtnL_00	Cancel
TeamSelect_BtnR_00	OK
TeamSelect_Text_01	Current Teams
TeamSelect_Guide_00	Choose
TeamSelect_Text_00	Please split into two teams.
TeamSelectGround_VS_00	Vs.
ResultVS_TotalCoin_00	Coins
ResultVS_StarCoinBonus_00	Star Coins
ResultVS_BonusCoin_00	Bonus Coins
ResultVS_Draw_00	Draw!
ResultVS_TeamA_00	Red Team Wins!
ResultVS_TeamB_00	Blue Team Wins!
ResultVS_Score_00	&#xE;&#xF;&#x3;&#x2;&#x0;&#x4;
ResultVS_Round_00	Round 1
ResultVS_Round_01	Round 2
ResultVS_Round_02	Round 3
ResultVS_Round_03	Round 4
ResultVS_RoundFinal_00	Final Round!
ResultVS_Result_00	Results
ResultVS_1st_00	1st
ResultVS_2nd_00	2nd
ChallengeGameScene_1UP_00	&#xE;&#xF;&#x2;&#x2;&#x0;&#x3;
ChallengeGameScene_Time_00	&#xE;&#xF;&#x2;&#x2;&#x0;&#x3;.&#xE;&#x0;&#x2;&#x2;K&#x0;&#xE;&#xE;&#x1;&#x2;&#x1;&#x2;&#xE;&#x0;&#x2;&#x2;d&#x0;
ChallengeGameScene_CoinCount_00	&#xE;&#xF;&#x3;&#x2;&#x0;&#x4;
ChallengeGameScene_UP_00	-Up
ChallengeClear_Clear_00	Clear!
ChallengeFailure_Failure_00	Too Bad!
ModelPlayWindow_WinText_00	Activate Super Guide?\nLuigi will show you a sample run.
ModelPlayWindow_WinText_01	Continue without\nSuper Guide?
ModelPlayWindow_WinText_02	Clear this course and move on?
ModelPlayWindow_WinText_03	Activate Super Guide?\nMario will show you a sample run.
ModelPlayWindow_BtnL_00	No
ModelPlayWindow_BtnL_01	Try Again
ModelPlayWindow_BtnR_00	Yes
ModelPlayWindow_BtnR_01	Proceed
GameScene_ModelPlayIndex_00	Super Guide
GameScene_CanceText_00	Quit
ChallengeSelect_MenuText_00	Menu
PaChallengeMenuBtn_CourseName_00	&#xE;&#x16;&#x0;&#x2;&#x0;Í
PaChallengeMenuBtn_New_00	NEW!
ChallengeSelect_Index_00	 Challenges
ChallengeSelect_TimeIndex_00	Time Attack
ChallengeSelect_CoinIndex_00	Coin Collection
ChallengeSelect_1UPIndex_00	1-Up Rally
ChallengeSelect_SpecialIndex_00	Special
ChallengeSelectWindow_New_00	NEW!
ChallengeSelectWindow_CourseName_00	&#xE;&#x16;&#x0;&#x2;&#x0;Í
ChallengeSelectWindow_Text_00	&#xE;&#x16;&#x1;&#x2;&#x0;Í
ChallengeSelectWindow_GoldCondition_00	&#xE;&#x16;&#x4;&#x2;&#x0;Í
ChallengeSelectWindow_SilverCondition_00	&#xE;&#x16;&#x3;&#x2;&#x0;Í
ChallengeSelectWindow_BronzeCondition_00	&#xE;&#x16;&#x2;&#x2;&#x0;Í
ChallengeSelectWindow_Start_00	Start
ChallengeSelectWindow_Replay_00	Replay
ChallengeSelectWindow_BestTime_00	&#xE;&#xF;&#x2;&#x2;&#x0;&#x3;.&#xE;&#x0;&#x2;&#x2;K&#x0;&#xE;&#xE;&#x1;&#x2;&#x1;&#x2;&#xE;&#x0;&#x2;&#x2;d&#x0;
ChallengeSelectWindow_BestCoinCount_00	&#xE;&#xF;&#x2;&#x2;&#x0;&#x3;
ChallengeSelectWindow_BestCoinLost_00	&#xE;&#xF;&#x1;&#x2;&#x0;&#x2;
ChallengeSelectWindow_Best1UPCount_00	&#xE;&#xF;&#x2;&#x2;&#x0;&#x3;
ChallengeSelectWindow_BestEnemyLost_00	&#xE;&#xF;&#x1;&#x2;&#x0;&#x2;
ChallengeSelectWindow_BestClear_00	Clear!
ChallengeSelectWindow_BestScore_00	High Score:
ChallengeSelectWindow_WorldCourseName_00	&#xE;&#x13;&#x2;&#x2;&#x0;Í-&#xE;&#x12;&#x3;&#x2;&#x1;Í
ChallengeSelectWindow_Original_00	Original Course
PreGameChallengeTime_Title_00	&#xE;&#x16;&#x0;&#x2;&#x0;Í
PreGameChallengeTime_Text_00	&#xE;&#x16;&#x1;&#x2;&#x0;Í
PreGameChallengeTime_Gold_00	&#xE;&#x16;&#x4;&#x2;&#x0;Í
PreGameChallengeTime_Silver_00	&#xE;&#x16;&#x3;&#x2;&#x0;Í
PreGameChallengeTime_Bronze_00	&#xE;&#x16;&#x2;&#x2;&#x0;Í
ResultChallenge_PlayScoreText_00	Time:
ResultChallenge_BestScoreText_00	High score:
ResultChallenge_PlayScoreText_Coin00	Coins:
ResultChallenge_BestScoreText_Coin00	High score:
ResultChallenge_PlayScoreText_Count00	Enemies damaged:
ResultChallenge_BestScoreText_Count00	High score:
ResultChallenge_PlayScoreText_UP00	1-Ups:
ResultChallenge_BestScoreText_UP00	High score:
ResultChallenge_Score_00	&#xE;&#xD;&#x2;&#x2;&#x0;&#x3;
ResultChallenge_BestScore_00	&#xE;&#xD;&#x2;&#x2;&#x0;&#x3;
ResultChallenge_NoBestScore_00	---
ResultChallenge_BestScoreNew_00	&#xE;&#xD;&#x2;&#x2;&#x0;&#x3;
ResultChallenge_ScoreCoinCount_00	 
ResultChallenge_ScoreCoinLost_00	 
ResultChallenge_Score1UPCount_00	-Up
ResultChallenge_ScoreEnemyLost_00	 
ResultChallenge_PlayScore_01	Count 
ResultChallenge_GoldMedalGet_00	Gold medal!
ResultChallenge_SilverMedalGet_00	Silver medal!
ResultChallenge_BronzeMedalGet_00	Bronze medal!
ResultChallenge_NewRecord_00	New high score!
ResultChallenge_TieRecord_00	Tied the high score!
ResultChallenge_BestScoreTime_00	&#xE;&#xF;&#x2;&#x2;&#x0;&#x3;.&#xE;&#x0;&#x2;&#x2;K&#x0;&#xE;&#xE;&#x1;&#x2;&#x1;&#x2;&#xE;&#x0;&#x2;&#x2;d&#x0;
ResultChallenge_PlayScoreTime_00	&#xE;&#xF;&#x2;&#x2;&#x0;&#x3;.&#xE;&#x0;&#x2;&#x2;K&#x0;&#xE;&#xE;&#x1;&#x2;&#x1;&#x2;&#xE;&#x0;&#x2;&#x2;d&#x0;
ResultChallenge_CourseName_00	&#xE;&#x16;&#x0;&#x2;&#x0;Í
ResultChallenge_Text_00	&#xE;&#x16;&#x1;&#x2;&#x0;Í
PauseGame_ChallengeContinue_00	Continue
PauseGame_ChallengeRetry_00	Retry
PauseGame_ChallengeExit_00	Exit Course
PauseGame_ChallengePlayStyle_00	Change Controller
ChallengeInfoWindow_New_00	NEW!
ChallengeInfoWindow_Text_00	New challenge available!
ChallengeRetryWindow_Text_00	Try again?
ChallengeRetryWindow_Retry_00	OK
ChallengeRetryWindow_Exit_00	Quit
ChangeTeam_Index_00	Change Teams
ChangeTeam_TeamText_00	Current Teams
ChangeTeam_TeamBtnL_00	Change Teams
ChangeTeam_TeamBtnR_00	Free-for-All
ChangeTeam_KojinText_00	Current mode: Free-for-All
ChangeTeam_KojinBtn_00	Team Battle
ChangeTeam_ChangeTeamText_00	Choose Teams
ChangeTeam_Guide_00	Choose
ChangeTeam_ConfirmText_00	Do you want to play with these settings?
ChangeTeam_ConfirmBtnL_00	Cancel
ChangeTeam_ConfirmBtnR_00	OK
MovieSaveWindow_Text_00	Saved replay movie.
MovieSaveWindow_Text_01	Would you like to save this replay?\n\nThe previous replay movie will be deleted.
MovieSaveWindow_BtnC_00	OK
MovieSaveWindow_BtnL_00	Cancel
MovieSaveWindow_BtnR_00	Replace
MovieSaveWindow_SaveText_00	Saving...\nPlease do not turn off the power.
PauseGame_MovieContinue_00	Continue
PauseGame_MovieExit_00	Quit
WarpSelectWindow_Btn_00	&#xE;&#x13;&#x2;&#x2;&#x0;Í
WarpSelectWindow_OK_00	Launch!
CourseSelectFree_Index_00	Boost Rush
CourseSelectFree_MenuText_00	Menu
CourseSelectFree_Text_00	Choose the course pack you want to play.
CourseSelectFree_Text_01	Play this course pack?
CourseSelectFree_Rule_00	Collect coins to increase the speed.\nGo for a record time!
CourseSelectFree_BtnR_00	Start
CourseSelectFree_New_00	NEW!
CourseSelectFree_BestTime_00	&#xE;&#xF;&#x3;&#x2;&#x0;&#x4;.&#xE;&#x0;&#x2;&#x2;K&#x0;&#xE;&#xE;&#x1;&#x2;&#x1;&#x2;&#xE;&#x0;&#x2;&#x2;d&#x0;
CourseSelectFree_Best_00	Record
CourseSelectFreeMenu_TitleBtn_00	Main Menu
LabelFree_Easy_00	Easy
LabelFree_Random_00	Random
LabelFree_Musasabi_00	Flying Squirrel
LabelFree_Yoshi_00	Yoshi
LabelFree_Athletic_00	Acrobat
LabelFree_Penguin_00	Penguin
LabelFree_Special_00	Superstar
LabelFree_Hard_00	Expert
LabelFree_LockedPack_00	???
LabelFree_CourseNum_00	&#xE;&#xD;&#x0;&#x2;&#x0;&#x1; Courses
KinopioBaloonText_Text_00	Hey!
KinopioZoroText_01	&#xE;&#x15;&#x1;&#x4;,&#x1;&#x0;&#x0;Thanks a million for your help! Here—take this!
KinopioZoroText_02	&#xE;&#x15;&#x1;&#x4;,&#x1;&#x0;&#x0;Thanks a ton for your help! Here—take this!
ShadowStartMessage_Text_00	Catch Nabbit!
ShadowFail_Text_00	Nabbit got away...
ShadowClear_Text_00	You caught Nabbit!
ShadowFirstDemo_Message_02	Oh, this is terrible! Some weirdo stole a bunch of\nmy stuff! And he's so fast, I'll never catch him!\nPlease, you've gotta help me!
ShadowFirstDemo_Message_03	That was my all-time, double-favorite stuff.\nAnd I may never see it again...
ShadowFirstDemo_Message_03_1	Aaah, this is no time to stand around!\nHe was headed for Acorn Plains!
ShadowFirstDemo_Message_03_2	I leave it in your hands.\nI'm gonna head back.
ShadowFirstDemo_Message_03_3	You can take it from\nhere. Later!
ShadowFirstDemo_Message_04	Oh! I almost forgot! Pipes are a surefire answer\nwhen you're in a rush!
ShadowFirstDemo_Message_05	Oh, this is terrible! Some weirdo stole a bunch of\nmy stuff! And he's so fast, I'll never catch him!\nPlease, you've gotta help me!
ShadowFinish_K_Message_01	&#xE;&#x15;&#x1;&#x4;,&#x1;&#x0;&#x0;You got my stuff back! Thanks a million!\nHere—take this. You've earned it, and it should\ncome in handy when you're in a tough spot.
ChibiYoshii_Message_00	Yoshi! (Hey! I'm Baby Yoshi!)\n\n\n\nYoshi! (You look like you know where to find food,\nso I guess I'll follow you!)
RecordList_CoinNumText_00	Coins Collected
RecordList_CoinNum_00	&#xE;&#xD;&#x5;&#x2;&#x0;&#x6;
RecordList_SCoinNumText_00	Star Coins Collected
RecordList_SCoinNum_00	&#xE;&#xD;&#x3;&#x2;&#x0;&#x4;
RecordList_GoalNumText_00	Goal Poles Reached
RecordList_GoalNum_00	&#xE;&#xD;&#x3;&#x2;&#x0;&#x4;
RecordList_ClapNumText_00	Times Applauded
RecordList_ClapNum_00	&#xE;&#xD;&#x4;&#x2;&#x0;&#x5;
RecordList_AssistText_00	Times Companion Lifted
RecordList_Assist_00	&#xE;&#xD;&#x4;&#x2;&#x0;&#x5;
RecordList_MiniAssistText_00	Synchronized Ground Pounds
RecordList_MiniAssist_00	&#xE;&#xD;&#x4;&#x2;&#x0;&#x5;
RecordList_ShadowNumText_00	Nabbits Caught
RecordList_ShadowNum_00	&#xE;&#xD;&#x2;&#x2;&#x0;&#x3;
RecordList_KuriboNumText_00	Goombas Stomped
RecordList_KuriboNum_00	&#xE;&#xD;&#x4;&#x2;&#x0;&#x5;
RecordList_ItemNumText_00	Items Collected
RecordList_ItemNum_00	&#xE;&#xD;&#x4;&#x2;&#x0;&#x5;
RecordList_YosshiNumText_00	Goals Reached with Yoshi
RecordList_YosshiNum_00	&#xE;&#xD;&#x2;&#x2;&#x0;&#x3;
RecordList_CYosshiNumText_00	Goals Reached with Baby Yoshi
RecordList_CYosshiNum_00	&#xE;&#xD;&#x2;&#x2;&#x0;&#x3;
RecordList_Goal1UPNumText_00	1-Ups Earned at Goal
RecordList_Goal1UPNum_00	&#xE;&#xD;&#x3;&#x2;&#x0;&#x4;
RecordList_GoalHanabiNumText_00	Fireworks at Goal
RecordList_GoalHanabiNum_00	&#xE;&#xD;&#x3;&#x2;&#x0;&#x4;
RecordList_3UPMoonText_00	3-Up Moons Collected
RecordList_3UPMoonNum_00	&#xE;&#xD;&#x3;&#x2;&#x0;&#x4;
RecordList_IndexMario_00	Mario U Records
RecordList_IndexLuigi_00	Luigi U Records
EventWindow_CompleteIndex_Star_00	Congratulations on\ncompleting the game!
EventWindow_Complete_Star_00	A &#xE;&#x11;&#x16;&#x2;l&#x0; has been added to your save file!\nYou can now save at any time from the menu.
EventWindow_DokanIndex_Star_00	You can now use the pipes to\nget to Superstar Road.
EventWindow_Dokan_Star_00	By the way, have you found all the Star Coins yet?
EventWindow_CompleteIndex_Star_01	You've cleared all courses\nthrough Peach's Castle!
EventWindow_Complete_Star_01	Congratulations! A second &#xE;&#x11;&#x16;&#x2;l&#x0;\nhas been added to your file!
EventWindow_CompleteIndex_Star_02	&#xE;&#x0;&#x2;&#x2;U&#x0;You've collected all the Star Coins\nup through Peach's Castle!&#xE;&#x0;&#x2;&#x2;d&#x0;
EventWindow_Complete_Star_02	A third &#xE;&#x11;&#x16;&#x2;l&#x0; has been added to your file!
EventWindow_CompleteIndex_Star_03	The final course is now\navailable!
EventWindow_Complete_Star_03	A fourth &#xE;&#x11;&#x16;&#x2;l&#x0; has been added to your file!
EventWindow_CompleteIndex_Star_04	You've completely cleared\nStory Mode! Amazing!
EventWindow_Complete_Star_04	A fifth &#xE;&#x11;&#x16;&#x2;l&#x0; has been added to your file! You can now\nenter the Toad Houses all you like!
EventWindow_CompleteIndex_Shadow00	You've caught Nabbit in\nevery world!
EventWindow_Complete_Shadow00	Congratulations!
EventWindow_DokanIndex_ShadowGet_00	You can now use the pipes to\nget to a secret island!
EventWindow_Dokan_ShadowGet_00	Hop in a pipe and check it out!
EventWindow_CompleteIndex_WorldStarCoinGet_00	You got all the Star Coins in\nAcorn Plains!
EventWindow_CompleteIndex_WorldStarCoinGet_01	You got all the Star Coins\nin Layer-Cake Desert!
EventWindow_CompleteIndex_WorldStarCoinGet_02	You got all the Star Coins\nin Sparkling Waters!
EventWindow_CompleteIndex_WorldStarCoinGet_03	You got all the Star Coins\non Frosted Glacier!
EventWindow_CompleteIndex_WorldStarCoinGet_04	You got all the Star Coins\nin Soda Jungle!
EventWindow_CompleteIndex_WorldStarCoinGet_05	You got all the Star Coins\nin Rock-Candy Mines!
EventWindow_CompleteIndex_WorldStarCoinGet_06	You got all the Star Coins\nin Meringue Clouds!
EventWindow_CompleteIndex_WorldStarCoinGet_07	You got all the Star Coins\nin Peach's Castle!
EventWindow_Complete_WorldStarCoinGet_00	That's gotta mean something good, right?
EventWindow_CompleteIndex_AllStarCoinGet_00	You've collected all the\nStar Coins!
EventWindow_Complete_AllStarCoinGet_00	Congratulations!
PreGameFree_X_00	×
PreGameFree_Zanki_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
