challenge_mode.msbt
Challenge_Title_001	穿越橡栗平原！
CourseName_7-1	天空中冒出很多磚塊來
CourseName_7-2	蹦蹦跳跳 翹翹板蘑菇
CourseName_7-3	不進反退的平台山丘
CourseName_7-4	不斷跳躍！在天空利用蹦蹦雲遊玩
CourseName_7-5	用空中之水在天空漫遊
CourseName_7-6	蛇磚塊不斷前進的霧之谷
CourseName_7-GHOST	有很多門的幽靈屋
CourseName_7-TOWER1	旋轉的平行移動台堡壘
CourseName_7-CASTLE	洛德威格的滑軌磚塊城堡
CourseName_7-AIRSHIP	逐漸迫近的巨大戰艦！
CourseName_8-1	岩漿火焰令腳下晃動不已
CourseName_8-2	驚恐熔岩巡航
CourseName_8-3	熔岩浪及螺旋蘑菇
CourseName_8-4	落下火焰的懸崖縫隙
CourseName_8-CASTLE	被攻佔的碧姬公主城堡
CourseName_8-CASTLE2	決戰！碧姬公主城堡
CourseName_9-1	爽快！藍天下的白骨過山車
CourseName_9-2	衝啊、衝啊、全力衝刺吧！
CourseName_9-3	快逃啊！盯著不放的大嘴魚
CourseName_9-4	滑溜溜！冰之洞窟的晃來晃去鐵鎚
CourseName_9-5	可怕！立足處一直旋轉的世界
CourseName_9-6	巨大！火焰棒的懸崖
CourseName_9-7	球蓋姆！球蓋姆！球蓋姆！
CourseName_9-8	小心看路！長滿刺的錘擺鐵球
CourseName_9-9	窮追不捨！心愛的龜殼
course_name_R-Dash.msbt
CourseName_1-1	胖飛鼠的橡栗
CourseName_1-2	天搖地動的洞窟
CourseName_1-3	轉動地帶的耀西
CourseName_1-4	到處都是吞食花的蘑菇拓展運動場
CourseName_1-5	花紅草綠的吞食花大地
CourseName_1-TOWER1	燙熱的齒輪堡壘
CourseName_1-CASTLE	雷米的黑暗錘擺城堡
CourseName_SECRET-SECRET1	逃離大嘴魚！
CourseName_2-1	滾啊滾啊的加邦沙漠
CourseName_2-2	刺球丸子及刺滾輪的地下遺跡
CourseName_2-3	黑暗吞食花的洞窟
CourseName_2-4	逐漸出現的岩石像地帶
CourseName_2-5	加邦的天空及轉動台
CourseName_2-6	旋轉大地的吞食花
CourseName_2-TOWER1	快快轉上去吧！螺旋堡壘
CourseName_2-CASTLE	莫頓的下沉磚塊城堡
CourseName_SECRET-SECRET2	千鈞一髮的冰之谷的繩梯
CourseName_3-1	到處都是蟹寶寶的噴泉海灘
CourseName_3-2	潛入！海膽小子的家
CourseName_3-3	跑過去吧！雲上的噴泉
CourseName_3-4	大噴泉上的跳躍泡泡魚海岸
CourseName_3-5	海膽小子不斷掉落的海龍家
CourseName_3-GHOST	沉船的轉動磚塊
CourseName_3-TOWER1	心驚膽顫！大狼牙棒的堡壘
CourseName_3-CASTLE	拉里的砲彈刺客及魚雷刺客城堡
CourseName_SECRET-SECRET3	不斷長高的巨大豆豆樹
CourseName_4-1	砸磚拳手在星空橫衝直撞！
CourseName_4-2	蘑菇上的企鵝仔
CourseName_4-3	小心火球的冰之谷
CourseName_4-4	胖飛鼠的天秤
CourseName_4-5	前進！冰凍滑行
CourseName_4-GHOST	飄浮箱子及害羞幽靈團
CourseName_4-TOWER1	到處都是冰錐的刺刺堡壘
CourseName_4-CASTLE	溫緹的咚咚咚咚城堡
CourseName_SECRET-SECRET4	從海象下面鑽過去吧！
CourseName_5-1	巨大森林裡的懸垂藤枝
CourseName_5-2	毒沼澤的危險磚塊
CourseName_5-3	荊棘蟲的黑森林
CourseName_5-4	搖晃水管的吞食花沼澤
CourseName_5-5	被喚醒的深海遺跡
CourseName_5-6	圓木頭上的KK
CourseName_5-7	踩著花毛毛爬上叢林
CourseName_5-GHOST	到處都是害羞幽靈的幽靈屋
CourseName_5-TOWER1	到處都是刺的蛇磚塊堡壘
CourseName_5-CASTLE	伊吉的熔岩及鎖鍊城堡
CourseName_SECRET-SECRET5	飛行鋼盔龜的大飛行
CourseName_5-AIRSHIP	兄弟部隊的巨大戰艦
CourseName_6-1	高台的刺毛怪山頂
CourseName_6-2	住著尖刺河豚的洞窟
CourseName_6-3	加邦的瞭望台
CourseName_6-4	連結吧！發光磚塊
CourseName_6-5	轉動台及漫步吞食花
CourseName_6-6	吞食花及白骨過山車
CourseName_6-7	開關驅動台的洞窟
CourseName_6-TOWER1	小心頭上刺滾輪的堡壘
CourseName_6-TOWER2	轉動發條迴避的KK堡壘
CourseName_6-CASTLE	洛伊的鐵箱詭計城堡
CourseName_7-1	天空中的冰凍刺毛怪平台
CourseName_7-2	花毛毛與黑吞食花
CourseName_7-3	彩虹上的散步之路
CourseName_7-4	再跳高一點 蹦蹦雲的天空
CourseName_7-5	火焰汪汪及空中摩天輪
CourseName_7-6	3塊蛇磚塊
CourseName_7-GHOST	跑快一點 立足處會消失的幽靈屋
CourseName_7-TOWER1	巨大石塊逼近的堡壘
CourseName_7-CASTLE	洛德威格的磚塊迫近城堡
CourseName_7-AIRSHIP	決戰！庫巴Jr.
CourseName_8-1	載浮載沉的岩漿大地
CourseName_8-2	熔岩巡航+烏仔熔岩
CourseName_8-3	熔岩齒輪及橫跳火焰泡泡
CourseName_8-4	閃避落下的火焰雨
CourseName_8-CASTLE	電擊！碧姬公主城堡
CourseName_8-CASTLE2	最終決戰！碧姬公主城堡
CourseName_9-1	乘坐！藍天下的白骨過山車
CourseName_9-2	跑吧、踩吧、再跑吧！
CourseName_9-3	追尋！逃走的星星金幣
CourseName_9-4	踩著鐵鎚向上爬
CourseName_9-5	不斷冒出來的危險立足處
CourseName_9-6	穿過巨大的火焰棒吧！
CourseName_9-7	換乘！球蓋姆的天空
CourseName_9-8	不行不行了！錘擺鐵球地區
CourseName_9-9	飛鼠拍手喝采
Help.msbt
Help_Index_00	冒險提示
Help_PageNum_00	&#xE;&#xD;&#x1;&#x2;&#x0;&#x2;/&#xE;&#xD;&#x1;&#x2;&#x1;&#x2;
Help_Text_00	揮動控制器或是按下&#xE;&#x11;&#x10;&#x2;3&#x0;\n可做出旋轉跳躍。
Help_Text_01	在2～4人的故事模式中，\n按下&#xE;&#x11;&#xF;&#x2;2&#x0;+&#xE;&#x11;&#x10;&#x2;3&#x0;可進入肥皂泡。
Help_Text_02	在肥皂泡裡面，你不會受到任何傷害。\n揮動控制器可以讓你飄近其他玩家。
Help_Text_03	在故事模式中，每當你通過&#xE;&#x11;&#x18;&#x2;@&#x0; 或 &#xE;&#x11;&#x19;&#x2;A&#x0;時，遊戲會進行儲存。\n你可以在地圖畫面中隨時中斷遊戲(系統會暫時儲存)。
Help_Text_04	碰到中間點後，即使失誤也可以從這裡重新開始。\n但是，ㄧ旦玩其他關卡，就要從頭開始。
Help_Text_05	如果在《New 超級瑪利歐兄弟U》的同一個關卡裡失誤5次，遊戲會跳出一個「示範磚塊」。\n敲擊這磚塊後，你將會看到過關提示。
Help_Text_06	使用遊戲示範磚塊過關的關卡將會有&#xE;&#x11;&#x6;&#x2;j&#x0;的標記。\n你可以繼續遊玩下一個關卡，但是這不會算是正常的過關。
Help_Text_07	使用偷天兔單獨進行遊戲的關卡會有&#xE;&#x11;$&#x2;i&#x0;的標記\n你可以繼續遊玩下一個關卡，但是這不會算是正常的過關。
Help_Text_08	偷天兔即使被敵人攻擊也不會受到傷害。\n即使獲得道具亦不能變身。
Help_Text_09	奇諾比珂敲擊磚塊的話，跳出的不會是\n1UP蘑菇，而是3UP彎月。
Help_Text_10	奇諾比珂拾起超級王冠後，可以變身為奇諾比姬公主。\n而且只有奇諾比珂才可以拾起超級王冠。
Help_Text_11	使用奇諾比珂和偷天兔，\n關卡剩餘時間的計數會增加100。
Help_Text_12	使用奇諾比珂和偷天兔，\n可在水中按照操縱&#xE;&#x11;&#x1;&#x2;"&#x0;的方向自由地游泳。
Help_Text_13	使用奇諾比珂和偷天兔，\n跟其他角色比起來，比較不易打滑。
Help_Text_14	使用奇諾比珂和偷天兔，\n便無法挑戰課題模式。
Help_Text_15	在課題模式、加倍模式及金幣對戰中，\n可以使用Mii作為遊戲角色。
Help_Text_16	比起《New 超級瑪利歐兄弟U》，《New 超級路易吉U》裡的\n跳躍能力變得更高，但也比較容易打滑。
message.msbt
PaCharacterSelector_Decide_00	確認
CharacterSelectBtn_Cancel_00	離開
CharacterSelect_Text_00	請選擇角色
CharacterSelect_Text_01	要以此角色進行遊戲嗎？
CharacterSelect_CapText_00	戴上/摘下Mii的帽子
CharacterSelectPos_BtnR_00	OK
CharacterSelectPos_BtnL_00	取消
CharacterSelectPos_BtnR_01	個人戰
CharacterSelectPos_BtnL_01	團體戰
PaCharacterSelector_ZankiX_00	×
PaCharacterSelector_Zanki_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
MiiSelectBtn_Page_00	&#xE;&#xF;&#x0;&#x2;&#x0;&#x1;/&#xE;&#xF;&#x0;&#x2;&#x1;&#x1;
PaCharacterSelector_NameLuigi_00	路易吉
PaCharacterSelector_BalloonKinopiko_00	比較簡單
PaCharacterSelector_BalloonTotten_00	非常簡單
PaCharacterSelector_NameMario_00	瑪利歐
PaCharacterSelector_NameKino_00	奇諾比奧
PaCharacterSelector_NameKinopiko_00	奇諾比珂
PaCharacterSelector_NameTotten_00	偷天兔
PaCharacterSelector_NameMii_00	Mii
PreGameStory_WorldCourse_00	&#xE;&#x13;&#x0;&#x0;-&#xE;&#x12;&#x1;&#x0;
PreGameStory_WorldName_00	&#xE;&#x13;&#x1;&#x0;
PreGameStory_WorldNameDL_00	&#xE;&#x13;&#x1;&#x0;
PreGameStory_X_00	×
PreGameStory_Zanki_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
PreGameStory_ModelPlay_00	遊戲示範
PointGet_Coin_00	×&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
PointGet_1UP_00	&#xE;&#xD;&#x2;&#x2;&#x0;&#x3;UP
PointGet_RedCoin_00	&#xE;&#xE;&#x0;&#x2;&#x0;&#x1;
PointGet_GreenCoin_00	&#xE;&#xE;&#x0;&#x2;&#x0;&#x1;
PointGet_1000_00	&#xE;&#xE;&#x3;&#x2;&#x0;&#x4;
PointGet_100_00	&#xE;&#xE;&#x2;&#x2;&#x0;&#x3;
PointGet_Bonus_00	獎勵
PointGet_BonusCoin_00	 ×&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
GameScene_Score_00	&#xE;&#xE;&#x8;&#x2;&#x0;	
GameScene_Timer_00	&#xE;&#xE;&#x2;&#x2;&#x0;&#x3;
GameScene_FreeTimer_00	&#xE;&#xF;&#x3;&#x2;&#x0;&#x4;.&#xE;&#x0;&#x2;&#x2;K&#x0;&#xE;&#xE;&#x1;&#x2;&#x1;&#x2;&#xE;&#x0;&#x2;&#x2;d&#x0;
GameScene_Coin_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
GameScene_1UP_00	1UP
GameScene_Zanki4P_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
GameScene_Zanki3P_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
GameScene_Zanki2P_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
GameScene_Zanki1P_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
GameScene_X	×
GameScene_FreeZanki_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
PauseGame_Continue_00	繼續遊戲
PauseGame_Exit_00	退出關卡
PauseGame_Exit_01	放棄
PauseGame_PlayStyle_00	更改操作
PauseGame_PlayNumStyle_00	更改人數/操作
FreeInfoWindow_Text_00	增加了新關卡組合！
InfoWindow_New_00	NEW!
GameOver_GameOver_00	GAME OVER!
CouseClear_Clear_00	COURSE CLEAR!
TimeUp_TimeUp_00	TIME'S UP!
Title_Title_00	按下 &#xE;&#x11;&#xF;&#x2;2&#x0;&#xE;&#x11;&#x10;&#x2;3&#x0; 開始！
Title_Nintendo_01	© 2012-2018 Nintendo.
Title_Ver_00	Ver.&#xE;&#xF;&#x1;&#x2;&#x0;&#x2;.&#xE;&#xF;&#x1;&#x2;&#x1;&#x2;.&#xE;&#xF;&#x1;&#x2;&#x2;&#x2;
BootSceneDL_Loading_00	讀取中…
ErrorWindow_Text_NoReplay_00	遊戲影片已損毀，\n無法播放。
ErrorWindow_BtnIC_OK_00	OK
CmnWindow_BtnR_Title_00	離開遊戲
CmnWindow_BtnR_OK_00	OK
CmnWindow_BtnC_OK_00	OK
CmnWindow_BtnL_Cancel_00	取消
CmnWindow_BtnR_QuickSave_00	中斷
CmnWindow_BtnL_EditSave_00	繼續
CmnWindow_BtnR_EditSave_00	結束
CmnWindow_WinText_Title_00	結束遊戲。\n\n未儲存的內容將會遺失。\n可以嗎？
CmnWindow_WinText_Pause_00	返回地圖\n\n將變回進入關卡前的狀態。\n可以嗎？
CmnWindow_WinText_Save_00	要儲存嗎？
CmnWindow_WinText_Save_01	儲存完畢。
CmnWindow_WinText_EditSave_00	儲存完畢。\n\n要結束此關卡的編輯嗎？
CmnWindow_WinText_EditToBattle_00	要離開金幣編輯\n並開始金幣對戰嗎?
CmnWindow_WinText_QuickSave_00	要「中斷」遊戲嗎？\n\n你可以回到這裡繼續玩，\n但是只有１次機會。
CmnWindow_WinText_QuickSave_01	中斷完畢。\n\n遊戲即將結束。
CmnWindow_WinText_EndingSave_00	要儲存過關後的資料嗎？
CmnWindow_WinText_ChallengeExit_00	回到課題選擇畫面。\n\n可以嗎？
CmnWindow_WinText_ChallengeRetry_00	重試這個課題。\n\n可以嗎？
CmnWindow_WinText_ChallengeTitle_00	要結束課題模式。\n\n真的可以嗎？
CmnWindow_WinText_VSTitle_00	結束金幣對戰。\n\n真的可以嗎？
CmnWindow_WinText_EditTitle_00	結束金幣編輯。\n\n真的可以嗎？
CmnWindow_WinText_VSExit_00	回到關卡選擇畫面。\n\n真的可以嗎？
CmnWindow_WinText_FreeExit_00	回到關卡組合選擇畫面。\n\n真的可以嗎？
CmnWindow_WinText_FreeTitle_00	結束加倍模式。\n\n真的可以嗎？
CmnWindow_WinText_Item_00	使用&#xE;&#x11;&#x10;&#x2;3&#x0;打開「道具列表」！\n\n如果遇到困難，就多多使用道具吧！
CmnWindow_WinText_ReKinoko_00	之前玩過１次奇諾比奧的家，\n現在又可以玩了。
CmnWindow_WinText_SetUpBtn00	已更改了所有控制器的操作。
CmnWindowDL_WinText_PlayerBlock00	如果敲擊此磚塊，\n就能以New瑪利歐U的角色性能\n來進行遊戲。\n\n退出關卡後，就會變回路易吉U的角色性能。
CmnWindow_WinText_ExplainLuigiU	《New 超級路易吉U》比《New 超級瑪利歐兄弟U》\n更有挑戰性。\n\n你可以跳得更高，\n但也更容易打滑。
GameOver_Continue_00	繼續
Continue_ZankiX_00	×
Continue_ZankiNum_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
Continue_Num_00	&#xE;&#xD;&#x2;&#x2;&#x0;&#x3;
CourseSelectScene_CourseNum_00	&#xE;&#x13;&#x0;&#x0;-&#xE;&#x12;&#x1;&#x0;
CourseSelectScene_CourseName_00	&#xE;&#x13;&#x1;&#x0;
CourseSelectScene_CourseNameDL_00	&#xE;&#x13;&#x1;&#x0;
Zanki_X_00	×
CourseSelectScene_Zanki1P_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
CourseSelectScene_Zanki2P_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
CourseSelectScene_Zanki3P_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
CourseSelectScene_Zanki4P_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
CourseSelectScene_ItemText_00	道具
CourseSelectScene_MenuText_00	選單
CourseSelectScene_CmeraText_00	環視
CourseSelectWorldName_WorldName_00	&#xE;&#x13;&#x0;&#x0;
CourseSelectMenu_SCoinBtn_00	星星金幣列表
CourseSelectMenuDL_SCoinBtn_00	星星金幣列表
CourseSelectMenu_SuspendBtn_00	中斷
CourseSelectMenu_SaveBtn_00	儲存
CourseSelectMenu_TitleBtn_00	離開遊戲
CourseSelectMenu_CharaBtn_00	更改角色
CourseSelectMenu_PlayStyleBtn_00	更改操作
CourseSelectMenu_PlayNumStyleBtn_00	更改人數/操作
ItemList_Index_00	道具列表
ItemList_NoItem_00	無道具。
ItemList_InvalidItem_00	現在無法使用！
ItemList_InvalidItem_01	偷天兔無法使用！
ItemList_InvalidItem_02	只有奇諾比珂可以使用它！
ItemStock_Index_00	道具列表
ItemStock_AddItem_00	已添加道具！
PaItemStockBtn_New_00	NEW
ItemStock_FullItem_00	道具已滿。
ItemStock_DelItem_00	請選擇要丟棄的&#xE;&#xE;&#x0;&#x2;&#x0;&#x1;個道具。
ItemStock_DelItem_01	請選擇要丟棄的道具。
ItemStockConfirm_Confirm_00	要丟棄這個道具嗎？
ItemStockConfirm_BtnL_00	取消
ItemStockConfirm_BtnR_00	丟棄
StarCoinList_Index_00	星星金幣列表
StarCoinListDL_Index_00	星星金幣列表
StarCoinListWin_TotalSCoin_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
StarCoinListWin_WorldName_00	&#xE;&#x13;&#x2;&#x2;&#x0;Í
StarCoinListWin_CourseNum_00	&#xE;&#x12;&#x3;&#x2;&#x0;Í
ChangePlayerNum_Index_00	選擇角色
ResultMiniGame_Text_00	&#xE;&#x15;&#x1;&#x4;X&#x2;&#x0;&#x0;獲得道具。\n恭喜!
ResultMiniGame_X_00	×
ResultMiniGame_ItemNum_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
TalkWindow_Kinopio_00	選擇一個磚塊，裡面的道具就送給你！\n我要開始洗牌囉，請注意看喔！\n你絕對不想要選到&#xE;&#x11;&#x13;&#x2;U&#x0;。
TalkWindow_Kinopio_00_1	選擇一個磚塊，裡面的道具就送給你！\n我要開始洗牌囉，請注意看喔！\n你絕對不想要選到&#xE;&#x11;&#x13;&#x2;U&#x0;。
TalkWindow_Kinopio_01	好了，請敲擊２個磚塊。\n如果敲到裝有&#xE;&#x11;&#x13;&#x2;U&#x0;的話，遊戲就會結束。\n請好好選擇喔！
TalkWindow_Kinopio_01_1	好了，請敲擊２個磚塊。\n如果敲到裝有&#xE;&#x11;&#x13;&#x2;U&#x0;的話，遊戲就會結束。\n請好好選擇喔！
TalkWindow_Kinopio_03	&#xE;&#x15;&#x1;&#x4;X&#x2;&#x0;&#x0;啊～太可惜了！\n這次沒有獲得任何道具。
TalkWindow_KinopioSlot_01	這群小耀西們會吞食碎片！\n請各帶一種顏色的小耀西\n到我這裡來！\n\n透過組合碎片\n可獲得很多道具！\n不過，可不要把&#xE;&#x11;&#x13;&#x2;U&#x0;帶給我哦！
TalkWindow_KinopioCoin_01	接下來，從大砲裡會打出大量的金幣。\n請盡量多撿一些吧！\n\n\n如果獲得了和金幣一起落下來的&#xE;&#x11;&#x14;&#x2;V&#x0;，就有機會1UP！\n但如果獲得了&#xE;&#x11;&#x13;&#x2;U&#x0;，就會被扣分。\n請特別注意喔！
TalkWindow_KinopioCoin_01_1	接下來，從大炮裡會打出大量金幣。\n請盡可能多撿一些吧！\n\n如果獲得了和金幣一起落下來的&#xE;&#x11;&#x14;&#x2;V&#x0;，就有機會1UP！\n但如果獲得了&#xE;&#x11;&#x13;&#x2;U&#x0;，就會被扣分。\n請特別注意！
TimeLimit_Timer_00	&#xE;&#xD;&#x1;&#x2;&#x0;&#x2;
PanelMiniGame_Num_00	×1
PanelMiniGame_Num_01	×2
TalkWindow_Sign_00	↑ 冰凍大地\n← 甜點沙漠               \n↓ 薄荷諸島
BaloonGuide_Text_00	查看
BaloonGuide_Text_02	？？？
SetUpBtn_Index_00	按鈕設定
SetUpBtn_Jump_00	跳躍
SetUpBtn_Dush_00	衝刺
SetUpBtn_SetUp_00	操作１
SetUpBtn_SetUp_01	操作２
SetUpBtn_OK_00	OK
CountDownStart_Count_00	&#xE;&#xD;&#x0;&#x2;&#x0;&#x1;
CountDownStart_Start_00	START!
CourseSelectVS_IndexMode_00	金幣對戰
CourseSelectVS_Score_00	&#xE;&#xF;&#x1;&#x2;&#x0;&#x2;
CourseSelectVS_VSPoint_00	&#xE;&#xF;&#x1;&#x2;&#x0;&#x2;
CourseSelectVS_VSPoint_01	&#xE;&#xF;&#x1;&#x2;&#x0;&#x2;
CourseSelectVS_VSPoint_02	&#xE;&#xF;&#x1;&#x2;&#x0;&#x2;
CourseSelectVS_VSPoint_03	&#xE;&#xF;&#x1;&#x2;&#x0;&#x2;
CourseSelectVS_Index_00	&#xE;&#x13;&#x2;&#x2;&#x0;Í
PartsDecisionButtonA_Btn	隨機對戰
CourseSelectVS_World_00	&#xE;&#x13;&#x2;&#x2;&#x0;Í
CourseSelectVS_Text_00	要在這個關卡開始嗎？
CourseSelectVS_Text_01	要編輯這個關卡嗎？
CourseSelectVSWin_CourseNum_00	&#xE;&#x12;&#x3;&#x2;&#x0;Í
CourseSelectVS_MenuText_00	選單
CouseSelectVSRandom_World_00	&#xE;&#x13;&#x2;&#x2;&#x0;Í
CouseSelectVSRandom_Text_00	要開始隨機對戰嗎？
CouseSelectVSRandom_OK_00	開始
CouseSelectVSRandom_SelectC_00	4回合比賽！
CouseSelectVSRandom_SelectL_00	3回合比賽！
CouseSelectVSRandom_SelectR_00	5回合比賽！
CourseSelectMenu_TeamBtn_00	更改隊伍
CourseSelectMenu_CoinBattleBtn_00	開始金幣對戰
CourseSelectVSConfirm_BtnL_00	開始
CourseSelectVSConfirm_BtnL_01	編輯
CourseSelectVS_IndexMode_01	金幣編輯
CourseSelectVSConfirm_BtnR_00	在編輯關卡中\n開始
PreGameVS_Round_00	回合&#xE;&#xD;&#x0;&#x2;&#x0;&#x1;/&#xE;&#xD;&#x0;&#x2;&#x1;&#x1;
PreGameVS_Round_01	最終回合
PreGameVS_World_00	&#xE;&#x13;&#x0;&#x0;-&#xE;&#x12;&#x1;&#x0;
PreGameVS_Random_00	隨機對戰
PreGameVS_VSCoinCount_00	&#xE;&#xE;&#x3;&#x2;&#x0;&#x4;
PreGameVS_VSCoinCount_01	&#xE;&#xE;&#x3;&#x2;&#x0;&#x4;
PreGameVS_VSCoinCount_02	&#xE;&#xE;&#x3;&#x2;&#x0;&#x4;
PreGameVS_VSCoinCount_03	&#xE;&#xE;&#x3;&#x2;&#x0;&#x4;
PreGameEdit_World_00	&#xE;&#x13;&#x0;&#x0;-&#xE;&#x12;&#x1;&#x0;
PreGameEdit_Text_00	金幣編輯
CoinEditScene_StarCoin_00	&#xE;&#xF;&#x0;&#x2;&#x0;&#x1;
CoinEditScene_Coin_00	&#xE;&#xF;&#x2;&#x2;&#x0;&#x3;
CoinEditScene_Attention_00	無法再放更多金幣了！
CoinEditScene_Attention_01	無法再放更多星星金幣了！
CoinEditScene_Area_00	1
CoinEditScene_Area_01	2
CoinEditScene_Area_02	3
CoinEditMenu_Open_00	操作選單
CoinEditMenu_Close_00	關閉
CoinEditMenu_Save_00	儲存
CoinEditMenu_End_00	結束
CoinEditMenu_AreaText_00	更改區域
CoinEditMenu_Area_00	1
CoinEditMenu_Area_01	2
CoinEditMenu_Area_02	3
CoinEditMenu_Reset_00	重置金幣
CoinEditMenu_Reset_confirm	所有配置好的金幣將會被重置。\n可以嗎？
CoinEditMenu_Save_confirm_00	儲存現在的記錄。\n之前的記錄將會被取代。\n可以嗎？
CoinEditMenu_End_confirm_00	離開金幣編輯，\n回到關卡選擇畫面。\n\n尚未儲存的內容將會遺失。\n你確定嗎？
PaDataSelectBtn_ZankiNum_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
PaDataSelectBtn_ZankiX_00	×
PaDataSelectBtn_GoalNum_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
PaDataSelectBtn_NEW_00	NEW!
SaveDataSelect_Return_00	返回標題畫面
SaveDataSelect_DeleteConfirm_00	真的要刪除嗎？
SaveDataSelect_DeleteSelect_00	選擇要刪除的檔案。
SaveDataSelect_CopySelect_00	選擇要複製的檔案。
SaveDataSelect_CopyWhich_00	要複製到哪個檔案？
SaveDataSelect_DeleteRunning_00	刪除中…
SaveDataSelect_DeleteEnd_00	已刪除。
PlayerNum_CopyEnd_00	已複製。
SaveDataSelect_CopyRunning_00	複製中…
SaveDataSelect_CopyConfirm_00	要覆蓋嗎？\n「中斷」資料將不會被複製。
SaveDataSelect_Index_00	故事模式
SaveDataSelectDL_Index_00	故事模式
SaveDataSelect_Index_01	With Mii MODE
SaveDataSelect_Charenge_00	課題模式
SaveDataSelect_Free_00	加倍模式
SaveDataSelect_VS_00	金幣對戰
SaveDataSelect_HelpBtn_00	提示
SaveDataSelect_BtnL_00	取消
SaveDataSelect_BtnR_00	OK
SaveDataSelect_Delete_00	刪除
SaveDataSelect_Copy_00	複製
PlayerNumSelect_Text_00	要多少人一起遊玩？
PlayerNumSelect_Num_00	1
PlayerNumSelect_Num_01	2
PlayerNumSelect_Num_02	3
PlayerNumSelect_Num_03	4
TeamSelect_BtnL_00	取消
TeamSelect_BtnR_00	OK
TeamSelect_Text_01	用此隊伍進行遊戲?
TeamSelect_Guide_00	移動
TeamSelect_Text_00	請分成不同的隊伍。
TeamSelectGround_VS_00	VS
ResultVS_TotalCoin_00	金幣總數！
ResultVS_StarCoinBonus_00	星星金幣獎勵！
ResultVS_BonusCoin_00	獎勵金幣
ResultVS_Draw_00	DRAW！
ResultVS_TeamA_00	紅隊贏了！
ResultVS_TeamB_00	藍隊贏了！
ResultVS_Score_00	&#xE;&#xF;&#x3;&#x2;&#x0;&#x4;
ResultVS_Round_00	第 1 回合
ResultVS_Round_01	第 2 回合
ResultVS_Round_02	第 3 回合
ResultVS_Round_03	第 4 回合
ResultVS_RoundFinal_00	最終回合
ResultVS_Result_00	最終結果
ResultVS_1st_00	1st
ResultVS_2nd_00	2nd
ChallengeGameScene_1UP_00	&#xE;&#xF;&#x2;&#x2;&#x0;&#x3;
ChallengeGameScene_Time_00	&#xE;&#xF;&#x2;&#x2;&#x0;&#x3;.&#xE;&#x0;&#x2;&#x2;K&#x0;&#xE;&#xE;&#x1;&#x2;&#x1;&#x2;&#xE;&#x0;&#x2;&#x2;d&#x0;
ChallengeGameScene_CoinCount_00	&#xE;&#xF;&#x3;&#x2;&#x0;&#x4;
ChallengeGameScene_UP_00	UP
ChallengeClear_Clear_00	CLEAR!
ChallengeFailure_Failure_00	FAILURE!
ModelPlayWindow_WinText_00	要使用「遊戲示範」嗎？\n路易吉會為你進行示範。
ModelPlayWindow_WinText_01	要離開「遊戲示範」，\n並繼續進行遊戲嗎？
ModelPlayWindow_WinText_02	要跳過這個關卡，\n並繼續進行遊戲嗎？
ModelPlayWindow_WinText_03	要使用「遊戲示範」嗎？\n瑪利歐會為你進行示範。
ModelPlayWindow_BtnL_00	取消
ModelPlayWindow_BtnL_01	靠自己過關
ModelPlayWindow_BtnR_00	OK
ModelPlayWindow_BtnR_01	繼續往前
GameScene_ModelPlayIndex_00	遊戲示範
GameScene_CanceText_00	離開
ChallengeSelect_MenuText_00	選單
PaChallengeMenuBtn_CourseName_00	&#xE;&#x16;&#x0;&#x2;&#x0;Í
PaChallengeMenuBtn_New_00	NEW
ChallengeSelect_Index_00	課題模式
ChallengeSelect_TimeIndex_00	計時賽
ChallengeSelect_CoinIndex_00	金幣
ChallengeSelect_1UPIndex_00	連續1UP
ChallengeSelect_SpecialIndex_00	其他
ChallengeSelectWindow_New_00	NEW
ChallengeSelectWindow_CourseName_00	&#xE;&#x16;&#x0;&#x2;&#x0;Í
ChallengeSelectWindow_Text_00	&#xE;&#x16;&#x1;&#x2;&#x0;Í
ChallengeSelectWindow_GoldCondition_00	&#xE;&#x16;&#x4;&#x2;&#x0;Í
ChallengeSelectWindow_SilverCondition_00	&#xE;&#x16;&#x3;&#x2;&#x0;Í
