challenge_mode.msbt
Challenge_Title_001	穿过橡栗平原！
CourseName_8-CASTLE	被攻占的桃花公主城堡
CourseName_8-CASTLE2	决战！桃花公主城堡
CourseName_9-1	爽快！蓝天下的白骨过山车
CourseName_9-2	冲啊、冲啊、全力冲刺吧！
CourseName_9-3	快逃啊！盯着不放的大嘴鱼
CourseName_9-4	滑溜溜！冰之洞窟的晃来晃去铁锤
CourseName_9-5	可怕！立足处一直旋转的世界
CourseName_9-6	巨大！火焰棒的悬崖
CourseName_9-7	球盖姆！球盖姆！球盖姆！
CourseName_9-8	小心看路！长满刺的锤摆铁球
CourseName_9-9	穷追不舍！心爱的龟壳
course_name_R-Dash.msbt
CourseName_1-1	胖飞鼠的橡栗
CourseName_1-2	天摇地动的洞窟
CourseName_1-3	转动地带的耀西
CourseName_1-4	到处都是吞食花的蘑菇拓展运动场
CourseName_1-5	花红草绿的吞食花大地
CourseName_1-TOWER1	烫热的齿轮堡垒
CourseName_1-CASTLE	雷米的黑暗锤摆城堡
CourseName_SECRET-SECRET1	逃离大嘴鱼！
CourseName_2-1	滚啊滚啊的加邦沙漠
CourseName_2-2	刺球丸子及刺滚轮的地下遗迹
CourseName_2-3	黑暗吞食花的洞窟
CourseName_2-4	逐渐出现的岩石像地带
CourseName_2-5	加邦的天空及转动台
CourseName_2-6	旋转大地的吞食花
CourseName_2-TOWER1	快快转上去吧！螺旋堡垒
CourseName_2-CASTLE	莫顿的下沉砖块城堡
CourseName_SECRET-SECRET2	千钧一发的冰之谷绳梯
CourseName_3-1	到处都是蟹宝宝的喷泉海滩
CourseName_3-2	潜入！海胆小子的家
CourseName_3-3	跑过去吧！云上的喷泉
CourseName_3-4	大喷泉上的跳跃泡泡鱼海岸
CourseName_3-5	海胆小子不断掉落的海龙家
CourseName_3-GHOST	沉船的转动砖块
CourseName_3-TOWER1	心惊胆颤！大狼牙棒的堡垒
CourseName_3-CASTLE	拉里的炮弹刺客及鱼雷刺客城堡
CourseName_SECRET-SECRET3	不断长高的巨大豆豆树
CourseName_4-1	砸砖拳手在星空横冲直撞！
CourseName_4-2	蘑菇上的企鹅仔
CourseName_4-3	小心火球的冰之谷
CourseName_4-4	胖飞鼠的天秤
CourseName_4-5	前进！冰冻滑行
CourseName_4-GHOST	飘浮箱子及害羞幽灵团
CourseName_4-TOWER1	到处都是冰锥的刺刺堡垒
CourseName_4-CASTLE	温缇的咚咚咚咚城堡
CourseName_SECRET-SECRET4	从海象下面钻过去吧！
CourseName_5-1	巨大森林里的悬垂藤枝
CourseName_5-2	毒沼泽的危险砖块
CourseName_5-3	荆棘虫的黑森林
CourseName_5-4	摇晃水管的吞食花沼泽
CourseName_5-5	被唤醒的深海遗迹
CourseName_5-6	圆木头上的KK
CourseName_5-7	踩着花毛毛爬上丛林
CourseName_5-GHOST	到处都是害羞幽灵的幽灵屋
CourseName_5-TOWER1	到处都是刺的蛇砖块堡垒
CourseName_5-CASTLE	伊吉的熔岩及锁链城堡
CourseName_SECRET-SECRET5	飞行钢盔龟的大飞行
CourseName_5-AIRSHIP	兄弟部队的巨大战舰
CourseName_6-1	高台的刺毛怪山顶
CourseName_6-2	住着尖刺河豚的洞窟
CourseName_6-3	加邦的瞭望台
CourseName_6-4	连结吧！发光砖块
CourseName_6-5	转动台及漫步吞食花
CourseName_6-6	吞食花及白骨过山车
CourseName_6-7	开关驱动台的洞窟
CourseName_6-TOWER1	小心头上刺滚轮的堡垒
CourseName_6-TOWER2	转动发条回避的KK堡垒
CourseName_6-CASTLE	洛伊的铁箱诡计城堡
CourseName_7-1	天空中的冰冻刺毛怪平台
CourseName_7-2	花毛毛与黑吞食花
CourseName_7-3	彩虹上的散步之路
CourseName_7-4	再跳高一点 蹦蹦云的天空
CourseName_7-5	火焰汪汪及空中摩天轮
CourseName_7-6	3块蛇砖块
CourseName_7-GHOST	跑快一点 立足处会消失的幽灵屋
CourseName_7-TOWER1	巨大石块逼近的堡垒
CourseName_7-CASTLE	洛德威格的砖块迫近城堡
CourseName_7-AIRSHIP	决战！酷霸王Jr.
CourseName_8-1	载沉载浮的岩浆大地
CourseName_8-2	熔岩巡航+乌仔熔岩
CourseName_8-3	熔岩齿轮及横跳火焰泡泡
CourseName_8-4	闪避落下的火焰雨
CourseName_8-CASTLE	电击！桃花公主城堡
CourseName_8-CASTLE2	最终决战！桃花公主城堡
CourseName_9-1	乘坐！蓝天下的白骨过山车
CourseName_9-2	跑吧、踩吧、再跑吧！
CourseName_9-3	追寻！逃走的星星金币
CourseName_9-4	踩着铁锤向上爬
CourseName_9-5	不断冒出来的危险立足处
CourseName_9-6	穿过巨大的火焰棒吧！
CourseName_9-7	换乘！球盖姆的天空
CourseName_9-8	不行不行了！锤摆铁球地区
CourseName_9-9	飞鼠拍手喝彩
Help.msbt
Help_Index_00	冒险提示
Help_PageNum_00	&#xE;&#xD;&#x1;&#x2;&#x0;&#x2;/&#xE;&#xD;&#x1;&#x2;&#x1;&#x2;
Help_Text_00	挥动手柄或者按&#xE;&#x11;&#x10;&#x2;3&#x0;\n可以使出旋转跳。
Help_Text_01	2～4人玩故事模式时，\n可以用&#xE;&#x11;&#xF;&#x2;2&#x0;+&#xE;&#x11;&#x10;&#x2;3&#x0;进入肥皂泡。
Help_Text_02	在肥皂泡中时，不会受到伤害。\n挥动手柄的话，可以靠近其他玩家。
Help_Text_03	在故事模式中，可以在通过&#xE;&#x11;&#x18;&#x2;@&#x0;或&#xE;&#x11;&#x19;&#x2;A&#x0;时进行保存。\n可以随时在地图画面中断（暂时保存）游戏。
Help_Text_04	触碰中间点后，即使失误也可以从这里重新开始。\n但是，一旦玩其他关卡，就会从头开始。
Help_Text_05	如果在《New 超级马力欧兄弟U》的同一个关卡里失误5次，\n就会出现“示范砖块”。敲击后，可以观看通关示范。
Help_Text_06	在游戏示范里通过的关卡，会变成&#xE;&#x11;&#x6;&#x2;j&#x0;的状态。\n可以直接前往下一关卡，但不会被视为正常通关。
Help_Text_07	用偷天兔1人通过的关卡，会变成&#xE;&#x11;$&#x2;i&#x0;的状态。\n可以直接前往下一关卡，但不会被视为正常通关。
Help_Text_08	偷天兔即使被敌人打中也不会受到伤害。\n即使得到道具也不能变身。
Help_Text_09	奇诺比珂如果敲击砖块，出现的不是1UP蘑菇，\n而是3UP弯月。
Help_Text_10	奇诺比珂如果得到超级王冠，可以变身为奇诺比桃公主。\n可以得到超级王冠的，只有奇诺比珂。
Help_Text_11	使用奇诺比珂和偷天兔的话，\n关卡剩余时间的计数会增加100。
Help_Text_12	使用奇诺比珂和偷天兔的话，\n可以在水中按照操纵&#xE;&#x11;&#x1;&#x2;"&#x0;的方向自由地游泳。
Help_Text_13	使用奇诺比珂和偷天兔的话，\n会比其他角色更难滑行。
Help_Text_14	使用奇诺比珂和偷天兔的话，\n无法使用课题模式。
Help_Text_15	在课题模式、加倍模式和金币对战中，\n可以使用Mii作为游戏角色。
Help_Text_16	比起《New 超级马力欧兄弟U》，《New 超级路易吉U》里的\n跳跃力会变强。同时也会变得更易打滑。
message.msbt
PaCharacterSelector_Decide_00	确定
CharacterSelectBtn_Cancel_00	退出
CharacterSelect_Text_00	请选择角色
CharacterSelect_Text_01	以此角色进行游戏吗？
CharacterSelect_CapText_00	戴上或摘下Mii的帽子
CharacterSelectPos_BtnR_00	OK
CharacterSelectPos_BtnL_00	取消
CharacterSelectPos_BtnR_01	个人战
CharacterSelectPos_BtnL_01	团体战
PaCharacterSelector_ZankiX_00	×
PaCharacterSelector_Zanki_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
MiiSelectBtn_Page_00	&#xE;&#xF;&#x0;&#x2;&#x0;&#x1;/&#xE;&#xF;&#x0;&#x2;&#x1;&#x1;
PaCharacterSelector_NameLuigi_00	路易吉
PaCharacterSelector_BalloonKinopiko_00	比较简单
PaCharacterSelector_BalloonTotten_00	非常简单
PaCharacterSelector_NameMario_00	马力欧
PaCharacterSelector_NameKino_00	奇诺比奥
PaCharacterSelector_NameKinopiko_00	奇诺比珂
PaCharacterSelector_NameTotten_00	偷天兔
PaCharacterSelector_NameMii_00	Mii
PreGameStory_WorldCourse_00	&#xE;&#x13;&#x0;&#x0;-&#xE;&#x12;&#x1;&#x0;
PreGameStory_WorldName_00	&#xE;&#x13;&#x1;&#x0;
PreGameStory_WorldNameDL_00	&#xE;&#x13;&#x1;&#x0;
PreGameStory_X_00	×
PreGameStory_Zanki_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
PreGameStory_ModelPlay_00	游戏示范
PointGet_Coin_00	×&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
PointGet_1UP_00	&#xE;&#xD;&#x2;&#x2;&#x0;&#x3;UP
PointGet_RedCoin_00	&#xE;&#xE;&#x0;&#x2;&#x0;&#x1;
PointGet_GreenCoin_00	&#xE;&#xE;&#x0;&#x2;&#x0;&#x1;
PointGet_1000_00	&#xE;&#xE;&#x3;&#x2;&#x0;&#x4;
PointGet_100_00	&#xE;&#xE;&#x2;&#x2;&#x0;&#x3;
PointGet_Bonus_00	奖励
PointGet_BonusCoin_00	×&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
GameScene_Score_00	&#xE;&#xE;&#x8;&#x2;&#x0;	
GameScene_Timer_00	&#xE;&#xE;&#x2;&#x2;&#x0;&#x3;
GameScene_FreeTimer_00	&#xE;&#xF;&#x3;&#x2;&#x0;&#x4;.&#xE;&#x0;&#x2;&#x2;K&#x0;&#xE;&#xE;&#x1;&#x2;&#x1;&#x2;&#xE;&#x0;&#x2;&#x2;d&#x0;
GameScene_Coin_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
GameScene_1UP_00	1UP
GameScene_Zanki4P_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
GameScene_Zanki3P_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
GameScene_Zanki2P_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
GameScene_Zanki1P_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
GameScene_X	×
GameScene_FreeZanki_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
PauseGame_Continue_00	继续游戏
PauseGame_Exit_00	退出关卡
PauseGame_Exit_01	放弃
PauseGame_PlayStyle_00	更改操作
PauseGame_PlayNumStyle_00	更改人数/操作
FreeInfoWindow_Text_00	增加了新的关卡组合！
InfoWindow_New_00	NEW!
GameOver_GameOver_00	GAME OVER!
CouseClear_Clear_00	COURSE CLEAR!
TimeUp_TimeUp_00	TIME'S UP!
Title_Title_00	按 &#xE;&#x11;&#xF;&#x2;2&#x0; + &#xE;&#x11;&#x10;&#x2;3&#x0; 开始
Title_Nintendo_01	© 2012-2018 Nintendo.
Title_Ver_00	Ver.&#xE;&#xF;&#x1;&#x2;&#x0;&#x2;.&#xE;&#xF;&#x1;&#x2;&#x1;&#x2;.&#xE;&#xF;&#x1;&#x2;&#x2;&#x2;
BootSceneDL_Loading_00	正在读取……
ErrorWindow_Text_NoReplay_00	游戏影片已损坏，\n因此无法播放。
ErrorWindow_BtnIC_OK_00	OK
CmnWindow_BtnR_Title_00	退出游戏
CmnWindow_BtnR_OK_00	OK
CmnWindow_BtnC_OK_00	OK
CmnWindow_BtnL_Cancel_00	取消
CmnWindow_BtnR_QuickSave_00	中断
CmnWindow_BtnL_EditSave_00	继续
CmnWindow_BtnR_EditSave_00	结束
CmnWindow_WinText_Title_00	结束游戏。\n\n未保存的数据将会丢失，\n可以吗？
CmnWindow_WinText_Pause_00	返回地图。\n\n会变为进入关卡前的状态，\n可以吗？
CmnWindow_WinText_Save_00	要保存吗？
CmnWindow_WinText_Save_01	保存完毕。
CmnWindow_WinText_EditSave_00	保存完毕。\n\n要结束此关卡的编辑吗？
CmnWindow_WinText_EditToBattle_00	要退出金币编辑，\n开始金币对战吗？
CmnWindow_WinText_QuickSave_00	要“中断”游戏吗？\n\n只有一次机会可以\n从这里继续游戏。
CmnWindow_WinText_QuickSave_01	中断完毕。\n\n即将结束游戏。
CmnWindow_WinText_EndingSave_00	要保存游戏通关后的数据吗？
CmnWindow_WinText_ChallengeExit_00	返回课题选择画面。\n\n可以吗？
CmnWindow_WinText_ChallengeRetry_00	重试这个课题。\n\n可以吗？
CmnWindow_WinText_ChallengeTitle_00	结束课题模式。\n\n真的可以吗？
CmnWindow_WinText_VSTitle_00	结束金币对战。\n\n真的可以吗？
CmnWindow_WinText_EditTitle_00	结束金币编辑。\n\n真的可以吗？
CmnWindow_WinText_VSExit_00	返回关卡选择画面。\n\n真的可以吗？
CmnWindow_WinText_FreeExit_00	返回关卡组合选择画面。\n\n真的可以吗？
CmnWindow_WinText_FreeTitle_00	结束加倍模式。\n\n真的可以吗？
CmnWindow_WinText_Item_00	可按&#xE;&#x11;&#x10;&#x2;3&#x0;打开“道具列表”！\n\n遇到困难时，就多用道具吧！
CmnWindow_WinText_ReKinoko_00	现在又可以去\n奇诺比奥的家里玩了。
CmnWindow_WinText_SetUpBtn00	已更改所有手柄的操作方法。
CmnWindowDL_WinText_PlayerBlock00	如果敲击此砖块，\n就能以《New 超级马力欧兄弟U》里的\n跳跃方式进行游戏。\n\n退出关卡后，就会变回\n《New 超级路易吉U》里的跳跃方式。
CmnWindow_WinText_ExplainLuigiU	比起《New 超级马力欧兄弟U》，\n《New 超级路易吉U》\n要稍微难一点。\n\n跳跃力变强的同时，\n也会变得更易打滑。
GameOver_Continue_00	继续
Continue_ZankiX_00	×
Continue_ZankiNum_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
Continue_Num_00	&#xE;&#xD;&#x2;&#x2;&#x0;&#x3;
CourseSelectScene_CourseNum_00	&#xE;&#x13;&#x0;&#x0;-&#xE;&#x12;&#x1;&#x0;
CourseSelectScene_CourseName_00	&#xE;&#x13;&#x1;&#x0;
CourseSelectScene_CourseNameDL_00	&#xE;&#x13;&#x1;&#x0;
Zanki_X_00	×
CourseSelectScene_Zanki1P_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
CourseSelectScene_Zanki2P_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
CourseSelectScene_Zanki3P_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
CourseSelectScene_Zanki4P_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
CourseSelectScene_ItemText_00	道具列表
CourseSelectScene_MenuText_00	菜单
CourseSelectScene_CmeraText_00	环视
CourseSelectWorldName_WorldName_00	&#xE;&#x13;&#x0;&#x0;
CourseSelectMenu_SCoinBtn_00	星星金币列表
CourseSelectMenuDL_SCoinBtn_00	星星金币列表
CourseSelectMenu_SuspendBtn_00	中断
CourseSelectMenu_SaveBtn_00	保存
CourseSelectMenu_TitleBtn_00	退出游戏
CourseSelectMenu_CharaBtn_00	更改角色
CourseSelectMenu_PlayStyleBtn_00	更改操作
CourseSelectMenu_PlayNumStyleBtn_00	更改人数/操作
ItemList_Index_00	道具列表
ItemList_NoItem_00	没有道具。
ItemList_InvalidItem_00	现在无法使用！
ItemList_InvalidItem_01	偷天兔无法使用！
ItemList_InvalidItem_02	只有奇诺比珂才能使用！
ItemStock_Index_00	道具列表
ItemStock_AddItem_00	已添加道具！
PaItemStockBtn_New_00	NEW
ItemStock_FullItem_00	道具已满。
ItemStock_DelItem_00	请选择要舍弃的&#xE;&#xE;&#x0;&#x2;&#x0;&#x1;个道具。
ItemStock_DelItem_01	请选择要舍弃的道具。
ItemStockConfirm_Confirm_00	要舍弃该道具吗？
ItemStockConfirm_BtnL_00	取消
ItemStockConfirm_BtnR_00	舍弃
StarCoinList_Index_00	星星金币列表
StarCoinListDL_Index_00	星星金币列表
StarCoinListWin_TotalSCoin_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
StarCoinListWin_WorldName_00	&#xE;&#x13;&#x2;&#x2;&#x0;Í
StarCoinListWin_CourseNum_00	&#xE;&#x12;&#x3;&#x2;&#x0;Í
ChangePlayerNum_Index_00	角色选择
ResultMiniGame_Text_00	&#xE;&#x15;&#x1;&#x4;X&#x2;&#x0;&#x0;获得道具。\n恭喜恭喜！
ResultMiniGame_X_00	×
ResultMiniGame_ItemNum_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
TalkWindow_Kinopio_00	接下来我要把砖块里面的道具送给你！\n但我会打乱它们，你可要看仔细了。\n千万别抽到&#xE;&#x11;&#x13;&#x2;U&#x0;哦！
TalkWindow_Kinopio_00_1	接下来我要把砖块里面的道具送给你！\n但我会打乱它们，你可要看仔细了。\n千万别抽到&#xE;&#x11;&#x13;&#x2;U&#x0;哦！
TalkWindow_Kinopio_01	好了，请敲击2个砖块。\n如果敲击的砖块里面含有&#xE;&#x11;&#x13;&#x2;U&#x0;，游戏就会结束。\n请好好选择哦！
TalkWindow_Kinopio_01_1	好了，请敲击2个砖块。\n如果敲击的砖块里面含有&#xE;&#x11;&#x13;&#x2;U&#x0;，游戏就会结束。\n请好好选择哦！
TalkWindow_Kinopio_03	&#xE;&#x15;&#x1;&#x4;X&#x2;&#x0;&#x0;啊～太可惜了！ \n这次没能获得道具。
TalkWindow_KinopioSlot_01	这些小耀西们会吞食碎片！\n对于每种颜色的小耀西，\n请各带1只到我这里来！\n\n可以通过组合碎片\n来获得很多道具！\n不过，可不要把&#xE;&#x11;&#x13;&#x2;U&#x0;带给我哦！
TalkWindow_KinopioCoin_01	接下来，从大炮里会打出大量金币。\n请尽可能地多捡一些吧！\n\n\n如果获得了和金币一起落下来的&#xE;&#x11;&#x14;&#x2;V&#x0;，就有机会1UP！\n但如果获得了&#xE;&#x11;&#x13;&#x2;U&#x0;，就会被扣除。\n请多加注意哦！
TalkWindow_KinopioCoin_01_1	接下来，从大炮里会打出大量金币。\n请尽可能地多捡一些吧！\n\n\n如果获得了和金币一起落下来的&#xE;&#x11;&#x14;&#x2;V&#x0;，就有机会1UP！\n但如果获得了&#xE;&#x11;&#x13;&#x2;U&#x0;，就会被扣除。\n请多加注意哦！
TimeLimit_Timer_00	&#xE;&#xD;&#x1;&#x2;&#x0;&#x2;
PanelMiniGame_Num_00	×1
PanelMiniGame_Num_01	×2
TalkWindow_Sign_00	↑冰冻大地\n←甜点沙漠                     \n　↓薄荷诸岛   
BaloonGuide_Text_00	查看
BaloonGuide_Text_02	？？？
SetUpBtn_Index_00	按键设置
SetUpBtn_Jump_00	跳跃
SetUpBtn_Dush_00	冲刺
SetUpBtn_SetUp_00	操作1
SetUpBtn_SetUp_01	操作2
SetUpBtn_OK_00	OK
CountDownStart_Count_00	&#xE;&#xD;&#x0;&#x2;&#x0;&#x1;
CountDownStart_Start_00	START!
CourseSelectVS_IndexMode_00	金币对战
CourseSelectVS_Score_00	&#xE;&#xF;&#x1;&#x2;&#x0;&#x2;
CourseSelectVS_VSPoint_00	&#xE;&#xF;&#x1;&#x2;&#x0;&#x2;
CourseSelectVS_VSPoint_01	&#xE;&#xF;&#x1;&#x2;&#x0;&#x2;
CourseSelectVS_VSPoint_02	&#xE;&#xF;&#x1;&#x2;&#x0;&#x2;
CourseSelectVS_VSPoint_03	&#xE;&#xF;&#x1;&#x2;&#x0;&#x2;
CourseSelectVS_Index_00	&#xE;&#x13;&#x2;&#x2;&#x0;Í
PartsDecisionButtonA_Btn	随机对战
CourseSelectVS_World_00	&#xE;&#x13;&#x2;&#x2;&#x0;Í
CourseSelectVS_Text_00	要在此关卡中开始对战吗？
CourseSelectVS_Text_01	要编辑此关卡吗？
CourseSelectVSWin_CourseNum_00	&#xE;&#x12;&#x3;&#x2;&#x0;Í
CourseSelectVS_MenuText_00	菜单
CouseSelectVSRandom_World_00	&#xE;&#x13;&#x2;&#x2;&#x0;Í
CouseSelectVSRandom_Text_00	要开始随机对战吗？
CouseSelectVSRandom_OK_00	开始
CouseSelectVSRandom_SelectC_00	4回合！
CouseSelectVSRandom_SelectL_00	3回合！
CouseSelectVSRandom_SelectR_00	5回合！
CourseSelectMenu_TeamBtn_00	更改队伍
CourseSelectMenu_CoinBattleBtn_00	玩金币对战
CourseSelectVSConfirm_BtnL_00	开始
CourseSelectVSConfirm_BtnL_01	编辑
CourseSelectVS_IndexMode_01	金币编辑
CourseSelectVSConfirm_BtnR_00	在编辑关卡中\n开始对战
PreGameVS_Round_00	回合　&#xE;&#xD;&#x0;&#x2;&#x0;&#x1;/&#xE;&#xD;&#x0;&#x2;&#x1;&#x1;
PreGameVS_Round_01	最终回合
PreGameVS_World_00	&#xE;&#x13;&#x0;&#x0;-&#xE;&#x12;&#x1;&#x0;
PreGameVS_Random_00	随机对战
PreGameVS_VSCoinCount_00	&#xE;&#xE;&#x3;&#x2;&#x0;&#x4;
PreGameVS_VSCoinCount_01	&#xE;&#xE;&#x3;&#x2;&#x0;&#x4;
PreGameVS_VSCoinCount_02	&#xE;&#xE;&#x3;&#x2;&#x0;&#x4;
PreGameVS_VSCoinCount_03	&#xE;&#xE;&#x3;&#x2;&#x0;&#x4;
PreGameEdit_World_00	&#xE;&#x13;&#x0;&#x0;-&#xE;&#x12;&#x1;&#x0;
PreGameEdit_Text_00	金币编辑
CoinEditScene_StarCoin_00	&#xE;&#xF;&#x0;&#x2;&#x0;&#x1;
CoinEditScene_Coin_00	&#xE;&#xF;&#x2;&#x2;&#x0;&#x3;
CoinEditScene_Attention_00	无法再放置更多的金币！
CoinEditScene_Attention_01	无法再放置更多的星星金币！
CoinEditScene_Area_00	1
CoinEditScene_Area_01	2
CoinEditScene_Area_02	3
CoinEditMenu_Open_00	操作菜单
CoinEditMenu_Close_00	关闭
CoinEditMenu_Save_00	保存
CoinEditMenu_End_00	结束
CoinEditMenu_AreaText_00	区域移动
CoinEditMenu_Area_00	1
CoinEditMenu_Area_01	2
CoinEditMenu_Area_02	3
CoinEditMenu_Reset_00	重置金币
CoinEditMenu_Reset_confirm	重置所有放置的金币。\n可以吗？
CoinEditMenu_Save_confirm_00	保存现在的数据。\n过去的数据将会丢失，\n可以吗？
CoinEditMenu_End_confirm_00	退出金币编辑，\n返回关卡选择画面。\n\n未保存的数据将会丢失，\n可以吗？
PaDataSelectBtn_ZankiNum_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
PaDataSelectBtn_ZankiX_00	×
PaDataSelectBtn_GoalNum_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
PaDataSelectBtn_NEW_00	NEW!
SaveDataSelect_Return_00	返回标题画面
SaveDataSelect_DeleteConfirm_00	真的要删除吗？
SaveDataSelect_DeleteSelect_00	请选择要删除的文件。
SaveDataSelect_CopySelect_00	请选择要复制的文件。
SaveDataSelect_CopyWhich_00	要复制到哪个文件？
SaveDataSelect_DeleteRunning_00	正在删除……
SaveDataSelect_DeleteEnd_00	删除完毕。
PlayerNum_CopyEnd_00	复制完毕。
SaveDataSelect_CopyRunning_00	正在复制……
SaveDataSelect_CopyConfirm_00	要覆盖吗？\n“中断”数据将不会被复制。
SaveDataSelect_Index_00	故事模式
SaveDataSelectDL_Index_00	故事模式
SaveDataSelect_Index_01	With Mii MODE
SaveDataSelect_Charenge_00	课题模式
SaveDataSelect_Free_00	加倍模式
SaveDataSelect_VS_00	金币对战
SaveDataSelect_HelpBtn_00	提示
SaveDataSelect_BtnL_00	取消
SaveDataSelect_BtnR_00	OK
SaveDataSelect_Delete_00	删除
SaveDataSelect_Copy_00	复制
PlayerNumSelect_Text_00	多少人一起游戏？
PlayerNumSelect_Num_00	１
PlayerNumSelect_Num_01	２
PlayerNumSelect_Num_02	３
PlayerNumSelect_Num_03	４
TeamSelect_BtnL_00	取消
TeamSelect_BtnR_00	OK
TeamSelect_Text_01	以此队伍进行游戏？
TeamSelect_Guide_00	移动
TeamSelect_Text_00	请分成不同的队伍。
TeamSelectGround_VS_00	VS
ResultVS_TotalCoin_00	金币总数！
ResultVS_StarCoinBonus_00	星星金币奖励！
ResultVS_BonusCoin_00	奖励金币！
ResultVS_Draw_00	DRAW！
ResultVS_TeamA_00	红队获胜！
ResultVS_TeamB_00	蓝队获胜！
ResultVS_Score_00	&#xE;&#xF;&#x3;&#x2;&#x0;&#x4;
ResultVS_Round_00	回合 1
ResultVS_Round_01	回合 2
ResultVS_Round_02	回合 3
ResultVS_Round_03	回合 4
ResultVS_RoundFinal_00	最终回合
ResultVS_Result_00	最终结果
ResultVS_1st_00	1st
ResultVS_2nd_00	2nd
ChallengeGameScene_1UP_00	&#xE;&#xF;&#x2;&#x2;&#x0;&#x3;
ChallengeGameScene_Time_00	&#xE;&#xF;&#x2;&#x2;&#x0;&#x3;.&#xE;&#x0;&#x2;&#x2;K&#x0;&#xE;&#xE;&#x1;&#x2;&#x1;&#x2;&#xE;&#x0;&#x2;&#x2;d&#x0;
ChallengeGameScene_CoinCount_00	&#xE;&#xF;&#x3;&#x2;&#x0;&#x4;
ChallengeGameScene_UP_00	UP
ChallengeClear_Clear_00	CLEAR!
ChallengeFailure_Failure_00	FAILURE!
ModelPlayWindow_WinText_00	要使用“游戏示范”吗？\n路易吉会为您进行示范。
ModelPlayWindow_WinText_01	要退出“游戏示范”，\n继续进行游戏吗？
ModelPlayWindow_WinText_02	要通过此关卡并继续前进吗？
ModelPlayWindow_WinText_03	要使用“游戏示范”吗？\n马力欧会为您进行示范。
ModelPlayWindow_BtnL_00	取消
ModelPlayWindow_BtnL_01	靠自己通过关卡
ModelPlayWindow_BtnR_00	OK
ModelPlayWindow_BtnR_01	继续前进
GameScene_ModelPlayIndex_00	游戏示范
GameScene_CanceText_00	退出
ChallengeSelect_MenuText_00	菜单
PaChallengeMenuBtn_CourseName_00	&#xE;&#x16;&#x0;&#x2;&#x0;Í
PaChallengeMenuBtn_New_00	NEW
ChallengeSelect_Index_00	课题模式
ChallengeSelect_TimeIndex_00	计时赛
ChallengeSelect_CoinIndex_00	金币
ChallengeSelect_1UPIndex_00	连续1UP
ChallengeSelect_SpecialIndex_00	其他
ChallengeSelectWindow_New_00	NEW
ChallengeSelectWindow_CourseName_00	&#xE;&#x16;&#x0;&#x2;&#x0;Í
ChallengeSelectWindow_Text_00	&#xE;&#x16;&#x1;&#x2;&#x0;Í
ChallengeSelectWindow_GoldCondition_00	&#xE;&#x16;&#x4;&#x2;&#x0;Í
ChallengeSelectWindow_SilverCondition_00	&#xE;&#x16;&#x3;&#x2;&#x0;Í
ChallengeSelectWindow_BronzeCondition_00	&#xE;&#x16;&#x2;&#x2;&#x0;Í
ChallengeSelectWindow_Start_00	开始
ChallengeSelectWindow_Replay_00	影片
ChallengeSelectWindow_BestTime_00	&#xE;&#xF;&#x2;&#x2;&#x0;&#x3;.&#xE;&#x0;&#x2;&#x2;K&#x0;&#xE;&#xE;&#x1;&#x2;&#x1;&#x2;&#xE;&#x0;&#x2;&#x2;d&#x0;
ChallengeSelectWindow_BestCoinCount_00	&#xE;&#xF;&#x2;&#x2;&#x0;&#x3;&#xE;&#x0;&#x2;&#x2;K&#x0;枚&#xE;&#x0;&#x2;&#x2;d&#x0;
ChallengeSelectWindow_BestCoinLost_00	&#xE;&#xF;&#x1;&#x2;&#x0;&#x2;&#xE;&#x0;&#x2;&#x2;K&#x0;枚&#xE;&#x0;&#x2;&#x2;d&#x0;
ChallengeSelectWindow_Best1UPCount_00	&#xE;&#xF;&#x2;&#x2;&#x0;&#x3;&#xE;&#x0;&#x2;&#x2;K&#x0;UP&#xE;&#x0;&#x2;&#x2;d&#x0;
ChallengeSelectWindow_BestEnemyLost_00	&#xE;&#xF;&#x1;&#x2;&#x0;&#x2;&#xE;&#x0;&#x2;&#x2;K&#x0;次&#xE;&#x0;&#x2;&#x2;d&#x0;
ChallengeSelectWindow_BestClear_00	条件达成
ChallengeSelectWindow_BestScore_00	最好成绩：
