Battle\COMMON.msbt
NOT_MOVE	正在觀察狀況……
006E	（感覺到道路的前方傳來危險的氣息……\n要怎麼做呢？）\n\x0e\0\x03\x02\x02\0推薦等級：\x0e\x02\0\x02\0\0\x0e\0\x03\x02\xff\xff
Event\event_tutorial.msbt
TOPIC_TUTORIAL_TITLE	通訊軟體　ＴＯＰＩＣ
TOPIC_TUTORIAL_MAIN	在遊戲中，阿樹會隨身攜帶叫做\n\x0e\0\x03\x02\x02\0ＴＯＰＩＣ\x0e\0\x03\x02\xff\xff的通訊工具。\n\n在ＴＯＰＩＣ中的交流，都會在專屬的\n\x0e\0\x03\x02\x02\0ＴＯＰＩＣ畫面\x0e\0\x03\x02\xff\xff中進行。\n\n平時只要按下\x0e\x03\0\x04\0\0\x04\0就會顯示ＴＯＰＩＣ畫面。\n但在故事進行中收到\x0e\0\x03\x02\x02\0重要通知\x0e\0\x03\x02\xff\xff時，\n會\x0e\0\x03\x02\x02\0自動\x0e\0\x03\x02\xff\xff顯示ＴＯＰＩＣ畫面。
FACILITY_TUTORIAL_TITLE	街上的設施
FACILITY_TUTORIAL_MAIN	可以在澀谷街上購買道具。\n\n點選TOPIC畫面上的MAP，\n能切換到澀谷的自動地圖畫面，\n可以在此確認設施所在的位置。\n\n在西哈便利商店可以購買各式各樣的道具，\n單卡拉比亞寶石店則可購買提升防禦力的裝飾品，\n配合情況，多加利用吧！\n
INTERMISSTION_TUTORIAL_TITLE	幕間休息
INTERMISSTION_TUTORIAL_MAIN	在各章節進行時，會有一段不會發生\n重大事件的時間。\n這段時間稱為\x0e\0\x03\x02\x02\0幕間休息。\x0e\0\x03\x02\xff\xff\n\n在幕間休息時，可以進行支線劇情或處理委託，\n\x0e\0\x03\x02\x02\0自由地選擇要如何度過。\x0e\0\x03\x02\xff\xff\n\n\x0e\0\x03\x02\x02\0前往烏頭目演藝訓練班可以結束\x0e\0\x03\x02\xff\xff幕間休息。
DRESS_TUTORIAL_TITLE	更換服裝吧
DRESS_TUTORIAL__MAIN	可以更換\x0e\0\x03\x02\x02\0服裝\x0e\0\x03\x02\xff\xff了。\n\n服裝可以從選單的\x0e\0\x03\x02\x02\0Ｗａｒｄｒｏｂｅ\x0e\0\x03\x02\xff\xff中更換。\n透過更換服裝，\x0e\0\x03\x02\x02\0可以在戰鬥中欣賞\n成員們的各種裝扮。\x0e\0\x03\x02\xff\xff\n\n服裝對戰鬥實力沒有任何影響，\n盡情選擇喜歡的服裝吧！
SIDESTORY_TUTORIAL_TITLE	支線劇情
SIDESTORY_TUTORIAL_MAIN	\x0e\0\x03\x02\x02\0支線劇情\x0e\0\x03\x02\xff\xff是\x0e\0\x03\x02\x02\0夥伴們各自的故事，\x0e\0\x03\x02\xff\xff\n與各章節故事內容無關。\n阿樹會支援夥伴們的演藝活動，\n加深彼此之間的交情。\n\n\x0e\0\x03\x02\x02\0舞台等級\x0e\0\x03\x02\xff\xff提升到一定程度的成員\n將傳來\x0e\0\x03\x02\x02\0ＴＯＰＩＣ邀請\x0e\0\x03\x02\xff\xff。\n接受邀請後，即可開始進行支線劇情。\n能藉此獲得在戰鬥和探索中有用的技能，\n所以積極地進行支線劇情吧！
STAGERANK_TUTORIAL_TITLE	提升舞台等級吧
STAGERANK_TUTORIAL_MAIN	現在沒有可以進行支線劇情的成員。\n\n建議多讓斗馬參加戰鬥，\n\x0e\0\x03\x02\x02\0試著提升舞台等級。\x0e\0\x03\x02\xff\xff
Event\flag_on_1.msbt
001	將到第一章開始為止的\n序章Ｆｌａｇ設置為ＯＮ。
002	將到第二章開始為止的\n序章～第一章Ｆｌａｇ設置為ＯＮ。
003	將到第三章開始為止的\n序章～第二章Ｆｌａｇ設置為ＯＮ。
004	將到第四章開始為止的\n序章～第三章Ｆｌａｇ設置為ＯＮ。
005	將到第五章開始為止的\n序章～第四章Ｆｌａｇ設置為ＯＮ。
006	將到第六章開始為止的\n序章～第五章Ｆｌａｇ設置為ＯＮ。
007	將所有Ｆｌａｇ設置為ＯＦＦ。
008	Ｆｌａｇ處理完畢。
Event\m0000_04.msbt
001	\x0e\x04\0\x1b\x18\0EVT_m0000_04_0001_pc1001\0好像正在舉行什麼活動……
002	\x0e\x04\0\x1b\x18\0EVT_m0000_04_0002_pc1001\0不過斗馬也太慢了吧。
003	\x0e\x04\0\x1b\x18\0EVT_m0000_04_0003_pc1001\0嗯？
004	（暫時在這附近到處看看吧……）
005	\x0e\x04\0\x18\x15\0EVT_REPLY_0097_pc1001\0小翼？
Event\m0001_01.msbt
001	\x0e\x04\0\x1b\x18\0EVT_m0001_01_0001_pc1002\0咦！？阿、\x0e\0\x03\x02\x02\0阿樹\x0e\0\x03\x02\xff\xff！？
002	\x0e\x04\0\x1b\x18\0EVT_m0001_01_0002_pc1001\0果然是\x0e\0\x03\x02\x02\0小翼\x0e\0\x03\x02\xff\xff啊。
003	\x0e\x04\0\x1b\x18\0EVT_m0001_01_0003_pc1002\0你、你今天\n不是跟\x0e\0\x03\x02\x02\0斗馬\x0e\0\x03\x02\xff\xff在一起嗎！？
004	\x0e\x04\0\x1b\x18\0EVT_m0001_01_0004_pc1001\0小翼，你的反應也太大了吧。\n來御台場玩，會來台場珍珠\n也很正常吧？
005	\x0e\x04\0\x1b\x18\0EVT_m0001_01_0005_pc1002\0話、話是這麼說沒錯……
006	\x0e\x04\0\x1b\x18\0EVT_m0001_01_0006_pc1002\x01我、我只是在想……\n你打算在這裡待多久？
007	\x0e\x04\0\x1b\x18\0EVT_m0001_01_0007_pc1001\0斗馬他遲到了。\n所以我打算在這裡打發一下時間。
008	\x0e\x04\0\x1b\x18\0EVT_m0001_01_0008_pc1002\0嗚，可惡的斗馬……
009	\x0e\x04\0\x1b\x18\0EVT_m0001_01_0009_pc1001\x01這麼說來，小翼來台場珍珠是有什麼事嗎？\n我記得你昨天不是說\n有什麼秘密的計畫……
010	\x0e\x04\0\x1b\x18\0EVT_m0001_01_0010_pc1002\0我才沒有說什麼秘密的計畫……
011	\x0e\x04\0\x1b\x18\0EVT_m0001_01_0011_pc1001\0那你來台場珍珠做什麼？
012	\x0e\x04\0\x1b\x18\0EVT_m0001_01_0012_pc1002\0這、這個嘛……
013	\x0e\x04\0\x1b\x18\0EVT_m0001_01_0013_pc1002\x01對、對了，\n你知道\x0e\0\x03\x02\x02\0Ｋｉｒｉａ\x0e\0\x03\x02\xff\xff下次要在澀谷正中心\n開演唱會嗎？好厲害呢！
SEL_01_01	嗯，真厲害。
014	\x0e\x04\0\x1b\x18\0EVT_m0001_01_0014_pc1001\0嗯，真厲害。
015	\x0e\x04\0\x1b\x18\0EVT_m0001_01_0015_pc1002\x01對吧對吧！畢竟Ｋｉｒｉａ可是\n當今日本頂尖的女歌手呢。\n我好崇拜他喔……
016	\x0e\x04\0\x1b\x18\0EVT_m0001_01_0016_pc1001\0小翼你真的很喜歡Ｋｉｒｉａ呢。
017	\x0e\x04\0\x1b\x18\0EVT_m0001_01_0017_pc1002\0我可是他的鐵粉！
SEL_01_02	……「Ｋｉｒｉａ」？
018	\x0e\x04\0\x1b\x18\0EVT_m0001_01_0018_pc1001\0……「Ｋｉｒｉａ」？\n我記得，好像是小翼你喜歡的……歌手？
019	\x0e\x04\0\x1b\x18\0EVT_m0001_01_0019_pc1002\0真是的……我明明一直都有在跟你推薦，\n為什麼會那麼沒印象呢？
020	\x0e\x04\0\x1b\x18\0EVT_m0001_01_0020_pc1002\0Ｋｉｒｉａ可是當今日本\n頂尖的女性歌手喔！
021	\x0e\x04\0\x1b\x18\0EVT_m0001_01_0021_pc1002\0阿樹也聽聽看他的歌嘛！
022	\x0e\x04\0\x1b\x18\0EVT_m0001_01_0022_pc1001\0有機會的話。
023	\x0e\x04\0\x1b\x18\0EVT_m0001_01_0023_pc1002\0說好了唷？
024	\x0e\x04\0\x1b\x18\0EVT_m0001_01_0024_pc1001\0好啦好啦。
025	\x0e\x04\0\x1b\x18\0EVT_m0001_01_0025_pc1002\0回答得那麼隨便……你根本沒打算聽吧。
026	\x0e\x04\0\x1b\x18\0EVT_m0001_01_0026_pc1002\0唔～\n阿樹你是我的青梅竹馬，\n我覺得你應該要更認真地聆聽我的請求。
027	\x0e\x04\0\x1b\x18\0EVT_m0001_01_0027_pc1001\0是不是青梅竹馬跟我要不要聽Ｋｉｒｉａ的歌，\n應該是兩碼子事吧……
028	\x0e\x04\0\x1b\x18\0EVT_m0001_01_0028_pc1002\x01決定了，如果你不聽Ｋｉｒｉａ的歌……\n就要請我吃聖代，當然要特大杯的！
029	\x0e\x04\0\x1b\x18\0EVT_m0001_01_0029_pc1001\0區區聖代我可以請你啊。\n不需要傳教到這種程度吧？
030	\x0e\x04\0\x1b\x18\0EVT_m0001_01_0030_pc1002\x01才不會呢！因為我想跟阿樹\n聊有關Ｋｉｒｉａ的話題嘛！
031	\x0e\x04\0\x1b\x18\0EVT_m0001_01_0031_pc1001\x01好啦，Ｋｉｒｉａ的事情先擺一邊……\n回到之前的話題，小翼你來台場珍珠\n是有什麼事情嗎？
032	\x0e\x04\0\x1b\x18\0EVT_m0001_01_0032_pc1002\0我還以為順利蒙混過去了耶！？
033	\x0e\x04\0\x1b\x18\0EVT_m0001_01_0033_pc1002\0不、不是啦，那個……那個……
034	\x0e\x04\0\x1b\x18\0EVT_m0001_01_0034_mb1031\0請預定參加新世代偶像選秀會\n\x0e\0\x03\x02\x02\0千年一遇\x0e\0\x03\x02\xff\xff\n的參賽者到櫃檯集合。
035	\x0e\x04\0\x1b\x18\0EVT_m0001_01_0035_pc1002\x01啊，不不不好了！\n我突然想起有急事！我、我得走了！\n所以……再見！
036	\x0e\x04\0\x1b\x18\0EVT_m0001_01_0036_pc1001\0小翼？
037	\x0e\x04\0\x1b\x18\0EVT_m0001_01_0037_pc1002\x01啊，按照阿樹今天的運勢，\n非常不適合待在台場珍珠喔～！\n我覺得你在外面等斗馬會比較好～！
038	\x0e\x04\0\x18\x15\0EVT_REPLY_0097_pc1001\0小翼？
039	（好像裡面比較熱鬧耶……\n斗馬似乎暫時還到不了，\n過去看看吧……）
Event\m0002_01.msbt
001	\x0e\x04\0\x1b\x18\0EVT_m0002_01_0001_pc1001\0咦？
002	\x0e\x04\0\x1b\x18\0EVT_m0002_01_0002_pc1001\0是我看錯了嗎……？
Event\m0002_02.msbt
001	\x0e\x04\0\x1b\x18\0EVT_m0002_02_0001_np1101\0新世代偶像選秀會千年一遇\n也終於來到最後的選拔了……\n我是主持人\x0e\0\x03\x02\x02\0五十院輝\x0e\0\x03\x02\xff\xff。
002	\x0e\x04\0\x1b\x18\0EVT_m0002_02_0002_np1101\0那麼，到底參賽者中誰能\n奪得冠軍，順利出道呢！？\n在現場的各位觀眾也很期待吧～？
003	\x0e\x04\0\x19\x16\0EVT_m0002_02_0003_gaya\0喔喔喔喔喔喔！
004	\x0e\x04\0\x1b\x18\0EVT_m0002_02_0004_np1101\0我也是！！
005	\x0e\x04\0\x1b\x18\0EVT_m0002_02_0005_np1101\0那麼，讓我們趕快\n請一路過關斬將的\n明日之星們登場吧。
006	\x0e\x04\0\x19\x16\0EVT_m0002_02_0006_gaya\0哇啊啊啊！
007	由五十院所主持的\n偶像選秀會好像開始了……
Event\m0002_03.msbt
001	\x0e\x04\0\x1b\x18\0EVT_m0002_03_0001_np1101\0接下來是四號，織部翼～
002	\x0e\x04\0\x19\x16\0EVT_m0002_03_0002_gaya\0喔喔……！
003	\x0e\x04\0\x1b\x18\0EVT_m0002_03_0003_pc1001\0咦？小翼？
004	\x0e\x04\0\x1b\x18\0EVT_m0002_03_1000_pc1002\0我是……織部翼！\n請大家多多舉教！
005	\x0e\x04\0\x19\x16\0EVT_m0002_03_0005_gaya\0呵呵……！
006	\x0e\x04\0\x1b\x18\0EVT_m0002_03_1001_pc1002\0嗚……吃螺絲了。
007	\x0e\x04\0\x1b\x18\0EVT_m0002_03_0007_np1101\0沒關係啦～\n畢竟是最終選拔，會緊張也是理所當然的。
008	\x0e\x04\0\x1b\x18\0EVT_m0002_03_0008_pc1002\0是、是的……
009	\x0e\x04\0\x1b\x18\0EVT_m0002_03_0009_np1101\0總之，\n先深呼吸一下吧。
010	\x0e\x04\0\x1b\x18\0EVT_m0002_03_0010_pc1002\0我、我明白了……\n吸～呼～吸～呼……
011	\x0e\x04\0\x1b\x18\0EVT_m0002_03_0011_np1101\0冷靜下來了嗎？
012	\x0e\x04\0\x1b\x18\0EVT_m0002_03_0012_pc1002\0稍、消微冷靜下來了……
013	\x0e\x04\0\x1b\x18\0EVT_m0002_03_0013_np1101\0看來的確只有「消微」冷靜下來而已呢！
014	\x0e\x04\0\x19\x16\0EVT_m0002_03_0014_gaya\0哈哈哈哈！
015	\x0e\x04\0\x1b\x18\0EVT_m0002_03_0015_pc1001\0為什麼小翼會參加選秀會……？
016	\x0e\x04\0\x1b\x18\0EVT_m0002_03_0016_pc1001\0……咦？
017	\x0e\x04\0\x1b\x18\0EVT_m0002_03_0017_pc1001\0剛剛那個是……什麼東西？
018	\x0e\x04\0\x1b\x18\0EVT_m0002_03_0018_np1101\0首先，來問幾個簡單的問題吧。
019	\x0e\x04\0\x1b\x18\0EVT_m0002_03_0019_np1101\0小翼翼想要\n成為什麼樣子的偶像呢？
020	\x0e\x04\0\x1b\x18\0EVT_m0002_03_1002_pc1002\0我、我希望……我能夠成為\n為大家帶來活力的偶像！
021	\x0e\x04\0\x19\x16\0EVT_m0002_03_0021_gaya\0喔喔……！
022	\x0e\x04\0\x1b\x18\0EVT_m0002_03_0022_np1101\0那麼，小翼翼想要成為這種偶像的\n契機是什麼呢？\n我想大家都很想聽聽看吧～？
023	\x0e\x04\0\x19\x16\0EVT_m0002_03_0023_gaya\0想聽～！
024	\x0e\x04\0\x1b\x18\0EVT_m0002_03_1003_pc1002\0那個……
025	\x0e\x04\0\x1b\x18\0EVT_m0002_03_1004_pc1002\0我……\n曾經有段時間非常消沉……
026	\x0e\x04\0\x1b\x18\0EVT_m0002_03_1005_pc1002\0身邊的人因為這件事\n都很擔心我，\n但那似乎成為了我的壓力……
027	\x0e\x04\0\x1b\x18\0EVT_m0002_03_1006_pc1002\0可是，只有青梅竹馬毫不在意……\n他對待我的態度就和平常一樣……
028	\x0e\x04\0\x1b\x18\0EVT_m0002_03_0028_pc1001\0……
029	\x0e\x04\0\x1b\x18\0EVT_m0002_03_1007_pc1002\0他激勵了我……\n我漸漸地打起了精神。
030	\x0e\x04\0\x1b\x18\0EVT_m0002_03_1008_pc1002\0所以，我也想要……像他一樣，\n成為能為其他人帶來活力的人。
031	\x0e\x04\0\x1b\x18\0EVT_m0002_03_0031_np1101\0難道說，那位青梅竹馬……\n是小翼翼的心上人？
032	\x0e\x04\0\x1b\x18\0EVT_m0002_03_0032_pc1002\0沒、沒沒沒有這種事……！？
033	\x0e\x04\0\x1b\x18\0EVT_m0002_03_0033_np1101\0真不錯！\n果然女孩子臉紅了\n也相當可愛呢～！
034	\x0e\x04\0\x19\x16\0EVT_m0002_03_0034_gaya\0哈哈哈哈哈！
035	\x0e\x04\0\x1b\x18\0EVT_m0002_03_0035_np1101\0話說回來，你說曾經很消沉……\n是有什麼隱情對吧？
036	\x0e\x04\0\x1b\x18\0EVT_m0002_03_1009_pc1002\0呃……那是……
037	\x0e\x04\0\x1b\x18\0EVT_m0002_03_0037_np1101\0難道說，跟你的姊姊有關嗎？
038	\x0e\x04\0\x1b\x18\0EVT_m0002_03_1010_pc1002\0……！？
039	\x0e\x04\0\x1b\x18\0EVT_m0002_03_0039_np1101\0小翼翼的姊姊\n就是偶像\x0e\0\x03\x02\x02\0織部彩羽\x0e\0\x03\x02\xff\xff小姐對吧？
040	\x0e\x04\0\x1b\x18\0EVT_m0002_03_1011_pc1002\0是的……沒錯。
041	\x0e\x04\0\x1b\x18\0EVT_m0002_03_0041_np1101\0不老實說怎麼行～\n這麼重要的情報，為什麼閉口不提呢？\n那麼，他是怎麼樣的姊姊呢？
042	\x0e\x04\0\x1b\x18\0EVT_m0002_03_1012_pc1002\0開朗外向，而且很擅長唱歌……\n最、最重要的是，姊姊他非常地溫柔。
043	\x0e\x04\0\x1b\x18\0EVT_m0002_03_0043_np1101\0但是但是，小翼翼的姊姊，\n五年前……在人稱「\x0e\0\x03\x02\x02\0落成公演失蹤事件\x0e\0\x03\x02\xff\xff」中\n失去了蹤影對吧！
044	\x0e\x04\0\x1b\x18\0EVT_m0002_03_1013_pc1002\0……
045	\x0e\x04\0\x1b\x18\0EVT_m0002_03_0045_mb1101\0總覺得……這問題，有點奇怪啊？
046	\x0e\x04\0\x1b\x18\0EVT_m0002_03_0046_mb1102\0「落成公演失蹤事件」是指\n以前那個演員跟觀眾集體失蹤的事件嗎？
047	\x0e\x04\0\x1b\x18\0EVT_m0002_03_0047_pc1001\0那個主持人是怎麼一回事……？
048	\x0e\x04\0\x1b\x18\0EVT_m0002_03_0048_np1101\0想念著行蹤不明的姊姊，傷心欲絕的少女。\n這可真是一場悲劇！\n連我都不禁熱淚盈眶啦！
049	\x0e\x04\0\x1b\x18\0EVT_m0002_03_0049_np1101\0但是，但是啊！我有個問題。
050	\x0e\x04\0\x1b\x18\0EVT_m0002_03_0050_np1101\0小翼小姐。若是能用你那驚人的才能\n作為交換條件，換取和最喜歡的姊姊見面……\n你會怎麼做？
051	\x0e\x04\0\x1b\x18\0EVT_m0002_03_0051_mb1100\0咦……？
052	\x0e\x04\0\x1b\x18\0EVT_m0002_03_0052_mb1100\0這是在搞什麼啊……？
053	\x0e\x04\0\x1b\x18\0EVT_m0002_03_1014_pc1002\0…………
054	\x0e\x04\0\x1b\x18\0EVT_m0002_03_0054_np1101\0其實……我們將你的姊姊，也就是\n織部彩羽小姐請到了這個會場！
055	\x0e\x04\0\x1b\x18\0EVT_m0002_03_1015_pc1002\0……咦？把、把姊姊！？
056	\x0e\x04\0\x1b\x18\0EVT_m0002_03_0056_np1101\0哈！你上當啦～！！
057	\x0e\x04\0\x1b\x18\0EVT_m0002_03_0057_np1101\0單純的笨蛋就該被懲罰！\n你也變得跟你姊姊一樣吧！！
Event\m0002_04.msbt
001	\x0e\x04\0\x1b\x18\0EVT_m0002_04_0001_mr2000\0腐、腐臭味……
002	\x0e\x04\0\x1b\x18\0EVT_m0002_04_0002_mb1103\0這、這是什麼！？
003	\x0e\x04\0\x1b\x18\0EVT_m0002_04_0003_mr2000\0嗚喔喔喔喔喔喔～～～！！
004	\x0e\x04\0\x1b\x18\0EVT_m0002_04_0004_mb1103\0唔哇啊啊啊！\n嗚哇！呀啊啊啊！
005	\x0e\x04\0\x1b\x18\0EVT_m0002_04_0005_mb1104\0不要啊啊啊啊啊！！
006	\x0e\x04\0\x1b\x18\0EVT_m0002_04_0006_np1101\0開～玩笑的啦！！\n別緊張，他們只是臨演！！
007	\x0e\x04\0\x1b\x18\0EVT_m0002_04_0007_np1101\0他們是來判斷你們是否夠格的\n重要評審們！！\n這是整人節目喔！
008	\x0e\x04\0\x1b\x18\0EVT_m0002_04_0008_mb1104\0整、整人節目……？\n咦？但是否夠格又是指……
009	\x0e\x04\0\x1b\x18\0EVT_m0002_04_0009_np1101\0哈！上當啦～！\n單純的笨蛋就該被懲罰！！
010	\x0e\x04\0\x1b\x18\0EVT_m0002_04_0010_mb1103\0噫啊啊啊啊啊啊！\n住、住手、喔喔喔……
011	\x0e\x04\0\x1b\x18\0EVT_m0002_04_0011_mb1104\0這、這是什麼！\n不要啊啊啊！啊、啊啊……
012	\x0e\x04\0\x1b\x18\0EVT_m0002_04_0012_np1101\0哇哈哈哈哈哈哈！！\n來吧，各位！\n從人類的身上奪走表現晶吧！！
013	\x0e\x04\0\x1b\x18\0EVT_m0002_04_0013_pc1001\0嗚……發生了什麼事？
014	\x0e\x04\0\x1b\x18\0EVT_m0002_04_0014_pc1001\0……！\n小翼……小翼呢……！？
015	\x0e\x04\0\x1b\x18\0EVT_m0002_04_0015_pc1002\0不要啊啊啊啊啊啊啊啊啊啊啊啊！！
016	\x0e\x04\0\x1b\x18\0EVT_m0002_04_0016_np1101\0小翼翼，你還清醒著嘛！
017	\x0e\x04\0\x1b\x18\0EVT_m0002_04_0017_np1101\0你們絕對不能讓他逃了！\n拿他來當那個的宿主再適合不過了。
018	\x0e\x04\0\x1b\x18\0EVT_m0002_04_0018_pc1001\0……小、小翼！
019	\x0e\x04\0\x1b\x18\0EVT_m0002_04_0019_pc1001\0唔……！
020	\x0e\x04\0\x1b\x18\0EVT_m0002_04_0020_pc1002\0不要啊啊啊啊啊啊……！！
021	\x0e\x04\0\x1b\x18\0EVT_m0002_04_0021_pc1001\0住手啊啊啊啊啊！！
022	\x0e\x04\0\x1b\x18\0EVT_m0002_04_0022_pc1002\0救、救我……！\n阿樹！！
023	\x0e\x04\0\x1b\x18\0EVT_m0002_04_0023_pc1001\0小翼！
024	\x0e\x04\0\x1b\x18\0EVT_m0002_04_0024_pc1001\0得快點……去救他……！
025	不要啊啊啊啊啊啊啊啊啊啊啊啊！！
026	\x0e\x04\0\x17\x14\0MAP_TRAP_0004_pc1001\0嗚！
027	\x0e\x04\0\x1b\x18\0EVT_m0002_04_1000_pc1001\0究竟……發生了什麼……！？
Event\m0003_02.msbt
001	\x0e\x04\0\x1b\x18\0EVT_m0003_02_0001_pc1001\0小翼……！
002	\x0e\x04\0\x1b\x18\0EVT_m0003_02_0002_pc1001\0咦……這裡到底是……？\n是……台場珍珠嗎……？
003	\x0e\x04\0\x1b\x18\0EVT_m0003_02_0003_pc1010\0快一點……
004	\x0e\x04\0\x1b\x18\0EVT_m0003_02_0004_pc1001\0咦？
005	\x0e\x04\0\x1b\x18\0EVT_m0003_02_0005_pc1010\0那個人有危險……\n快點……往裡面走……
006	\x0e\x04\0\x1b\x18\0EVT_m0003_02_2000_pc1001\0剛才的女孩是……？
007	\x0e\x04\0\x1b\x18\0EVT_m0003_02_0007_pc1001\0……不，還是先去找小翼吧。
Event\m0004_01.msbt
001	\x0e\x04\0\x1b\x18\0EVT_m0006_01_0001_np1129\0呀呀呀呀呀呀呀！！
002	\x0e\x04\0\x17\x14\0MAP_TRAP_0004_pc1001\0嗚！
Event\m0004_02.msbt
001	\x0e\x04\0\x1b\x18\0EVT_m0004_02_0001_mr1051\0交出來……把力量……交出來……
002	\x0e\x04\0\x1b\x18\0EVT_m0004_02_0002_pc1001\0咦？
003	\x0e\x04\0\x1b\x18\0EVT_m0004_02_0003_pc1001\0是錯覺嗎……？
Event\m0005_01.msbt
001	\x0e\x04\0\x1b\x18\0EVT_m0005_01_0001_pc1001\0……唔？\n是死路嗎……
002	\x0e\x04\0\x1b\x18\0EVT_m0005_01_0002_pc1001\0咦？
003	\x0e\x04\0\x1b\x18\0EVT_m0005_01_0003_mr1051\0我感覺到了……力量……
004	\x0e\x04\0\x1b\x18\0EVT_m0005_01_0004_pc1001\0什、什麼……！？
005	\x0e\x04\0\x1b\x18\0EVT_m0005_01_0005_pc1001\0嗚……！
006	\x0e\x04\0\x1b\x18\0EVT_m0005_01_0006_pc1001\0嗚啊啊啊！？
007	\x0e\x04\0\x1b\x18\0EVT_m0005_01_0007_pc1001\0咦！？
008	\x0e\x04\0\x1b\x18\0EVT_m0005_01_0008_pc1001\0嗚哇、嗚哇啊啊！
009	\x0e\x04\0\x1b\x18\0EVT_m0005_01_0009_pc1001\0剛才的是……什麼東西……？
Event\m0006_00.msbt
001	\x0e\x04\0\x1b\x18\0EVT_m0006_01_0001_np1129\0呀啊啊啊啊啊啊！！
002	\x0e\x04\0\x1b\x18\0EVT_m0006_01_0002_pc1001\0剛剛的聲音是……！？
Event\m0006_01.msbt
001	\x0e\x04\0\x1b\x18\0EVT_m0006_01_0001_np1129\0呀啊啊啊啊啊啊！！
002	\x0e\x04\0\x1b\x18\0EVT_m0006_01_0002_pc1001\0剛剛的聲音是……！？
003	\x0e\x04\0\x1b\x18\0EVT_m0006_01_0003_pc1001\0那是……
004	\x0e\x04\0\x1b\x18\0EVT_m0006_01_0004_np1101\0這是為你們準備的容器……\n盡情地使用吧！
005	\x0e\x04\0\x1b\x18\0EVT_m0006_01_0005_np1129\0啊啊啊啊啊……！
006	\x0e\x04\0\x1b\x18\0EVT_m0006_01_0006_np1101\0感覺不錯嘛……\n真不愧是千挑萬選挑出來的宿主。
007	\x0e\x04\0\x1b\x18\0EVT_m0006_01_0007_np1129\0……
008	\x0e\x04\0\x1b\x18\0EVT_m0006_01_0008_np1101\0不要給我拖拖拉拉的……\n還不快去！
009	\x0e\x04\0\x1b\x18\0EVT_m0006_01_0009_np1129\0……
010	\x0e\x04\0\x1b\x18\0EVT_m0006_01_0010_np1101\0小翼翼那裡也只是時間上的問題……\n很順利嘛。
011	\x0e\x04\0\x1b\x18\0EVT_m0006_01_0011_pc1001\0唔……！小翼……
012	\x0e\x04\0\x1b\x18\0EVT_m0006_01_0012_mr1051\0把力量……交出來……\n交出來……交出來……
013	\x0e\x04\0\x1b\x18\0EVT_m0006_01_0013_pc1001\0咦？
014	\x0e\x04\0\x1b\x18\0EVT_m0006_01_0014_mr1051\0交出來！！
015	\x0e\x04\0\x1b\x18\0EVT_m0006_01_0015_pc1001\0唔哇啊啊啊啊！
016	\x0e\x04\0\x1b\x18\0EVT_m0006_01_0016_pc1001\0呃、竟然在這種地方……
017	\x0e\x04\0\x1b\x18\0EVT_m0006_01_0017_mr1051\0喔喔喔喔喔喔！
018	\x0e\x04\0\x1b\x18\0EVT_m0006_01_0018_pc1001\0現在不是猶豫的時候……
019	\x0e\x04\0\x1b\x18\0EVT_m0006_01_0019_pc1001\0唔哇啊啊啊啊啊啊！！
020	\x0e\x04\0\x1b\x18\0EVT_m0006_01_0020_pc1001\0哈、哈……
021	\x0e\x04\0\x1b\x18\0EVT_m0006_01_0021_pc1001\0得、得趕快逃……！
022	自此開始進入附加劇情
Event\m0006_02.msbt
001	\x0e\x04\0\x1b\x18\0EVT_m0006_02_0001_pc1002\0不要……住手……
002	\x0e\x04\0\x1b\x18\0EVT_m0006_02_0002_pc1001\0唔！！\n小翼！
003	\x0e\x04\0\x1b\x18\0EVT_m0006_01_0012_mr1051\0把力量……交出來……\n交出來……交出來……
004	\x0e\x04\0\x18\x15\0MAP_SWAMP_0001_pc1001\0哇啊！
Event\m0007_02.msbt
001	\x0e\x04\0\x1b\x18\0EVT_m0007_02_0001_mr1051\0唔……我究竟在幹什麼？
002	\x0e\x04\0\x1b\x18\0EVT_m0007_02_0002_pc1001\0唔……！
003	\x0e\x04\0\x1b\x18\0EVT_m0007_02_0003_mr1051\0……這裡就由我來擋下！
004	\x0e\x04\0\x1b\x18\0EVT_m0007_02_0004_pc1001\0為……為什麼？
005	\x0e\x04\0\x1b\x18\0EVT_m0007_02_0005_mr1051\0有話之後再說！\n你先去救那孩子！
006	\x0e\x04\0\x1b\x18\0EVT_m0007_02_0006_pc1002\0嗚嗚……！
007	\x0e\x04\0\x1b\x18\0EVT_m0007_02_0007_pc1001\0小翼！
008	\x0e\x04\0\x1b\x18\0EVT_m0007_02_0008_mr1051\0……還不快去！
009	\x0e\x04\0\x1b\x18\0EVT_m0007_02_0009_pc1001\0唔……但是，\n我要怎麼救他？
011	\x0e\x04\0\x1b\x18\0EVT_m0007_02_0011_pc1002\0阿……樹……？
013	\x0e\x04\0\x1b\x18\0EVT_m0007_02_2000_pc1001\0……嗯！
Event\m0008_01.msbt
001	\x0e\x04\0\x1a\x17\0BTL_TURN_01_0072_pc1001\0我該怎麼做……
002	\x0e\x04\0\x18\x15\0EVT_REPLY_0012_mr1051\0難以置信……！
003	\x0e\x04\0\x1b\x18\0EVT_m0009_01_0002_pc1001\0嗚哇！？劍說話了！？
