Text/archive_MES
ARC_CHARA_PL0000_001	Cereza
ARC_ARCHIVE_HITODAMA_TXT_0005	Height: Dashingly tall\nWeight: Some roses and chocolates\nPersonality: Narcissist\nHobby: Self-gazing\n\n"Love thyself and others shall surely love you too": this is the core of Rattles's philosophy. Everything that comes from his mouth is usually sweet nonsense, but he does have a certain charm that the other wisps can't put their finger on. Perhaps that's why no one has that much bad to say about him. Which makes sense, because when everyone isn't looking, Rattles puts a lot of effort into trying to make himself shine. He watches his diet to be sure his spectral aura glows brilliantly, and he polishes his chains so they're always squeaky clean. He's even been doing a little weight-training in case a poor wisp in distress comes along in need of rescuing. \n\nOf course, he would die before he let any of the other wisps discover his painstaking efforts. To be loved, his greatness must seem effortless.
ARC_ARCHIVE_HITODAMA_TXT_0006	Height: 40 marking pins\nWeight: 3 sewing needles\nPersonality: Fussy\nHobby: Cross-stitch\n\nPinpoint is the go-to gal for all the clothing needs of Avalon's wisps. The faeries may have originally bagged the wisps with their hoods, but someone needs to do upkeep or they'll get ragged and torn. Pinpoint uses supplies collected by other wisps in the forest to do alterations that make sure every hood is well maintained. No wisp can deny she does skilled work, but she's so fussy about every detail that even the smallest job takes forever. All of her needles need to be of a certain sharpness and shine. Make one mistake in the pattern and she'll unravel the whole hood and start over again. This means at any given time there are a long line of wisps waiting for her repairs. Some wisps go so far as to try and hide little rips in their hoods just to avoid getting involved in the whole process.
ARC_ARCHIVE_HITODAMA_TXT_0007	Height: A normal hammer\nWeight: A few hammers\nPersonality: Troublemaker\nHobby: Camping\n\nThe perfect word for Plop is probably "rascal" - he runs around the forest causing mischief every day with what seems like an endless reserve of energy.\n\nThe hammer stuck on his head doubles as a tool for his tricks, especially to bop other wisps with.\n\nThese antics constantly get him in trouble, but Plop never seems to mind - come tomorrow he'll be waving his hammer-head at someone all over again. Maybe it's because he became a wisp at a young age and he never got the chance to grow up. \n\nPlop is an avid lover of nature, so Avalon might be the perfect place for him - it certainly gives him plenty of time for camping, his favourite hobby. The fact that he seems so well adjusted to his life in Avalon is something that a few of the other wisps secretly find somewhat vexing. 
ARC_ARCHIVE_HITODAMA_TXT_0008	Height: About a bow\nWeight: About one arrow\nPersonality: Quick-tempered\nHobby: Hunting\n\nRobin was a hunter as brave as they come. He had struck down many a beast with his trusty bow and arrow. He had confidence in his skill and believed there was no prey he could not fell.\n\nBeing a heroic lad, he set his sights on the faeries of Avalon, who were rumoured to be whisking away many a child. Sadly, this is where fate turned against him. His bow and arrow proved worthless against the faeries, and the hunter became the hunted. But even after his attacks proved worthless, Robin's sense of honour would never allow him to turn his back and run. He still hopes to get back at the faeries, though now it has perhaps become more personal. He likes to think of the arrows stuck in his head as a constant reminder the enemy is still out there.\n\nRecently, he has been poaching small animals around the forest, testing his skills, hoping for a rematch someday.
ARC_ARCHIVE_HITODAMA_TXT_0009	Height: Movie star tall\nWeight: Shame on you\nPersonality: Haughty\nHobby: Shopping\n\nKingsley considers herself something of an actress. She claims she definitely has the face of one, though no one's ever seen under her hood. One of her favourite things to say is, "My looks could drive even a faerie wild, darling." Sadly, these same faeries don't seem to have much interest in her after she became a wisp. \n\nShe acts like royalty and demands to be treated as such. She finds living in a place without a single jewellery store to be absolutely dreadful, but she makes the best of her time in Avalon by having servant wisps go find valuable-looking stones and the like for her.\n\nWhy these wisps listen to her is anyone's guess, but perhaps they hope their loyalty may one day earn them just a glance under the hood - something which, again, has never been achieved.
ARC_ARCHIVE_HITODAMA_TXT_0010	Height: About as tall as two paintbrushes\nWeight: Momma's apple pie\nPersonality: Easy-going\nHobby: Painting\n\nCandy was originally a boy who loved art.\n\nHe would often be moved by the things he would see, lock them into memory, and give them new life on the canvas. After finishing a painting, his mother would always be waiting with words of encouragement and a delicious apple pie. \n\nOne day, he wandered to Avalon Forest in search of inspiration and never made it back. After being made a wisp, he realised he could no longer see. Still, he has never let his circumstance change his passion for painting. Though he now only sees a flood of red, he is still able to conjure up vistas from yesteryear, and thinks up new grand worlds as well. He makes his drawings on faerie flyers that other wisps collect for him. \n\nHe may never be able to lay eyes on his own work again, but it is still enjoyed by many of the other wisps. And that's good enough for him - that's good enough to keep him going.\n\nHe'd be able to see fine if he just took the nails out, but...he may never figure that out.
ARC_ARCHIVE_HITODAMA_TXT_0011	Height: 6 pairs of glasses\nWeight: 1 lens\nPersonality: Innocent\nHobby: Exploring, singing\n\nDouble-O is an innocent young boy. He loves to explore and he loves to sing, so he's often humming around the hideaway in search of secrets. His definition of "exploring" can be summarised as sniffing out various junk on the ground, but he's quite serious about inspecting said junk. He proclaims one of his discoveries will prove of legendary importance to the wisps someday, so he puts his all into his excursions. \n\nThe glasses he wears aren't prescription, they're just another of his findings. He believes them to be a good luck charm for his treasure hunts. The melody of "The Great Wisp Explorers", a little tune he made for his searches, is fairly catchy, and often hummed unconsciously by other wisps in the hideaway.
ARC_ARCHIVE_HITODAMA_TXT_0012	Height: 4 boxes\nWeight: 2 boxes\nPersonality: Loner\nHobby: Hide 'n seek\n\nBoxby is...a wisp with a box on his head. His shyness is so severe that the box serves as an essential comfort - sheltering him from the unknowns of the outside world. He would never dream of taking it off. \n\nThe box has been with him for a long time, and is starting to accumulate a decent amount of holes and tape. It was given to him by another wisp he met in the forest long ago, and he'd never think to replace it.\n\nAs part of his reclusive personality, his hide 'n seek skills are second to none. When really trying, it could take days to find him. That is, if it weren't for the box, which is kind of a dead give away. So ultimately, he's probably just as easy to find as anyone.
ARC_ARCHIVE_HITODAMA_TXT_0013	Height: Grandiose\nWeight: Supreme\nPersonality: Doubting\nHobby: Poems, singing\n\nFlick is a wisp off in his own world. He believes himself to be of an alternate, greater dimension, and he behaves very strangely doing what he calls "rituals". Sometimes he goes off by himself chanting the same hymn for hours at a time. \n\nThis curious behaviour started with a betrayal by one of his closest wisp friends. Ever since, his mannerisms have served as a defence mechanism to distance himself from the other wisps of Avalon. \n\nDeep down though, he's much more straightforward than he would ever let on. The poems he writes are simple and easy to understand, and pure. He has a beautiful voice that some wisps secretly try to listen in on when he sings. Ever since coming to the hideaway, he has been surrounded by a warm bunch of wisps who are breaking down his defences, ever so surely.
ARC_ARCHIVE_HITODAMA_TXT_0014	Height: 4 cutting boards\nWeight: A kitchen knife\nPersonality: Mothering\nHobby: Cooking\n\nFun Guy is probably the greatest chef of all the wisps. His ability to turn the random assortment of knickknacks the other wisps find in the forest into delicious dishes has made him a quite valued member of the hideaway. And while he loves to cook, he loves others enjoying his cooking as well.\n\nSince he was a child, he always loved experimenting with new and exotic flavours, which led him to Avalon. He's not remorseful about becoming a wisp, telling himself that now he can eat and eat and never gain weight. The only problem the other wisps have with Fun Guy is that sometimes his zeal for trying new tastes can lead to him sneaking some suspicious shrubbery into his recipes.
ARC_ARCHIVE_HITODAMA_TXT_0015	Height: 4 dandelions\nWeight: Patch of thistle weed\nPersonality: Curious\nHobby: Zoology\n\nVince is a scholar on a mission to study all walks of life - becoming a wisp hasn't changed that a bit. Every day he treks deeper into the forest on another wildlife excursion, notebook in hand. To Vince, that's all there is; nothing else could give his life meaning. He even tries studying the faeries, his curiosity seemingly overcoming any fear or hatred harboured towards them. When he spots one, he sneaks up as close as he can to observe them, almost completely disregarding his own safety.\n\nVince's insatiable curiosity has always been with him, even in his previous life. He left a respected academic position to seek the truly unknown, which is how he first arrived in Avalon. He tries to impart the wisdom of his findings and observations to the other wisps, but they find him a little hard to understand.
ARC_ARCHIVE_HITODAMA_TXT_0016	Height: A slightly short fishing rod\nWeight: Approx. one wooden lure\nPersonality: Gossipy\nHobby: Gossip\n\nCaptain is a wisp that loves to gossip. Factually proven? Save that boring stuff for the dictionary. Inconclusive...that's just another word for alluring mystery. Fishing for a big scoop has been known to get him in trouble a few times, but that just adds to the thrill. At the hideaway, he calls himself an ace reporter, mostly as an excuse to butt in to the other wisps' private lives. He has a regular column in the "Wisp Weekly", where the small town gossip he picks up suddenly gets decorated with lavish colour; a true favourite read of local wisp residents. Recently he's been hoping to do some street journalism with a few faeries, but alas, he doesn't speak the lingo.
ARC_ARCHIVE_HITODAMA_TXT_0017	Height: A tiny tuna\nWeight: Just a tad more than a striped bass\nPersonality: Scatterbrain\nHobby: Fishing\n\nAnything you want to know about fishing - just ask Fishy.\n\nA crazed fishing enthusiast, he provides the hideaway with the majority of their fish intake. His skills as a fisherwisp are no joke; he always brings in a large catch. The problem is the catch rarely makes it back home. Often he'll be so absorbed in fishing, forest animals will sneak up and take what he's already caught. Other times he'll get lost on the way home and everything will spoil. The big fishbone latched onto his head is there because he thought he might be able to catch something big if he used himself as a lure. He's a bit of a fishbrain, but most of the other wisps in Avalon find that side of him to be endearing.
ARC_ARCHIVE_HITODAMA_TXT_0018	Height: Still growing\nWeight: Getting there\nPersonality: Rugged\nHobby: Physical training\n\nWrapper is a girl wisp with a bandage wrapped around her head.\n\nThe bandage covers the bruises she receives during her excruciating daily exercise routine. She trains tirelessly day and night to be bigger and tougher than any wisp, or faerie for that matter. That said...her results are still mediocre at best. She continually challenges bulkier wisps to duels, but loses almost every time; hence the bandages and bruises.\n\nGoal-focused, she sometimes modifies the playground equipment in the hideaway to make her own personal exercise machines. The other wisps, having no idea the equipment has been tinkered with, are very curious as to why they suddenly feel stronger than before. Ironically, this has made an endless line of rivals for her.
ARC_ARCHIVE_HITODAMA_TXT_0019	Height: 122.624 cm\nWeight: 21.262 g\nPersonality: Sensitive\nHobby: Cleaning\n\nBig Nails has some nails jabbed in his head, and one in his belly too. He's quite sensitive; he notices and cares about little things that other wisps wouldn't. \n\nHe loves to clean, and is extremely serious about it. He goes after all the tough spots in corners and nooks that most overlook, and everything is said to have a shimmer and glean to it when his work is done. Woe to the wisp who gets stuck cleaning with him; he demands the same meticulousness of others that he does of himself.  \n\nAppearance-wise, he doesn't look so neat kept, which is something he himself seems a little bothered by. He's been trying hard to diet recently, but he still hasn't realised that wisps don't gain or lose weight.
ARC_ARCHIVE_HITODAMA_TXT_0020	Height: 2 helmets\nWeight: About 5 helmets\nPersonality: Headstrong\nHobby: Fossil collecting\n\nHardhead is about as stubborn of a wisp as you can get.\n\nHis opinion is the only right one, in fact it's the only one. He will not change his mind no matter the situation. If any wisp is ever fool enough to try and argue with him, it's a swift headbutt with his rock-hard head and sturdy half-helmet. \n\nHe enjoys collecting fossils, especially those of faeries in the forest. He's amassed quite an impressive collection, but it's probably best not to ask him about it - once he starts drolling about his stones, it could be hours, even days until the unsuspecting victim is set free.
ARC_ARCHIVE_HITODAMA_TXT_0021	Height: 8 top hats\nWeight: A gentlemen's weight\nPersonality: Showy\nHobbies: Hat making, singing\n\nSir Toppie is a wisp that values his appearance more than anything else. He loves to stand out, which the hat probably has something to do with. He occasionally puts on impromptu singing shows, just to try and get the attention of other wisps with his handsome baritone voice. His top hat is handmade, by himself, and he has a different one for each day of the week. He makes sure that no version is particularly fancy, as he wants to save that one for a special occasion. The fact that he is able to make his everyday hats look so identical seems like quite a talent in itself - but it just goes to show how he will do anything to look prim and proper.
ARC_ARCHIVE_HITODAMA_TXT_0022	Height: 5 saws\nWeight: A big ply of wood\nPersonality: Uneven\nHobby: Carpentry\n\nSawtooth is the local wisp carpenter. His work primarily consists of making more playground equipment for the wisps, and other modifications to the hideaway to make it a little more comfortable.\n\nAvalon has all the wood a carpenter could ever need, so his work keeps him pleasantly busy. He could probably be a little more careful though, as his measurements often tend to go somewhat under or somewhat over, so a lot of what he makes looks a little crooked. Still, this doesn't mean he's an amateur by any means, and he's definitely contributed a lot towards the hideaway's development. \n\nThe saw lobbed on his head was originally stuck there by the faeries, but he actually appreciates the convenience.
ARC_ARCHIVE_HITODAMA_TXT_0023	Height: A stack of flapjacks\nWeight: Apples & oranges\nPersonality: Foodie\nHobby: Eating, singing\n\nAlways waiting for his next meal, food is Lil' Slug's favourite thing, and he can't live without it (even though wisps don't necessarily need it). He leads a simple life - he's either eating, or trying to find a meal. When he eats something he likes, he sometimes sings for joy. The other wisps find it so cute that sometimes they can't help but give him a little snack. His body is always packed with energy due to his excessive eating, making him a favourite faerie target. \n\nWhen he's hungry is another story - he gets to be so dangerous that even lower-ranking faeries would hesitate trying to capture him, lest he gobble them for lunch. Needless to say, it's best to keep your distance when he's got an appetite.
ARC_ARCHIVE_HITODAMA_TXT_0024	Height: Unknown\nWeight: Unknown\nPersonality: Silent-type\nHobby: Unknown\n\nHe's Snout...and that's pretty much all the other wisps know about him. One day, he mysteriously appeared in the hideaway. No one knows how he got there, or why he came to the forest in the first place. Even the name Snout is just a nickname given to him by the other wisps - what his actual name is, no one knows. No one knows anything about Snout because...he never says anything. He just grunts sometimes. He seems to get by for the most part with some simple gestures. He doesn't say anything more, and no one asks. No one pries about his past because they understand some wisps have things they might not want to talk about. They also don't seem to notice that he might talk if someone just took the restraints off his face.
ARC_ARCHIVE_HITODAMA_TXT_0025	Height: All the darts sticking on him, stacked together\nWeight: All the darts sticking on him, stacked together\nPersonality: Flatterer\nHobby: Darts\n\nPunk is a wisp with a bunch of darts pinned to him. After the traumatic experience of being used as a dartboard by the faeries (which he's still recovering from), he tries his best now to make sure he's on everyone's good side.\n\nHe likes darts himself though, and draws little pictures of faeries on paper for his own target practice. As nice as he seems on the outside, the other wisps see his enthusiasm in this daily ritual, and they're careful to not get on his bad side either.\n\nRecently, his life as a wisp knows little trouble, but it's unsure if that's because he's nice to the other wisps, or because they're secretly scared of him.
ARC_ARCHIVE_HITODAMA_TXT_0026	Height: Heavenly\nWeight: Almost floating\nPersonality: Merciful\nHobby: Prayer\n\nAngel is a wisp with a halo and wings taped on. Friendly to a fault, she can always be seen with her signature smile. She has a deep compassion for all the living things of this world, never forgetting to give them a little daily prayer. Most wisps obviously have a lot of resentment for the faeries, but Angel actually wishes there were some way they could talk things out and bury the hatchet. She's even considering studying faerie language to better mediate. Born in a land fraught with endless war, she escaped to Avalon seeking refuge at a young age. Even now, she lives each day performing what good deeds she can, hoping true peace may come to this world someday.
ARC_ARCHIVE_HITODAMA_TXT_0027	Height: Sticks out like a sore thumb\nWeight: Just heavy enough to not get blown away\nPersonality: Single-minded\nHobby: Fortune telling\n\nBullseye is a wisp with a one track mind and a teensy obsession with fortune telling. She wants to meet the person of her dreams, and she's tried every thinkable way to do so: tarot cards, crystal ball, horoscopes, you name it. Her favourite is actually throwing knives with her as the target. In this game, luck is determined by your aim and your throwing arm. It sounds a bit cruel, but it's garnered quite a bit of attention just from its novelty. The hard part is that Bullseye herself gets to move around while you throw, so most wisps can barely even hit her in the first place, let alone the target on her hood. If anyone were able to make a perfect toss, Bullseye would surely consider them to be "the one", but no one has been lucky(?) enough to do so yet.
ARC_ARCHIVE_HITODAMA_TXT_0028	Height: 7 bumps on the head\nWeight: A small sandbag\nPersonality: Resilient\nHobby: Sparring\n\nBruce has a slightly strange obsession with pain. \n\nEver since becoming a wisp, he has thought one thing: You can overcome pain if you just get used to it. \n\nAll wisps can only die by releasing too many negative vibes; this dries out their life essence. Bruce realised that this means as long as you can control your negative vibes, you can theoretically live forever. So, he began training himself to become immune to pain, in hopes to cut off any of the negative feelings released because of it. He tells the other wisps to think of him as their own sandbag, free to whack and thwack as they please. The other wisps are kind of worried why Bruce would ask for people to do this. They think he's a little weird. But Bruce disregards their judging looks - this too, he says, is all part of the training.
ARC_ARCHIVE_HITODAMA_TXT_0029	Height: Don't care\nWeight: Don't care\nPersonality: Lazy\nHobby: Napping\n\nCindy is the lazy one of the bunch. She's got a few singes, but that doesn't really bother her (nothing does). Anything she is asked to do, she will almost definitely not do. Her morning routine is wake up, then back to sleep. After that, it's time for her afternoon nap. When she's finally awake, she's usually crawling around on the ground like a slug. All of a sudden it's night again, and she's back to bed. She's lived this way so long now, everyone around her just accepts that's the way she is. On the extremely rare occasion she ever feels inclined to work, the other wisps can barely hide their concern - something must be terribly wrong. \n\nIn her previous life, Cindy was actually quite the workaholic. Exhausted and overworked, Cindy escaped to Avalon hoping to find release from the stress of society. All things considered, becoming a wisp may have actually been good for her.
ARC_ARCHIVE_HITODAMA_TXT_0030	Height: 5 stacked lighters\nWeight: Bag of lighter oil\nPersonality: Impassioned\nHobby: Cooking in his smoker\n\nScott is a wisp with a few burn marks. Long ago, he was captured by the faeries in order to protect a close friend. The faeries threatened him, trying to learn his friend's location, but Scott refused to break. As a result, he got burned up pretty good, but it doesn't bother him. He's proud he was able to stand up for someone he cared about. Sometimes this mantra of his can get a little intense, preaching to the other wisps about standing up against oppressors and the like.\n\nHe's got quite the knack for smoking fish and nuts and such. His whole setup is made from special herbs he collects himself. After a cookout, he gives what he made to hungry little wisps about the hideaway. \n\nThe fire that originally scarred him still seems to burn away at him to this day, little by little, but he just tries to be a walking example of the philosophy he holds dear - don't forget what's important, and fight for it.
ARC_ARCHIVE_HITODAMA_TXT_0031	Height: 2 meters, if he tried\nWeight: 10 grams, minus the head\nPersonality: Insensitive\nHobby: Plant collecting\n\nSprout is a wisp that loves to collect and study plants. It seems as if the faeries planted something on the top of his head after hooding him. He realises the plant is sapping some of his body's energy, but he's never considered removing it. On the contrary, it seems to have made him love plants even more, constantly trying to expand his little collection in his corner of the hideaway. Some of the wisps find him a bit cold because he will never, ever give up one of his plants to a hungry wisp - to him, plants take first priority. Day by day, he gives his all trying to make the perfect little hideaway garden.
ARC_ARCHIVE_HITODAMA_TXT_0032	Height: 16 belts\nWeight: A belt buckle\nPersonality: Nosy\nHobby: Chatting\n\nLeatherhead is a chatty little wisp that can talk on and on for hours at a time.\n\nShe loves to rub her nose in other wisps' business. Any time she spots a wisp in trouble she comes running to help, broadcasting her plan of action the whole way. She's needed to learn a lot to fill her constant stream of words, so many wisps rely on her for practical advice. She does have a habit of getting ahead of herself, though, sometimes drawing conclusions well before she's heard even half of what the other wisp has to say. Still, as soon as trouble strikes, you can bet that she'll hear about it, so most wisps have to sit through her advice whether they want to or not. 
ARC_ARCHIVE_HITODAMA_TXT_0033	Height: 1 long needle + 1 short one\nWeight: 2 long needles\nPersonality: Calm & collected\nHobby: Embroidery\n\nNeedy's defining characteristic must be his unparalleled powers of concentration. If he starts working on something, no matter what distractions intervene, he will sit there and keep working on it right until it's done. This ability to focus has helped him create beautiful works of embroidery that are cherished by the others. He is always completely composed; no wisps have ever seen him lose his temper for even a second. Sometimes, his abilities of concentration can work against him though - so focused on the task at hand he forgets to even eat, eventually passing out from hunger. The other wisps find it adorable that someone with such a masterful hand could be so clumsy at living, and many have learned to quietly leave a little food nearby him when they see him working.
ARC_ARCHIVE_HITODAMA_TXT_0034	Height: Same as the wire\nWeight: Same as the wire\nPersonality: Shy\nHobby: Dancing, singing\n\nWired is a happy, cheerful girl. She's a bit shy and embarrasses easily, but she has a smile that can light up a room. Her hobbies are to dance and sing, and she can never turn down a little performance when asked, though she blushes almost the entire time. Secretly, she laments the fact that the barbed wire the faeries have wrapped around her head prevents her from close contact with the other wisps. But the other wisps try not to let it get to her. Her cheerfulness is a much needed medicine to heal some of the wisps' tired, heavy hearts.\n\nIn the past, she had dreamed about one day performing in the bright lights, so she seems happy to have found a little crowd that appreciates her song and dance now.
ARC_ARCHIVE_HITODAMA_TXT_0035	Height: Pair of scissors + half a pair of scissors\nWeight: Half a pair of scissors\nPersonality: Sharp\nHobby: Chess\n\nSnipster is the sage of the wisps. He's a quick thinker and he's excellent at maths.\n\nHis smarts are put to great use in expanding the hideaway, as he is able to create clever designs for new playground equipment all from random faerie garbage. Most of the equipment in the hideaway was either designed or improved by him, so he's really contributed quite a lot to the wisp community. Unfortunately, he refuses to work on anything he doesn't consider stimulating, which is why the defence systems of the hideaway are always lacklustre. He believes that living in a scary place like Avalon, a place to play and have fun is more important than anything. The other wisps agree: Snipster gives them something to take their mind off the threats lurking in every corner of the forest, so they can just relax for a moment. And it's this philosophy that has truly made Snipster the sage wisp.
ARC_ARCHIVE_HITODAMA_TXT_0036	Height: Two razors stacked sideways\nWeight: Same as the razor stuck in her head\nPersonality: Bossy\nHobby: Arguing\n\nStraight Edge is the type of wisp who doesn't really hold back.\n\nShe likes a straight answer, yes or no, and she hates anything in between. This has led to more than a few altercations with other wisps in the past, and some even avoid her in fear of being her next target. Straight Edge notices this, but she won't let it change her. Wisps are always at risk in Avalon; sometimes a moment's hesitation could mean the difference between life and death. She stands firm for the greater good. If that makes her "mean", she says so be it. That all said...she also just loves to argue in the first place, and especially proving someone else is wrong. This doesn't mean she doesn't care about the other wisps...but her curtness might not be solely for the sake of others, either.\n
ARC_ARCHIVE_HITODAMA_TXT_0037	Height: 7 wrenches\nWeight: 3 nuts or bolts\nPersonality: Just\nHobby: Reading\n\nPipes is probably the most dedicated and caring of the wisps.\n\nAlways lending a hand to those in trouble, he'd stand against a faerie at a pindrop if it meant saving another. His hobby of reading has given him a wealth of knowledge that he uses to support Colm how he can, almost like a trusty advisor. He also happens to be quite strong for a wisp, leading his own patrol group to keep watch around the hideaway. He's really a very good example of both brains and brawn. He never lets his own abilities go to his head, treating each and every wisp equally. This lack of flaws has made some of the wisps say they'd rather deal with a faerie than be on Pipes's bad side.
ARC_ARCHIVE_HITODAMA_TXT_0038	Height: Undisclosed until properly measured\nWeight: Undisclosed until properly measured\nPersonality: Tempered\nHobby: Long distance running\n\nMachina is all about routine. He believes it important to get up the same time each day, eat the same thing, and follow the same schedule. He goes on long distance runs along the same route every day - something other wisps would probably find monotonous, but he finds reassuring. His motto is "If it's been done before, it's proven - and it can be done again." His greatest joy is simply to complete something he planned to do, no matter how arbitrary the task. \n\nObviously, this means that any wisp who interrupts his routine is met with great scorn. The wisps who have known him for a long time say he used to be a lot more laid back, but his personality seemed to change completely after the faeries buried that bolt in his head.
ARC_ARCHIVE_HITODAMA_TXT_0039	Height: About 15 rolls of bandages\nWeight: A corset\nPersonality: Quiet\nHobby: Walks, singing\n\nPatches is a sweet girl. She has a frail frame and she never feels very well, resulting in her falling and scraping herself often. This has made being wrapped in bandages part of her trademark. She is younger and quieter than the other wisps, so many of them treat her like a little sister. She loves walks and loves to sing, so she can often be seen strolling and humming a little tune. \n\nIn her previous life she was chronically ill, and she visited Avalon hoping that becoming a wisp might relieve her from having to deal with her sickness. Sadly, the sickness remained. Nevertheless, she seems to have found happiness in her new life with the other wisps, always humming her sweet tune around the hideaway.
ARC_ARCHIVE_HITODAMA_TXT_0040	Height: Much shorter than a Great Oak\nWeight: A crinkled leaf\nPersonality: Disciplined\nHobby: Meditation\n\nTrent has lived in the forest as a wisp for many ages now. He is said to maybe even be the eldest of all living things in Avalon, which few deny when seeing he is slowly turning into wood. As can be expected with his age, he is wise, and considered to be like a living book of truths to the other wisps. Some of his wisdom has aged poorly, though, leading the younger wisps to not always see eye to eye with him. His time in the forest has made him very disciplined, requiring little food or sleep. He says it is necessary to do away with the temptations of the physical world to survive here, but everyone knows he naps during his daily meditation sessions. He seems to have a past with Ignis, but refuses to divulge any of it.
ARC_ARCHIVE_HITODAMA_TXT_9999	Height: ???\nWeight: ???\nPersonality: ???\nHobby: ???\n\nLooks like this wisp needs some help...
Text/core_MES
CORE_COMMON_001	Yes
CORE_COMMON_002	No
CORE_COMMON_004	-
CORE_COMMON_005	Close
CORE_COMMON_007	/
CORE_COMMON_008	x
CORE_COMMON_010	???
CORE_COMMON_011	Back
CORE_COMMON_012	Retry
CORE_COMMON_013	Exit Tír na nÓg
CORE_COMMON_014	Switch Map View
CORE_EVENT_PAUSE_01	Pause
CORE_BTN_HELP_001	Pause
CORE_BTN_HELP_002	Confirm
CORE_BTN_HELP_003	Back
CORE_BTN_HELP_004	Skip
CORE_BTN_HELP_005	Delete
CORE_BTN_HELP_006	Close
CORE_BTN_HELP_007	Select
CORE_BTN_HELP_008	Move
CORE_BTN_HELP_009	Restore Defaults
CORE_BTN_HELP_010	Zoom In/Out
CORE_BTN_HELP_012	Learn (Hold)
CORE_BTN_HELP_013	Unlock
CORE_BTN_HELP_014	Challenge
CORE_BTN_HELP_015	Open
CORE_BTN_HELP_016	Give
CORE_BTN_HELP_017	Switch Menus
CORE_BTN_HELP_018	Scroll
CORE_BTN_HELP_020	Art Only
CORE_BTN_HELP_021	Change Art
CORE_BTN_HELP_023	To Title
CORE_BTN_HELP_024	Practice
CORE_BTN_HELP_025	Finish Practice
CORE_BTN_HELP_026	Select Enemy:
CORE_BTN_HELP_027	Item List
CORE_BTN_HELP_028	Change Hairstyle
CORE_BTN_HELP_029	Spawn Enemy
CORE_BTN_HELP_030	Melee
CORE_BTN_HELP_031	Long Range
CORE_BTN_HELP_032	Idle
CORE_BTN_HELP_033	Distance (Immobile)
CORE_BTN_HELP_034	Multiple - Melee
CORE_BTN_HELP_035	Weak
CORE_BTN_HELP_036	Skill Desc. On/Off
CORE_BTN_HELP_037	Bandages On/Off
CORE_BTN_HELP_038	Shuffle Music
CORE_BTN_HELP_039	Multiple - Idle
CORE_EVENT_PAUSE_02	Skip
CORE_EVENT_PAUSE_03	Next page (Hold: Faster)
CORE_EVENT_PAUSE_04	Auto-play
CORE_SVLD_01	Save
CORE_SVLD_02	Load
CORE_TITLE_RUBY_01	Please select a slot to save in.
CORE_TITLE_RUBY_02	New Game
CORE_TITLE_RUBY_03	Please select a file to load.
CORE_TITLE_RUBY_04	Please select a file to delete.
CORE_TITLE_01	Save
CORE_TITLE_03	Load
CORE_TITLE_05	Top
CORE_TITLE_06	Concocting Compounds
CORE_TITLE_07	Costumes
CORE_NPC_PARTS_03	Change Location
CORE_NPC_PARTS_04	Chat
CORE_NPC_PARTS_05	Save
CORE_NPC_PARTS_08	New Game
CORE_NPC_PARTS_09	Tír na nÓg
CORE_NPC_PARTS_10	Costumes
CORE_NPC_PARTS_11	Concoct
CORE_MAP_NAME_0100	Whispering Path
CORE_MAP_NAME_0200	Jade Hill
CORE_MAP_NAME_0300	Leafy Nook
CORE_MAP_NAME_0400	Lake Nimueh
CORE_MAP_NAME_0500	Sunkissed Shore
CORE_MAP_NAME_0600	Sunspeckled Grove
CORE_MAP_NAME_0700	Windy Knot
CORE_MAP_NAME_0800	Giant's Basin
CORE_MAP_NAME_0900	Wyvern Falls
CORE_MAP_NAME_1000	Chalkroot Hollow
CORE_MAP_NAME_1100	Faerieland Tower
CORE_MAP_NAME_1200	The Watchtower
CORE_MAP_NAME_1300	Forgotten Knoll
CORE_MAP_NAME_1400	Forbidden Grounds
CORE_MAP_NAME_1500	Overgrown Shrine
CORE_MAP_NAME_1600	Altar of the Faerie King
CORE_MAP_NAME_1700	Ashenbark Woods
CORE_MAP_NAME_1800	Púca's Fortress
CORE_MAP_NAME_3000	Morgana's House
CORE_MAP_NAME_3100	Amadán's Big Top
CORE_MAP_NAME_3200	Stillwater Manor
CORE_MAP_NAME_3400	Wood Shrine
CORE_MAP_NAME_3500	Stone Shrine
CORE_MAP_NAME_3600	Water Shrine
CORE_MAP_NAME_3700	Fire Shrine
CORE_MAP_NAME_3800	Wisps' Hideaway
CORE_MAP_NAME_3900	Fleeting Darkness
CORE_MAP_NAME_9999	???
CORE_CHAPTER_NAME_00	Darkness
CORE_CHAPTER_NAME_01	Trial of the Full Moon
CORE_CHAPTER_NAME_02	Into the Unknown
CORE_CHAPTER_NAME_03	The First Elemental Core
CORE_CHAPTER_NAME_04	Cereza's Resolve
CORE_CHAPTER_NAME_05	The Mad Circus
CORE_CHAPTER_NAME_06	Fear and Frustration
CORE_CHAPTER_NAME_07	Nest of the Wyrm
CORE_CHAPTER_NAME_08	Torn
CORE_CHAPTER_NAME_09	Alone Again
CORE_CHAPTER_NAME_10	The King's Entrance
CORE_CHAPTER_NAME_11	The Forbidden Altar
CORE_CHAPTER_NAME_12	For a Friend
CORE_CHAPTER_NAME_13	A Witch is Born This Night
CORE_SAVESLOT_PARTS_02	Saving
CORE_SAVESLOT_PARTS_03	Completion
CORE_SAVESLOT_PARTS_04	%
CORE_SAVESLOT_PARTS_05	No Save Data
