Text/archive_MES
ARC_CHARA_PL0000_001	瑟蕾莎
ARC_ARCHIVE_NOTE_TXT_0040	亞瑟爾成為妖精王後力行樸質簡約，\n希望打造一個雨露均霑的國度。\n此外，祂也想要改善妖精與\n長期被壓榨的人類、人魂之間的關係。\n為此，祂引進人類的語言和文化，\n將這些知識教授給有才華的年輕妖精。\n妖精王國的戰亂時代已成歷史。\n現在在偉大妖精王亞瑟爾的領導下，\n森林居民過著安穩的日子。\n然而，要實現祂的理想，\n還需要更多人的協助以及加倍的努力。\n為了不再掀起爭端；為了維持永久和平，\n我們由衷希望所有森林生靈\n有朝一日能夠攜手合作。\n但願吾兒萊卡翁長大，能夠獨當一面時，\n種族之間的隔閡已然消弭。\n與祈禱的同時，\n也在此為這部妖精王國史畫下句點。
ARC_ARCHIVE_NOTE_TXT_0041	雖然大人們從以前就老是說：\n「不可以進入阿瓦隆森林」……\n但是事態嚴重，不得不這麼做。\n而且其實我已經進到森林裡了，\n一旦下定決心要做，就不能放棄。\n說是這麼說，\n不可否認我確實太莽撞……\n早知道就多帶一點食物之類的了。\n但是但是，我也是個高貴的魔女！\n雖然還在見習，但要相信自己！\n好了，接下來就要探索森林了，\n我認為當務之急就是準備一個據點。\n既然不知道前方有什麼在等著我，\n最好趁現在整理出一個地方可以好好休息。\n幸好森林裡不缺木材，\n附近還散落著未知的紅色金屬。\n稍微借用一些，\n應該可以蓋出一個還算好睡的棲身之處。\n再順便放一個調製用的大釜吧。
ARC_ARCHIVE_NOTE_TXT_0042	這座森林似乎是由妖精所掌管。\n奇怪的扭曲空間散布在森林各處……\n那些應該也是妖精製造出來的吧。\n之所以這樣推測，\n是因為妖精在扭曲空間裡力量好像會變強。\n就算我拿撿來的棒子死命地打，\n妖精也不為所動。\n不過那些妖精也太大意了。\n實不相瞞，我可是魔女！\n我拿魔導術變出的燈火一照，\n祂們就嚇得逃跑了。\n雖然……我只是因為看不清楚才點亮燈火。\n總之，我知道妖精的弱點了。\n而且我這麼聰明，\n當然也能理解扭曲空間的運作機制。\n扭曲空間裡頭，一定有空間裂縫。\n也就是說……\n引起扭曲的源頭就在空間裂縫裡！\n不過我才不會進去這麼可怕的地方。
ARC_ARCHIVE_NOTE_TXT_0043	妖精也挺有一套嘛……\n我居然受傷了，真是丟人。\n實在是寡不敵眾……\n或許我不該獨自進入森林……\n不對，不可以說喪氣話。\n我得努力實現我的夢想！\n先回一趟據點好了，我要調製道具順便療傷。\n魔女的道具很方便，\n既然手邊有素材，不用就太可惜了。\n把常搞錯的配方整理在下面提醒自己吧。\n療癒藥水：少許曼德拉草、少許蠑螈。\n是重要的療傷道具。\n暗影糖漿：曼德拉草稍多，再撒上蠑螈和角。\n能增強魔導術專注力，是魔女的最後王牌。\n嗯……我記得還有學過其他的，但忘了配方。\n應該要事前好好複習的……
ARC_ARCHIVE_NOTE_TXT_0044	阿瓦隆森林好像離魔界很近，\n到處都長著魔界植物。\n平常這些植物都垂頭喪氣，看起來很沒精神，\n但只要灌注魔力就會長得好大。\n要是能善用這些植物，\n在森林裡行動想必會輕鬆不少。\n我不是全部的魔界植物都曉得，\n所以一發現可疑植物就一定會用魔導術試探。\n搞不好能開拓出新的道路。\n提到魔界植物，\n我在附近發現圖鑑上看過的大水果，\n好像是叫做煉獄果實的品種，\n它附近瀰漫著一股甜甜的香氣。\n我因為肚子餓於是試著咬了一口，\n但實在太甜了，讓人吃不下去。\n不過我馬上感到體內充滿力量，\n我想這水果裡面一定蘊含豐富的魔力。\n要是味道不那麼難以下嚥，\n我就帶一些回去了。
ARC_ARCHIVE_NOTE_TXT_0045	我向剛認識的人魂打聽了一些資訊。\n這裡是妖精樂園之塔，似乎是用來\n捕捉人魂，然後送往森林各處的設施。\n這裡也有很多妖精，\n感覺就像是妖精的前線基地。\n經過我初步的探查，\n確實發現有很多人魂正受到妖精凌虐。\n聽說妖精會吸取人類的性命，\n但實際上人命似乎沒辦法滿足祂們。\n人類失去性命後還會成為人魂，\n被祂們榨取能量直到乾涸。\n妖精實在罪無可恕……\n不過，打倒妖精並不是我的目標。\n現在先趕路吧。\n聽說妖精樂園之塔的首領，\n是叫阿瑪達……之類的馬戲團團長。\n難怪祂有這麼多可怕的整人裝置……\n等等，還是正好相反？\n為了讓人類或人魂感到恐懼，\n那些裝置的模樣才這麼嚇人嗎……？
ARC_ARCHIVE_NOTE_TXT_0046	我和姊姊是雙胞胎，身高差不多。\n不過最近我發現一個驚人的事實！\n跟我比起來，姊姊的體重有一點……\n不對，好像比我重很～多！\n我們分頭查看在馬戲團發現的搖晃地板，\n姊姊一走到了另一邊……\n我就馬上被整個抬了起來！\n這個地板簡單來說就是個翹翹板。\n這就表示……我還是閉嘴吧。\n話說回來，我好像看到上面有什麼東西。\n啊，該不會……\n如果姊姊在另一邊用力跳，\n我也許就可以被彈到高處了！\n我真的好想試試看……不過，\n直接說出來的話一定會被姊姊罵。\n該怎麼表達比較好呢……\n委婉地說，才不會傷到她的心……啊！\n被姊姊看到
ARC_ARCHIVE_NOTE_TXT_0047	總算抵達外型很誇張的妖精要塞了！\n這裡肯定是妖精的大本營！\n我看到像血管一樣跳動的輸送管線，\n裡面不知道在輸送什麼東西；\n還有燒得炫目的藍色火焰，\n以及非常大台的機械裝置。\n雖然我們無法得知妖精究竟在打什麼鬼主意，\n但要做的事既單純又明確。\n那就是打敗妖精、繼續前進，\n最後一定要成功破壞元素核心！\n前面有非常多妖精等著我們，\n但只要我們姊妹聯手應該有辦法搞定。\n不過，只有一個問題……\n我們不知道該怎麼前進。\n我能感覺到元素核心就在上面，\n但完全不知道該怎麼爬上去。\n總不能爬牆吧……\n叫妹妹把我扛起來？她大概又會哇哇大叫……\n還是像個魔女，使出魔導術試試？\n附近的裝置好像很可疑……
ARC_ARCHIVE_NOTE_TXT_0048	那個被叫做妖精王的傢伙太可怕了，\n絕對不能與祂為敵……！\n那時很暗所以我看不清楚，\n但隱約見到祂召喚出體型驚人的怪物來使喚。\n對方能操控如此強大的怪物，\n我們根本一點勝算也沒有！\n進入這座森林的確是為了實現夢想，\n但是和祂正面交鋒絕對小命不保！\n況且這座要塞裡有很多妖精，\n我們最好快逃，無庸置疑！\n但姊姊怎麼也不聽勸，直說沒問題。\n我也火大了，脫口說出「要去你自己去」……\n但我還是好擔心姊姊。\n我和姊姊是雙胞胎，自從老師收留了我們，\n我們就一直相依為命到現在……\n只要我們兩人聯手，一定沒問題。\n好，我要趕快追上姊姊！
ARC_ARCHIVE_MEMORY_TXT_0001	「好美啊……！\n居然有這麼漂亮的地方……！」\n『哼，太寧靜了。\n我比較喜歡魔界。』
ARC_ARCHIVE_MEMORY_TXT_0002	\n「感覺前方有一股力量……\n難道那就是……！」\n『走，去弄清楚！\n別磨蹭了，動作快！』
ARC_ARCHIVE_MEMORY_TXT_0003	『好吵雜的地方……\n妖精喜歡這麼吵嗎？』\n「可能吧……\n那個交通工具會開往何處呢？」
ARC_ARCHIVE_MEMORY_TXT_0004	「呵呵，大家好像都很開心。」\n『仔細一看似乎挺好吃的。\n（吞口水）我偷偷吃掉幾個……』\n「小柴貓！！！」
ARC_ARCHIVE_MEMORY_TXT_0005	「哇！你看那棵樹！\n看起來好像在張著大嘴！」\n『哼，沒什麼了不起。\n我的嘴巴更大。』
ARC_ARCHIVE_MEMORY_TXT_0006	\n\n「好大的籠子。\n但是它壞掉了。」\n『好像是從裡面破壞的。\n我能想到的只有那條龍……』
ARC_ARCHIVE_MEMORY_TXT_0007	\n「那道裂縫……\n妖精究竟想做什麼？」\n『管他的，不用擔心。\n我會把祂們全部吃光光。』
ARC_ARCHIVE_MEMORY_TXT_0008	\n「成功破壞元素核心了。\n那麼前面就是……」\n『現在還不能鬆懈。\n也許是妖精的陷阱。』
ARC_ARCHIVE_MEMORY_TXT_0009	「哇……！這裡……」\n『這裡好漂亮……啊！』\n「真難得聽到你這麼說，是不是啊？」\n『吵死了，咬你喔！』
ARC_ARCHIVE_MEMORY_TXT_0010	\n\n「好大的瀑布！太震撼了！」\n『你太大聲了！』\n「瀑布聲就很大嘛——」\n『就說你太大聲了！！！』
ARC_ARCHIVE_MEMORY_TXT_0011	「呼，好甘甜的水……！\n裝一點帶走吧。」\n『這水我也挺喜歡的。\n我也來幫忙裝一點。』
ARC_ARCHIVE_MEMORY_TXT_0012	\n\n「妖精王妃居住的宮殿……\n我是聽說過有這個地方……」\n『都破破爛爛的了。\n妖精好像討厭那個王妃。』
ARC_ARCHIVE_MEMORY_TXT_0013	「不可能……！\n為什麼森林裡會有海灘！？」\n『呸，水是鹹的！』\n「難道真的是海……嗎？」
ARC_ARCHIVE_MEMORY_TXT_0014	「這蓮葉好驚人。\n竟能長到這麼大……」\n『這座森林充滿魔力。\n一定是受到魔力影響吧……』
ARC_ARCHIVE_MEMORY_TXT_0015	「呵呵，小柴貓做得好！\n大家看起來都很開心！」\n『哼……我可費了一番心力。\n嗯……感覺不壞。』
ARC_ARCHIVE_HITODAMA_TXT_0001	身高：跟長在家裡的樹差不多\n體重：1顆小苔球重\n個性：漫不經心\n興趣：曬日光浴\n\n毛蘚蘚是人魂裡數一數二的慢活族。\n一天中大部分的時間都在曬日光浴，\n幾乎都不動，甚至因此全身長滿苔蘚。\n就算如此，毛蘚蘚本人似乎一點都不在意，\n沐浴在陽光下對祂來說是無比的幸福，\n每天都曬得全身暖烘烘。\n由於祂過於熱愛日光浴，常常會來不及逃跑，\n不過祂長滿苔蘚的身體與大自然融為一體，\n導致妖精經常會沒注意到祂。\n溫吞的動作和樂觀的性格也撫慰了其他人魂，\n當祂在曬日光浴的時候周圍總是有人魂聚集。\n不過，若是日照充足的地方被佔走，\n祂可是會氣得火冒三丈，請務必留意。
ARC_ARCHIVE_HITODAMA_TXT_0002	身高：8根五寸釘長\n體重：1支鐵鎚重\n個性：死腦筋\n興趣：學習\n\n謠傳釘釘就是因為腦袋太堅硬，\n頭上插著的釘子才會彎曲——\n由此可知祂真的很認真又死腦筋。\n祂很注重規矩，除了頭上釘子，\n不允許有任何不端正的地方。\n就算是對人魂同伴，\n只要破壞規矩祂都會毫不留情地斥責，\n所以同伴都把祂當作可怕的風紀股長。\n釘釘從小好學，成績也很優秀，\n但祂厭倦了父母安排好的人生，\n於是離家出走，來到阿瓦隆森林。\n然而，被妖精捉到後成了人魂的祂，\n現在則對當時的舉動感到後悔萬分，\n因此異常執著於「遵守規矩，聽話照做」。
ARC_ARCHIVE_HITODAMA_TXT_0003	身高：比4個大型齒輪高一點\n體重：3個半小型齒輪重\n個性：愛挖苦人\n興趣：演奏樂器\n\n齒輪仔很愛挖苦人，看事情常帶有偏見，\n認為不管什麼事都別有隱情。\n祂的興趣是演奏樂器，\n唯有演奏樂器時祂才會坦率地表露內心。\n當然，在森林裡幾乎是不可能取得樂器。\n因此祂用蒐集來的材料親手製作樂器。\n祂對樂器的講究非同小可，\n雖然製作材料有限，\n但連細部都做得相當精細。\n可惜祂並沒有演奏的才能，\n時常發出響亮的噪音，\n但大家看到祂如此樂在其中，\n也不好意思多說什麼。
ARC_ARCHIVE_HITODAMA_TXT_0004	身高：3個頭上的螺栓高\n體重：和中等尺寸的扳手差不多\n個性：雙面人\n興趣：爬山\n\n擁有雙面性格的栓栓頓，\n對待熟人，尤其是瞧不起的對象總是很強勢；\n另一方面，面對不認識\n或感覺地位較高的對象，\n通常會表現得很軟弱。\n祂的雙面人個性相當出名，可說無人魂不曉，\n當事人卻完全沒自覺。\n栓栓頓說，必須有明確的上下關係\n才能安全地享受祂最愛的登山活動。\n也許雙面個性是祂獨特的處世之道。\n不過祂是個路痴，\n登山的成功機率在生前就稱不上高。\n最近祂在秘密基地中招募有志之士，\n打算組成「栓栓頓探險隊」，\n但至今沒有任何人報名加入。
ARC_ARCHIVE_HITODAMA_TXT_0005	身高：能吸引小貓的身高\n體重：讓可愛女生神魂顛倒的重量\n個性：自戀\n興趣：提升自己\n\n「我愛自己，別人當然也愛我」\n叫做扣扣的人魂大言不慚地說。\n祂講話總是很輕挑，老是到處遊蕩，\n但不知為何擁有不可思議的魅力，\n幾乎沒有人魂會說祂壞話。\n這也沒什麼好奇怪，\n因為祂一直默默地努力提升自己。\n祂很注意飲食，\n好讓自己的靈體看起來更耀眼，\n還會把身上纏繞的鎖鏈打磨得亮晶晶。\n為了把握助人的大好機會，甚至會鍛鍊身體，\n以便能隨時解救被妖精襲擊的人魂。\n但是，祂絕不會讓別人看到這些努力。\n因為祂受人喜愛是理所當然的。
ARC_ARCHIVE_HITODAMA_TXT_0006	身高：40根大頭針高\n體重：3根縫衣針重\n個性：神經質\n興趣：縫紉\n\n大頭針一手包辦人魂服裝的準備工作。\n人魂的面具是妖精給祂們戴上的，\n放著不管就會逐漸變得殘破不堪。\n為了避免這種狀況，祂用同伴在森林裡\n撿到的材料為祂們縫補面具。\n祂的做工細緻因此頗受好評，\n但卻因為過於神經質導致作業效率不彰。\n大頭針只用有一定品質的針線，\n每一針的間距如果有一點點落差，\n就會拆掉全部重來。\n因此等待修補面具的人魂很多，\n也越來越多人魂不介意面具有些許破損。
ARC_ARCHIVE_HITODAMA_TXT_0007	身高：1支槌子高\n體重：和一大把槌子差不多\n個性：頑皮\n興趣：露營\n\n敲碎碎在人魂裡可說是一等一的頑皮。\n祂不知「疲憊」為何物，\n整天都在森林裡跑來跑去。\n那把卡在頭上的槌子\n是祂隨手就能拿起來用的武器。\n有時候祂會半開玩笑地\n拿槌子捶打周圍的人魂，當然每次都會挨罵。\n但因為祂成為人魂時的年紀尚輕，\n所以完全不懂反省，第二天就忘得一乾二淨，\n繼續拿槌子攻擊別人。\n祂最喜歡在大自然裡玩耍，\n森林對祂來說再適合不過了。\n熱愛露營的祂很享受森林裡的生活，\n其他人魂其實很羨慕祂。
ARC_ARCHIVE_HITODAMA_TXT_0008	身高：和弓差不多\n體重：和箭差不多\n個性：容易跟人吵架\n興趣：狩獵\n\n漢賓羅生前是勇敢的獵人，\n在森林裡用弓箭射下的獵物不計其數。\n以前的祂對自己的力量有絕對自信，\n覺得世上沒有自己獵不來的東西。\n有強烈正義感的祂\n聽說妖精可能是人們失蹤的元兇，\n便進入阿瓦隆森林找尋下一個獵物「妖精」。\n然而，這是個錯誤的決定。\n祂引以為傲的箭法，對妖精完全不起作用。\n此時獵人、獵物的立場互換，\n漢賓羅反遭妖精鎮日追捕。\n對生來就是獵人的漢賓羅而言，逃跑很可恥。\n即使成了人魂，至今仍對妖精感到憤怒，\n因此祂把妖精為了玩樂射進祂後腦的箭\n當成復仇的象徵，每天狩獵小動物，\n好鍛鍊出能夠打倒妖精的力量。
ARC_ARCHIVE_HITODAMA_TXT_0009	身高：女演員等級（自稱）\n體重：絕對機密\n個性：高傲\n興趣：購物\n\n影后是自稱女演員的人魂。\n祂似乎對自己的外表很有自信，\n只可惜戴著面具，沒人有機會一窺祂的美貌。\n祂總是說「連妖精都臣服於我的美色」。\n然而，從祂被變成人魂的這點看來，\n就能得知妖精根本沒把祂放在眼裡。\n祂性格高傲，習慣恣意使喚周圍的人魂。\n由於在森林裡無法享受祂最愛的購物，\n所以祂會叫人蒐集感覺昂貴的物品供祂收藏。\n其他人魂其實只要拒絕就沒事了，\n但只要影后說要拿下面具給祂們看真面目，\n好奇的祂們便忍不住對祂百依百順。\n重申，沒有人見過祂的真面目。
ARC_ARCHIVE_HITODAMA_TXT_0010	身高：和故鄉公園裡的雕像差不多\n體重：和媽媽做的蘋果派差不多\n個性：我行我素\n興趣：繪畫\n\n釘釘眼生前是個非常喜愛繪畫的少年。\n祂會把看過的風景牢牢記住，然後畫下來。\n祂的母親對祂的畫讚不絕口，\n總會烤蘋果派給祂吃當作獎勵。\n然而，選擇阿瓦隆森林當繪畫題材的祂\n成為人魂，自此失去光明人生。\n即使如此，祂對繪畫仍保有熱情。\n祂每天在同伴撕下來的妖精傳單上作畫，\n總是浮現在祂紅色視野中的往昔光景、\n在心中描繪的非現實景色都是祂的創作題材。\n雖然要親眼欣賞自己的畫作\n是不可能實現的願望，但因為同伴看得開心，\n所以祂還是繼續提筆作畫。\n祂並不知道，人魂沒有眼球，\n只要把釘子拔出來就看得見了。
ARC_ARCHIVE_HITODAMA_TXT_0011	身高：6副眼鏡高\n體重：1塊鏡片重\n個性：天真無邪\n興趣：探險遊戲、唱歌\n\n圓圓是天真無邪又有朝氣的男孩。\n祂極度熱愛唱歌和探險，\n總是哼著歌在秘密基地附近探險。\n雖然祂的探險沒有什麼大不了，\n只是尋找稀奇物品，再隨著結果高興難過，\n不過圓圓本人可是非常認真。\n祂認為自己的探險成果會左右同伴們的命運，\n因此每天都全心全意地努力探險。\n祂戴的眼鏡是撿來的，沒有度數。\n可是祂認為眼鏡會保佑祂找到寶物，\n所以把它當成護身符在珍惜。\n為了振奮士氣，祂寫下「人魂探險隊之歌」。\n這首歌朗朗上口、深受好評，\n越來越多人魂會偷偷唱這首歌。
ARC_ARCHIVE_HITODAMA_TXT_0012	身高：4個箱子高\n體重：2個箱子重\n個性：內向消極\n興趣：捉迷藏\n\n紙箱仔是頭上戴著箱子的人魂。\n對內向消極的祂來說，\n身邊有一個隨時能把自己藏起來的東西，\n似乎很能幫助祂冷靜，\n所以無論何時祂都不會把箱子從頭上拿下。\n那個箱子已經用了很久，非常老舊；\n到處都是修補的痕跡。\n即使如此，祂依然堅持使用它，\n因為那是以前在森林結識的人魂轉讓給祂的。\n祂的興趣是玩捉迷藏，躲藏技術高超，\n要找到認真躲藏的祂可說難如登天。\n不過另一方面，祂戴的箱子在森林中很顯眼。\n就結果來說，\n找到祂的難度和其他人魂差不了多少。
ARC_ARCHIVE_HITODAMA_TXT_0013	身高：偉大的高度\n體重：很有存在感的重量\n個性：不相信別人\n興趣：寫詩、唱歌\n\n燭娃娃是個活在自己世界裡的人魂。\n祂自稱「高次元生物」，\n經常說要舉行「儀式」而做出古怪舉動。\n祂和其他人魂會稍微保持距離，\n有時會整天都在唱歌。\n祂之所以會變成這樣，\n是因為被曾視為摯友的人魂背叛。\n從此以後祂就再也不信任旁人，\n故意用奇怪的行為嚇跑周圍的人魂。\n但其實燭娃娃內心坦率真誠，\n祂的詩作既好懂又富有純真情感。\n祂的歌聲也清澈動人，\n據說還有人魂會偷偷地聽祂唱歌。\n在人魂秘密基地被一群溫暖的同伴圍繞，\n讓祂凍結的心逐漸融化。
ARC_ARCHIVE_HITODAMA_TXT_0014	身高：4塊大小剛好的砧板高\n體重：和愛用的菜刀差不多\n個性：居家\n興趣：料理\n\n趣小子是人魂裡首屈一指的料理愛好家。\n祂會用華麗的廚藝，\n把森林裡採集的食材做成美味可口的料理，\n所以人魂都很重視祂。\n祂自己也打從心底熱愛烹飪，\n最喜歡看到別人津津有味地吃著自己的料理。\n祂從小就不斷追求新滋味，\n因此踏入阿瓦隆森林找尋未知食材。\n就算成為人魂祂仍不改樂觀天性，\n認為以後就不必擔心試吃料理會發胖了。\n如果要舉出一個祂的缺點，\n就是祂會為了追求新口味，\n讓同伴吃下來路不明的植物這一點吧。
ARC_ARCHIVE_HITODAMA_TXT_0015	身高：和野茼蒿差不多\n體重：和風滾草差不多\n個性：好奇心旺盛\n興趣：觀察生物\n\n綠綠是喜愛所有生物的學者。\n祂一心想深入了解生物，\n這點在祂成了人魂之後也沒有任何改變。\n只要有一點空閒就會前往森林各地，\n觀察生物並記錄下來。\n這一連串的行動正是祂的生存意義及理由。\n祂的觀察對象甚至包含奪走自身性命的妖精，\n屢次不顧危險也要去觀察妖精生態。\n祂的好奇心從生前就格外強烈，\n為了發掘未知生物，不惜捨棄學者的地位，\n也要造訪阿瓦隆森林。\n雖然祂會靈活運用所學知識，\n教導同伴辨別植物的方法。但可惜的是，\n祂教的內容太專業，很難懂。
ARC_ARCHIVE_HITODAMA_TXT_0016	身高：和短釣桿一樣高\n體重：和木製擬餌差不多\n個性：八卦通\n興趣：說八卦\n\n魚鉤鉤是熱愛八卦的人魂。\n祂堅決主張確鑿的資訊缺乏想像力，\n最喜歡真假未明的消息。\n因此，祂經常淪為假消息的受害者，\n但祂認為這就是八卦的樂趣，完全不以為意。\n祂自稱是秘密基地裡的傑出記者，\n總是打著採訪的名義，\n從許多人魂那裡聽來可信度低的消息。\n祂也在人魂編輯的刊物「人魂通訊」上\n發表連載，把得來的八卦加油添醋寫成文章。\n祂的文章使讀者看得不亦樂乎，\n已然成為一種休閒娛樂。\n最近祂為了想拿到更勁爆的八卦，\n考慮突襲採訪妖精，但不用說，\n祂根本不懂妖精的語言。
ARC_ARCHIVE_HITODAMA_TXT_0017	身高：和小型鮪魚差不多\n體重：比青鱂魚重\n個性：粗心大意\n興趣：釣魚\n\n釣魚的事，交給魚骨仔準沒錯。祂熱愛釣魚，\n甚至還負責秘密基地裡調度食材的工作。\n祂的釣魚技術似乎不是空口無憑，\n三次有一次會帶著大量漁穫滿載而歸。\n雖然祂每次出手都是大豐收，\n但每每因釣魚太專心，使得漁穫被動物偷走，\n不然就是迷路太久導致漁穫腐敗，\n所以沒能成功把魚帶回基地。\n咬在祂頭上的大魚骨，\n是祂親身當餌測試是否能釣到大魚後\n殘留下來的東西。\n漫不經心、粗心大意、冒失草率……\n這些形容詞放在魚骨仔身上很貼切，\n不過這種散漫性格也可說是祂的魅力所在。
ARC_ARCHIVE_HITODAMA_TXT_0018	身高：還在發育不要問！\n體重：每天都在增加（應該）！\n個性：粗枝大葉\n興趣：鍛鍊身體\n\n膠帶仔是個臉上纏著繃帶的女孩。臉上的繃帶\n是為了遮掩每天刻苦鍛鍊後遺留的傷痕。\n祂從早到晚都在鍛鍊身體，\n目標是讓自己強大到不輸給任何人。\n最終目標是成為最強的人魂。\n不過祂的實力還在持續進步當中，\n每次向比較強的人魂下戰帖都會輸，\n臉上的傷痕也越來越多。祂很粗枝大葉，\n有時會擅自把秘密基地的遊樂設施\n改造成鍛鍊身體的裝置，然後一走了之。\n其他人魂也因為這樣，在玩遊樂設施的過程中\n不知不覺間把身體鍛鍊得很強壯，\n因此膠帶仔從來不愁沒有對手。
ARC_ARCHIVE_HITODAMA_TXT_0019	身高：122.624公分\n體重：21.262克\n個性：細膩\n興趣：打掃\n\n大釘釘頭上和身上都插著釘子；是一位\n心思細膩的人魂，能注意到每個小細節。\n興趣是打掃，祂的打掃功力無人能出其右。\n連容易被忽略的角落灰塵或頑強髒污\n都能徹底清除，所以人們說祂掃過的地方\n看起來都閃閃發光。\n但祂太過講求細節，\n還會要求別人也要做到和祂一樣好，\n導致和祂一起打掃的人魂都吃盡苦頭。\n旁人經常由外表斷定祂很粗枝大葉，\n祂自己也很在意這點。最近祂很努力減肥，\n但遺憾的是人魂的體型無法改變。
ARC_ARCHIVE_HITODAMA_TXT_0020	身高：2頂頭盔高\n體重：5頂頭盔重\n個性：固執\n興趣：蒐集化石\n\n鐵頭是很固執的人魂。\n祂對自身想法抱持很堅定的信念，\n不管遇到什麼狀況，\n還是其他人魂對祂有任何批評，\n祂也絕對不會改變自己的主張。\n如果碰上有人持相反意見，\n祂會用天生堅硬的腦袋和頭上戴的單邊頭盔，\n施展強力無比的頭槌攻擊。\n興趣是蒐集化石，\n在阿瓦隆森林裡尤其喜愛蒐集妖精化石。\n祂的化石收藏數量驚人，\n關於這方面祂似乎也有獨到的見解。\n要是不慎提到了化石的話題，\n祂就會滔滔不絕地開講，短則幾小時，\n長則好幾天，因此千萬要小心。
ARC_ARCHIVE_HITODAMA_TXT_0021	身高：8頂禮帽高\n體重：有紳士風範的重量\n個性：愛慕虛榮\n興趣：製作帽子、唱歌\n\n要說最愛慕虛榮的人魂，就屬頂尖紳士了。\n祂非常愛現，那頂堪稱註冊商標的禮帽\n也是達成目的的手段之一。\n此外，為了吸引其他人魂注意，\n祂有大聲唱歌的習慣，\n一有機會就用公演的名義展現美妙歌喉。\n頭上戴的禮帽是祂親手做的，\n其實每天都戴著不同禮帽。\n儘管是不同帽子，但因為每頂禮帽都是做成\n祂認為最醒目的造型，所以看起來都一樣。\n祂能夠製作出每頂都分毫不差的帽子，\n已經可以算是天賦異稟了。\n只要能引人注意，頂尖紳士願意付出努力。
ARC_ARCHIVE_HITODAMA_TXT_0022	身高：5把鋸子高\n體重：1根木材重\n個性：隨便\n興趣：木作\n\n鋸鋸牙是人魂木匠。主要工作是\n用人魂蒐集來的材料改良遊樂設施，\n讓秘密基地住起來更舒適。\n阿瓦隆森林不缺木材，\n所以祂總是能盡情大顯身手。\n但美中不足的是祂凡事都有些隨便，\n常會有尺寸不夠大，或者做得太大擋路等\n品質不穩定的狀況，這也是祂的特徵。\n不過祂從小就接受父母的嚴格指導，\n如今祂的木工技術堪稱一流，\n無疑對秘密基地的發展貢獻良多。\n祂頭上的鋸子是被妖精插上的，\n因為覺得用起來順手，所以會拿它來工作。
ARC_ARCHIVE_HITODAMA_TXT_0023	身高：24個裸麥麵包高\n體重：12兩吐司42袋重\n個性：貪吃鬼\n興趣：吃東西、唱歌\n\n進食是人生中最大的樂趣，\n沒東西吃的話不如去死。\n諾蘭就是這種程度的貪吃鬼。\n祂的一天過得非常單純，\n基本上不是在吃，就是在找東西吃。\n祂一吃到美食就會滿臉幸福地唱起歌來，\n所以有不少人魂會忍不住給祂東西吃。\n祂靠著大量進食累積的能量也很可觀，\n所以總是成為妖精的下手目標。\n然而，祂在肚子餓時會渾身散發可怕氣場，\n甚至會讓下級妖精猶豫要不要捉祂，\n這也讓祂平安無事到現在。\n總之，在祂肚子餓時千萬別接近。
ARC_ARCHIVE_HITODAMA_TXT_0024	身高：不明\n體重：不明\n個性：寡言\n興趣：不明\n\n關於大鼻子，\n大家只知道有這麼一個人魂，其餘一概不知。\n沒人知道祂從什麼時候開始在秘密基地住下，\n也不曉得祂來到森林的經過。\n連「大鼻子」這個名字\n也是其他人魂給祂取的暱稱，並不是本名。\n這一切都是因為祂沉默寡言……不如說，\n是因為祂只會發出悶哼呻吟的聲音。\n由於透過比手畫腳勉強能和祂溝通，\n且人魂多少都背負著難受的過往，\n其他人魂猜想大鼻子或許也有不堪回首的\n往事，所以就沒有多問。\n而目前還沒有人注意到，\n祂的嘴巴完全被拘束刑具堵住了。
ARC_ARCHIVE_HITODAMA_TXT_0025	身高：差不多是插在身上的飛鏢總和\n體重：差不多是插在身上的飛鏢總和\n個性：八面玲瓏\n興趣：射飛鏢\n\n龐克小子是個全身插滿飛鏢的人魂，\n個性八面玲瓏。祂曾被妖精當作標靶來射，\n使祂心理留下了創傷。\n為避免重蹈覆轍，祂時時在察言觀色。\n另一方面，祂並不討厭飛鏢本身，\n祂會畫下妖精，並把畫貼在靶上，\n每天射飛鏢發洩祂心中的憤恨。\n其他人魂看到祂這個模樣，\n都心想「絕對不能惹龐克小子生氣」，\n私底下很怕祂。\n現在祂在某種程度上算過得幸福，\n但這是由於祂八面玲瓏的個性，還是因為\n射飛鏢讓人害怕，大概只有天知道了。
ARC_ARCHIVE_HITODAMA_TXT_0026	身高：讓人容易親近的身高\n體重：女生的秘‧密\n個性：仁慈\n興趣：祈禱\n\n環環的身材圓潤，身上裝了人造光環和翅膀。\n時時面帶微笑的祂無論對誰都很友善，\n可說到了過分親暱的程度。\n祂有著仁慈的胸懷，\n每天都在祈禱所有生靈都能過得幸福。\n多數人魂都對妖精懷有恐懼或恨意，\n但祂卻希望和妖精和解。\n為了製造和妖精對話的機會，\n甚至想學習祂們的語言。\n祂原本誕生在一個戰爭不斷的國家，\n是為了尋求和平才造訪阿瓦隆森林。\n今天的祂也期盼著真正的和平終會到來，\n並開朗地度過一整天。
