Text/archive
ARC_ARCHIVE_TXT_01	在故事中登场的人物。
ARC_ARCHIVE_NOTE_TXT_0039	红炎王认可阿斯尔的实力，\n他接受一对一的决斗后，立刻大笑着\n挥舞起自己的得意武器——炎之长枪，\n猛力向阿斯尔刺去。\n阿斯尔也身姿华丽地舞起神谕之剑，\n正面迎击红炎王的攻击。\n然而，枪尖上放出的魔炎蔓延到了\n阿斯尔身上，开始烧灼他的身体。\n就在所有人都以为胜负已分时，\n天上忽然下起了倾盆大雨，\n浇熄了红炎王枪上的火焰。\n阿斯尔没有放过这个天赐良机，\n一剑刺入红炎王的胸口。\n红炎王的身体发出红光，膨胀起来，\n最终整个炸裂，碎片飞向四面八万。\n红炎王死了，胜者是阿斯尔。\n无人反对阿斯尔登上妖精王的宝座。\n战乱不断的阿瓦隆森林终于迎来了和平。
ARC_ARCHIVE_NOTE_TXT_0040	阿斯尔成为妖精王后，努力保持勤俭节约，\n致力于让所有国民都能享受到森林的恩惠。\n并且，他试图改善和人类及人魂的关系，\n他们长期以来都是妖精们的欺压对象。\n他引进人类的语言和文化，\n并将这些教授给有天赋的年轻妖精们。\n妖精王国的战乱年代已是过眼云烟，\n如今，在伟大的妖精王阿斯尔的统治下，\n森林的居民们过着安稳的生活。\n不过，为了实现他的理想，\n需要更多人的帮助和更进一步的努力。\n为了不让战火复燃，为了永远的和平，\n我们衷心期望着森林中一切生物都能\n携手共进的时代。\n愿我的儿子莱卡翁长成一个优秀的大人时，\n我们已经打破种族间的隔阂。\n就以此心愿为这本妖精王国史画下句点吧。
ARC_ARCHIVE_NOTE_TXT_0041	虽说我一直被告诫不能踏入阿瓦隆森林……\n但事出有因，我也没有办法。\n而且我都已经进入这片森林了，\n既然决定要干，那就只能放手去干。\n不过，我确实是有点莽撞……\n应该再多带点干粮之类的东西。\n可我也是一名高傲的魔女！\n虽然还只是见习魔女，但我要相信自己。\n好了，既然要开始探索森林，\n那最重要的事就是设立据点。\n既然不知道前方有什么在等着自己，\n那我最好趁现在准备一个能休息的地方。\n幸好这里有许多木材，\n附近也到处散落着奇怪的红色金属。\n只要稍微借用一点这些东西，\n一定能做个睡起来还不错的临时落脚点。\n顺便也放一口调制用的大缸吧。
ARC_ARCHIVE_NOTE_TXT_0042	妖精好像支配了这座森林。\n森林各处都有奇怪的扭曲空间……\n那也是妖精干的好事吧，\n因为感觉在扭曲空间里时，\n妖精的力量好像增强了。\n就算我用捡来的木棒狠劲打妖精，\n妖精也毫发无伤。\n不过，妖精们也大意了，\n我毕竟是个魔女呢！\n只要用魔导术制成的光亮照向妖精，\n他们就会被吓得四散而逃。\n虽说……我是因为看不清路才照亮的，\n没想到歪打正着了。\n总之，我知道妖精的弱点了。\n而且我很聪明，已经掌握扭曲空间的构造了。\n在扭曲空间里，一定存在空间裂缝。\n也就是说……\n空间裂缝中就有产生扭曲空间的源头！\n但我很害怕，所以是不会走进去的。
ARC_ARCHIVE_NOTE_TXT_0043	妖精们也挺有一手的……\n我居然一时大意受了伤。\n说到底还是寡不敌众……\n独自进入这座森林说不定是个错误……\n不行，我不能说这种泄气话。\n我必须努力实现自己的梦想！\n先回趟据点调制道具，顺便疗伤。\n魔女的道具方便好用。而且也有材料，\n不多加利用也太浪费了。\n有些配方很容易弄错，得整理好记下来。\n制作疗愈药水需要少许曼陀罗的根与少许蝾螈。\n这是很重要的道具，能用来疗伤。\n制作暗影糖浆需要较多曼陀罗的根，\n然后撒入些许蝾螈和角。\n这是魔女的王牌，增强使用魔导术时的集中力。\n我记得还学过其他东西，\n但我不小心忘了配方。\n应该好好复习一下……
ARC_ARCHIVE_NOTE_TXT_0044	阿瓦隆森林似乎离魔界很近，\n这里到处生长着魔界的植物。\n植物平时都枯萎着，但只要注入魔力，\n它们就会茁壮生长，如果运用得当，\n应该就能在森林中轻松移动了。\n我并不认识所有魔界植物，\n所以我决定，一旦发现奇怪的植物，\n就对着它们用一下魔导术。\n说不定就能开辟出新的道路呢。\n提到魔界的植物，我在附近找到了\n一种在图鉴上看到过的巨大水果。\n这种水果似乎是叫炼狱果实，\n它的附近都飘荡着一股甜腻的香气。\n我肚子太饿就尝了一口，\n可它实在太甜了，根本没法吃。\n不过，我的身体里立刻就充满了力量，\n所以里面应该含有大量的魔力。\n真可惜，但凡它的口味能稍微好一点，\n我就会带上几个回去了。
ARC_ARCHIVE_NOTE_TXT_0045	我从遇到的人魂那里问来了情报。\n这里是妖精乐园之塔，\n似乎是抓取人魂并将其送往森林各处的设施。\n里面也挤满了妖精，\n应该就是妖精的前线基地吧。\n我稍微侦察了一下，\n的确有很多人魂遭受妖精欺压。\n听说妖精们会吸取人类的生命，\n但不仅如此，人类在死后会变成人魂，\n妖精将一直榨取人类的能量，直到榨干为止。\n妖精的所作所为不可饶恕……\n不过，打倒妖精并不是我的目的。\n现在还是先赶路吧。\n妖精乐园之塔的老大叫……\n阿玛丹，是一个马戏团团长。\n所以这里才会有很多糟糕的机关……\n不对，不如说因果颠倒了？\n他是为了引起人类及人魂的恐惧，\n才故意弄成那样的……？
ARC_ARCHIVE_NOTE_TXT_0046	我和姐姐是双胞胎，我们长得一般高。\n但我最近发现了一个令人震惊的事实！\n姐姐似乎稍微比我重……\n不对，似乎比我重很多！\n我们分头调查马戏团里的摇晃地板时，\n姐姐刚走到我对面……\n我就被翘起的地板给猛地弹起来了！\n这个地板就像跷跷板一样，\n也就是说……还是不细说了。\n说起来，我好像在上面看见了什么。\n啊，说不定……\n如果姐姐能在对面的地板上狠狠一踩，\n或许我就能弹到高处去！\n我一定要试试看……可是，\n如果直接跟她说，我一定会挨骂的。\n该怎么告诉她呢……\n要以一种温和委婉的方式……\n啊！被姐姐看
ARC_ARCHIVE_NOTE_TXT_0047	我们抵达了看上去很夸张的妖精要塞！\n这里一定就是妖精们的大本营！\n像血管一样跳动着，\n里面不知道流着什么的输送管道，\n熊熊燃烧的蓝色火焰，复杂的机械结构……\n妖精们究竟打的什么算盘呢。\n我们无从得知，但要做的事情很简单。\n那就是一路把妖精们都打倒，\n然后一定要破坏元素核心！\n虽然前方等着数量惊人的妖精，\n但只要我和妹妹一起就不会有问题。\n不过，还是有一个小问题。\n我们不知道该怎么前进。\n能感到元素核心的气息从上方传来，\n但完全不知道该怎么爬上去。\n总不能从墙上爬上去……\n让我骑在妹妹肩膀上？\n感觉她又会叫嚷个不停……\n还是说像个魔女一样用用魔导术呢。\n附近的装置看上去还挺可疑的……
ARC_ARCHIVE_NOTE_TXT_0048	那个被其他妖精称作妖精王的家伙，\n绝不能和他正面战斗……！\n虽然太暗了看得不是很清楚，但我肯定\n他能召唤并操纵身体非常巨大的怪物。\n和能驾驭那种怪物的对手开战，\n是不可能赢的！\n的确，我们为了实现梦想踏入这座森林，\n但和那种家伙战斗会小命不保的！\n而且这座要塞里还有数不清的妖精，\n没错！还是赶快逃吧。\n但是姐姐说没问题，不听我的话。\n我也一下怒上心头说了气话，\n让她一个人去了……\n但果然还是很担心姐姐。\n毕竟我们是双胞胎啊。\n自从被师父收养，一直是两个人\n一起努力活到了现在。\n只要我们齐心协力就一定没问题的。\n好，赶快去追姐姐吧！
ARC_ARCHIVE_MEMORY_TXT_0001	“好漂亮的地方啊……！\n没想到居然还有这种地方……！”\n“哼，真够沉闷的。\n我还是更喜欢魔界。”
ARC_ARCHIVE_MEMORY_TXT_0002	\n“前面有股力量……\n说不定那就是……！”\n“我们快过去看看！\n别磨蹭了，快点！”
ARC_ARCHIVE_MEMORY_TXT_0003	“这地方真吵……\n妖精们喜欢这样的？”\n“说不定是呢……那个交通工具\n是通往哪里的呢？”
ARC_ARCHIVE_MEMORY_TXT_0004	“呵呵，大家都很开心呢。”\n“仔细一看似乎挺美味的。\n偷偷吃掉几个人也……”\n“小柴猫！！”
ARC_ARCHIVE_MEMORY_TXT_0005	“啊！快看那棵树。\n就像大张着嘴一样呢！”\n“哼，这有什么了不起的。\n我的嘴还要更大。”
ARC_ARCHIVE_MEMORY_TXT_0006	\n\n“好大的笼子啊。\n但是已经坏掉了呢。”\n“看起来是从内部被冲破的。\n罪魁祸首应该是那条龙吧……”
ARC_ARCHIVE_MEMORY_TXT_0007	\n“那个裂缝……\n妖精是想做什么呢？”\n“管它呢，没必要去想这些。\n我会吃光他们。”
ARC_ARCHIVE_MEMORY_TXT_0008	\n“成功破坏元素核心了。\n那么前方就是……！”\n“还不能放松警惕。\n说不定是妖精们的陷阱。”
ARC_ARCHIVE_MEMORY_TXT_0009	“哇哦……！这是……”\n“好美的地方……啊。”\n“你居然也会说出这种话啊？”\n“烦死了，咬你哦！”
ARC_ARCHIVE_MEMORY_TXT_0010	\n\n“好大的瀑布——！好有压迫感——！”\n“别说得那么大声！”\n“但是瀑布的声音很大——！”\n“别说得那么大声！！！”
ARC_ARCHIVE_MEMORY_TXT_0011	“呼，这水好好喝……！\n稍微取一点吧。”\n“就稍微帮你一下吧。\n我也挺喜欢这水的。”
ARC_ARCHIVE_MEMORY_TXT_0012	\n\n“妖精王的王后住的宫殿……\n我是有听说过，可是……”\n“这也太破了。\n看来妖精讨厌王后呢。”
ARC_ARCHIVE_MEMORY_TXT_0013	“不会吧……！\n为什么森林里会有海滩！？”\n“呸，水好咸！”\n“难不成这真的是……大海？”
ARC_ARCHIVE_MEMORY_TXT_0014	“这莲叶太厉害了。\n居然能长这么大……”\n“这个森林里充满了魔力。\n应该是受这个影响吧……”
ARC_ARCHIVE_MEMORY_TXT_0015	“呵呵，我们成功了，小柴猫！\n大家看起来都很高兴呢！”\n“哼……毕竟费了一番功夫。\n算了……感觉还不赖。”
ARC_ARCHIVE_HITODAMA_TXT_0001	身高：跟长在家里的树差不多高\n体重：相当于1个小小的苔藓球\n性格：无忧无虑\n兴趣：日光浴\n\n毛藓藓是人魂里数一数二的悠闲家伙。\n他几乎一整天都在晒日光浴，\n一直一动不动，以至于全身长满了苔藓。\n但本人似乎毫不在意，温吞地度过每一天，\n认为能晒到太阳比什么都幸福。\n由于太爱日光浴，经常不能及时逃走，\n但生满苔藓的身体能完美融入自然环境，\n所以有时候妖精们根本发现不了他。\n悠闲自在、性格乐观的他，\n能让别的人魂感到身心放松。\n所以在他日光浴时周围会聚满人魂。\n但如果阳光充足的好地方被人夺走，\n他会大发雷霆，这点需要当心。
ARC_ARCHIVE_HITODAMA_TXT_0002	身高：8个五寸钉\n体重：1个锤子\n性格：死脑筋\n兴趣：学习\n\n钉钉的性格一本正经到死板的地步，\n甚至流传着这样的说法——\n钉钉头上的钉子之所以是弯的，\n就是因为他的脑筋太僵硬死板。\n重视规则，除了自己头顶上的钉子，\n钉钉坚持认为一切都应当正正直直。\n即便打破规矩的是人魂伙伴，\n他也会毫不留情地斥责对方。\n因此被众人畏惧地视作规则守护者。\n从小努力学习，名列前茅，\n但他厌倦了父母给他规定好的人生，\n离家出走，跑到了阿瓦隆森林。\n结果被妖精抓住，变成了人魂，\n如今他十分后悔当初离家出走，\n对“守规矩，照别人说的做。”\n非同一般地执着。
ARC_ARCHIVE_HITODAMA_TXT_0003	身高：比4个大型齿轮多一点\n体重：3个半小型齿轮\n性格：阴阳怪气\n兴趣：演奏乐器\n\n齿轮仔是个说话阴阳怪气的人魂。\n他一向带着偏见看待世间万物，\n认为任何事情背后都有阴谋。\n只有在演奏自己喜欢的乐器时，\n他才会坦率地敞开心扉。\n当然，想在森林里弄到乐器几乎不可能。\n所以他会收集材料，自己制作乐器。\n他对乐器可不是一般的讲究，\n用有限的材料做出来的乐器，\n就连细节部位都十分精致。\n遗憾的是，他并没有演奏乐器的才能，\n常会制造噪音。\n但任谁看到齿轮仔那么开心的样子，\n都不会再多说什么。
ARC_ARCHIVE_HITODAMA_TXT_0004	身高：3个头上的螺钉\n体重：中等大小的扳手\n性格：窝里横\n兴趣：爬山\n\n栓栓顿是个具有两面性的人魂。\n对熟人、特别是比自己弱的人，他态度强横。\n但对陌生人或者比自己强的人就会态度谦恭。\n人魂都知道他这种性格，是出了名的窝里横，\n但他本人对此毫无自知之明。\n据喜好爬山的栓栓顿所说，想要安全地\n爬完全程，必须要有明确的上下级关系。\n他的性格或许是他特有的一种处世方式吧。\n另外，栓栓顿是个路痴，\n所以他生前的爬山成功率并不算高。\n最近他在秘密基地中征集兴趣相投的人，\n打算建立一支“栓栓顿探险队”，\n但目前还没有人报名参加。
ARC_ARCHIVE_HITODAMA_TXT_0005	身高：能吸引小猫的高度\n体重：能迷倒可爱女生的重量\n性格：自恋\n兴趣：自我提升\n\n能毫无顾忌地说出自己爱自己，\n也被他人所爱的人魂，那就是扣扣。\n他总是出言不逊，在周围晃来晃去，\n但不知为何他身上有一种神奇的魅力，\n几乎没有人魂会说他的坏话。\n不过这也是理所当然，因为他一直在\n别人看不见的地方努力提升自己。\n注意饮食平衡，好让灵体更加闪闪发光，\n身上的锁链始终擦得一尘不染。\n甚至还会锻炼身体，让自己不会错过\n从妖精手中救下人魂的绝佳机会。\n但他从不告诉别人这些，\n因为他被人所爱是理所当然的。
ARC_ARCHIVE_HITODAMA_TXT_0006	身高：40根大头针\n体重：3根缝衣针\n性格：神经质\n兴趣：缝纫\n\n人魂的衣服全由大头针一人负责。\n人魂的面罩是妖精们给戴的，\n放着不管的话就会变得破破烂烂。\n为了防止面罩损坏，大头针会用伙伴从森林\n捡来的材料，缝补人魂们的面罩进行修复。\n她工作时极为认真细致，深受好评，\n但由于其神经质的性格，进展十分缓慢。\n她一定要用品质够格的针和线，\n且每一针的间隔稍有不对就会拆掉重来。\n所以排队等她修补面罩的人魂数量极多。\n这让越来越多的人魂对面罩的轻微破损\n表示不在意。
ARC_ARCHIVE_HITODAMA_TXT_0007	身高：1个锤子\n体重：和锤柄差不多\n性格：淘气包\n兴趣：野营\n\n即便在人魂中，敲碎碎也显得格外淘气。\n他从不知疲累，整天都在森林里跑来跑去。\n钉在头上的锤子对他来说也是把称手的武器，\n他总是半开玩笑地用锤子锤旁边的人魂。\n当然每次都会惹对方生气，\n但或许因为他变成人魂时年龄太小，\n总是不知反省，第二天就又跟没事人似的\n继续朝别人挥下锤子。\n总之他非常喜欢在大自然中嬉戏，\n森林对他来说是个很理想的地方。\n他喜欢野营，非常享受在森林里的生活，\n这让其他人魂在心里对他羡慕不已。
ARC_ARCHIVE_HITODAMA_TXT_0008	身高：和弓差不多\n体重：和箭差不多\n性格：暴躁易怒\n兴趣：狩猎\n\n汉宾罗曾是个勇敢的猎人。\n他奔走于森林，以手中的弓箭捕猎过无数猎物。\n他对自己的力量很有自信，\n甚至认为这世上没有他猎不到的东西。\n正义感极强的他听说神隐的罪魁祸首是妖精后，\n将其定为下一个目标，踏入了阿瓦隆森林。\n然而，他的决定大错特错。\n他引以为豪的弓箭伤不了妖精分毫，\n本以为是猎物的妖精反过来开始追击他。\n对于生来就是猎人的汉宾罗来说，\n逃跑这个行为本身就意味着耻辱。\n如今化作人魂的他，依然对妖精心怀愤恨。\n他将射入自己后脑的箭当作复仇的证明，\n夜以继日地狩猎小动物锻炼自己，\n以获得足以打倒妖精的力量。
ARC_ARCHIVE_HITODAMA_TXT_0009	身高：和女演员一样（自称）\n体重：机密\n性格：盛气凌人\n兴趣：购物\n\n影后是一个自称女演员的人魂。\n似乎对自己的美貌很有自信，\n可惜由于戴着面罩，\n至今无人得见其美丽容颜。\n“连妖精都抵抗不了我的美貌”是她的口头禅。\n可既然她已经变成了人魂，\n就说明妖精们根本没把她当一回事。\n性格盛气凌人，喜欢差遣周围的人魂。\n她喜欢购物，但由于森林里无法购物，\n就让别人替她收集看起来很贵的东西来收藏。\n当然，人魂们大可以拒绝她。\n但她若是以取下面罩为条件，\n好奇她长相的人魂还是会忍不住任她差遣。\n再重复一遍，从来没人见过她的脸。
ARC_ARCHIVE_HITODAMA_TXT_0010	身高：和故乡的公园雕像差不多高\n体重：跟母亲做的苹果派差不多重\n性格：我行我素\n兴趣：绘画\n\n钉钉眼曾是个痴迷画画的少年。\n他会将见到的风景烙入眼底，绘于画布。\n钉钉眼的母亲对他的画赞不绝口，\n常给他烤美味的苹果派吃。\n然而，将阿瓦隆森林选作绘画题材的\n钉钉眼最终化为了人魂，失去了光明。\n即便如此，他对绘画的热情并未消失。\n他每天都会在伙伴撕下来的妖精传单上\n画下浮现在红色视野中的过去的景象，\n以及他想象中的并不存在的风景。\n虽然他无法再亲眼看见自己的画作，\n但只要伙伴们开心，他就会一直画下去。\n钉钉眼并不知道，由于人魂没有眼球，\n只要拔下钉子他就能重获光明。
ARC_ARCHIVE_HITODAMA_TXT_0011	身高：6副眼镜\n体重：1片镜片\n性格：天真无邪\n兴趣：探险游戏、唱歌\n\n圆圆是个天真无邪的活泼男孩子。\n痴迷于唱歌和探险，经常哼着歌\n在秘密基地附近探险。\n说是探险，也不是那种真正的探险，\n只不过是看见些新奇东西就大呼小叫一番，\n但圆圆对此非常认真。\n他认为自己探险的成果关乎到人魂的命运，\n因此每天都在全力以赴地忙着探险。\n他戴着的眼镜是捡来的，没有度数。\n但圆圆非常珍惜这副眼镜，\n认为它可以帮助自己找到宝物。\n他为提升探险士气而写的《人魂探险队之歌》\n深受好评，让越来越多的人魂越听越上瘾，\n悄悄地唱起来。
ARC_ARCHIVE_HITODAMA_TXT_0012	身高：4个箱子\n体重：2个箱子\n性格：内向怯懦\n兴趣：捉迷藏\n\n纸箱仔是个头上套着纸箱的人魂。\n对于内向怯懦的他来说，\n有东西能把自己藏起来这一事实，\n可以让内心获得极大的安宁，\n所以无论何时他都不会摘下头上的纸箱。\n这个纸箱从很久以前一直用到现在，\n已经非常破旧，到处都是修补的痕迹。\n即便如此，纸箱仔仍然不愿换成别的纸箱，\n因为这是他从前在森林里遇到的人魂给他的。\n他喜欢捉迷藏，技术也相当出类拔萃，\n只要他认真藏，就极难把他找出来。\n但他头上套着的纸箱在森林里很显眼。\n所以从结果上来讲，\n找到他的难度和其他人魂其实差不多。
ARC_ARCHIVE_HITODAMA_TXT_0013	身高：伟大的高度\n体重：有存在感的重量\n性格：疑心重重\n兴趣：写诗、唱歌\n\n烛娃娃拥有自己独有的世界。\n他自称是“高次元生物”，\n行为古怪，举行所谓的“仪式”。\n有时候还会疏远其他人魂，\n从早到晚一个人唱一整天的歌。\n他会变成这样，\n是因为曾被视作挚友的人魂背叛。\n从那以后，他不再信任他人，\n通过古怪的行为让周围的人魂不要靠近他。\n但其实他心性纯粹，写的诗歌通俗易懂，\n天真烂漫。他的歌声也十分空灵，\n据说甚至有人魂来悄悄听他唱歌。\n在人魂秘密基地的伙伴们的温暖包围中，\n他心中的坚冰在一点点融化。
ARC_ARCHIVE_HITODAMA_TXT_0014	身高：4块趁手的菜板\n体重：和常用的菜刀差不多\n性格：顾家\n兴趣：做饭\n\n趣小子对做饭的热爱在人魂中数一数二。\n他能将在森林里采到的各种材料做成\n美味的饭菜，因此人魂们都把他当宝。\n他自己也打心底里热爱做饭，\n看到大家美美地享用自己做的饭菜，\n心里开心得不得了。\n他从小便热衷于探寻全新的味道，\n为寻找未知的食材而踏入了阿瓦隆森林。\n他本人的想法十分乐观，\n变成人魂后就算试吃再多东西也不会发胖，\n所以他觉得这样也不错。\n要说他唯一的缺点，\n那就是过于追求全新的味道，\n会让人去吃来路不明的植物。
ARC_ARCHIVE_HITODAMA_TXT_0015	身高：和苏门白酒草差不多\n体重：和风滚草差不多\n性格：好奇心旺盛\n兴趣：观察生物\n\n绿绿是一名热爱一切生物的学者。\n他内心纯粹，一心只想研究生物，\n这一点在变成人魂后也没有任何改变。\n一有空闲时间，他就跑到森林里观察，记笔记。\n这一串行为是他生存的意义，\n也是他存在的理由。\n就连夺去他性命的妖精都是他观察的对象。\n他时常会不顾生命危险去观察妖精的生态。\n在生前，他的好奇心之强就远超常人，\n抛下身为学者的地位，造访阿瓦隆森林，\n只为邂逅未知的生物。\n他运用自己的知识教导伙伴们如何辨别植物，\n但可惜内容过于专业，十分晦涩难懂。
ARC_ARCHIVE_HITODAMA_TXT_0016	身高：和短钓竿一样\n体重：和木制的假饵差不多重\n性格：包打听\n兴趣：传闻\n\n鱼钩钩是个特别喜欢传闻的人魂。\n他认为确切的消息不够浪漫，\n不够确切的消息才是他的最爱。\n他常会因为轻信了假情报而自食恶果，\n但他本人坚称这也是传闻的乐趣之一。\n在秘密基地里自称能干的记者，\n以采访的名义到处向人魂打听不靠谱的故事。\n甚至在人魂们制作的人魂通讯中\n执笔了一个连载栏目。\n他的报道将传闻进一步加工，\n被人魂们当成了一种消遣读物。\n最近为了打听到更加刺激的传闻，\n他在考虑去找妖精突击采访。\n但显然，他并不懂妖精的语言。
ARC_ARCHIVE_HITODAMA_TXT_0017	身高：和小型金枪鱼差不多\n体重：比稻田鱼重一些\n性格：粗心大意\n兴趣：钓鱼\n\n钓鱼的话就交给鱼骨仔吧。\n鱼骨仔最喜欢钓鱼了，\n秘密基地的食材也由他负责获取。\n他的钓鱼技术高超，\n每三次就能有一次带回大量鲜鱼。\n虽然每次他都能钓起很多鱼来，\n但有时会因为过于专心钓鱼，\n没发现钓到的鱼都被动物偷走。\n有时会在回来的路上迷路导致鱼都烂掉，\n总是难以顺利将鱼带回基地。\n咬在头上的鱼骨头是因为有一次他想用\n自己为饵钓大鱼，这就是那时候留下的。\n随便马虎、粗心大意、冒冒失失……\n用这些词语来形容他正合适，\n但这些缺点也正是他的魅力所在。
ARC_ARCHIVE_HITODAMA_TXT_0018	身高：还在长身体所以不许问！\n体重：（应该）每天都在成长！\n性格：大大咧咧\n兴趣：锻炼\n\n胶带仔是个脸上缠着绷带的女孩子。\n缠绷带是为了遮住每日高强度训练中所受的伤。\n她想要变强，强到不会输给任何人，\n为此，她夜以继日地锻炼身体。\n她的最终目标是成为最强的人魂。\n但她目前的实力还远远不够，\n每次去挑战实力较强的人魂都会败北，\n给脸上不断增添新伤。\n她有些大大咧咧，会擅自把秘密基地的\n游乐设施改造成锻炼器材然后放置不管。\n这让使用游乐设施的人魂们在不知不觉间\n锻炼了身体，所以她从不缺比试的对手。
ARC_ARCHIVE_HITODAMA_TXT_0019	身高：122.624厘米\n体重：21.262克\n性格：心思细腻\n兴趣：打扫\n\n大钉钉的头上和身上插着钉子。\n他心思细腻，做事细致入微。\n尤其是他的兴趣爱好——打扫，\n最能发挥他的真本事。\n从容易被忽视的角落灰尘到陈年污垢，\n他都能清除得一干二净，\n所以被他打扫过的地方会看起来焕然一新。\n但他有些过于仔细，\n并且会用自己的标准去要求别人，\n因此跟他一起打扫的人魂总会十分辛劳。\n光看外表，容易被误会成粗枝大叶的性格，\n他本人也十分在意这点。\n最近在努力减肥，但很遗憾，\n人魂的体型并不会变化。
ARC_ARCHIVE_HITODAMA_TXT_0020	身高：2个头盔\n体重：5个头盔\n性格：顽固\n兴趣：收集化石\n\n铁头是个固执己见的人魂。\n他对自己的主张深信不疑，\n不管身处何种状况，\n不管其他人魂说了什么，\n他都坚持自己的主张不动摇。\n要是有人站在他的对立面，\n他就会用天生的石头脑袋和头上的半个头盔，\n以猛力的头槌招呼对方。\n他喜欢收集化石，\n在阿瓦隆森林格外喜欢收集妖精的化石。\n他收藏的化石已经达到惊人的数量，\n而他对此似乎有独到的见解。\n一旦提起这个话题就不得不听他滔滔不绝的\n化石讲座，持续时间短则数小时，长则数天，\n一定要小心。
ARC_ARCHIVE_HITODAMA_TXT_0021	身高：8顶高筒礼帽\n体重：绅士的重量\n性格：虚荣\n兴趣：做帽子、唱歌\n\n最为看重自己在他人眼中的形象，\n这就是人魂——顶尖绅士。\n喜欢引人注目，\n那顶高筒礼帽便是最明显的标志。\n此外，他喜欢大声唱歌引起其他人魂的注意，\n一有机会就打着公演的名义展现自己的歌喉。\n头上的礼帽是他亲手制作的，\n其实每天戴的都是不同的帽子。\n但由于每一顶他都做成了心中最显眼的样子，\n所以看上去都一模一样。\n能将每顶帽子做得分毫不差，\n这已经算是一种天赋了。\n为了引人注目，他不吝付出任何努力。
ARC_ARCHIVE_HITODAMA_TXT_0022	身高：5把锯子\n体重：1根木材\n性格：粗枝大叶\n兴趣：木匠\n\n锯锯牙是个人魂木匠。\n他主要的工作是使用人魂们收集来的材料\n改良游乐设施，让秘密基地更加适宜居住。\n阿瓦隆森林里不缺木材，\n让他能够尽情地发挥本领。\n然而美中不足的是，他做事有些粗枝大叶，\n比如有的地方会尺寸不够，\n有时又会做得太大导致碍事等等，\n他的工作质量总是不太稳定。\n不过他自孩童时期起便被父母灌输的木匠技术\n实乃一流，毫无疑问对秘密基地的发展做出了\n卓越贡献。头上的锯子是妖精插进去的，\n但这锯子还挺好用，常被他用来干活。
ARC_ARCHIVE_HITODAMA_TXT_0023	身高：24个黑麦面包\n体重：42斤吐司\n性格：贪吃鬼\n兴趣：吃饭、唱歌\n\n吃饭大过天，没东西吃还不如去死。\n诺兰就是个抱有如此想法的贪吃鬼。\n他的一天非常简单，\n不是在吃东西，就是在寻找食物的路上。\n吃到好吃的东西，他就会满脸幸福地唱起歌来，\n所以有不少人魂会不由自主地给他送上吃的。\n因为他吃得太多，体内积蓄的能量相当可观，\n所以常常被妖精们盯上。\n但是诺兰肚子饿时，浑身会散发出厉害的气场，\n让低级妖精感到忌惮，所以至今平安无事。\n总之，不要接近饿肚子的诺兰。
ARC_ARCHIVE_HITODAMA_TXT_0024	身高：不详\n体重：不详\n性格：沉默寡言\n兴趣：不详\n\n只知道他存在于此，此外一切不详，\n这就是名叫大鼻子的人魂。\n不知何时起住在了人魂秘密基地，\n也不知是为何才来到了这座森林。\n就连大鼻子这个名字也是别的人魂\n给他起的昵称，并非他的本名。\n一切都是因为他沉默寡言的性格……\n应该说，他除了呻吟根本发不出别的声音。\n通过他的比划勉强能明白他的意思，\n而且人魂们或多或少背负着悲惨的过去。\n其他人魂考虑到他或许也有不想说的过去，\n所以不会深入追问。\n目前，尚无人注意到\n他嘴里被刑具塞了个严实。
ARC_ARCHIVE_HITODAMA_TXT_0025	身高：和身上插着的飞镖总和差不多\n体重：和身上插着的飞镖总和差不多\n性格：见风使舵\n兴趣：飞镖\n\n朋克小子是个身上插满了飞镖，\n性格见风使舵的人魂。\n他曾经被妖精们当作飞镖的靶子，\n对此有心理阴影。\n为了避免相同的事情再次发生，\n他学会了察言观色，讨好他人。\n但他似乎并不讨厌飞镖本身，\n他会把妖精们的肖像画贴在靶子上，\n每天以此泄愤。\n见到这一幕的人魂们对他感到畏惧，\n私底下在说绝对不能惹怒朋克小子。\n目前，他生活得还算幸福。\n这份幸福究竟是因为其见风使舵的性格，\n还是因为飞镖引发了人们的畏惧呢？\n唯有天知道。
ARC_ARCHIVE_HITODAMA_TXT_0026	身高：容易亲近的大小哦\n体重：少女的秘·密\n性格：慈悲心肠\n兴趣：祈祷\n\n环环是个体态丰盈的人魂，\n身上戴着仿制的光环和羽翼。\n对谁都十分友善，甚至有些自来熟，\n任何时候都面带微笑。\n她有着一副慈悲心肠，\n每天都会为所有人的幸福祈祷，\n从未懈怠过一天。\n即便大部分人魂都对妖精感到畏惧和痛恨，\n她也期望着与妖精和解。\n为了有机会和妖精交流，\n她还在考虑学习妖精的语言。\n她原本出生于一个战乱不断的国家，\n为了追求和平才造访了阿瓦隆森林。\n希冀着真正的和平终有一日会到来，\n她以积极开朗的态度过着每一天。
