CommonMsg\CuiMsgWin.msbt
Msg_Network_Error	发生连接错误。
Area03_Analyze02_T1	、·匚、才、匕羡鱿、莜飒卜、忒、娑娑育爨犸。“矣嘧搔、又柄、柒、娑螟木·&·-·&、夕、&、熙匕、又、莜、娑邯口力。”\n茨邯口力、木忒读匕、犸木莜、·口、→夕兀、娑螟蚜木、&、忒、二、、、娑。”\n、肆、兀、又、犸、·、·才、茹娑·兀。“·茈·鬣矣、廾、汐、莫羡鱿芥阿、茨医”、二、工、遥“羡鱿、莎卜、忒、娑娑育爨。”
Area03_Analyze03_Title	新的天空
Area03_Analyze03_T0	一位幻界的科学家成功使用鱿鱼的体液制造出了液晶。\n这种液晶会对生物所发出的微弱电波产生反应，从而改变颜色。\n忒犸啬螟口口才、·“莫羡鱿芥阿、羡鱿、莜、二、、、茨、兀、礻、蚜、又、莜、廾、、衲仂忒犸、匕、廾、忒、娑。”
Area03_Analyze03_T1	、·匚、才、匕羡鱿、莜飒卜、忒、娑娑育爨犸。“矣嘧搔、又柄、柒、娑螟木·&·-·&、夕、&、熙匕、又、莜、娑邯口力。”\n茨邯口力、木忒读匕、犸木莜、·口、→夕兀、娑螟蚜木、&、忒、二、、、娑。”\n、肆、兀、又、犸、·、·才、茹娑·兀。“·茈·鬣矣、廾、汐、莫羡鱿芥阿、茨医”、二、工、遥“羡鱿、莎卜、忒、娑娑育爨。”
Area03_Analyze04_Title	新的天空
Area03_Analyze04_T0	一位幻界的科学家成功使用鱿鱼的体液制造出了液晶。\n这种液晶会对生物所发出的微弱电波产生反应，从而改变颜色。\n于是，梦幻液晶完成了，它能分析观看者的脑电波，映射出其想要看到的事物。
Area03_Analyze04_T1	、·匚、才、匕羡鱿、莜飒卜、忒、娑娑育爨犸。“矣嘧搔、又柄、柒、娑螟木·&·-·&、夕、&、熙匕、又、莜、娑邯口力。”\n茨邯口力、木忒读匕、犸木莜、·口、→夕兀、娑螟蚜木、&、忒、二、、、娑。”\n、肆、兀、又、犸、·、·才、茹娑·兀。“·茈·鬣矣、廾、汐、莫羡鱿芥阿、茨医”、二、工、遥“羡鱿、莎卜、忒、娑娑育爨。”
Area03_Analyze05_Title	新的天空
Area03_Analyze05_T0	一位幻界的科学家成功使用鱿鱼的体液制造出了液晶。\n这种液晶会对生物所发出的微弱电波产生反应，从而改变颜色。\n于是，梦幻液晶完成了，它能分析观看者的脑电波，映射出其想要看到的事物。
Area03_Analyze05_T1	梦幻液晶进入量产阶段后，幻界的内壁便布满了这种液晶。\n茨邯口力、木忒读匕、犸木莜、·口、→夕兀、娑螟蚜木、&、忒、二、、、娑。”\n、肆、兀、又、犸、·、·才、茹娑·兀。“·茈·鬣矣、廾、汐、莫羡鱿芥阿、茨医”、二、工、遥“羡鱿、莎卜、忒、娑娑育爨。”
Area03_Analyze06_Title	新的天空
Area03_Analyze06_T0	一位幻界的科学家成功使用鱿鱼的体液制造出了液晶。\n这种液晶会对生物所发出的微弱电波产生反应，从而改变颜色。\n于是，梦幻液晶完成了，它能分析观看者的脑电波，映射出其想要看到的事物。
Area03_Analyze06_T1	梦幻液晶进入量产阶段后，幻界的内壁便布满了这种液晶。\n液晶接受了人类的心愿，映射出了他们曾在陆地上所见到的景色。\n、肆、兀、又、犸、·、·才、茹娑·兀。“·茈·鬣矣、廾、汐、莫羡鱿芥阿、茨医”、二、工、遥“羡鱿、莎卜、忒、娑娑育爨。”
Area03_Analyze07_Title	新的天空
Area03_Analyze07_T0	一位幻界的科学家成功使用鱿鱼的体液制造出了液晶。\n这种液晶会对生物所发出的微弱电波产生反应，从而改变颜色。\n于是，梦幻液晶完成了，它能分析观看者的脑电波，映射出其想要看到的事物。
Area03_Analyze07_T1	梦幻液晶进入量产阶段后，幻界的内壁便布满了这种液晶。\n液晶接受了人类的心愿，映射出了他们曾在陆地上所见到的景色。\n人类在地底被困了25年，终于再次见到了天空。
CommonMsg\Mission\AlternaLog04.msbt
Area04_Hidden_L01	育爨蠖欹隍、、匕、隍·犸啬螟莫羡鱿芥阿、蠖茨娑、蚜芾孥纥。”
Area04_Hidden_L02	矣嘧搔、蠖仝育?嘧、莎、笏冂蠕匚、廾、汐、蠖铪廾一口、簇了卅、匕才、兀、遥“莫羡鱿芥阿、蠖茨医双朋、才、莜。”
Area04_Hidden_L03	忒犸啬螟口口才、·“莫羡鱿芥阿、羡鱿、莜、二、、、茨、兀、礻、蚜、又、莜、廾、、衲仂忒犸、匕、廾、忒、娑。”
Area04_Hidden_L04	、·匚、才、匕羡鱿、莜飒卜、忒、娑娑育爨犸。“矣嘧搔、又柄、柒、娑螟木·&·-·&、夕、&、熙匕、又、莜、娑邯口力。”
Area04_Hidden_L05	茨邯口力、木忒读匕、犸木莜、·口、→夕兀、娑螟蚜木、&、忒、二、、、娑。”
Area04_Hidden_L06	、肆、兀、又、犸、·、·才、茹娑·兀。“·茈·鬣矣、廾、汐、莫羡鱿芥阿、茨医”、二、工、遥“羡鱿、莎卜、忒、娑娑育爨。”
Area04_Hidden_L07	、·匚、才、匕羡鱿、莜飒卜、忒、娑娑育爨犸。“矣嘧搔、又柄、娑螟木·&·-·&、鱿、&、熙匕、又、娑邯。”
Area04_Hidden_L08	育爨蠖欹隍、、匕、隍·犸啬螟莫羡鱿芥阿、蠖茨娑、蚜芾孥纥。”
Area04_Hidden_L09	矣嘧搔、蠖仝育?嘧、莎、笏冂蠕匚、廾、汐、蠖铪廾一口、簇了卅、匕才、兀、遥“莫羡鱿芥阿、蠖茨医双朋、才、莜。”
Area04_Hidden_L10	忒犸啬螟口口才、·“莫羡鱿芥阿、羡鱿、莜、二、、、茨、兀、礻、蚜、又、莜、廾、、衲仂忒犸、匕、廾、忒、娑。”
Area04_Hidden_L11	、·匚、才、匕羡鱿、莜飒卜、忒、娑娑育爨犸。“矣嘧搔、又柄、柒、娑螟木·&·-·&、夕、&、熙匕、又、莜、娑邯口力。”
Area04_Hidden_L12	茨邯口力、木忒读匕、犸木莜、·口、→夕兀、娑螟蚜木、&、忒、二、、、娑。”
Area04_Analyzed_Title	人类的灭绝
Area04_Analyzed_L01	人类移居至幻界已经多年，人口也逐渐增多。
Area04_Analyzed_L02	年迈的科学家们认为仅凭他们无法继续支撑这个幻界社会。
Area04_Analyzed_L03	他们便从市民中选出能力突出的人来负责幻界的部分管理工作。
Area04_Analyzed_L04	此外，科学家们还费尽心血为拥有才能的年轻人提供教育，将他们的知识与技术倾囊相授。
Area04_Analyzed_L05	在幻界长大的新一代科学家们都十分优秀，并且充满了好奇心。
Area04_Analyzed_L06	他们渐渐开始渴望真正的天空，而不是液晶所映射出的人造天空。
Area04_Analyzed_L07	于是，年轻的科学家们便计划着离开被污染的地球，寻找新家园。
Area04_Analyzed_L08	为此，他们不顾老一辈科学家的反对，完成了火箭的建造。
Area04_Analyzed_L09	然而在火箭发射的最终测试阶段，推进器试运行时，悲剧发生了。
Area04_Analyzed_L10	幻界内壁的液晶受强大能量的影响，突然失控。
Area04_Analyzed_L11	部分内壁因此而崩塌，直接砸在了居住区。
Area04_Analyzed_L12	赖以生存的基础设施遭受毁灭性打击，人类就此走向灭绝。
Area04_Analyze01_Title	人类的灭绝
Area04_Analyze01_T0	育爨蠖欹隍、、匕、隍·犸啬螟莫羡鱿芥阿、蠖茨娑、蚜芾孥纥。”\n矣嘧搔、蠖仝育?嘧、莎、笏冂蠕匚、廾、汐、蠖铪廾一口、簇了卅、匕才、兀、遥“莫羡鱿芥阿、蠖茨医双朋、才、莜。”\n忒犸啬螟口口才、·“莫羡鱿芥阿、羡鱿、莜、二、、、茨、兀、礻、蚜、又、莜、廾、、衲仂忒犸、匕、廾、忒、娑。”\n、·匚、才、匕羡鱿、莜飒卜、忒、娑娑育爨犸。“矣嘧搔、又柄、柒、娑螟木·&·-·&、夕、&、熙匕、又、莜、娑邯口力。”\n茨邯口力、木忒读匕、犸木莜、·口、→夕兀、娑螟蚜木、&、忒、二、、、娑。”\n、肆、兀、又、犸、·、·才、茹娑·兀。“·茈·鬣矣、廾、汐、莫羡鱿芥阿、茨医”、二、工、遥“羡鱿、莎卜、忒、娑娑育爨。”
Area04_Analyze01_T1	、·匚、才、匕羡鱿、莜飒卜、忒、娑娑育爨犸。“矣嘧搔、又柄、娑螟木·&·-·&、鱿、&、熙匕、又、娑邯。”\n育爨蠖欹隍、、匕、隍·犸啬螟莫羡鱿芥阿、蠖茨娑、蚜芾孥纥。”\n矣嘧搔、蠖仝育?嘧、莎、笏冂蠕匚、廾、汐、蠖铪廾一口、簇了卅、匕才、兀、遥“莫羡鱿芥阿、蠖茨医双朋、才、莜。”\n忒犸啬螟口口才、·“莫羡鱿芥阿、羡鱿、莜、二、、、茨、兀、礻、蚜、又、莜、廾、、衲仂忒犸、匕、廾、忒、娑。”\n、·匚、才、匕羡鱿、莜飒卜、忒、娑娑育爨犸。“矣嘧搔、又柄、柒、娑螟木·&·-·&、夕、&、熙匕、又、莜、娑邯口力。”\n茨邯口力、木忒读匕、犸木莜、·口、→夕兀、娑螟蚜木、&、忒、二、、、娑。”
Area04_Analyze02_Title	人类的灭绝
Area04_Analyze02_T0	人类移居至幻界已经多年，人口也逐渐增多。\n矣嘧搔、蠖仝育?嘧、莎、笏冂蠕匚、廾、汐、蠖铪廾一口、簇了卅、匕才、兀、遥“莫羡鱿芥阿、蠖茨医双朋、才、莜。”\n忒犸啬螟口口才、·“莫羡鱿芥阿、羡鱿、莜、二、、、茨、兀、礻、蚜、又、莜、廾、、衲仂忒犸、匕、廾、忒、娑。”\n、·匚、才、匕羡鱿、莜飒卜、忒、娑娑育爨犸。“矣嘧搔、又柄、柒、娑螟木·&·-·&、夕、&、熙匕、又、莜、娑邯口力。”\n茨邯口力、木忒读匕、犸木莜、·口、→夕兀、娑螟蚜木、&、忒、二、、、娑。”\n、肆、兀、又、犸、·、·才、茹娑·兀。“·茈·鬣矣、廾、汐、莫羡鱿芥阿、茨医”、二、工、遥“羡鱿、莎卜、忒、娑娑育爨。”
Area04_Analyze02_T1	、·匚、才、匕羡鱿、莜飒卜、忒、娑娑育爨犸。“矣嘧搔、又柄、娑螟木·&·-·&、鱿、&、熙匕、又、娑邯。”\n育爨蠖欹隍、、匕、隍·犸啬螟莫羡鱿芥阿、蠖茨娑、蚜芾孥纥。”\n矣嘧搔、蠖仝育?嘧、莎、笏冂蠕匚、廾、汐、蠖铪廾一口、簇了卅、匕才、兀、遥“莫羡鱿芥阿、蠖茨医双朋、才、莜。”\n忒犸啬螟口口才、·“莫羡鱿芥阿、羡鱿、莜、二、、、茨、兀、礻、蚜、又、莜、廾、、衲仂忒犸、匕、廾、忒、娑。”\n、·匚、才、匕羡鱿、莜飒卜、忒、娑娑育爨犸。“矣嘧搔、又柄、柒、娑螟木·&·-·&、夕、&、熙匕、又、莜、娑邯口力。”\n茨邯口力、木忒读匕、犸木莜、·口、→夕兀、娑螟蚜木、&、忒、二、、、娑。”
Area04_Analyze03_Title	人类的灭绝
Area04_Analyze03_T0	人类移居至幻界已经多年，人口也逐渐增多。\n年迈的科学家们认为仅凭他们无法继续支撑这个幻界社会。\n忒犸啬螟口口才、·“莫羡鱿芥阿、羡鱿、莜、二、、、茨、兀、礻、蚜、又、莜、廾、、衲仂忒犸、匕、廾、忒、娑。”\n、·匚、才、匕羡鱿、莜飒卜、忒、娑娑育爨犸。“矣嘧搔、又柄、柒、娑螟木·&·-·&、夕、&、熙匕、又、莜、娑邯口力。”\n茨邯口力、木忒读匕、犸木莜、·口、→夕兀、娑螟蚜木、&、忒、二、、、娑。”\n、肆、兀、又、犸、·、·才、茹娑·兀。“·茈·鬣矣、廾、汐、莫羡鱿芥阿、茨医”、二、工、遥“羡鱿、莎卜、忒、娑娑育爨。”
Area04_Analyze03_T1	、·匚、才、匕羡鱿、莜飒卜、忒、娑娑育爨犸。“矣嘧搔、又柄、娑螟木·&·-·&、鱿、&、熙匕、又、娑邯。”\n育爨蠖欹隍、、匕、隍·犸啬螟莫羡鱿芥阿、蠖茨娑、蚜芾孥纥。”\n矣嘧搔、蠖仝育?嘧、莎、笏冂蠕匚、廾、汐、蠖铪廾一口、簇了卅、匕才、兀、遥“莫羡鱿芥阿、蠖茨医双朋、才、莜。”\n忒犸啬螟口口才、·“莫羡鱿芥阿、羡鱿、莜、二、、、茨、兀、礻、蚜、又、莜、廾、、衲仂忒犸、匕、廾、忒、娑。”\n、·匚、才、匕羡鱿、莜飒卜、忒、娑娑育爨犸。“矣嘧搔、又柄、柒、娑螟木·&·-·&、夕、&、熙匕、又、莜、娑邯口力。”\n茨邯口力、木忒读匕、犸木莜、·口、→夕兀、娑螟蚜木、&、忒、二、、、娑。”
Area04_Analyze04_Title	人类的灭绝
Area04_Analyze04_T0	人类移居至幻界已经多年，人口也逐渐增多。\n年迈的科学家们认为仅凭他们无法继续支撑这个幻界社会。\n他们便从市民中选出能力突出的人来负责幻界的部分管理工作。\n、·匚、才、匕羡鱿、莜飒卜、忒、娑娑育爨犸。“矣嘧搔、又柄、柒、娑螟木·&·-·&、夕、&、熙匕、又、莜、娑邯口力。”\n茨邯口力、木忒读匕、犸木莜、·口、→夕兀、娑螟蚜木、&、忒、二、、、娑。”\n、肆、兀、又、犸、·、·才、茹娑·兀。“·茈·鬣矣、廾、汐、莫羡鱿芥阿、茨医”、二、工、遥“羡鱿、莎卜、忒、娑娑育爨。”
Area04_Analyze04_T1	、·匚、才、匕羡鱿、莜飒卜、忒、娑娑育爨犸。“矣嘧搔、又柄、娑螟木·&·-·&、鱿、&、熙匕、又、娑邯。”\n育爨蠖欹隍、、匕、隍·犸啬螟莫羡鱿芥阿、蠖茨娑、蚜芾孥纥。”\n矣嘧搔、蠖仝育?嘧、莎、笏冂蠕匚、廾、汐、蠖铪廾一口、簇了卅、匕才、兀、遥“莫羡鱿芥阿、蠖茨医双朋、才、莜。”\n忒犸啬螟口口才、·“莫羡鱿芥阿、羡鱿、莜、二、、、茨、兀、礻、蚜、又、莜、廾、、衲仂忒犸、匕、廾、忒、娑。”\n、·匚、才、匕羡鱿、莜飒卜、忒、娑娑育爨犸。“矣嘧搔、又柄、柒、娑螟木·&·-·&、夕、&、熙匕、又、莜、娑邯口力。”\n茨邯口力、木忒读匕、犸木莜、·口、→夕兀、娑螟蚜木、&、忒、二、、、娑。”
Area04_Analyze05_Title	人类的灭绝
Area04_Analyze05_T0	人类移居至幻界已经多年，人口也逐渐增多。\n年迈的科学家们认为仅凭他们无法继续支撑这个幻界社会。\n他们便从市民中选出能力突出的人来负责幻界的部分管理工作。\n此外，科学家们还费尽心血为拥有才能的年轻人提供教育，将他们的知识与技术倾囊相授。\n茨邯口力、木忒读匕、犸木莜、·口、→夕兀、娑螟蚜木、&、忒、二、、、娑。”\n、肆、兀、又、犸、·、·才、茹娑·兀。“·茈·鬣矣、廾、汐、莫羡鱿芥阿、茨医”、二、工、遥“羡鱿、莎卜、忒、娑娑育爨。”
Area04_Analyze05_T1	、·匚、才、匕羡鱿、莜飒卜、忒、娑娑育爨犸。“矣嘧搔、又柄、娑螟木·&·-·&、鱿、&、熙匕、又、娑邯。”\n育爨蠖欹隍、、匕、隍·犸啬螟莫羡鱿芥阿、蠖茨娑、蚜芾孥纥。”\n矣嘧搔、蠖仝育?嘧、莎、笏冂蠕匚、廾、汐、蠖铪廾一口、簇了卅、匕才、兀、遥“莫羡鱿芥阿、蠖茨医双朋、才、莜。”\n忒犸啬螟口口才、·“莫羡鱿芥阿、羡鱿、莜、二、、、茨、兀、礻、蚜、又、莜、廾、、衲仂忒犸、匕、廾、忒、娑。”\n、·匚、才、匕羡鱿、莜飒卜、忒、娑娑育爨犸。“矣嘧搔、又柄、柒、娑螟木·&·-·&、夕、&、熙匕、又、莜、娑邯口力。”\n茨邯口力、木忒读匕、犸木莜、·口、→夕兀、娑螟蚜木、&、忒、二、、、娑。”
Area04_Analyze06_Title	人类的灭绝
Area04_Analyze06_T0	人类移居至幻界已经多年，人口也逐渐增多。\n年迈的科学家们认为仅凭他们无法继续支撑这个幻界社会。\n他们便从市民中选出能力突出的人来负责幻界的部分管理工作。\n此外，科学家们还费尽心血为拥有才能的年轻人提供教育，将他们的知识与技术倾囊相授。\n在幻界长大的新一代科学家们都十分优秀，并且充满了好奇心。\n、肆、兀、又、犸、·、·才、茹娑·兀。“·茈·鬣矣、廾、汐、莫羡鱿芥阿、茨医”、二、工、遥“羡鱿、莎卜、忒、娑娑育爨。”
Area04_Analyze06_T1	、·匚、才、匕羡鱿、莜飒卜、忒、娑娑育爨犸。“矣嘧搔、又柄、娑螟木·&·-·&、鱿、&、熙匕、又、娑邯。”\n育爨蠖欹隍、、匕、隍·犸啬螟莫羡鱿芥阿、蠖茨娑、蚜芾孥纥。”\n矣嘧搔、蠖仝育?嘧、莎、笏冂蠕匚、廾、汐、蠖铪廾一口、簇了卅、匕才、兀、遥“莫羡鱿芥阿、蠖茨医双朋、才、莜。”\n忒犸啬螟口口才、·“莫羡鱿芥阿、羡鱿、莜、二、、、茨、兀、礻、蚜、又、莜、廾、、衲仂忒犸、匕、廾、忒、娑。”\n、·匚、才、匕羡鱿、莜飒卜、忒、娑娑育爨犸。“矣嘧搔、又柄、柒、娑螟木·&·-·&、夕、&、熙匕、又、莜、娑邯口力。”\n茨邯口力、木忒读匕、犸木莜、·口、→夕兀、娑螟蚜木、&、忒、二、、、娑。”
Area04_Analyze07_Title	人类的灭绝
Area04_Analyze07_T0	人类移居至幻界已经多年，人口也逐渐增多。\n年迈的科学家们认为仅凭他们无法继续支撑这个幻界社会。\n他们便从市民中选出能力突出的人来负责幻界的部分管理工作。\n此外，科学家们还费尽心血为拥有才能的年轻人提供教育，将他们的知识与技术倾囊相授。\n在幻界长大的新一代科学家们都十分优秀，并且充满了好奇心。\n他们渐渐开始渴望真正的天空，而不是液晶所映射出的人造天空。
Area04_Analyze07_T1	、·匚、才、匕羡鱿、莜飒卜、忒、娑娑育爨犸。“矣嘧搔、又柄、娑螟木·&·-·&、鱿、&、熙匕、又、娑邯。”\n育爨蠖欹隍、、匕、隍·犸啬螟莫羡鱿芥阿、蠖茨娑、蚜芾孥纥。”\n矣嘧搔、蠖仝育?嘧、莎、笏冂蠕匚、廾、汐、蠖铪廾一口、簇了卅、匕才、兀、遥“莫羡鱿芥阿、蠖茨医双朋、才、莜。”\n忒犸啬螟口口才、·“莫羡鱿芥阿、羡鱿、莜、二、、、茨、兀、礻、蚜、又、莜、廾、、衲仂忒犸、匕、廾、忒、娑。”\n、·匚、才、匕羡鱿、莜飒卜、忒、娑娑育爨犸。“矣嘧搔、又柄、柒、娑螟木·&·-·&、夕、&、熙匕、又、莜、娑邯口力。”\n茨邯口力、木忒读匕、犸木莜、·口、→夕兀、娑螟蚜木、&、忒、二、、、娑。”
Area04_Analyze08_Title	人类的灭绝
Area04_Analyze08_T0	人类移居至幻界已经多年，人口也逐渐增多。\n年迈的科学家们认为仅凭他们无法继续支撑这个幻界社会。\n他们便从市民中选出能力突出的人来负责幻界的部分管理工作。\n此外，科学家们还费尽心血为拥有才能的年轻人提供教育，将他们的知识与技术倾囊相授。\n在幻界长大的新一代科学家们都十分优秀，并且充满了好奇心。\n他们渐渐开始渴望真正的天空，而不是液晶所映射出的人造天空。
Area04_Analyze08_T1	于是，年轻的科学家们便计划着离开被污染的地球，寻找新家园。\n育爨蠖欹隍、、匕、隍·犸啬螟莫羡鱿芥阿、蠖茨娑、蚜芾孥纥。”\n矣嘧搔、蠖仝育?嘧、莎、笏冂蠕匚、廾、汐、蠖铪廾一口、簇了卅、匕才、兀、遥“莫羡鱿芥阿、蠖茨医双朋、才、莜。”\n忒犸啬螟口口才、·“莫羡鱿芥阿、羡鱿、莜、二、、、茨、兀、礻、蚜、又、莜、廾、、衲仂忒犸、匕、廾、忒、娑。”\n、·匚、才、匕羡鱿、莜飒卜、忒、娑娑育爨犸。“矣嘧搔、又柄、柒、娑螟木·&·-·&、夕、&、熙匕、又、莜、娑邯口力。”\n茨邯口力、木忒读匕、犸木莜、·口、→夕兀、娑螟蚜木、&、忒、二、、、娑。”
Area04_Analyze09_Title	人类的灭绝
Area04_Analyze09_T0	人类移居至幻界已经多年，人口也逐渐增多。\n年迈的科学家们认为仅凭他们无法继续支撑这个幻界社会。\n他们便从市民中选出能力突出的人来负责幻界的部分管理工作。\n此外，科学家们还费尽心血为拥有才能的年轻人提供教育，将他们的知识与技术倾囊相授。\n在幻界长大的新一代科学家们都十分优秀，并且充满了好奇心。\n他们渐渐开始渴望真正的天空，而不是液晶所映射出的人造天空。
Area04_Analyze09_T1	于是，年轻的科学家们便计划着离开被污染的地球，寻找新家园。\n为此，他们不顾老一辈科学家的反对，完成了火箭的建造。\n矣嘧搔、蠖仝育?嘧、莎、笏冂蠕匚、廾、汐、蠖铪廾一口、簇了卅、匕才、兀、遥“莫羡鱿芥阿、蠖茨医双朋、才、莜。”\n忒犸啬螟口口才、·“莫羡鱿芥阿、羡鱿、莜、二、、、茨、兀、礻、蚜、又、莜、廾、、衲仂忒犸、匕、廾、忒、娑。”\n、·匚、才、匕羡鱿、莜飒卜、忒、娑娑育爨犸。“矣嘧搔、又柄、柒、娑螟木·&·-·&、夕、&、熙匕、又、莜、娑邯口力。”\n茨邯口力、木忒读匕、犸木莜、·口、→夕兀、娑螟蚜木、&、忒、二、、、娑。”
Area04_Analyze10_Title	人类的灭绝
Area04_Analyze10_T0	人类移居至幻界已经多年，人口也逐渐增多。\n年迈的科学家们认为仅凭他们无法继续支撑这个幻界社会。\n他们便从市民中选出能力突出的人来负责幻界的部分管理工作。\n此外，科学家们还费尽心血为拥有才能的年轻人提供教育，将他们的知识与技术倾囊相授。\n在幻界长大的新一代科学家们都十分优秀，并且充满了好奇心。\n他们渐渐开始渴望真正的天空，而不是液晶所映射出的人造天空。
Area04_Analyze10_T1	于是，年轻的科学家们便计划着离开被污染的地球，寻找新家园。\n为此，他们不顾老一辈科学家的反对，完成了火箭的建造。\n然而在火箭发射的最终测试阶段，推进器试运行时，悲剧发生了。\n忒犸啬螟口口才、·“莫羡鱿芥阿、羡鱿、莜、二、、、茨、兀、礻、蚜、又、莜、廾、、衲仂忒犸、匕、廾、忒、娑。”\n、·匚、才、匕羡鱿、莜飒卜、忒、娑娑育爨犸。“矣嘧搔、又柄、柒、娑螟木·&·-·&、夕、&、熙匕、又、莜、娑邯口力。”\n茨邯口力、木忒读匕、犸木莜、·口、→夕兀、娑螟蚜木、&、忒、二、、、娑。”
Area04_Analyze11_Title	人类的灭绝
Area04_Analyze11_T0	人类移居至幻界已经多年，人口也逐渐增多。\n年迈的科学家们认为仅凭他们无法继续支撑这个幻界社会。\n他们便从市民中选出能力突出的人来负责幻界的部分管理工作。\n此外，科学家们还费尽心血为拥有才能的年轻人提供教育，将他们的知识与技术倾囊相授。\n在幻界长大的新一代科学家们都十分优秀，并且充满了好奇心。\n他们渐渐开始渴望真正的天空，而不是液晶所映射出的人造天空。
Area04_Analyze11_T1	于是，年轻的科学家们便计划着离开被污染的地球，寻找新家园。\n为此，他们不顾老一辈科学家的反对，完成了火箭的建造。\n然而在火箭发射的最终测试阶段，推进器试运行时，悲剧发生了。\n幻界内壁的液晶受强大能量的影响，突然失控。\n、·匚、才、匕羡鱿、莜飒卜、忒、娑娑育爨犸。“矣嘧搔、又柄、柒、娑螟木·&·-·&、夕、&、熙匕、又、莜、娑邯口力。”\n茨邯口力、木忒读匕、犸木莜、·口、→夕兀、娑螟蚜木、&、忒、二、、、娑。”
Area04_Analyze12_Title	人类的灭绝
Area04_Analyze12_T0	人类移居至幻界已经多年，人口也逐渐增多。\n年迈的科学家们认为仅凭他们无法继续支撑这个幻界社会。\n他们便从市民中选出能力突出的人来负责幻界的部分管理工作。\n此外，科学家们还费尽心血为拥有才能的年轻人提供教育，将他们的知识与技术倾囊相授。\n在幻界长大的新一代科学家们都十分优秀，并且充满了好奇心。\n他们渐渐开始渴望真正的天空，而不是液晶所映射出的人造天空。
Area04_Analyze12_T1	于是，年轻的科学家们便计划着离开被污染的地球，寻找新家园。\n为此，他们不顾老一辈科学家的反对，完成了火箭的建造。\n然而在火箭发射的最终测试阶段，推进器试运行时，悲剧发生了。\n幻界内壁的液晶受强大能量的影响，突然失控。\n部分内壁因此而崩塌，直接砸在了居住区。\n茨邯口力、木忒读匕、犸木莜、·口、→夕兀、娑螟蚜木、&、忒、二、、、娑。”
Area04_Analyze13_Title	人类的灭绝
Area04_Analyze13_T0	人类移居至幻界已经多年，人口也逐渐增多。\n年迈的科学家们认为仅凭他们无法继续支撑这个幻界社会。\n他们便从市民中选出能力突出的人来负责幻界的部分管理工作。\n此外，科学家们还费尽心血为拥有才能的年轻人提供教育，将他们的知识与技术倾囊相授。\n在幻界长大的新一代科学家们都十分优秀，并且充满了好奇心。\n他们渐渐开始渴望真正的天空，而不是液晶所映射出的人造天空。
Area04_Analyze13_T1	于是，年轻的科学家们便计划着离开被污染的地球，寻找新家园。\n为此，他们不顾老一辈科学家的反对，完成了火箭的建造。\n然而在火箭发射的最终测试阶段，推进器试运行时，悲剧发生了。\n幻界内壁的液晶受强大能量的影响，突然失控。\n部分内壁因此而崩塌，直接砸在了居住区。\n赖以生存的基础设施遭受毁灭性打击，人类就此走向灭绝。
CommonMsg\Mission\AlternaLog05.msbt
Area05_Hidden_L01	育爨蠖欹隍、、匕、隍·犸啬螟莫羡鱿芥阿、蠖茨娑、蚜芾孥纥。”
Area05_Hidden_L02	矣嘧搔、蠖仝育?嘧、莎、笏冂蠕匚、廾、汐、蠖铪廾一口、簇了卅、匕才、兀、遥“莫羡鱿芥阿、蠖茨医双朋、才、莜。”
Area05_Hidden_L03	忒犸啬螟口口才、·“莫羡鱿芥阿、羡鱿、莜、二、、、茨、兀、礻、蚜、又、莜、廾、、衲仂忒犸、匕、廾、忒、娑。”
Area05_Hidden_L04	、·匚、才、匕羡鱿、莜飒卜、忒、娑娑育爨犸。“矣嘧搔、又柄、柒、娑螟木·&·-·&、夕、&、熙匕、又、莜、娑邯口力。”
Area05_Hidden_L05	茨邯口力、木忒读匕、犸木莜、·口、→夕兀、娑螟蚜木、&、忒、二、、、娑。”
Area05_Hidden_L06	、肆、兀、又、犸、·、·才、茹娑·兀。“·茈·鬣矣、廾、汐、莫羡鱿芥阿、茨医”、二、工、遥“羡鱿、莎卜、忒、娑娑育爨。”
Area05_Hidden_L07	、·匚、才、匕羡鱿、莜飒卜、忒、娑娑育爨犸。“矣嘧搔、又柄、娑螟木·&·-·&、鱿、&、熙匕、又、娑邯。”
Area05_Hidden_L08	育爨蠖欹隍、、匕、隍·犸啬螟莫羡鱿芥阿、蠖茨娑、蚜芾孥纥。”
Area05_Hidden_L09	矣嘧搔、蠖仝育?嘧、莎、笏冂蠕匚、廾、汐、蠖铪廾一口、簇了卅、匕才、兀、遥“莫羡鱿芥阿、蠖茨医双朋、才、莜。”
Area05_Hidden_L10	忒犸啬螟口口才、·“莫羡鱿芥阿、羡鱿、莜、二、、、茨、兀、礻、蚜、又、莜、廾、、衲仂忒犸、匕、廾、忒、娑。”
Area05_Hidden_L11	、·匚、才、匕羡鱿、莜飒卜、忒、娑娑育爨犸。“矣嘧搔、又柄、柒、娑螟木·&·-·&、夕、&、熙匕、又、莜、娑邯口力。”
Area05_Hidden_L12	茨邯口力、木忒读匕、犸木莜、·口、→夕兀、娑螟蚜木、&、忒、二、、、娑。”
Area05_Analyzed_Title	智慧的觉醒
Area05_Analyzed_L01	幻界的内壁崩塌时，许多碎片落入了海里。
Area05_Analyzed_L02	碎片中流出大量液晶，混在了海水之中。
Area05_Analyzed_L03	人类长久以来的心愿，已经深深铭刻在液晶之中。
