CommonMsg\CuiMsgWin.msbt
Msg_Network_Error	通信エラーが発生しました
Area01_Analyze01_T2	‘ĺ‹ŠC…Š\\C‚çĚ’†‚螟—¬ｽ‚‚Ä‚ę‚±‚ń‚ľ‚Ü‚溜‚É‚Á˘‚ó“´ÍA˝\n‚‚É”É±‚R烏ｳAN‰Q—ĘB‚‚Č‚Ç‚Ě章ŠC—‚»m¶•¨‚Ş‘ĺµ‚隍Ä‚¨‚čĹ‚ÍCJ‚â^\n¶‚ą‚Ć«c‚Á‚˝Ś萠l—Ţ‚d•ó‚ł‚ę‚\{Ś‚µ‚ÄĚｱh—重‰
Area01_Analyze02_Title	逃げ延びた人類
Area01_Analyze02_T0	技術の発展は人類を繁栄に導いただけでなく、全世界を巻き込む争いをもたらした。\n‘‚ç‚µ‚Ä‚˘‚‚˘Ę‚Ä遙‚µ•é˝¶•‚続Č‚\xad‘±‚«A’năĹ‚Ĺ簇¨‚Ş”‘ﾃ‚\xad–Ĺ–S‚ÍŚ‚µ‚\xad‰\nĚ・醫Šú‚É‰ÎRﾋﾟ‚Ě“•¬‰Î‚âŠC–‹N‚@«‚Ęăŕd期‚Č‚čA‘ĺ¸‚Č‚遙Ď’nŮ‚—Ęâ–Ĺ‚Ş˝Ç‚Ě“V•\n’A‰˝邯nŇă‚‚ęŇ‚ŕ¶‚«‚Ä‚‚Ć染‚Č˘‚」\xad‚±‚Ć‚ﾛĚ‚Ĺ‚«‚Č‚˘ęŇ熙Š‚Á‚˝Í‰ő‚ł
Area01_Analyze02_T1	ČŞó‹µ‚»‚Ě‚讀ć‚—Ţ‚Ş¤ﾗ‚‚Ĺ‚ŕA‚í‚残«c‚Á‚˝l‚˘‚˝Ş¸‚‚É¶‚\nlč‚ÍA”š”\xad—Ţ‚Ě・¶‚«類Öc‚“‰Î‚Ĺ‚ﾄĹ‚«‚˝‘ĺ‹óv茹“´±‚ń‚Ö“¦‚°‚‚ľI‚Č•¬
Area01_Analyze02_T2	‘ĺ‹ŠC…Š\\C‚çĚ’†‚螟—¬ｽ‚‚Ä‚ę‚±‚ń‚ľ‚Ü‚溜‚É‚Á˘‚ó“´ÍA˝\n‚‚É”É±‚R烏ｳAN‰Q—ĘB‚‚Č‚Ç‚Ě章ŠC—‚»m¶•¨‚Ş‘ĺµ‚隍Ä‚¨‚čĹ‚ÍCJ‚â^\n¶‚ą‚Ć«c‚Á‚˝Ś萠l—Ţ‚d•ó‚ł‚ę‚\{Ś‚µ‚ÄĚｱh—重‰
Area01_Analyze03_Title	逃げ延びた人類
Area01_Analyze03_T0	技術の発展は人類を繁栄に導いただけでなく、全世界を巻き込む争いをもたらした。\n争いは激しく果てしなく続き、地上で暮らしていた生物が数多く滅亡。\nĚ・醫Šú‚É‰ÎRﾋﾟ‚Ě“•¬‰Î‚âŠC–‹N‚@«‚Ęăŕd期‚Č‚čA‘ĺ¸‚Č‚遙Ď’nŮ‚—Ęâ–Ĺ‚Ş˝Ç‚Ě“V•\n’A‰˝邯nŇă‚‚ęŇ‚ŕ¶‚«‚Ä‚‚Ć染‚Č˘‚」\xad‚±‚Ć‚ﾛĚ‚Ĺ‚«‚Č‚˘ęŇ熙Š‚Á‚˝Í‰ő‚ł
Area01_Analyze03_T1	ČŞó‹µ‚»‚Ě‚讀ć‚—Ţ‚Ş¤ﾗ‚‚Ĺ‚ŕA‚í‚残«c‚Á‚˝l‚˘‚˝Ş¸‚‚É¶‚\nlč‚ÍA”š”\xad—Ţ‚Ě・¶‚«類Öc‚“‰Î‚Ĺ‚ﾄĹ‚«‚˝‘ĺ‹óv茹“´±‚ń‚Ö“¦‚°‚‚ľI‚Č•¬
Area01_Analyze03_T2	‘ĺ‹ŠC…Š\\C‚çĚ’†‚螟—¬ｽ‚‚Ä‚ę‚±‚ń‚ľ‚Ü‚溜‚É‚Á˘‚ó“´ÍA˝\n‚‚É”É±‚R烏ｳAN‰Q—ĘB‚‚Č‚Ç‚Ě章ŠC—‚»m¶•¨‚Ş‘ĺµ‚隍Ä‚¨‚čĹ‚ÍCJ‚â^\n¶‚ą‚Ć«c‚Á‚˝Ś萠l—Ţ‚d•ó‚ł‚ę‚\{Ś‚µ‚ÄĚｱh—重‰
Area01_Analyze04_Title	逃げ延びた人類
Area01_Analyze04_T0	技術の発展は人類を繁栄に導いただけでなく、全世界を巻き込む争いをもたらした。\n争いは激しく果てしなく続き、地上で暮らしていた生物が数多く滅亡。\n同時期に火山の噴火や海面上昇などの天変地異も重なり、大量絶滅が起きた。\n’A‰˝邯nŇă‚‚ęŇ‚ŕ¶‚«‚Ä‚‚Ć染‚Č˘‚」\xad‚±‚Ć‚ﾛĚ‚Ĺ‚«‚Č‚˘ęŇ熙Š‚Á‚˝Í‰ő‚ł
Area01_Analyze04_T1	ČŞó‹µ‚»‚Ě‚讀ć‚—Ţ‚Ş¤ﾗ‚‚Ĺ‚ŕA‚í‚残«c‚Á‚˝l‚˘‚˝Ş¸‚‚É¶‚\nlč‚ÍA”š”\xad—Ţ‚Ě・¶‚«類Öc‚“‰Î‚Ĺ‚ﾄĹ‚«‚˝‘ĺ‹óv茹“´±‚ń‚Ö“¦‚°‚‚ľI‚Č•¬
Area01_Analyze04_T2	‘ĺ‹ŠC…Š\\C‚çĚ’†‚螟—¬ｽ‚‚Ä‚ę‚±‚ń‚ľ‚Ü‚溜‚É‚Á˘‚ó“´ÍA˝\n‚‚É”É±‚R烏ｳAN‰Q—ĘB‚‚Č‚Ç‚Ě章ŠC—‚»m¶•¨‚Ş‘ĺµ‚隍Ä‚¨‚čĹ‚ÍCJ‚â^\n¶‚ą‚Ć«c‚Á‚˝Ś萠l—Ţ‚d•ó‚ł‚ę‚\{Ś‚µ‚ÄĚｱh—重‰
Area01_Analyze05_Title	逃げ延びた人類
Area01_Analyze05_T0	技術の発展は人類を繁栄に導いただけでなく、全世界を巻き込む争いをもたらした。\n争いは激しく果てしなく続き、地上で暮らしていた生物が数多く滅亡。\n同時期に火山の噴火や海面上昇などの天変地異も重なり、大量絶滅が起きた。\n地上は汚染され、何者も生きていくことのできない場所となった。
Area01_Analyze05_T1	ČŞó‹µ‚»‚Ě‚讀ć‚—Ţ‚Ş¤ﾗ‚‚Ĺ‚ŕA‚í‚残«c‚Á‚˝l‚˘‚˝Ş¸‚‚É¶‚\nlč‚ÍA”š”\xad—Ţ‚Ě・¶‚«類Öc‚“‰Î‚Ĺ‚ﾄĹ‚«‚˝‘ĺ‹óv茹“´±‚ń‚Ö“¦‚°‚‚ľI‚Č•¬
Area01_Analyze05_T2	‘ĺ‹ŠC…Š\\C‚çĚ’†‚螟—¬ｽ‚‚Ä‚ę‚±‚ń‚ľ‚Ü‚溜‚É‚Á˘‚ó“´ÍA˝\n‚‚É”É±‚R烏ｳAN‰Q—ĘB‚‚Č‚Ç‚Ě章ŠC—‚»m¶•¨‚Ş‘ĺµ‚隍Ä‚¨‚čĹ‚ÍCJ‚â^\n¶‚ą‚Ć«c‚Á‚˝Ś萠l—Ţ‚d•ó‚ł‚ę‚\{Ś‚µ‚ÄĚｱh—重‰
Area01_Analyze06_Title	逃げ延びた人類
Area01_Analyze06_T0	技術の発展は人類を繁栄に導いただけでなく、全世界を巻き込む争いをもたらした。\n争いは激しく果てしなく続き、地上で暮らしていた生物が数多く滅亡。\n同時期に火山の噴火や海面上昇などの天変地異も重なり、大量絶滅が起きた。\n地上は汚染され、何者も生きていくことのできない場所となった。
Area01_Analyze06_T1	そのような状況でも、わずかに生き残った人類がいた。\nlč‚ÍA”š”\xad—Ţ‚Ě・¶‚«類Öc‚“‰Î‚Ĺ‚ﾄĹ‚«‚˝‘ĺ‹óv茹“´±‚ń‚Ö“¦‚°‚‚ľI‚Č•¬
Area01_Analyze06_T2	‘ĺ‹ŠC…Š\\C‚çĚ’†‚螟—¬ｽ‚‚Ä‚ę‚±‚ń‚ľ‚Ü‚溜‚É‚Á˘‚ó“´ÍA˝\n‚‚É”É±‚R烏ｳAN‰Q—ĘB‚‚Č‚Ç‚Ě章ŠC—‚»m¶•¨‚Ş‘ĺµ‚隍Ä‚¨‚čĹ‚ÍCJ‚â^\n¶‚ą‚Ć«c‚Á‚˝Ś萠l—Ţ‚d•ó‚ł‚ę‚\{Ś‚µ‚ÄĚｱh—重‰
Area01_Analyze07_Title	逃げ延びた人類
Area01_Analyze07_T0	技術の発展は人類を繁栄に導いただけでなく、全世界を巻き込む争いをもたらした。\n争いは激しく果てしなく続き、地上で暮らしていた生物が数多く滅亡。\n同時期に火山の噴火や海面上昇などの天変地異も重なり、大量絶滅が起きた。\n地上は汚染され、何者も生きていくことのできない場所となった。
Area01_Analyze07_T1	そのような状況でも、わずかに生き残った人類がいた。\n人類の生き残りは、爆発的な噴火でできた大空洞へ逃げこんだ。
Area01_Analyze07_T2	‘ĺ‹ŠC…Š\\C‚çĚ’†‚螟—¬ｽ‚‚Ä‚ę‚±‚ń‚ľ‚Ü‚溜‚É‚Á˘‚ó“´ÍA˝\n‚‚É”É±‚R烏ｳAN‰Q—ĘB‚‚Č‚Ç‚Ě章ŠC—‚»m¶•¨‚Ş‘ĺµ‚隍Ä‚¨‚čĹ‚ÍCJ‚â^\n¶‚ą‚Ć«c‚Á‚˝Ś萠l—Ţ‚d•ó‚ł‚ę‚\{Ś‚µ‚ÄĚｱh—重‰
Area01_Analyze08_Title	逃げ延びた人類
Area01_Analyze08_T0	技術の発展は人類を繁栄に導いただけでなく、全世界を巻き込む争いをもたらした。\n争いは激しく果てしなく続き、地上で暮らしていた生物が数多く滅亡。\n同時期に火山の噴火や海面上昇などの天変地異も重なり、大量絶滅が起きた。\n地上は汚染され、何者も生きていくことのできない場所となった。
Area01_Analyze08_T1	そのような状況でも、わずかに生き残った人類がいた。\n人類の生き残りは、爆発的な噴火でできた大空洞へ逃げこんだ。
Area01_Analyze08_T2	大空洞の中には、海から流れこんだ海水がたまっていた。\n‚‚É”É±‚R烏ｳAN‰Q—ĘB‚‚Č‚Ç‚Ě章ŠC—‚»m¶•¨‚Ş‘ĺµ‚隍Ä‚¨‚čĹ‚ÍCJ‚â^\n¶‚ą‚Ć«c‚Á‚˝Ś萠l—Ţ‚d•ó‚ł‚ę‚\{Ś‚µ‚ÄĚｱh—重‰
Area01_Analyze09_Title	逃げ延びた人類
Area01_Analyze09_T0	技術の発展は人類を繁栄に導いただけでなく、全世界を巻き込む争いをもたらした。\n争いは激しく果てしなく続き、地上で暮らしていた生物が数多く滅亡。\n同時期に火山の噴火や海面上昇などの天変地異も重なり、大量絶滅が起きた。\n地上は汚染され、何者も生きていくことのできない場所となった。
Area01_Analyze09_T1	そのような状況でも、わずかに生き残った人類がいた。\n人類の生き残りは、爆発的な噴火でできた大空洞へ逃げこんだ。
Area01_Analyze09_T2	大空洞の中には、海から流れこんだ海水がたまっていた。\nそこではイカやタコ、クラゲなどの海洋生物が大量に繁殖しており、\n¶‚ą‚Ć«c‚Á‚˝Ś萠l—Ţ‚d•ó‚ł‚ę‚\{Ś‚µ‚ÄĚｱh—重‰
Area01_Analyze10_Title	逃げ延びた人類
Area01_Analyze10_T0	技術の発展は人類を繁栄に導いただけでなく、全世界を巻き込む争いをもたらした。\n争いは激しく果てしなく続き、地上で暮らしていた生物が数多く滅亡。\n同時期に火山の噴火や海面上昇などの天変地異も重なり、大量絶滅が起きた。\n地上は汚染され、何者も生きていくことのできない場所となった。
Area01_Analyze10_T1	そのような状況でも、わずかに生き残った人類がいた。\n人類の生き残りは、爆発的な噴火でできた大空洞へ逃げこんだ。
Area01_Analyze10_T2	大空洞の中には、海から流れこんだ海水がたまっていた。\nそこではイカやタコ、クラゲなどの海洋生物が大量に繁殖しており、\n生き残った人類の栄養源として重宝された。
CommonMsg\Mission\AlternaLog02.msbt
Area02_Hidden_L01	c‚¤‘–Á‚˝l—Ţ‚ÍA“‚¶đ‚簇\xad‚č•Ô‚ł‚Ę¶‚«‚ć‚Ęľ‚ｽ‰ß‚Č‰明ČŠwđŠ[_[‚Ć‚Ň‚˝‚Ę‚µ
Area02_Hidden_L02	‰ČŠ醫wŇ‚˝‚ｩÍl—Ţ‚Ě¶Š‚đx‚¦‚éVF‹^[‚Ć‚µ備‚Ä‘ĺ‹ó“´‚đ”ő‚µA
Area02_Hidden_L03	đ‘ćAÂ‚“ń‚弐Ě’n‹‚»‚Ě’n‚…uI‹v‚Ć–Ľ‚Ă‚Ä‚NBĚ’n抦‹…‚É—‚ą‚ć‚¤‚Ć‚µﾄ^i
Area02_Hidden_L04	I熙‹‘˘‰ß’ö‚É‚¨ｸ‚˘‚đ—‚Ç‚ĚŤÄ‚Í‚R‚c^3i‚ĚŚšvŠ“g‚程Čé‚±‚Ć‚ĹĹV‹p‚p‚˘‚
Area02_Hidden_L05	É’˝•Ýﾚ¨‚Ě•ˇ»‚‚µ‚Ä‚˘‚Á‚˝ŚBđŤ明ě‚čA•¶–ľ‚đŤÄnă‚‘¶ŤÝ邯‚µ‚»
Area02_Hidden_L06	Ü‚Ş“ń“x‚Ć¸‚í‚ę‹弐pĚŤ\\’¤‹\xadŚĹ‚Čî•ń‚Č‚˘‚ćｴ‚˝A’‚m‚€‚‚âÉ’…čBŠÇ—ťVX讀e‚
Area02_Hidden_L07	I‹ŤlŚ^遙‹^i‚ﾓĹŤsé—ĄvL^R“sCu型‰»‚·‚…[^[A‚í‚ę‚˝Š“‚đ“‚ĹA[J
Area02_Hidden_L08	BCfR“O“s茹…[^Š[IuI‹^—“eWR[F“XŚp‚đŠJn‚^ﾎi‚đŠJ用”\xad‚µA‰µ‚˝
Area02_Analyzed_Title	文明の再現
Area02_Analyzed_L01	生き残った人類は、同じ過ちをくり返さぬよう聡明な科学者たちをリーダーとした。
Area02_Analyzed_L02	科学者たちは人類の生活を支えるシェルターとして大空洞を整備し、
Area02_Analyzed_L03	その地を第二の地球「オルタナ」と名づけ、かつての地球に似せようとした。
Area02_Analyzed_L04	オルタナの建造過程においては３Ｄプリントなどの最新技術を用いることで
Area02_Analyzed_L05	地上に存在した物の複製を作り、文明を再現していった。
Area02_Analyzed_L06	また、知識や技術が二度と失われないよう強固な情報管理システムの構築に着手。
Area02_Analyzed_L07	オルタナで行われた活動を自動でアーカイブ化する自律思考型記録コンピューター、
Area02_Analyzed_L08	"Intelligent Recording Computer of Alterna"を開発し、運用を開始した。
Area02_Analyze01_Title	文明の再現
Area02_Analyze01_T0	c‚¤‘–Á‚˝l—Ţ‚ÍA“‚¶đ‚簇\xad‚č•Ô‚ł‚Ę¶‚«‚ć‚Ęľ‚ｽ‰ß‚Č‰明ČŠwđŠ[_[‚Ć‚Ň‚˝‚Ę‚µ\n‰ČŠ醫wŇ‚˝‚ｩÍl—Ţ‚Ě¶Š‚đx‚¦‚éVF‹^[‚Ć‚µ備‚Ä‘ĺ‹ó“´‚đ”ő‚µA\nđ‘ćAÂ‚“ń‚弐Ě’n‹‚»‚Ě’n‚…uI‹v‚Ć–Ľ‚Ă‚Ä‚NBĚ’n抦‹…‚É—‚ą‚ć‚¤‚Ć‚µﾄ^i
Area02_Analyze01_T1	I熙‹‘˘‰ß’ö‚É‚¨ｸ‚˘‚đ—‚Ç‚ĚŤÄ‚Í‚R‚c^3i‚ĚŚšvŠ“g‚程Čé‚±‚Ć‚ĹĹV‹p‚p‚˘‚\nÉ’˝•Ýﾚ¨‚Ě•ˇ»‚‚µ‚Ä‚˘‚Á‚˝ŚBđŤ明ě‚čA•¶–ľ‚đŤÄnă‚‘¶ŤÝ邯‚µ‚»
Area02_Analyze01_T2	Ü‚Ş“ń“x‚Ć¸‚í‚ę‹弐pĚŤ\\’¤‹\xadŚĹ‚Čî•ń‚Č‚˘‚ćｴ‚˝A’‚m‚€‚‚âÉ’…čBŠÇ—ťVX讀e‚\nI‹ŤlŚ^遙‹^i‚ﾓĹŤsé—ĄvL^R“sCu型‰»‚·‚…[^[A‚í‚ę‚˝Š“‚đ“‚ĹA[J\nBCfR“O“s茹…[^Š[IuI‹^—“eWR[F“XŚp‚đŠJn‚^ﾎi‚đŠJ用”\xad‚µA‰µ‚˝
Area02_Analyze02_Title	文明の再現
Area02_Analyze02_T0	生き残った人類は、同じ過ちをくり返さぬよう聡明な科学者たちをリーダーとした。\n‰ČŠ醫wŇ‚˝‚ｩÍl—Ţ‚Ě¶Š‚đx‚¦‚éVF‹^[‚Ć‚µ備‚Ä‘ĺ‹ó“´‚đ”ő‚µA\nđ‘ćAÂ‚“ń‚弐Ě’n‹‚»‚Ě’n‚…uI‹v‚Ć–Ľ‚Ă‚Ä‚NBĚ’n抦‹…‚É—‚ą‚ć‚¤‚Ć‚µﾄ^i
Area02_Analyze02_T1	I熙‹‘˘‰ß’ö‚É‚¨ｸ‚˘‚đ—‚Ç‚ĚŤÄ‚Í‚R‚c^3i‚ĚŚšvŠ“g‚程Čé‚±‚Ć‚ĹĹV‹p‚p‚˘‚\nÉ’˝•Ýﾚ¨‚Ě•ˇ»‚‚µ‚Ä‚˘‚Á‚˝ŚBđŤ明ě‚čA•¶–ľ‚đŤÄnă‚‘¶ŤÝ邯‚µ‚»
Area02_Analyze02_T2	Ü‚Ş“ń“x‚Ć¸‚í‚ę‹弐pĚŤ\\’¤‹\xadŚĹ‚Čî•ń‚Č‚˘‚ćｴ‚˝A’‚m‚€‚‚âÉ’…čBŠÇ—ťVX讀e‚\nI‹ŤlŚ^遙‹^i‚ﾓĹŤsé—ĄvL^R“sCu型‰»‚·‚…[^[A‚í‚ę‚˝Š“‚đ“‚ĹA[J\nBCfR“O“s茹…[^Š[IuI‹^—“eWR[F“XŚp‚đŠJn‚^ﾎi‚đŠJ用”\xad‚µA‰µ‚˝
Area02_Analyze03_Title	文明の再現
Area02_Analyze03_T0	生き残った人類は、同じ過ちをくり返さぬよう聡明な科学者たちをリーダーとした。\n科学者たちは人類の生活を支えるシェルターとして大空洞を整備し、\nđ‘ćAÂ‚“ń‚弐Ě’n‹‚»‚Ě’n‚…uI‹v‚Ć–Ľ‚Ă‚Ä‚NBĚ’n抦‹…‚É—‚ą‚ć‚¤‚Ć‚µﾄ^i
Area02_Analyze03_T1	I熙‹‘˘‰ß’ö‚É‚¨ｸ‚˘‚đ—‚Ç‚ĚŤÄ‚Í‚R‚c^3i‚ĚŚšvŠ“g‚程Čé‚±‚Ć‚ĹĹV‹p‚p‚˘‚\nÉ’˝•Ýﾚ¨‚Ě•ˇ»‚‚µ‚Ä‚˘‚Á‚˝ŚBđŤ明ě‚čA•¶–ľ‚đŤÄnă‚‘¶ŤÝ邯‚µ‚»
Area02_Analyze03_T2	Ü‚Ş“ń“x‚Ć¸‚í‚ę‹弐pĚŤ\\’¤‹\xadŚĹ‚Čî•ń‚Č‚˘‚ćｴ‚˝A’‚m‚€‚‚âÉ’…čBŠÇ—ťVX讀e‚\nI‹ŤlŚ^遙‹^i‚ﾓĹŤsé—ĄvL^R“sCu型‰»‚·‚…[^[A‚í‚ę‚˝Š“‚đ“‚ĹA[J\nBCfR“O“s茹…[^Š[IuI‹^—“eWR[F“XŚp‚đŠJn‚^ﾎi‚đŠJ用”\xad‚µA‰µ‚˝
Area02_Analyze04_Title	文明の再現
Area02_Analyze04_T0	生き残った人類は、同じ過ちをくり返さぬよう聡明な科学者たちをリーダーとした。\n科学者たちは人類の生活を支えるシェルターとして大空洞を整備し、\nその地を第二の地球「オルタナ」と名づけ、かつての地球に似せようとした。
Area02_Analyze04_T1	I熙‹‘˘‰ß’ö‚É‚¨ｸ‚˘‚đ—‚Ç‚ĚŤÄ‚Í‚R‚c^3i‚ĚŚšvŠ“g‚程Čé‚±‚Ć‚ĹĹV‹p‚p‚˘‚\nÉ’˝•Ýﾚ¨‚Ě•ˇ»‚‚µ‚Ä‚˘‚Á‚˝ŚBđŤ明ě‚čA•¶–ľ‚đŤÄnă‚‘¶ŤÝ邯‚µ‚»
Area02_Analyze04_T2	Ü‚Ş“ń“x‚Ć¸‚í‚ę‹弐pĚŤ\\’¤‹\xadŚĹ‚Čî•ń‚Č‚˘‚ćｴ‚˝A’‚m‚€‚‚âÉ’…čBŠÇ—ťVX讀e‚\nI‹ŤlŚ^遙‹^i‚ﾓĹŤsé—ĄvL^R“sCu型‰»‚·‚…[^[A‚í‚ę‚˝Š“‚đ“‚ĹA[J\nBCfR“O“s茹…[^Š[IuI‹^—“eWR[F“XŚp‚đŠJn‚^ﾎi‚đŠJ用”\xad‚µA‰µ‚˝
Area02_Analyze05_Title	文明の再現
Area02_Analyze05_T0	生き残った人類は、同じ過ちをくり返さぬよう聡明な科学者たちをリーダーとした。\n科学者たちは人類の生活を支えるシェルターとして大空洞を整備し、\nその地を第二の地球「オルタナ」と名づけ、かつての地球に似せようとした。
Area02_Analyze05_T1	オルタナの建造過程においては３Ｄプリントなどの最新技術を用いることで\nÉ’˝•Ýﾚ¨‚Ě•ˇ»‚‚µ‚Ä‚˘‚Á‚˝ŚBđŤ明ě‚čA•¶–ľ‚đŤÄnă‚‘¶ŤÝ邯‚µ‚»
Area02_Analyze05_T2	Ü‚Ş“ń“x‚Ć¸‚í‚ę‹弐pĚŤ\\’¤‹\xadŚĹ‚Čî•ń‚Č‚˘‚ćｴ‚˝A’‚m‚€‚‚âÉ’…čBŠÇ—ťVX讀e‚\nI‹ŤlŚ^遙‹^i‚ﾓĹŤsé—ĄvL^R“sCu型‰»‚·‚…[^[A‚í‚ę‚˝Š“‚đ“‚ĹA[J\nBCfR“O“s茹…[^Š[IuI‹^—“eWR[F“XŚp‚đŠJn‚^ﾎi‚đŠJ用”\xad‚µA‰µ‚˝
Area02_Analyze06_Title	文明の再現
Area02_Analyze06_T0	生き残った人類は、同じ過ちをくり返さぬよう聡明な科学者たちをリーダーとした。\n科学者たちは人類の生活を支えるシェルターとして大空洞を整備し、\nその地を第二の地球「オルタナ」と名づけ、かつての地球に似せようとした。
Area02_Analyze06_T1	オルタナの建造過程においては３Ｄプリントなどの最新技術を用いることで\n地上に存在した物の複製を作り、文明を再現していった。
Area02_Analyze06_T2	Ü‚Ş“ń“x‚Ć¸‚í‚ę‹弐pĚŤ\\’¤‹\xadŚĹ‚Čî•ń‚Č‚˘‚ćｴ‚˝A’‚m‚€‚‚âÉ’…čBŠÇ—ťVX讀e‚\nI‹ŤlŚ^遙‹^i‚ﾓĹŤsé—ĄvL^R“sCu型‰»‚·‚…[^[A‚í‚ę‚˝Š“‚đ“‚ĹA[J\nBCfR“O“s茹…[^Š[IuI‹^—“eWR[F“XŚp‚đŠJn‚^ﾎi‚đŠJ用”\xad‚µA‰µ‚˝
Area02_Analyze07_Title	文明の再現
Area02_Analyze07_T0	生き残った人類は、同じ過ちをくり返さぬよう聡明な科学者たちをリーダーとした。\n科学者たちは人類の生活を支えるシェルターとして大空洞を整備し、\nその地を第二の地球「オルタナ」と名づけ、かつての地球に似せようとした。
Area02_Analyze07_T1	オルタナの建造過程においては３Ｄプリントなどの最新技術を用いることで\n地上に存在した物の複製を作り、文明を再現していった。
Area02_Analyze07_T2	また、知識や技術が二度と失われないよう強固な情報管理システムの構築に着手。\nI‹ŤlŚ^遙‹^i‚ﾓĹŤsé—ĄvL^R“sCu型‰»‚·‚…[^[A‚í‚ę‚˝Š“‚đ“‚ĹA[J\nBCfR“O“s茹…[^Š[IuI‹^—“eWR[F“XŚp‚đŠJn‚^ﾎi‚đŠJ用”\xad‚µA‰µ‚˝
Area02_Analyze08_Title	文明の再現
Area02_Analyze08_T0	生き残った人類は、同じ過ちをくり返さぬよう聡明な科学者たちをリーダーとした。\n科学者たちは人類の生活を支えるシェルターとして大空洞を整備し、\nその地を第二の地球「オルタナ」と名づけ、かつての地球に似せようとした。
Area02_Analyze08_T1	オルタナの建造過程においては３Ｄプリントなどの最新技術を用いることで\n地上に存在した物の複製を作り、文明を再現していった。
Area02_Analyze08_T2	また、知識や技術が二度と失われないよう強固な情報管理システムの構築に着手。\nオルタナで行われた活動を自動でアーカイブ化する自律思考型記録コンピューター、\nBCfR“O“s茹…[^Š[IuI‹^—“eWR[F“XŚp‚đŠJn‚^ﾎi‚đŠJ用”\xad‚µA‰µ‚˝
Area02_Analyze09_Title	文明の再現
Area02_Analyze09_T0	生き残った人類は、同じ過ちをくり返さぬよう聡明な科学者たちをリーダーとした。\n科学者たちは人類の生活を支えるシェルターとして大空洞を整備し、\nその地を第二の地球「オルタナ」と名づけ、かつての地球に似せようとした。
Area02_Analyze09_T1	オルタナの建造過程においては３Ｄプリントなどの最新技術を用いることで\n地上に存在した物の複製を作り、文明を再現していった。
Area02_Analyze09_T2	また、知識や技術が二度と失われないよう強固な情報管理システムの構築に着手。\nオルタナで行われた活動を自動でアーカイブ化する自律思考型記録コンピューター、\n"Intelligent Recording Computer of Alterna"を開発し、運用を開始した。
CommonMsg\Mission\AlternaLog03.msbt
Area03_Hidden_L01	‰ČŠwｽŇ‚Ěęl‚Şđ,ACJ‚Ě‘Ě‰t‚ç一‰I‹^i‚Ět»‚¶¬C‚·B‚é‚±ﾝ‚Ć‚醫É¬Ś÷
Area03_Hidden_L02	Ě‰tｴA»‚ÍA¶•¨‚Ě”»·‚é”微÷”˝‰ă‚\\Č“d‹CM‚é‚±‚Ť†‚É‚µ‚ÄF‚đ•Ď‰»‚ł‚ą‚«簇‚˝BĆ‚Ş‚Ĺ
Area03_Hidden_L03	¤‚µ遙‚±Ě”]”g‚µ‚đ‰đÍ‚µ–]‚ń‚ľ‚ŕ‚Ě‚đﾋﾟ‰f‚µ‚˝Bo‚ą‚‚析‚ÄŚ‚éŇ‚éA–˛‚Ě‰t»‚ŞŠ¬
Area03_Hidden_L04	B‚˝–˛‚Ě‰t»ｻ‚Ě—ĘY‚Şi‚Ţ茹‚ĆAI‹^i‚Ě“ŕ•Ç‚đ‚¨‚¨‚ß¤‚ć‚¤‚É‰t»‚Ş’Ł量‚č‚‚ç‚ĘYł‚ę
Area03_Hidden_L05	‰ÍBl‚đX‚Ě‘‚˘ó‰螟f‚µt»‚‚A‚Â‚É‚µŚő‚Äﾓ‚˘‚˝Śi‚đ受o‚・Ä’nă‚Ĺ–Ú‚·
Area03_Hidden_L06	’no肆í‚ę‚Ä‚Ś˝B‚çl”Ľ˘‹I‰ß‚µﾎ‚‚Ń‹ó‚đŚAlÄ邯‰‰ş‚Éú‚‚Ş‚ß‚ÄÄ—Ţ‚ÍŤ
Area03_Analyzed_Title	新たな空
Area03_Analyzed_L01	オルタナの科学者の一人が、イカの体液から液晶を生成することに成功。
Area03_Analyzed_L02	その液晶は、生物の発する微弱な電気信号に反応して色を変化させることができた。
Area03_Analyzed_L03	こうして見る者の脳波を解析し望んだものを映し出せる、夢の液晶が完成した。
Area03_Analyzed_L04	夢の液晶の量産が進むと、オルタナの内壁をおおうように液晶が張りめぐらされた。
Area03_Analyzed_L05	液晶は人々の想いを受け、かつて地上で目にしていた光景を映し出す。
Area03_Analyzed_L06	地下に囚われてから四半世紀が経過して初めて、人類は再び空を見た。
Area03_Analyze01_Title	新たな空
Area03_Analyze01_T0	‰ČŠwｽŇ‚Ěęl‚Şđ,ACJ‚Ě‘Ě‰t‚ç一‰I‹^i‚Ět»‚¶¬C‚·B‚é‚±ﾝ‚Ć‚醫É¬Ś÷\nĚ‰tｴA»‚ÍA¶•¨‚Ě”»·‚é”微÷”˝‰ă‚\\Č“d‹CM‚é‚±‚Ť†‚É‚µ‚ÄF‚đ•Ď‰»‚ł‚ą‚«簇‚˝BĆ‚Ş‚Ĺ\n¤‚µ遙‚±Ě”]”g‚µ‚đ‰đÍ‚µ–]‚ń‚ľ‚ŕ‚Ě‚đﾋﾟ‰f‚µ‚˝Bo‚ą‚‚析‚ÄŚ‚éŇ‚éA–˛‚Ě‰t»‚ŞŠ¬
