CommonMsg\CuiMsgWin.msbt
Msg_Network_Error	發生通訊錯誤。
CommonMsg\Manual\ManualPlzAmiiboMySet.msbt
AmiiboMySet_Manual00_Title	記憶穿搭
AmiiboMySet_Manual00	在自訂選單中，\n透過「其他」打開「amiibo」並選擇「寫入！」吧！\n只要點觸amiibo，\n就能記憶目前身上的裝備、選項的設定以及個人穿搭喔！
AmiiboMySet_Manual01_Title	更換穿搭
AmiiboMySet_Manual01	在自訂選單中，\n於顯示{[0325|d7a3703ffbffffff]}的時候點觸amiibo就能快速更換穿搭喔！
AmiiboMySet_Manual02_Title	個人穿搭
AmiiboMySet_Manual02	此外，在自訂選單中點觸amiibo後，\n也能更換成已由amiibo記憶的個人穿搭！\n打開「{[0306|52b85e3f03000000]}個人穿搭」試試看吧！
CommonMsg\Manual\ManualPlzAmiiboPhoto.msbt
AmiiboPhoto_Manual00_Title	召喚amiibo
AmiiboPhoto_Manual00	與amiibo一起合照吧！\n\n按下{[0306|52b85e3f03000000]}進入拍攝模式後，\n在顯示{[0325|d7a3703ffbffffff]}時點觸已經成為支持者的amiibo\n就可以進行召喚囉！\n\n推動{[0307|1f852b3f00000000]}決定位置後，\n就按下{[0300|52b85e3f03000000]}召喚amiibo吧！
AmiiboPhoto_Manual01_Title	決定姿勢
AmiiboPhoto_Manual01	只要按下{[0305|52b85e3f03000000]}\n就能變換自己與amiibo的姿勢，\n也能進行其他各式各樣的設定喔！\n\n與amiibo一起盡情地拍下許多合照吧！
CommonMsg\Manual\ManualRegularMatch.msbt
RegularMatch_Title_01	何謂占地對戰
RegularMatch_Title_02	特殊武器
RegularMatch_Title_03	占地地圖
RegularMatch_Title_04	超級跳躍
RegularMatch_Title_05	對戰結束後
RegularMatch_Manual00	隊伍必須在3分鐘內持續對地面塗墨，占地面積較多才能獲勝！
RegularMatch_Manual01	在占地對戰中，隊伍必須在3分鐘內持續對{color[0100]}地面{color[ffff]}塗墨，\n{color[0100]}占地面積{color[ffff]}較多才能獲勝！\n持續對地面塗墨，\n拓展隊伍的占地面積並拿下勝利吧！
RegularMatch_Manual02	{color[0100]}特殊武器蓄力槽{color[ffff]}會隨著對地面塗墨而增加喔！\n在蓄力槽全滿後，\n按下{[0308|1f852b3f00000000]}即可發動{color[0100]}特殊武器{color[ffff]}！\n\n陣亡將會導致特殊武器蓄力槽減少，\n看準時機並有效地使用特殊武器吧！
RegularMatch_Manual03	只要是超魷型的玩家，\n就會懂得要按下{[0302|52b85e3f03000000]}查看{color[0100]}占地地圖{color[ffff]}。\n\n只要查看占地地圖\n就能一眼看出隊伍雙方各自的占地面積了！\n在開著占地地圖的狀態下也是可以直接行動的喔！
RegularMatch_Manual04	打開占地地圖後，按下{[0304|52b85e3f03000000]}選擇同伴再按下{[0300|52b85e3f03000000]}，\n就可以使用{color[0100]}超級跳躍{color[ffff]}前往同伴的身邊了！\n也能使用{[0308|1f852b3f00000000]}選擇要作為跳躍目標的同伴喔！\n\n超級跳躍的落地點是對手也看得到的，\n仔細地查看占地地圖，\n選擇所在位置不容易被對手盯上的同伴吧！
RegularMatch_Manual05	對戰結束後，\n就能獲得經驗值、金錢以及目錄點數喔！\n\n只要累積經驗值提升等級\n就能獲得{[031c|295c4f3f02000000]}{color[0100]}武器兌換證{color[ffff]}，\n到時候就前往武器店去兌換新的武器吧！
CommonMsg\Manual\ManualVendor.msbt
Vendor_Button01	裝備的\n預訂與領取
Vendor_Button02	提升\n裝備稀有度
Vendor_Button03	漂洗\n能力槽
Vendor_Button04	附加\n裝備能力
Vendor_Button05	重新附加\n隨機裝備能力
Vendor_Button06	關於\n魷魚鬚商城
Vendor_Order_Title	裝備的預訂與領取
Vendor_Order_Manual00	只要和{color[0100]}廣場上的玩家{color[ffff]}交談，\n就能{color[0100]}向刺冠預訂{color[ffff]}該玩家身上穿的裝備，\n並請他幫忙調貨喔！\n如果看到了有興趣的裝備就預訂看看吧！\n\n同一時間可以預訂{color[0100]}最多3個{color[ffff]}裝備，\n在已預訂3個裝備之後，雖然還是可以預訂其他新裝備，\n但是預訂時將會必須取消其中1個舊訂單喔！
Vendor_Order_Manual01	預訂的裝備會以{color[0100]}1天1個{color[ffff]}的速度依序送達，\n到時候就去找刺冠領取吧！\n要是運氣好的話，裝備上附加的裝備能力\n還有可能會跟預訂時一樣喔！\n\n不過領取裝備時將會需要耗費{color[0100]}金錢{color[ffff]}，\n裝備能力與原裝備的相似度越高，價格也會越高，\n必須多加注意。
Vendor_Increase_Rarity_Title	提升裝備稀有度
Vendor_Increase_Rarity_Manual00	只要找刺冠幫忙，\n或是當商店正在販售相同的裝備時找店員幫忙，\n就可以提升裝備的{color[0100]}稀有度{color[ffff]}囉！\n\n提升稀有度可以增加{color[0100]}追加裝備能力專用能力槽{color[ffff]}，\n並獲得更多的{color[0100]}裝備經驗值{color[ffff]}。\n盡情地幫自己常用的裝備提升稀有度吧！
Vendor_Increase_Rarity_Manual01	就算是商店沒有販售的{color[0100]}非賣品裝備{color[ffff]}\n也可以拿去找刺冠幫忙提升稀有度喔！\n如果想提升自己喜歡的非賣品裝備就去找他吧！\n\n此外，找刺冠幫忙時將會需要耗費{color[0100]}超級蠑螺{color[ffff]}，\n稀有度越高，需要的超級蠑螺也會越多。\n在決定要提升哪個裝備的稀有度時，務必謹慎。
Vendor_Cleaning_Title	漂洗能力槽
Vendor_Cleaning_Manual00	能力槽已經附加了{color[0100]}追加裝備能力{color[ffff]}的裝備\n可以拿去找刺冠幫忙{color[0100]}漂洗{color[ffff]}喔！\n\n在漂洗之後，\n所有的能力槽都會恢復成還沒有追加裝備能力的狀態，\n而且還能獲得原裝備能力的{color[0100]}碎片{color[ffff]}喔！
Vendor_Cleaning_Manual01	如果想要找刺冠幫忙附加自己喜歡的裝備能力，\n就會需要用到{color[0100]}裝備能力碎片{color[ffff]}，\n漂洗沒在使用的裝備來收集碎片吧！\n\n此外，漂洗時將會需要耗費{color[0100]}金錢{color[ffff]}，\n無論原本已經附加多少個裝備能力，費用都是相同的，\n所以在附加了3個能力的狀態下漂洗是最划算的喔！
Vendor_Add_Gear_Power_Title	附加裝備能力
Vendor_Add_Gear_Power_Manual00	在收集到{color[0100]}裝備能力碎片{color[ffff]}後，\n只要找刺冠幫忙就能附加自己喜歡的裝備能力囉！\n\n裝備能力分為原本就已經附加的{color[0100]}基本裝備能力{color[ffff]}\n以及後來才附加到能力槽的{color[0100]}追加裝備能力{color[ffff]}，\n不過這兩種能力都是可以替換的！
Vendor_Add_Gear_Power_Manual01	{color[0100]}基本裝備能力{color[ffff]}的效果較強，\n碎片數量需求也相對較多。\n此外，如果想要附加特殊的基本裝備能力，\n就會需要用到數種不同種類的碎片。\n\n{color[0100]}追加裝備能力{color[ffff]}的效果較弱，\n碎片數量需求也比較少。\n但是如果想要在裝備上附加相同的追加裝備能力，\n碎片數量需求就會增加喔！
Vendor_Add_Gear_Power_Manual02	在附加裝備能力時，\n也可以選擇覆蓋已經附加了能力的能力槽。\n選擇覆蓋的話，\n就能獲得少量原裝備能力的{color[0100]}碎片{color[ffff]}喔！\n\n此外，{color[0100]}祭典T恤{color[ffff]}的{color[0100]}追加裝備能力增倍{color[ffff]}\n是無法使用碎片附加的，\n一旦被覆蓋就無法復原了，必須多加注意。
Vendor_Replacement_Gear_Power_Title	重新附加隨機裝備能力
Vendor_Replacement_Gear_Power_Manual00	如果裝備擁有{color[0100]}3個能力槽而且全都已經附加能力{color[ffff]}，\n那只要將{color[0100]}超級蠑螺{color[ffff]}交給刺冠，\n就能把追加裝備能力重新附加成隨機能力囉！\n\n至於會附加哪些裝備能力就全看運氣了！
Vendor_Replacement_Gear_Power_Manual01	此外，在重新附加裝備能力後，\n會獲得原裝備能力的{color[0100]}碎片{color[ffff]}。\n\n就算無法成功附加自己想要的裝備能力，\n也可以藉由持續重新附加裝備能力的方式收集碎片，\n然後就能在未來打造出符合自己需求的裝備了！
Vendor_GesoTown_Title	關於魷魚鬚商城
Vendor_GesoTown_Manual00	{color[0100]}魷魚鬚商城{color[ffff]}是可以透過網路服務《{color[0100]}魷魚圈 3{color[ffff]}》\n預訂裝備的功能！\n與蠻頹鎮的商店所販售的品項相比，\n利用此功能預訂的特殊裝備會附加不同的裝備能力喔！\n\n詳細資訊請至《斯普拉遁 3》官方網站查詢！
Vendor_GesoTown_Manual01	同一時間可以透過魷魚鬚商城預訂最多{color[0100]}1個裝備{color[ffff]}，\n不過在預訂之後裝備就會馬上配送到刺冠的手裡，\n只要領取完成就能繼續預訂囉！\n\n看到想要的裝備就通通買下來吧！
CommonMsg\Manual\ManualXMatch.msbt
XMatch_Button01	X比賽
XMatch_Button02	真格區域
XMatch_Button03	真格塔樓
XMatch_Button04	真格魚虎對戰
XMatch_Button05	真格蛤蜊
XMatch_Title	何謂X比賽
XMatch_Manual00	朝更高境界邁進的人們將角逐「顛峰」之位！
XMatch_Manual01	X比賽是高手們一決勝負角逐顛峰之位的對戰！\n\n僅限技術S+{size[4b00]}0{size[6400]}以上的玩家獨自一人參加，\n{color[0100]}X戰力{color[ffff]}將會取代技術成為對戰的籌碼。\n\nX比賽和蠻頹比賽一樣分為4種規則，\n{color[0100]}個別規則{color[ffff]}都擁有各自獨立的X戰力。
XMatch_Manual02	X戰力是用來代表玩家實力的數值，\n在{color[0100]}最初的5場對戰{color[ffff]}結束後就能完成X戰力的計算，\n並展開X戰力為籌碼的挑戰！\n\n每一次的挑戰都會持續到獲得{color[0100]}3勝或3敗{color[ffff]}為止，\n挑戰結束時，X戰力將會根據勝敗而有所變動。\n\n個別規則的計算和挑戰狀態會各自獨立記錄喔！
XMatch_Manual03	X戰力提升後就會登錄於X排名中，\n在X排名中名列前茅的玩家名稱會附帶王冠喔！\n\nX戰力會隨著{color[0100]}賽季交替重新計算{color[ffff]}，\n在賽季中以進入前段排名為目標努力吧！\n\n只要使用《魷魚圈 3》，\n就能查看每種規則和武器各自的排名喔！
XMatch_Gachiarea_Title	真格區域的規則
XMatch_Gachiarea_Manual00	隊伍必須塗墨占領真格區域，占領達一定時間才能獲勝！
XMatch_Gachiarea_Manual01	1.真格區域\n2.區域的占領狀況\n3.計數\n4.懲罰計數
XMatch_Gachiarea_Manual02	隊伍必須塗墨占領場地中的{color[0100]}真格區域{color[ffff]}，\n占領達一定時間才能獲勝！\n\n首先必須對真格區域塗墨完成占領，\n只要查看{color[0100]}區域的占領狀況{color[ffff]}就能一眼看出塗墨的進度囉！\n一旦完全占領了真格區域，\n隊伍的{color[0100]}計數{color[ffff]}就會在占領成功後開始{color[0100]}減少{color[ffff]}。\n當計數歸零的時候，就能拿下完全勝利！
XMatch_Gachiarea_Manual03_Title	真格區域的訣竅
XMatch_Gachiarea_Manual03	‧與同伴團結合作吧！\n　想憑一己之力奪回對手嚴防的真格區域是很困難的，與同伴互相配合，4人一起進攻吧！\n　相反的，當我方成功占領真格區域時，就得趁對手集合之前個別擊倒！\n\n‧就算落後也別輕易放棄！\n　當敵方隊伍占領了真格區域或是計數落後時，\n　特殊武器蓄力槽將會自動增加喔！
XMatch_Gachiarea_Manual04	‧靠延長賽逆轉戰局！\n　如果時限結束時落後隊伍仍占領著真格區域，就會進入延長賽！\n　只要堅持到底不輕易放棄，或許就能在延長賽時逆轉戰局喔！
XMatch_Gachiyagura_Title	真格塔樓的規則
XMatch_Gachiyagura_Manual00	隊伍必須占領真格塔樓，將真格塔樓運送至對手陣地的終點才能獲勝！
XMatch_Gachiyagura_Manual01	1.真格塔樓\n2.終點\n3.關卡\n4.剩餘計數
XMatch_Gachiyagura_Manual02	隊伍必須占領設置於場地中央的{color[0100]}真格塔樓{color[ffff]}，\n將真格塔樓運送至對手陣地的{color[0100]}終點{color[ffff]}才能獲勝！\n\n首先必須對真格塔樓的側面塗墨並爬上去完成占領，\n如此一來真格塔樓就會朝著對手的陣地前進囉！\n\n如果被對手擊倒並占領\n或是沒有其他同伴爬上去占領的話，\n真格塔樓就會返回場地中央喔！
XMatch_Gachiyagura_Manual03	在通往終點的路上會有{color[0100]}關卡{color[ffff]}存在，\n當真格塔樓抵達關卡時會暫停移動喔！\n只要持續占領真格塔樓直到關卡的耐久度歸零\n就能成功突破關卡！\n\n成功突破關卡後，下一次就能直接通過了，\n要是突破失敗的話，耐久度就會恢復喔！
XMatch_Gachiyagura_Manual04	真格塔樓離對手的終點越近，{color[0100]}剩餘計數{color[ffff]}也會隨之{color[0100]}減少{color[ffff]}。\n如果沒有在時限內將真格塔樓運送到對手的終點，\n就會由計數減少較多的隊伍獲勝。
XMatch_Gachiyagura_Manual04_Title	真格塔樓的訣竅
XMatch_Gachiyagura_Manual05	‧死守真格塔樓！\n　爬上真格塔樓的玩家很容易被對手給盯上喔！\n　其他同伴得挺身為真格塔樓開路，確保安全！\n\n‧在關卡處奪回真格塔樓！\n　被對手占領的真格塔樓停在關卡處的時候，就是奪回真格塔樓的好機會！\n　與同伴互相配合展開攻勢吧！
XMatch_Gachiyagura_Manual06	‧靠延長賽逆轉戰局！\n　如果時限結束時落後隊伍仍占領著真格塔樓，就會進入延長賽！\n　只要堅持到底不輕易放棄，或許就能在延長賽時逆轉戰局喔！
XMatch_Gachihoko_Title	真格魚虎對戰的規則
XMatch_Gachihoko_Manual00	隊伍必須搶奪真格魚虎，將真格魚虎運送至對手陣地的終點才能獲勝！
XMatch_Gachihoko_Manual01	1.真格魚虎\n2.終點\n3.持有真格魚虎的時間\n4.剩餘計數\n5.關卡
XMatch_Gachihoko_Manual02	隊伍必須搶奪{color[0100]}真格魚虎{color[ffff]}，\n將真格魚虎運送至對手陣地的{color[0100]}終點{color[ffff]}才能獲勝！\n\n首先必須前往場地中央搶奪真格魚虎，\n真格魚虎將會位於防護罩內部，\n以攻擊的方式打破防護罩搶奪真格魚虎吧！\n\n一旦無人持有真格魚虎，防護罩就會復原，\n如果置之不理的話，真格魚虎就會自動返回場地中央喔！
XMatch_Gachihoko_Manual03	在持有真格魚虎的期間\n將會無法使用一般武器與超級跳躍，\n但是可以利用真格魚虎使出強大的{color[0100]}真格魚虎發射{color[ffff]}喔！\n\n可持有真格魚虎的時間會受到限制，\n一旦時間歸零就會發生爆炸，必須多加注意。
XMatch_Gachihoko_Manual04	在奪得真格魚虎之後，就先朝著對手的{color[0100]}關卡{color[ffff]}前進吧！\n\n只要成功突破關卡，接下來就可以邁向對手的終點了！\n成功突破關卡後，下一次就能直接通過囉！\n\n離對手的關卡或終點越近，{color[0100]}剩餘計數{color[ffff]}也會隨之{color[0100]}減少{color[ffff]}，\n如果沒有在時限內將真格魚虎運送到對手的終點，\n就會由計數減少較多的隊伍獲勝。
XMatch_Gachihoko_Manual05_Title	真格魚虎對戰的訣竅
XMatch_Gachihoko_Manual05	‧運送真格魚虎！\n　想辦法將真格魚虎運送至終點是最重要的！一旦奪得真格魚虎就積極地前進吧！\n　當同伴奪得真格魚虎時，就挺身而出為真格魚虎開路吧！\n\n‧就算落後也別輕易放棄！\n　當敵方隊伍奪得真格魚虎或是我方尚未奪得真格魚虎且計數落後時，\n　特殊武器蓄力槽將會自動增加喔！
XMatch_Gachihoko_Manual06	‧靠延長賽逆轉戰局！\n　如果時限結束時落後隊伍仍持有真格魚虎或是領先隊伍失去真格魚虎，就會進入延長賽！\n　只要堅持到底不輕易放棄，或許就能在延長賽時逆轉戰局喔！
XMatch_Gachiasari_Title	真格蛤蜊的規則
XMatch_Gachiasari_Manual00	隊伍必須使用真格蛤蜊摧毀對手終點的蛤蜊防護罩，投入的蛤蜊較多才能獲勝！
XMatch_Gachiasari_Manual01	1.蛤蜊\n2.真格蛤蜊\n3.終點\n4.計數
XMatch_Gachiasari_Manual02	5.奪分機會\n6.隊伍整體的蛤蜊總數\n7.自己持有的蛤蜊數量\n8.持有最多蛤蜊的同伴
XMatch_Gachiasari_Manual03	隊伍必須將{color[0100]}蛤蜊{color[ffff]}投入對手終點，投入蛤蜊較多才能獲勝！\n但是對手的終點會有{color[0100]}蛤蜊防護罩{color[ffff]}保護著。\n\n首先必須收集四散在場地各處的蛤蜊，\n完成摧毀蛤蜊防護罩的準備。
XMatch_Gachiasari_Manual04	收集到{color[0100]}8個{color[ffff]}之後蛤蜊就會變成{color[0100]}真格蛤蜊{color[ffff]}喔！\n如此一來就順利完成摧毀蛤蜊防護罩的準備了！
XMatch_Gachiasari_Manual05	只要按下{[0300|52b85e3f03000000]}或是{[0309|52b85e3f03000000]}\n就能投擲蛤蜊或真格蛤蜊。\n\n朝著對手的終點投擲真格蛤蜊\n將蛤蜊防護罩摧毀之後，\n就會獲得{color[0100]}奪分機會{color[ffff]}！
XMatch_Gachiasari_Manual06	將大量的蛤蜊或真格蛤蜊投入對手的終點吧！\n\n投入蛤蜊{color[0100]}計數{color[ffff]}會{color[0100]}減少3{color[ffff]}，投入真格蛤蜊{color[0100]}計數{color[ffff]}會{color[0100]}減少20{color[ffff]}，\n當計數歸零的時候，就能拿下完全勝利！\n\n此外，只要將蛤蜊或真格蛤蜊投入對手的終點\n就能增加{color[0100]}奪分機會的剩餘時間{color[ffff]}，\n耗盡剩餘時間後，奪分機會就會結束。
XMatch_Gachiasari_Manual07	當對手獲得奪分機會時，將會無法進攻對手的終點，\n到時候就得先專心地防守我方的終點！\n打倒持有蛤蜊的對手，讓對手的奪分機會盡快結束吧！\n\n一旦對手的奪分機會結束，\n我方的終點下就會出現{color[0100]}反擊用的真格蛤蜊{color[ffff]}喔！
XMatch_Gachiasari_Manual08	在擊倒對手時，將會有部分對手原本持有的蛤蜊掉落。\n掉落的蛤蜊會在經過一段時間後消失，\n所以要盡快拾取喔！\n\n對手掉落的真格蛤蜊是無法拾取的，\n在消失之前，別忘了阻止其他的對手拾取喔！
XMatch_Gachiasari_Manual09	位於我方隊伍墨汁上的蛤蜊將會被標記，\n除了可以更加容易地找到蛤蜊之外，\n還會顯示在占地地圖上喔！\n\n每經過一段時間，蛤蜊就會在場地中的某些地方出現，\n只要事先拓展占地面積，\n就可以比對手搶先一步拾取囉！
XMatch_Gachiasari_Manual10_Title	真格蛤蜊的訣竅
XMatch_Gachiasari_Manual10	‧到場地裡散散步吧！\n　事先到場地裡散步，記住終點的位置以及通往終點的路線吧！\n　如此一來就能在正式進行真格蛤蜊對戰時獲得攻防上的優勢喔！\n\n‧拓展占地面積吧！\n　只要持續對地面塗墨拓展占地面積，\n　就可以更加容易地找到後續出現的蛤蜊喔！
XMatch_Gachiasari_Manual11	‧就算落後也別輕易放棄！\n　當隊伍雙方都持有真格蛤蜊或是都未持有真格蛤蜊時，\n　落後隊伍的特殊武器蓄力槽將會自動增加喔！\n\n‧靠延長賽逆轉戰局！\n　如果時限結束時落後隊伍仍持有真格蛤蜊或是擁有奪分機會，就會進入延長賽！\n　只要堅持到底不輕易放棄，或許就能在延長賽時逆轉戰局喔！
CommonMsg\MiniGame\MiniGame.msbt
StarterDeckName	Starter Deck
DefaultDeckName	Deck {[0200|00010000]}
CardNumber	No.{[0200|00030001]}
CardRarityCommon	普通
CardRarityRare	稀有
CardRarityFresh	新鮮
SortCardNumber	編號
SortSquareNum	格子數
CommonMsg\MiniGame\MiniGameCardName.msbt
Atarime	魚乾
KoJudgekun	小評審
Spiky	刺冠
Bukichi	武器子
Hotaru	小螢
Judgekun	評審
TakowasaShogun	DJ芥末章魚將軍
Aori	小擬
Kumasan	熊先生
Fuka	莎莎
Hanagasa	花笠
Mantaro	鬼福
Mother	阿母
Omura	螺螺
Paruko	脈子
Shirei	司令
Utsuho	曼曼
Yashiganisan	椰子蟹先生
TakoPod	章魚彈艙兵
Takopter	章魚螺旋槳兵
TakoStamp	章魚印章兵
TakoMissile	章魚導彈兵
Sutakoraa	章魚溜兵
TakoTrooper	章魚兵
TakopperinGo	章魚柏林號
BaiTakoTrooper	強化章魚兵
TakoSniper	章魚狙擊兵
TakoZonesu	章魚女戰士
TakoCommander	章魚指揮官
TakoStrike	章魚保齡球兵
BombTakopter	炸彈章魚螺旋槳兵
TakoDozer	章魚推進灑墨機
BarrierTakopter	章魚鏡球兵
TakoHopper	章魚彈跳兵
StampWave	波動章魚印章兵
TakopodDEV	大容量章魚彈艙兵
Incleaner	吸墨器
TateTakoTrooper	盾牌章魚兵
Kojake	小鮭魚
Shake	鮭魚
Dosukoi	大胖魚
Tamahiroi	拾蛋魚
Bakudan	炸彈魚
Teppan	鐵板魚
Tower	高塔魚
Katapaddo	墊肩飛魚
Mogura	鼴鼠魚
Koumori	蝙蝠魚
Hebi	蛇魚
Buranko	柱魚
Grill	烤架魚
Hakobiya	走私魚
Iruka	潛水魚
Kinshake	金鮭魚
Nabebuta	鍋蓋魚
Taihou	鐵球魚
Tamaire	泥鮭魚
HeroShooter	英雄射擊槍
ShooterShort00	廣域標記槍
ShooterFirst00	新葉射擊槍
ShooterFirst01	楓葉射擊槍
ShooterPrecision00	窄域標記槍
ShooterBlaze00	專業模型槍MG
ShooterBlaze01	專業模型槍RG
ShooterNormal00	斯普拉射擊槍
ShooterNormal01	斯普拉射擊槍 聯名
ShooterGravity00	.52加侖
ShooterQuickMiddle00	N-ZAP85
ShooterExpert00	頂尖射擊槍
ShooterExpert01	頂尖射擊槍 聯名
ShooterHeavy00	.96加侖
ShooterLong00	噴射清潔槍
ShooterQuickLong00	太空射擊槍
BlasterShort00	新星爆破槍
BlasterShort01	新星爆破槍 新型
BlasterMiddle00	火熱爆破槍
BlasterLong00	遠距爆破槍
BlasterLightShort00	衝塗爆破槍
BlasterLight00	快速爆破槍
BlasterLightLong00	快速爆破槍 精英
ShooterTripleQuick00	L3捲管槍
ShooterTripleMiddle00	H3捲管槍
ShooterFlash00	開瓶噴泉槍
RollerCompact00	碳纖維滾筒
RollerCompact01	碳纖維滾筒 裝飾
RollerNormal00	斯普拉滾筒
RollerHeavy00	電動馬達滾筒
RollerHunter00	可變式滾筒
RollerWide00	寬滾筒
BrushMini00	巴勃羅
BrushMini01	巴勃羅‧新藝術
BrushNormal00	北齋
ChargerQuick00	魷快潔α
ChargerNormal00	斯普拉蓄力狙擊槍
ChargerNormalScope00	斯普拉準星槍
ChargerLong00	公升4K
ChargerLongScope00	4K準星槍
ChargerLight00	14式竹筒槍‧甲
ChargerKeeper00	高壓油管槍
ChargerPencil00	R-PEN/5H
SlosherStrong00	飛濺潑桶
SlosherStrong01	飛濺潑桶 裝飾
SlosherDiffusion00	洗筆桶
SlosherLauncher00	迴旋潑桶
SlosherBathtub00	滿溢泡澡潑桶
SlosherWashtub00	爆炸潑桶
SpinnerQuick00	斯普拉旋轉槍
SpinnerQuick01	斯普拉旋轉槍 聯名
SpinnerStandard00	桶裝旋轉槍
SpinnerHyper00	消防栓旋轉槍
SpinnerDownpour00	圓珠筆
SpinnerSerein00	鸚鵡螺號47
ManeuverShort00	濺鍍槍
ManeuverShort01	濺鍍槍‧新藝術
ManeuverNormal00	斯普拉機動槍
ManeuverGallon00	開爾文525
ManeuverDual00	雙重清潔槍
ManeuverStepper00	四重彈跳手槍 黑
ShelterNormal00	遮陽防空傘
ShelterWide00	露營防空傘
StringerNormal00	三發獵魚弓
StringerShort00	LACT-450
ShelterCompact00	特務配件
SaberNormal00	工作刮水刀
SaberLight00	雨刷刮水刀
BombSplash	斯普拉炸彈
BombSuction	吸盤炸彈
BombQuick	快速炸彈
BombCurling	冰壺炸彈
BombRobot	機器人炸彈
Trap	墨汁陷阱
Sprinkler	灑墨器
PointSensor	定點偵測器
PoisonMist	毒霧
Shield	斯普拉防護牆
Beacon	跳躍信標
BombFizzy	碳酸炸彈
BombTako	魚雷
LineMarker	標線器
SpUltraShot	終極發射
SpGreatBarrier	巨大防護罩
SpSuperHook	觸手噴射
SpMultiMissile	多重導彈
SpInkStorm	墨雨雲
SpNiceBall	讚氣彈
SpMegaphoneLaser51	喇叭雷射5.1ch
SpUltraStamp	終極印章
Chidori	鯊魚坐騎
Jetpack	噴射背包
Kanitank	螃蟹坦克
Kyuinki	吸墨機
ShockSonar	彈跳聲納
TripleTornado	三重龍捲風
EnergyStand	能量站
Batoroika	戰鬥魷魚
Ironic	鋼鐵先鋒
Kuraagesu	海月
Rokkenberugu	羅肯貝格
Ezokko	澤酷
Forima	鍛品
Hokkorii	暖流
Hotakkusu	帆立
Jimon	寺門
Shigureni	時雨
Arome	艾洛眼
Yako	暇古
Anaaki	無法無天
Enperii	魷皇
Tatakikensaki	劍尖魷
Barazushi	散壽司
Shichirin	七輪
Denchinamazu	電池鯰魚
GachiAsari	真格蛤蜊
GachiHoko	真格魚虎
GachiYagura	真格塔樓
CommonMsg\MiniGame\MiniGameMapName.msbt
Rectangle	正直大道
Zigzag	雷霆車站
Cross	罰分花園
Square	正方廣場
CenterHole	輕飄湖
WDiamond	雙子島
SShape	扭轉河
SmallSquare	小巧競技場
CommonMsg\MiniGame\MiniGameMotherGuidance.msbt
Guidance_00	哎呀，抱歉了，\n我可不會服務不夠魷型的人喔！\n等你達到{color[0100]}等級4{color[ffff]}之後再來吧！{[0004]}只要前往{color[0100]}大廳{color[ffff]}參加{color[0100]}占地對戰{color[ffff]}，\n你很快就能變成一個超魷型的人了！加油！
Guidance_01	這裡是占地鬥士道場喔！{[0004]}你對占地鬥士有興趣嗎！？\n哇！真是太令人高興了！{[0004]}這是目前在蠻頹地區蔚為風潮的\n超魷型卡牌遊戲！\n全名為「{color[0100]}布陣大戰占地鬥士{color[ffff]}」！！{[0004]}現在還有優惠活動，\n可以免費獲得占地鬥士的初階牌組喔！\n是不是很棒呢！？
Guidance_02	哎呀，你現在處於離線狀態嗎？\n這樣是沒辦法繼續的，抱歉了。\n等你在{color[0100]}大廳{color[ffff]}連接{color[0100]}網路{color[ffff]}之後\n再來吧！
Guidance_03	來！收下吧！
Guidance_04	那是以15張卡片組成的{color[0100]}牌組{color[ffff]}喔！\n只要擁有牌組，\n任何人都可以玩占地鬥士！{[0004]}要馬上來玩一場試試看嗎？\n雖然我是很想這麼說……\n不過按照規定，你還是得先閱讀說明書才行，\n內容有點長，你就先大略看一遍吧。
Guidance_05	辛苦了！\n就算還有不懂的地方也可以先玩玩看喔！\n畢竟俗話說「熟能生巧」嘛！{[0004]}只要你來到這裡，\n隨時都可以玩占地鬥士喔！\n那就先這樣，下次再見！
NPCBattle_00	啊，歡迎光臨！
NPCBattle_01	哎呀，\n你手裡連一副牌組都沒有耶！{[0004]}你得先打開選單，\n然後進入「玩家資訊」中的「占地鬥士」！\n等你組好牌組之後再來吧！
NPCBattle_02	你想要找誰玩呢？
NPCBattle_03	抱歉了，\n他現在有事要忙所以沒辦法玩。\n等他有空之後再找他吧！
WeaponShop_Greet	居然想要與我一決勝負？\n你的眼光還真高呢！{[0004]}那我就用這副以可愛武器組成的珍藏牌組\n來跟你一較高下吧！\n我可是絕對不會輸的喔！
WeaponShop_Win	好耶！大獲全勝！
WeaponShop_Win2	我這些可愛的武器\n果然性能超群呢～
WeaponShop_Lose	怎、怎麼會……我居然輸了……
WeaponShop_Lose2	我會趁機好好反省並持續深入研究的！\n下次不會再輸了！
WeaponShop_Draw	不會吧！？沒想到居然平手！
WeaponShop_Draw2	你還真是厲害耶～\n我可以承認你是我的勁敵了！
WeaponShop_Sleeve	謝謝你一直以來\n特地找我玩占地鬥士！{[0004]}為了表揚你的實力，\n我要把原本做給我自己專用的{color[0100]}卡套{color[ffff]}送給你！{[0004]}以後也要請你多多關照了！
Aori_Greet	咦？你要找我玩卡牌對戰？\n好啊！{[0004]}那就開始囉？\n各自加魷吧！
Aori_Win	好耶——！我贏了！
Aori_Win2	不過3號你也很厲害喔！\n本來還以為要輸掉了，害我捏了把冷汗呢。\n之後再來玩一次吧！
Aori_Lose	我輸了！\n唔——輸得好不甘心————！
Aori_Lose2	不過我玩得很開心！\n之後一定要再來找我對戰喔！
