00_glossary.msbt
01_msg_with_voice.msbt
mng_cmn_go	ゴー！
menu_booth11_004	ワールドマッチ
menu_booth11_005	フレンドマッチ
menu_booth11_006	コロシアムを{r2[つく]}作{/r2}る
menu_booth11_007	コロシアムに{r2[はい]}入{/r2}る
menu_booth11_008	パスワード：{r2[つ]}付{/r2}ける
menu_booth11_009	パスワード：{r2[つ]}付{/r2}けない
menu_booth11_013	コロシアムを{r2[つく]}作{/r2}る
menu_booth11_014	パスワード：[0]
menu_booth11_015	パスワード：{r2[つ]}付{/r2}けない
menu_booth11_016	キノピオカップ{r2[かいさいちゅう]}開催中{/r2}！
menu_booth11_017	キノピコカップ{r2[かいさいちゅう]}開催中{/r2}！
menu_booth11_018	カメックカップ{r2[かいさいちゅう]}開催中{/r2}！
menu_booth11_019	？
menu_booth11_010	5つのミニゲームを{r2[れんぞく]}連続{/r2}で{r2[あそ]}遊{/r2}んで、{r2[そうごう]}総合{/r2}{r2[とくてん]}得点{/r2}を{r2[きそ]}競{/r2}う\r\n{r2[せかいじゅう]}世界中{/r2}のプレイヤーとのぶつかりあい
menu_booth11_011	{r2[とお]}遠{/r2}くにいるフレンドと、5つのミニゲームを{r2[しょうぶ]}勝負{/r2}\r\n{r2[す]}好{/r2}きなミニゲームをカスタムできる
menu_booth11_012	ランキングや{r2[きろく]}記録{/r2}を{r2[かくにん]}確認{/r2}
menu_booth11_030	[n0]
menu_booth11_031	[0]
menu_booth11_032	？
menu_booth11_033	S+
menu_booth11_034	S
menu_booth11_035	S-
menu_booth11_036	A+
menu_booth11_037	A
menu_booth11_038	A-
menu_booth11_039	B+
menu_booth11_040	B
menu_booth11_041	B-
menu_booth11_042	C+
menu_booth11_043	C
menu_booth11_044	C-
menu_booth11_045	D+
menu_booth11_046	D
menu_booth11_047	D-
menu_booth11_048	E+
menu_booth11_049	E
menu_booth11_055	E-
menu_booth11_020	{r2[さんか]}参加{/r2}できるコロシアムを\r\n{r2[さが]}探{/r2}しています…
menu_booth11_056	{r2[かいさい]}開催{/r2}スケジュールが{r2[こうしん]}更新{/r2}されました。
menu_booth11_057	ワールドマッチ
menu_booth11_058	キノピオカップ
menu_booth11_059	キノピコカップ
menu_booth11_060	カメックカップ
menu_booth11_021	{r2[たいせんあいて]}対戦相手{/r2}を{r2[ま]}待{/r2}っています…
menu_booth11_022	[n0]
menu_booth11_027	{r2[ぼしゅう]}募集{/r2}{r2[ちゅう]}中{/r2}…
menu_booth11_028	コロシアム {r2[じゅんび]}準備{/r2}{r2[ちゅう]}中{/r2}…
menu_booth11_061	S+
menu_booth11_062	S
menu_booth11_063	S-
menu_booth11_064	A+
menu_booth11_065	A
menu_booth11_066	A-
menu_booth11_067	B+
menu_booth11_068	B
menu_booth11_069	B-
menu_booth11_070	C+
menu_booth11_071	C
menu_booth11_072	C-
menu_booth11_073	D+
menu_booth11_074	D
menu_booth11_075	D-
menu_booth11_076	E+
menu_booth11_077	E
menu_booth11_078	E-
menu_booth11_079	？
menu_booth11_083	[0]
menu_booth11_084	ネットワークに{r2[せつぞく]}接続{/r2}しています…
menu_booth11_085	フレンドマッチ
menu_booth11_050	[0]
menu_booth11_086	/ボイスチャットをする
menu_booth11_087	[n0]
menu_booth11_052	このメンバーで はじめる
menu_booth11_053	もどる
menu_booth12_001	ミニゲームアスロン
menu_booth12_016	オンラインアスロン
menu_booth12_002	ハイスコアランキング
menu_booth12_005	[0]
menu_booth12_032	{c[ffdc0f]}[0]{c[ffffff]}
menu_booth12_026	プレイすると{r2[ひょうじ]}表示{/r2}されます。
menu_booth12_027	スコア詳細
menu_booth12_029	もどる
menu_booth12_031	順位きりかえ
menu_booth12_008	[0]
menu_booth12_010	[n0]
menu_booth12_012	[0]
menu_booth12_014	[n0]
menu_booth12_030	{c[ffdc0f]}[n0]{c[ffffff]}
menu_booth12_017	
menu_booth12_018	
menu_booth12_019	ワールドマッチ
menu_booth12_022	フレンドマッチ
menu_booth12_023	キノピオカップ
menu_booth12_024	キノピコカップ
menu_booth12_025	カメックカップ
menu_booth12_028	[mg0]
menu_booth12_020	ボイスチャット\r\n{r2[たいおう]}対応{/r2}
menu_booth12_021	ボイスチャットを\r\nするには？
menu_booth00_313_b	わー！スゴかったですね！
menu_booth00_314	クリア おめでとうございます！
menu_booth00_317	{c[ffdc0f]}[0] {c[ffffff]}クリアですよー！
menu_booth00_318_00	{c[ff3f37]}{r2[ゆうき]}勇気{/r2}のジュエル{c[ffffff]} ゲットでーす！
menu_booth00_318_01	{c[e6ff3a]}{r2[ゆめ]}夢{/r2}のジュエル{c[ffffff]} ゲットでーす！
menu_booth00_318_02	{c[3ffc3a]}{r2[きぼう]}希望{/r2}のジュエル{c[ffffff]} ゲットでーす！
menu_booth00_318_03	{c[2596ff]}{r2[ゆうじょう]}友情{/r2}のジュエル{c[ffffff]} ゲットでーす！
menu_booth00_318_04	{c[fc64fa]}{r2[あい]}愛{/r2}のジュエル{c[ffffff]} ゲットでーす！
menu_booth00_319	{c[ffdc0f]}[0]{c[ffffff]}が\r\n{r2[ついか]}追加{/r2}されましたー！
menu_booth00_320	ノーマル
menu_booth00_321	リミックス
menu_booth00_322	ハード
menu_booth00_323	？
menu_booth00_324	すべての {c[ffdc0f]}チャレンジ{c[ffffff]} クリアです！
menu_booth00_325	すべての{c[ffdc0f]} マスターチャレンジ{c[ffffff]} クリアです！
mgm001.msbt
mgm001_select_001	おまかせモードで遊ぶ
mgm001_select_003	？
mgm001_select_004	[mg0]
mgm001_select_005	詳しく見る
mgm001_select_012	もどる
mgm001_select_013	お気に入り
mgm001_select_029	リストで見る
mgm001_select_031	仲間の人数
mgm001_select_006	[0]
mgm001_select_007	ゲームスタート！
mgm001_select_033	OK!
mgm001_select_008	VS
mgm001_select_009	チームを選んでください。
mgm001_select_010	仲間の数を選んでください。
mgm001_select_011	+[0]人
mgm001_select_014	[mg0]
mgm001_select_015	記録　[0].[1][2]
mgm001_select_016	記録　[0]
mgm001_select_017	記録　[0].[1][2]m
mgm001_select_018	プレイした回数 [0]回
mgm001_select_019	4人対戦ミニゲーム
mgm001_select_021	なりきりミニゲーム
mgm001_select_022	ぞろぞろミニゲーム
mgm001_select_023	1vs3ミニゲーム
mgm001_select_024	2vs2ミニゲーム
mgm001_select_025	協力ミニゲーム
mgm001_select_020	-
mgm001_select_027	ローカル{r2[つうしんちゅう]}通信中{/r2}はプレイできません。
mgm001_select_032	ローカル{r2[つうしんちゅう]}通信中{/r2}はプレイできません。
mgm001_select_028	お{r2[き]}気{/r2}に{r2[い]}入{/r2}りにした ミニゲームだけで {r2[あそ]}遊{/r2}べます。
mgm001_select_030	ローカル{r2[つうしん]}通信{/r2}{r2[ちゅう]}中{/r2}はプレイできません。
mgm001_select_034	{c[ffdc0f]}マリオパーティ{c[ffffff]}をプレイしてみよう
mgm001_select_035	{c[ffdc0f]}リバーサバイバル{c[ffffff]}をプレイしてみよう
mgm001_select_036	{c[ffdc0f]}なりきりビート{c[ffffff]}をプレイしてみよう
mgm001_select_037	ゲームの難易度を選んでください。
mgm001_select_038	ノーマル
mgm001_select_039	ハード
mgm001_select_040	ストラップを{r2[つ]}着{/r2}けてね
mgm001_result_001	{r2[つぎ]}次{/r2}のミニゲーム
mgm001_result_002	今のミニゲーム
mgm001_result_003	[mg0]
mgm001_result_004	お気に入りにする
mgm001_result_005	お気に入りをやめる
mgm003.msbt
mgm003_guide000	{c[ffdc0f]}[0]{c[ffffff]}へ ようこそ！
mgm003_guide001	ミニゲームでハイスコアを{r2[めざ]}目指{/r2}し\x0e\x01\x06\x02\n\0\r\n{c[ffdc0f]}{r2[そう]}総{/r2}\x0e\x01\x06\x02\x04\0{r2[ごう]}合{/r2}ポイント{c[ffffff]}を{r2[きそ]}競{/r2}いましょう！
mgm003_guide002	\x0e\x01\x06\x02\0\0{c[ffdc0f]}[n0]{c[ffffff]}さん\r\nどれをプレイしますか？
mgm003_guide010	{c[ffdc0f]}[0]{c[ffffff]}に{r2[き]}決{/r2}まりました！
mgm003_guide011	さっそく {c[ffdc0f]}[mg0]{c[ffffff]}から\x0e\x01\x06\x02\n\0\r\nス\x0e\x01\x06\x02\x04\0タートです！
mgm003_guide100	{r2[すべ]}全{/r2}てのミニゲームが{r2[お]}終{/r2}わりました！
mgm003_guide101	それでは {c[ffdc0f]}{r2[ゆうしょう]}優勝{/r2}{r2[しゃ]}者{/r2}{c[ffffff]}の{r2[はっぴょう]}発表{/r2}です！
mgm003_guide900	{c[ffdc0f]}[n0]{c[ffffff]}さんは\x0e\x01\x06\x02\n\0\r\nミ\x0e\x01\x06\x02\x04\0ニゲームを{c[ffdc0f]}5つ{c[ffffff]}{r2[えら]}選{/r2}んでください。
mgm003_guide901	こちらの5つに{r2[けってい]}決定{/r2}です！
mgm003_guide901_a	オッケー！
mgm003_guide901_b	ちょっと{r2[ま]}待{/r2}って
mgm003_skip00	/ スキップ
mgm003_skip01	 つぎへ
mgm003_skip02	 おわる
mgm003_mgname00	Next: [mg0]
mgm003_mgname01	Next:  ？ ？ ？ 
mgm003_rank00	[0]
mgm003_rank01	[0]
mgm003_rank02	[0]
mgm003_status	[0]
mgm003_pts00	+[0]
mgm003_pts02	[0]
mgm003_pts03	[0]
mgm003_pts04	[0]
mgm003_mg_time00	[0].[1][2]
mgm003_mg_time01	[0].[1][2]
mgm003_mg_pts00	[0]
mgm003_mg_pts01	[0]
mgm003_mg_retire00	- - . - -
mgm003_mg_retire01	- - . - -
mgm003_name00	[0]
mgm003_name01	[n0]
mgm003_mode00	[0]
mgm003_mode00_h	 [0]
mgm003_mode00_f	 [0]
mgm003_mode00_k	 [0]
mgm003_mode01	[0]
mgm003_mode_qmark	？
mgm003_result_title	さいしゅうけっか
mgm003_result_total	ごうけい
mgm003_selectmg_num	[0]
mgm003_selectmg_name	[mg0]
mgm003_selectmg_host	ミニゲーム\r\nせんたくちゅう…
mgm003_selectmg_mess00	やったー！
mgm003_selectmg_mess01	そんなぁ…
mgm003_selectmg_mess02	よかった～
mgm003_selectmg_mess03	それなの！？
mgm003_selectmg_guide00	 やったー！
mgm003_selectmg_guide01	 そんなぁ…
mgm003_selectmg_guide02	 よかった～
mgm003_selectmg_guide03	 それなの！？
mgm003_wm_result_name	{c[ffdc0f]}[0]{c[ffffff]}さんのきろく
mgm003_wm_result_cup	[0]
mgm003_wm_result_rank	ウデマエ
mgm003_wm_result_avg_num	[0].[1][2]
mgm003_wm_result_avg_nextnum	[0].[1][2]
mgm003_wm_result_hist	スコアログ
mgm003_wm_result_hist_num	[0]
mgm003_wm_result_hist_non	- - - -
mgm003_wm_result_medal00	ゴールド
mgm003_wm_result_medal01	シルバー
mgm003_wm_result_medal02	ブロンズ
mgm003_wm_result_medal_num	[0]
mgm003_wm_result_best	{r2[じこ]}自己{/r2}ベスト！
mgm003_skill_rank_l	[0][1]
mgm003_skill_rank_s	[0][1]
mgm003_skill_rank_plus	+
mgm003_skill_rank_minus	-
mgm003_skill_rank00	S
mgm003_skill_rank01	A
mgm003_skill_rank02	B
mgm003_skill_rank03	C
mgm003_skill_rank04	D
mgm003_skill_rank05	E
mgm003_seal	シール
mgm004.msbt
mgm004_guide000	{c[ffdc0f]}{r2[じんと]}陣取{/r2}りバトル{c[ffffff]}へ ようこそ！
mgm004_guide001	{r2[あそ]}遊{/r2}び{r2[かた]}方{/r2}は ごぞんじですか？
mgm004_guide002	\x0e\x01\x06\x02\0\0ルール{r2[せつめい]}説明{/r2}を{r2[き]}聞{/r2}く？
mgm004_guide002_a	{r2[き]}聞{/r2}く
mgm004_guide002_b	{r2[き]}聞{/r2}かない
mgm004_guide003	それでは さっそくゲームスタートです！
mgm004_guide010	{c[ffdc0f]}[n0]{c[ffffff]}さん すばらしかったですね！
mgm004_guide010_1	{r2[ま]}真{/r2}ん{r2[なか]}中{/r2}のパネルから{c[ffdc0f]}1{r2[まい]}枚{/r2} {c[ffffff]}{r2[と]}取{/r2}ってください！
mgm004_guide020	{c[ffdc0f]}[n0]{c[ffffff]}さん すでに{r2[えら]}選{/r2}ばれているパネルの\x0e\x01\x06\x02\n\0\r\n{c[ffdc0f]}と\x0e\x01\x06\x02\x04\0なりから1{r2[まい]}枚{/r2}{c[ffffff]} {r2[と]}取{/r2}ってください！
mgm004_guide030	だんだん{r2[えら]}選{/r2}べるパネルも{r2[ふ]}増{/r2}えていきます。
mgm004_guide030_1	それでは {c[ffdc0f]}[n0]{c[ffffff]}さん\x0e\x01\x06\x02\n\0\r\nど{c[ffdc0f]}\x0e\x01\x06\x02\x04\0{c[ffffff]}のパネルにしますか？
mgm004_guide031	ライバルの{c[ffdc0f]}パネルをはさむ{c[ffffff]}と\x0e\x01\x06\x02\n\0\r\n{r2[じ]}自{/r2}\x0e\x01\x06\x02\x04\0{r2[ぶん]}分{/r2}のパネルに{r2[か]}変{/r2}えることができます。
mgm004_guide031_1	よ～く{r2[かんが]}考{/r2}えて パネルを{r2[えら]}選{/r2}びましょう！
mgm004_guide032	それでは パネルを{c[ffdc0f]}1{r2[まい]}枚{/r2}{c[ffffff]} {r2[と]}取{/r2}ってください！
mgm004_guide033	パネルも{r2[のこ]}残{/r2}り{r2[はんぶん]}半分{/r2}です！
mgm004_guide033_1	{c[ffdc0f]}[n0]{c[ffffff]}さん パネルを{r2[えら]}選{/r2}んでください！
mgm004_guide034	{r2[のこ]}残{/r2}すパネルも{r2[すく]}少{/r2}なくなりました！
mgm004_guide035	ファイナルラウンドを\x0e\x01\x06\x02\n\0\r\n{r2[せい]}制{/r2}\x0e\x01\x06\x02\x04\0したのは{c[ffdc0f]}[n0]{c[ffffff]}さん です！
mgm004_guide035_1	それでは {r2[さいご]}最後{/r2}のパネルを{r2[と]}取{/r2}ってください！
mgm004_guide040	{c[ffdc0f]}[n0]{c[ffffff]}さん おめでとうございます！
mgm004_guide040_1	「+1」が{r2[で]}出{/r2}たので {c[ffdc0f]}もう1{r2[まい]}枚{/r2}{c[ffffff]}パネルを{r2[えら]}選{/r2}べます！
mgm004_guide050	\x0e\x01\x06\x02\0\0なんと！\x0e\x01\x06\x02\x1e\0\r\n{r2[さき]}先{/r2}{c[ffdc0f]}\x0e\x01\x06\x02\x04\0{c[ffffff]}ほどのミニゲームでは {c[ffdc0f]}[0]{r2[にん]}人{/r2}{c[ffffff]}が{r2[しょうり]}勝利{/r2}しました！
mgm004_guide050_2	\x0e\x01\x06\x02\0\0なんと！\x0e\x01\x06\x02\x1e\0\r\n{r2[さき]}先{/r2}{c[ffdc0f]}\x0e\x01\x06\x02\x04\0{c[ffffff]}ほどのミニゲームでは {c[ffdc0f]}{r2[ふたり]}2人{/r2}{c[ffffff]}が{r2[しょうり]}勝利{/r2}しました！
mgm004_guide051	\x0e\x01\x06\x02\0\0しかし \x0e\x01\x06\x02\x04\0パネルを{r2[えら]}選{/r2}ぶ{r2[ひと]}人{/r2}を{r2[き]}決{/r2}めないといけません！
mgm004_guide051_1	パネルを{r2[えら]}選{/r2}べるのは サイコロをたたいて\x0e\x01\x06\x02\n\0\r\n{c[ffdc0f]}1\x0e\x01\x06\x02\x04\0{r2[ばん]}番{/r2}{r2[おお]}大{/r2}きい{r2[すうじ]}数字{/r2}{c[ffffff]}を{r2[だ]}出{/r2}した{r2[ひと]}人{/r2}です！
mgm004_guide052	{r2[ざんねん]}残念{/r2}ながら {r2[さき]}先{/r2}ほどのミニゲームは{c[ffdc0f]}ひきわけ{c[ffffff]}でした…
mgm004_guide060	まず {r2[さいしょ]}最初{/r2}の\x0e\x01\x06\x02\n\0\r\nパ\x0e\x01\x06\x02\x04\0ネルは{c[ffdc0f]}[n0]{c[ffffff]}さんが{r2[と]}取{/r2}りました！
mgm004_guide061	{r2[えら]}選{/r2}ばれているパネルは\x0e\x01\x06\x02\n\0\r\n{r2[すべ]}全{/r2}\x0e\x01\x06\x02\x04\0て{c[ffdc0f]}[n0]{c[ffffff]}さんのものです！
mgm004_guide062	な、\x0e\x01\x06\x02\n\0な\x0e\x01\x06\x02\x04\0、\x0e\x01\x06\x02\n\0な\x0e\x01\x06\x02\0\0んと！ \x0e\x01\x06\x02\x1e\0\r\n{c[ffdc0f]}{r2[ぜん]}全{/r2}\x0e\x01\x06\x02\x04\0{r2[いん]}員{/r2}{r2[どうてん]}同点{/r2}{c[ffffff]}で ならびました！
mgm004_guide063	\x0e\x01\x06\x02\0\0なんと！\x0e\x01\x06\x02\x1e\0\r\nパ\x0e\x01\x06\x02\x04\0ネル{c[ffdc0f]}[0]{r2[まい]}枚{/r2}{c[ffffff]}でトップが 3{r2[にん]}人{/r2}となりました！
mgm004_guide064	パネル[0]{r2[まい]}枚{/r2}で {c[ffdc0f]}[n0]{c[ffffff]}さんと\x0e\x01\x06\x02\n\0 \x0e\x01\x06\x02\x04\0\r\n{c[ffdc0f]}[n1]{c[ffffff]}さん の{r2[ふたり]}2人{/r2}がトップです！
mgm004_guide065	{c[ffdc0f]}[n0]{c[ffffff]}さんが\x0e\x01\x06\x02\n\0\r\nパ\x0e\x01\x06\x02\x04\0ネル[0]{r2[まい]}枚{/r2}で トップです！
mgm004_guide066	パネル[0]{r2[まい]}枚{/r2}で\x0e\x01\x06\x02\n\0 \x0e\x01\x06\x02\x04\0\r\n{c[ffdc0f]}[n0]{c[ffffff]}さんは [1]{r2[い]}位{/r2}です！
mgm004_guide070	まず 4{r2[にん]}人{/r2}でミニゲームを{r2[たたか]}戦{/r2}います。
mgm004_guide071	{c[ffdc0f]}{r2[か]}勝{/r2}った{r2[ひと]}人{/r2}{c[ffffff]}が パネルを1{r2[まい]}枚{/r2} {r2[と]}取{/r2}ることができます！
mgm004_guide072	ラウンドが{r2[すす]}進{/r2}むと\x0e\x01\x06\x02\n\0\r\nラ\x0e\x01\x06\x02\x04\0イバルのパネルを {c[ffdc0f]}はさめる{c[ffffff]}{r2[ばあい]}場合{/r2}があります。
mgm004_guide073	はさんだ ライバルのパネルは\x0e\x01\x06\x02\n\0\r\n{c[ffdc0f]}{r2[じ]}自{/r2}\x0e\x01\x06\x02\x04\0{r2[ぶん]}分{/r2}のパネル{c[ffffff]}に{r2[か]}変{/r2}わります。
mgm004_guide074	{r2[えら]}選{/r2}んだのが{c[ffdc0f]}「+1」パネル{c[ffffff]}だった{r2[ばあい]}場合{/r2}\x0e\x01\x06\x02\n\0\r\n{r2[つづ]}続{/r2}\x0e\x01\x06\x02\x04\0けて もう1{r2[まい]}枚{/r2} {r2[と]}取{/r2}れます！
mgm004_guide075	{r2[ぜん]}全{/r2}12ラウンドをプレイして\x0e\x01\x06\x02\n\0\r\n{c[ffdc0f]}パ\x0e\x01\x06\x02\x04\0ネルの{r2[かず]}数{/r2}が{r2[おお]}多{/r2}い{c[ffffff]}{r2[ひと]}人{/r2}の{r2[ゆうしょう]}優勝{/r2}です！
mgm004_guide100	それでは {r2[げんざい]}現在{/r2}4{r2[い]}位{/r2}の{c[ffdc0f]}[n0]{c[ffffff]}さんに\x0e\x01\x06\x02\n\0\r\n{r2[つぎ]}次{/r2}\x0e\x01\x06\x02\x04\0のミニゲームを{r2[えら]}選{/r2}んでいただきましょう！
mgm004_guide200	みなさんチャンスです！
mgm004_guide201	{r2[つぎ]}次{/r2}のミニゲームに{r2[か]}勝{/r2}つと\x0e\x01\x06\x02\n\0\r\nラ\x0e\x01\x06\x02\x04\0イバルのパネルを{c[ffdc0f]}1{r2[まい]}枚{/r2} {r2[よこど]}横取{/r2}り{c[ffffff]}できます！
mgm004_guide202	ライバルのパネルから{c[ffdc0f]}1{r2[まい]}枚{/r2}{c[ffffff]} {r2[と]}取{/r2}りましょう！
mgm004_guide203	\x0e\x01\x06\x02\n\0…\x0e\x01\x06\x02\0\0おや？\x0e\x01\x06\x02\x1e\0\r\nす\x0e\x01\x06\x02\x04\0でに{r2[すべ]}全{/r2}て{c[ffdc0f]}[n0]{c[ffffff]}さんのパネルですね！
mgm004_guide204	{r2[さ]}差{/r2}は{r2[おお]}大{/r2}きいですが あきらめずに\x0e\x01\x06\x02\n\0\r\n{r2[つぎ]}次{/r2}\x0e\x01\x06\x02\x04\0のラウンドへまいりましょう！
mgm004_guide300	いよいよ {r2[つぎ]}次{/r2}で{r2[さいご]}最後{/r2}となります。
mgm004_guide300_1	{r2[だれ]}誰{/r2}が{r2[ゆうしょう]}優勝{/r2}してもおかしくありません！
mgm004_guide301	はたして {r2[ぎゃくてん]}逆転{/r2}はあるのでしょうか！？
mgm004_guide302	{r2[さいご]}最後{/r2}まで{r2[き]}気{/r2}を{r2[ぬ]}抜{/r2}かずに がんばりましょう！
mgm004_guide303	{r2[だれ]}誰{/r2}が{r2[ゆうしょう]}優勝{/r2}となるでしょうか！？
mgm004_guide900	これで {r2[すべ]}全{/r2}てのラウンドが{r2[お]}終{/r2}わりました！
mgm004_guide900_1	{r2[ゆうしょう]}優勝{/r2}したのは…
mgm004_guide900_2	パネル{c[ffdc0f]}[0]{r2[まい]}枚{/r2}{c[ffffff]}で
mgm004_guide901	{c[ffdc0f]}[n0]{c[ffffff]}さん です！
mgm004_guide902	{c[ffdc0f]}[n0]{c[ffffff]}さん {c[ffdc0f]}[n1]{c[ffffff]}さん\x0e\x01\x06\x02\n\0\r\nの\x0e\x01\x06\x02\x04\0{r2[ふたり]}2人{/r2}です！
mgm004_guide903	{c[ffdc0f]}[n0]{c[ffffff]}さん {c[ffdc0f]}[n1]{c[ffffff]}さん\x0e\x01\x06\x02\n\0\r\nそ\x0e\x01\x06\x02\x04\0して {c[ffdc0f]}[n2]{c[ffffff]}さんの3{r2[にん]}人{/r2}です！
mgm004_guide904	な、\x0e\x01\x06\x02\n\0な\x0e\x01\x06\x02\x04\0、\x0e\x01\x06\x02\n\0な\x0e\x01\x06\x02\0\0んと！
mgm004_guide904_1	パネル{c[ffdc0f]}4{r2[まい]}枚{/r2}{c[ffffff]}で{c[ffdc0f]}{r2[ぜんいん]}全員{/r2}{r2[ゆうしょう]}優勝{/r2}{c[ffffff]}です！
mgm004_tlp00	ラウンド [0]
mgm004_tlp01	ファイナルラウンド
mgm004_tlp02	よこどりチャンス！
mgm004_tlp03	[mg0]
mgm004_tlp04	よこどりチャンス！
mgm004_skip00	/ スキップ
mgm004_skip01	 つぎへ
mgm004_mgname	[mg0]
mgm004_cntrl_guide	 サイコロをたたく
minigame_msg.msbt
mng_cmn_rnd	ラウンド[0]
mng_cmn_fnlrnd	ファイナルラウンド
mng_rlt_name	[n0]
mng_rlt_team	[n0]チーム
mng_cmn_rnk01	[0]
mng_cmn_skip	/ スキップ
mng_bdr001_s	S
mng_bdr001_s_in	S
mng_bdr001_a	A
mng_bdr001_a_in	A
mng_bdr001_b	B
mng_bdr001_b_in	B
mng_bdr001_mis	C
mng_bdr001_mis_in	C
mng_bdr001_s_cndt_pt	[0] ポイント～
mng_bdr001_a_cndt_pt	[0]-[1] ポイント
mng_bdr001_b_cndt_pt	[0]-[1] ポイント
mng_bdr001_mis_cndt_pt	0-[0] ポイント
mng_bdr001_mis_cndt_t	0{r2[びょう]}秒{/r2}
mng_bdr001_mgx101_s_cndt_t	{r2[のこ]}残{/r2}り21{r2[びょう]}秒{/r2}～
mng_bdr001_mgx101_a_cndt_t	{r2[のこ]}残{/r2}り11-20{r2[びょう]}秒{/r2}
mng_bdr001_mgx101_b_cndt_t	{r2[のこ]}残{/r2}り1-10{r2[びょう]}秒{/r2}
mng_bdr001_mgx104_s_cndt_t	{r2[のこ]}残{/r2}り26{r2[びょう]}秒{/r2}～
mng_bdr001_mgx104_a_cndt_t	{r2[のこ]}残{/r2}り11-25{r2[びょう]}秒{/r2}
mng_bdr001_mgx104_b_cndt_t	{r2[のこ]}残{/r2}り1-10{r2[びょう]}秒{/r2}
mng_bdr001_mgx105_s_cndt_t	{r2[のこ]}残{/r2}り16{r2[びょう]}秒{/r2}～
mng_bdr001_mgx105_a_cndt_t	{r2[のこ]}残{/r2}り6-15{r2[びょう]}秒{/r2}
mng_bdr001_mgx105_b_cndt_t	{r2[のこ]}残{/r2}り1-5{r2[びょう]}秒{/r2}
mng_bdr001_mgx106_s_cndt_t	{r2[のこ]}残{/r2}り31{r2[びょう]}秒{/r2}～
mng_bdr001_mgx106_a_cndt_t	{r2[のこ]}残{/r2}り16-30{r2[びょう]}秒{/r2}
mng_bdr001_mgx106_b_cndt_t	{r2[のこ]}残{/r2}り1-15{r2[びょう]}秒{/r2}
mng_bdr001_mgx110_s_cndt_t	{r2[のこ]}残{/r2}り11{r2[びょう]}秒{/r2}～
mng_bdr001_mgx110_a_cndt_t	{r2[のこ]}残{/r2}り6-10{r2[びょう]}秒{/r2}
mng_bdr001_mgx110_b_cndt_t	{r2[のこ]}残{/r2}り1-5{r2[びょう]}秒{/r2}
mng_bdr001_mgx107_s_cndt	ミス0{r2[かい]}回{/r2}
mng_bdr001_mgx107_a_cndt	ミス1-2{r2[かい]}回{/r2}
mng_bdr001_mgx107_b_cndt	ミス3{r2[かい]}回{/r2}
mng_bdr001_mgx107_c_cndt	ミス4{r2[かい]}回{/r2}
mng_cmn_06	ランク表
mng_bdr001_rlt05	タイムエクステンド
mng_cmn_11	{r2[れんしゅう]}練習{/r2}してみよう！
mng_cmn_12	{r2[そうさほうほう]}操作方法{/r2}
mng_cmn_04	OK！
mng_cmn_05	{r2[じゅんび]}準備{/r2}OK?　/
mng_cmn_09	VS
mng_cmn_13	{r2[ひとりがわ]}1人側{/r2}
mng_cmn_14	3{r2[にんがわ]}人側{/r2}
mng_cmn_15	タテ{r2[も]}持{/r2}ち
mng_cmn_16	ヨコ{r2[も]}持{/r2}ち
mng_cmn_optitl_center	[mg0]
mng_mgn_inst	[mg0]
mng_mgx501_rule	{r2[さいご]}最後{/r2}まで{r2[い]}生{/r2}き{r2[のこ]}残{/r2}れ！
mng_mgx501_mgm001	{r2[さいご]}最後{/r2}まで{r2[い]}生{/r2}き{r2[のこ]}残{/r2}れ！
mng_mgx501_mj_01	1{r2[い]}位{/r2}になれ！
mng_mgx501_sub_mj_01	1{r2[い]}位{/r2}になれ！
que000_misson_nm_mgx501	1{r2[い]}位{/r2}になれ！
que000_misson_nm_mgx501_small	1{r2[い]}位{/r2}になれ！
mng_mgx501_mj_02	ノーミスで1{r2[い]}位{/r2}になれ！
mng_mgx501_sub_mj_02	ノーミスで1{r2[い]}位{/r2}になれ！
que000_misson_hd_mgx501	ノーミスで1{r2[い]}位{/r2}になれ！
que000_misson_hd_mgx501_small	ノーミスで1{r2[い]}位{/r2}になれ！
mng_mgx501_sub_deca_00	{r2[さいご]}最後{/r2}まで{r2[い]}生{/r2}き{r2[のこ]}残{/r2}れ！
mng_tips_mgx501	ブルに3{r2[かい]}回{/r2} {r2[あ]}当{/r2}たるとリタイア！
mng_tips_mgx501_mgm001	ブルに3{r2[かい]}回{/r2} {r2[あ]}当{/r2}たるとリタイア！
mng_tips_mgx501_mj	ブルに{r2[あ]}当{/r2}たったら、リタイア！
mng_mgx501_cntrls	{r2[いどう]}移動{/r2}
mng_mgx502_rule	チョロボンを よけ{r2[つづ]}続{/r2}けろ！
mng_mgx502_mgm001	チョロボンを よけ{r2[つづ]}続{/r2}けろ！
mng_mgx502_mj_01	1{r2[い]}位{/r2}になれ！
mng_mgx502_sub_mj_01	1{r2[い]}位{/r2}になれ！
que000_misson_nm_mgx502	1{r2[い]}位{/r2}になれ！
que000_misson_nm_mgx502_small	1{r2[い]}位{/r2}になれ！
mng_mgx502_mj_02	ノーミスで1{r2[い]}位{/r2}になれ！
mng_mgx502_sub_mj_02	ノーミスで1{r2[い]}位{/r2}になれ！
que000_misson_hd_mgx502	ノーミスで1{r2[い]}位{/r2}になれ！
que000_misson_hd_mgx502_small	ノーミスで1{r2[い]}位{/r2}になれ！
